CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,49,1,6,0,51,0,2,0,3,84,0,0,0,0,146,7,153,255
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,51,1,6,89,25,7,4,19,4,0,0,0,0,0,154,6,160,269
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,52,2,116,181,72,6,7,27,52,1,0,0,0,0,462,6,468,956
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,53,1,44,72,28,6,11,14,55,2,0,0,0,0,232,10,242,473
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,54,2,63,204,190,9,5,27,36,1,0,0,0,10,535,29,574,1429
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,55,2,109,486,67,12,5,37,54,1,1,2,0,4,774,40,818,1214
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,56,1,16,97,29,7,3,12,30,1,0,0,0,0,195,10,205,320
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,57,1,13,268,30,28,8,30,24,2,0,0,0,0,403,29,432,737
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,58,1,19,126,105,10,8,14,17,0,0,0,0,3,299,8,310,513
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,59,2,55,213,56,10,13,16,51,0,1,1,0,3,416,28,447,824
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,60,3,124,238,183,20,23,38,105,1,1,2,0,0,735,42,777,2004
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,61,1,49,135,32,13,5,29,41,1,4,0,1,0,310,22,332,694
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,62,3,91,301,137,13,9,40,118,3,1,1,0,7,714,58,779,2072
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,63,1,40,73,33,7,5,12,47,1,0,0,1,2,219,12,233,342
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,64,1,80,139,93,5,5,31,45,0,0,0,0,0,398,12,410,584
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,65,3,57,549,188,20,9,80,127,3,0,0,0,0,1033,75,1108,2088
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,66,2,96,347,84,13,16,60,99,0,2,2,0,0,719,90,809,1286
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,67,2,136,346,96,20,18,31,140,2,1,1,0,7,791,44,842,1355
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,2,112,333,99,8,14,30,121,0,0,1,1,2,719,31,752,1318
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,69,3,700,505,85,36,24,190,77,24,1,13,2,3,1657,90,1750,2212
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,70,1,24,21,14,9,0,22,5,0,0,0,0,0,95,9,104,146
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,71,1,24,32,4,5,3,21,5,0,0,1,2,0,97,7,104,136
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,73,1,103,29,16,3,2,22,9,2,3,3,1,0,193,12,205,261
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,74,1,77,108,10,7,2,57,14,0,0,1,0,0,276,13,289,367
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,75,1,42,52,2,6,1,25,6,2,0,1,0,0,137,4,141,167
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,76,1,30,48,2,4,1,10,2,3,0,3,0,0,103,12,115,131
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,77,1,214,216,24,10,7,54,14,0,0,0,0,0,539,50,589,744
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,78,2,238,211,36,21,3,110,58,11,0,8,2,0,698,43,741,952
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,79,1,155,144,35,11,9,67,57,8,1,5,1,1,493,31,525,709
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,80,1,180,115,16,14,7,41,40,1,1,1,0,0,416,21,437,544
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,81,3,334,315,165,78,59,16,36,0,4,1,1,0,1009,27,1036,1530
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,82,3,371,246,176,56,113,19,45,1,5,0,0,0,1032,31,1063,1559
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,83,2,223,264,161,62,106,27,36,2,5,0,0,0,886,31,917,1274
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,84,2,227,327,166,50,121,27,18,0,2,1,1,1,940,20,961,1314
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,85,2,80,110,74,114,21,6,26,6,0,0,0,0,437,12,449,1380
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,86,3,197,301,203,276,57,24,64,0,17,0,1,0,1140,32,1172,1899
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,87,1,45,35,30,21,8,2,5,1,0,0,0,0,147,1,148,195
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,88,3,308,365,210,181,98,15,103,2,1,3,0,0,1286,23,1309,1921
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,89,2,259,218,205,134,52,11,58,1,1,0,0,0,939,20,959,1387
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,90,1,48,90,48,41,7,10,10,0,0,1,0,0,255,2,257,325
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,91,1,18,111,10,52,5,1,1,0,1,0,0,0,199,4,203,237
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,280,330,258,166,5,23,56,2,3,0,0,0,1123,27,1150,1676
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,1,68,130,129,86,1,9,33,1,1,0,1,0,459,8,467,682
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,24,81,33,51,3,8,6,3,3,0,0,1,212,12,225,361
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,70,144,95,144,5,11,57,1,10,0,3,0,540,26,566,980
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,70,83,61,47,2,4,19,1,0,0,0,0,287,17,304,491
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,2,82,88,108,94,8,8,24,0,2,0,0,0,414,23,437,788
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,50,83,31,52,0,2,11,0,2,1,0,0,232,7,239,328
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,81,146,115,189,2,14,39,3,3,0,4,0,596,17,613,1310
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,51,90,52,156,7,9,15,2,4,4,32,0,422,21,443,833
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,92,136,162,66,9,18,29,1,4,0,0,0,517,12,529,979
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,15,79,17,52,1,4,5,0,0,0,0,0,173,2,175,226
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,141,165,222,195,7,16,44,1,1,0,0,0,792,17,809,1262
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,62,92,76,139,5,13,30,1,5,0,1,1,424,18,443,774
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,1,18,47,202,46,3,2,6,0,1,0,1,0,326,4,330,510
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,2,71,134,170,106,7,24,18,1,4,1,0,0,536,15,551,840
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,107,1,54,82,58,122,2,7,37,0,0,0,1,0,363,7,370,532
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,108,1,54,56,30,93,2,8,2,0,0,0,1,0,246,8,254,339
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,109,1,26,48,28,109,2,9,13,0,2,0,0,0,237,7,244,359
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,110,1,17,36,14,98,4,2,20,0,2,0,0,0,193,11,204,259
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,2,42,155,191,141,6,6,33,1,3,1,0,0,579,12,591,850
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,112,1,15,33,14,35,0,6,3,0,2,0,0,0,108,4,112,162
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,113,1,7,61,60,29,0,3,2,1,2,0,1,0,166,7,173,278
5,13,HIDALGO,10,APAN,7,ALMOLOYA,114,4,481,522,112,10,181,112,64,2,1,1,0,1,1486,37,1524,2388
5,13,HIDALGO,10,APAN,7,ALMOLOYA,115,2,240,316,68,7,155,38,29,1,0,0,0,0,854,31,885,1363
5,13,HIDALGO,10,APAN,7,ALMOLOYA,116,1,7,53,27,1,9,8,1,0,0,0,0,0,106,6,112,195
5,13,HIDALGO,10,APAN,7,ALMOLOYA,117,1,35,126,44,0,25,8,2,0,0,0,0,0,240,5,245,390
5,13,HIDALGO,10,APAN,7,ALMOLOYA,118,1,65,57,12,1,19,10,2,1,0,0,0,0,167,4,171,272
5,13,HIDALGO,10,APAN,7,ALMOLOYA,119,1,80,130,8,1,43,16,3,0,1,1,0,0,283,10,293,446
5,13,HIDALGO,10,APAN,7,ALMOLOYA,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
5,13,HIDALGO,10,APAN,7,ALMOLOYA,121,2,75,228,14,7,110,50,13,1,0,1,0,0,499,21,520,797
5,13,HIDALGO,10,APAN,7,ALMOLOYA,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679
5,13,HIDALGO,10,APAN,7,ALMOLOYA,123,1,28,104,31,1,60,15,5,0,0,0,0,0,244,7,251,374
5,13,HIDALGO,10,APAN,7,ALMOLOYA,124,1,33,81,34,2,36,12,18,0,0,0,0,0,216,6,222,351
5,13,HIDALGO,10,APAN,7,ALMOLOYA,125,1,49,111,39,0,41,9,10,0,0,0,0,0,259,7,266,388
5,13,HIDALGO,10,APAN,7,ALMOLOYA,126,1,103,170,32,2,38,14,15,0,0,0,1,0,375,9,384,647
5,13,HIDALGO,10,APAN,8,APAN,127,5,697,354,172,12,96,31,74,2,0,0,0,0,1438,40,1478,2506
5,13,HIDALGO,10,APAN,8,APAN,128,5,598,321,182,10,68,24,75,3,0,0,0,4,1281,23,1308,3013
5,13,HIDALGO,10,APAN,8,APAN,129,4,878,373,233,13,37,44,93,2,0,0,0,2,1673,29,1704,2916
5,13,HIDALGO,10,APAN,8,APAN,130,3,617,255,141,10,86,23,61,1,0,1,0,0,1195,25,1220,2019
5,13,HIDALGO,10,APAN,8,APAN,131,2,283,161,49,6,15,30,42,2,0,0,0,0,588,5,593,990
5,13,HIDALGO,10,APAN,8,APAN,132,2,125,71,29,1,7,10,19,1,0,0,0,1,263,1,265,857
5,13,HIDALGO,10,APAN,8,APAN,133,2,255,198,43,7,13,12,22,0,0,0,0,0,550,14,564,912
5,13,HIDALGO,10,APAN,8,APAN,134,3,520,267,160,9,33,10,80,0,0,0,0,1,1079,22,1102,1873
5,13,HIDALGO,10,APAN,8,APAN,135,3,164,98,43,1,22,17,8,0,0,0,0,0,353,8,361,1902
5,13,HIDALGO,10,APAN,8,APAN,136,2,435,247,106,4,24,15,76,0,1,0,0,1,908,20,929,1468
5,13,HIDALGO,10,APAN,8,APAN,137,3,560,171,101,13,44,51,60,0,1,0,0,0,1001,22,1023,1813
5,13,HIDALGO,10,APAN,8,APAN,138,2,232,145,49,5,13,13,27,2,0,0,0,0,486,10,496,800
5,13,HIDALGO,10,APAN,8,APAN,139,1,102,179,30,3,6,9,11,3,0,0,0,0,343,18,361,572
5,13,HIDALGO,10,APAN,8,APAN,140,1,5,107,31,2,1,4,0,0,2,0,0,0,152,3,155,258
5,13,HIDALGO,10,APAN,8,APAN,141,1,51,93,14,3,2,12,2,0,0,0,0,0,177,6,183,290
5,13,HIDALGO,10,APAN,8,APAN,142,1,73,141,25,2,33,8,21,0,0,0,0,0,303,17,320,604
5,13,HIDALGO,10,APAN,8,APAN,143,3,407,302,131,9,41,26,43,1,0,0,0,0,960,22,982,1906
5,13,HIDALGO,10,APAN,8,APAN,144,1,111,86,115,2,11,15,13,0,0,0,0,1,353,8,362,653
5,13,HIDALGO,10,APAN,8,APAN,145,2,67,55,64,1,7,2,17,0,0,0,0,0,213,4,217,804
5,13,HIDALGO,10,APAN,8,APAN,146,3,216,327,129,4,27,8,33,0,0,0,0,0,744,18,762,1406
5,13,HIDALGO,10,APAN,8,APAN,147,2,152,209,69,8,23,25,58,1,0,0,0,0,545,27,572,1321
5,13,HIDALGO,10,APAN,8,APAN,148,2,176,107,63,0,19,15,25,91,0,0,0,2,496,24,522,1144
5,13,HIDALGO,10,APAN,8,APAN,149,1,41,53,28,0,9,11,7,7,1,0,0,0,157,2,159,308
5,13,HIDALGO,10,APAN,8,APAN,150,1,105,113,21,10,11,9,9,1,0,0,0,0,279,13,292,571
5,13,HIDALGO,10,APAN,8,APAN,151,1,164,131,28,2,7,19,76,1,1,1,1,1,431,11,443,739
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,152,3,532,349,106,14,14,21,126,3,0,1,0,0,1166,39,1205,1961
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,153,4,668,477,130,28,35,32,161,20,2,1,0,2,1554,52,1608,2731
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,154,3,278,180,232,6,20,13,63,3,0,1,0,0,796,12,808,1874
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,155,3,357,295,174,9,13,26,145,1,0,2,0,0,1022,34,1056,1641
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,156,3,292,289,76,8,15,22,74,0,0,0,0,0,776,23,799,1854
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,157,5,492,423,169,14,27,25,262,3,0,2,0,1,1417,32,1450,3284
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,158,4,623,522,102,9,12,22,99,3,0,0,1,1,1393,42,1436,2266
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,159,2,105,158,49,3,13,2,102,3,1,0,0,3,436,11,450,811
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,160,2,95,121,53,3,16,5,88,1,0,0,0,3,382,19,404,804
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,161,4,412,320,179,13,32,46,320,4,3,3,0,4,1332,33,1369,2365
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,162,3,297,865,297,5,13,36,40,4,4,3,0,0,1564,32,1596,2117
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,163,3,13,567,89,4,7,18,47,1,3,1,1,0,751,28,779,973
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,164,1,17,203,41,1,1,8,9,2,1,2,0,0,285,15,300,357
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,165,2,56,443,184,6,7,93,82,2,1,14,0,0,888,51,939,1205
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,166,2,52,269,190,8,10,59,29,1,0,0,0,1,618,32,651,912
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,167,1,10,179,98,1,3,12,22,0,0,0,0,0,325,33,358,496
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,168,1,44,194,78,0,1,6,24,2,1,0,0,0,350,30,380,499
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,169,2,22,434,98,3,5,18,175,1,0,1,0,0,757,39,796,1066
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,170,2,52,265,232,1,6,19,19,0,1,2,1,0,598,49,647,831
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,171,2,135,358,417,6,8,49,46,1,1,0,1,0,1022,48,1070,1346
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,172,1,16,184,105,2,1,6,13,1,0,1,0,0,329,9,338,458
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,173,1,3,168,112,1,4,6,13,0,0,1,0,0,308,12,320,429
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,174,1,15,225,173,2,3,33,18,0,0,0,0,0,469,12,481,632
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,175,1,31,292,150,4,6,8,15,0,0,0,0,0,506,30,536,656
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,176,2,16,177,110,7,8,45,19,0,1,0,0,1,383,33,417,985
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,177,2,8,391,284,2,6,14,36,1,2,0,0,0,744,47,791,953
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,178,3,556,352,170,19,35,48,43,13,0,0,0,0,1236,40,1276,2195
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,179,3,385,364,146,7,20,45,27,4,2,0,0,3,1000,16,1019,1573
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,180,2,372,287,136,12,45,52,28,5,0,1,0,0,938,21,959,1423
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,181,2,345,223,120,15,11,50,21,7,0,3,0,1,795,10,806,1193
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,182,1,15,20,116,1,2,3,0,0,0,0,0,0,157,3,160,195
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,183,1,56,79,15,7,1,11,2,0,2,0,0,0,173,0,173,350
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,184,1,119,122,41,6,4,16,4,3,0,1,0,0,316,10,326,593
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,185,1,19,31,18,4,2,9,3,0,1,0,0,0,87,4,91,173
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,186,1,37,109,115,2,9,12,5,0,1,1,1,0,292,8,300,496
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,187,2,82,232,233,3,11,38,16,7,1,0,0,0,623,24,647,990
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,188,1,22,117,122,10,13,10,3,2,2,1,0,0,302,13,315,535
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,189,1,22,66,28,4,8,14,2,3,1,1,1,0,150,5,155,451
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,190,1,30,112,44,2,8,23,3,0,0,1,0,0,223,11,234,409
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,191,2,66,198,142,8,8,13,10,3,3,0,0,1,451,11,463,801
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,192,1,98,63,32,15,4,10,8,1,1,0,0,0,232,16,248,501
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,193,2,85,192,48,8,12,25,10,8,1,1,1,0,391,17,408,895
