SECCION,Municipio,PAN,PRI,PRD,PC,PT,PVEM,PCM,PPS,PDM,NO REGISTRADOS,NULOS
202,CUERNAVACA,363,341,165,95,13,23,53,6,14,0,43
203,CUERNAVACA,142,162,85,41,5,16,22,1,1,0,29
204,CUERNAVACA,274,219,178,36,9,36,54,7,4,0,45
205,CUERNAVACA,291,267,210,40,14,24,53,6,1,1,37
206,CUERNAVACA,197,235,230,42,13,27,58,3,0,1,27
207,CUERNAVACA,194,237,139,78,7,31,33,6,2,3,29
208,CUERNAVACA,253,332,142,39,14,26,37,5,2,0,40
209,CUERNAVACA,133,80,92,2,8,19,12,5,0,0,23
210,CUERNAVACA,121,57,94,3,2,29,10,0,0,2,7
211,CUERNAVACA,143,141,131,9,2,36,34,4,3,0,18
212,CUERNAVACA,217,222,110,16,7,23,27,3,1,1,19
213,CUERNAVACA,226,250,112,52,12,29,33,1,7,0,18
214,CUERNAVACA,252,295,131,50,11,36,32,2,4,0,30
215,CUERNAVACA,162,233,62,23,8,25,14,0,2,0,12
216,CUERNAVACA,215,130,123,22,8,21,13,0,1,0,11
217,CUERNAVACA,156,83,79,13,5,20,26,1,1,0,8
218,CUERNAVACA,181,124,95,14,5,30,11,1,1,0,16
219,CUERNAVACA,215,191,201,7,8,25,21,3,2,0,26
220,CUERNAVACA,259,233,158,16,8,18,33,5,0,0,29
221,CUERNAVACA,107,211,125,14,8,20,26,4,2,0,18
222,CUERNAVACA,176,277,200,61,18,41,37,2,3,0,24
223,CUERNAVACA,141,213,106,31,16,25,58,4,1,0,16
224,CUERNAVACA,108,251,135,16,13,13,50,1,5,0,25
225,CUERNAVACA,151,191,132,16,12,23,44,2,3,0,13
226,CUERNAVACA,121,224,168,22,2,26,41,9,2,0,34
227,CUERNAVACA,211,260,192,20,9,33,46,0,2,0,22
228,CUERNAVACA,78,28,38,9,1,7,8,1,4,0,2
229,CUERNAVACA,111,130,83,9,6,23,15,11,2,0,12
230,CUERNAVACA,313,188,171,10,14,46,34,6,1,1,17
231,CUERNAVACA,200,167,104,7,13,31,26,4,1,1,11
232,CUERNAVACA,316,285,252,18,25,38,69,5,0,0,17
233,CUERNAVACA,213,125,107,7,11,32,33,1,1,0,18
234,CUERNAVACA,213,100,101,2,3,24,18,2,1,2,3
235,CUERNAVACA,32,253,12,6,4,15,4,3,0,0,12
236,CUERNAVACA,126,54,59,1,2,9,13,0,0,0,4
237,CUERNAVACA,204,129,122,7,3,13,27,3,0,0,16
238,CUERNAVACA,143,65,80,9,3,22,17,3,0,0,9
239,CUERNAVACA,244,255,227,10,8,36,39,3,0,0,32
240,CUERNAVACA,229,104,148,6,2,32,26,5,0,1,12
241,CUERNAVACA,203,200,144,35,16,32,57,4,3,0,19
242,CUERNAVACA,140,147,94,19,6,23,26,4,2,0,14
243,CUERNAVACA,121,96,78,6,2,21,11,0,0,0,9
244,CUERNAVACA,247,144,131,5,3,43,34,6,4,0,15
245,CUERNAVACA,170,95,104,6,3,25,37,3,1,1,10
246,CUERNAVACA,181,224,197,7,14,37,45,0,3,0,33
247,CUERNAVACA,280,174,123,9,8,28,49,4,0,1,21
248,CUERNAVACA,342,191,205,11,22,28,34,3,2,0,23
249,CUERNAVACA,166,94,65,4,2,33,28,1,0,0,3
250,CUERNAVACA,297,109,115,15,6,18,12,1,1,0,11
251,CUERNAVACA,161,67,101,7,1,19,13,1,0,0,11
252,CUERNAVACA,202,175,126,14,6,13,17,0,0,1,22
253,CUERNAVACA,129,237,159,16,8,26,45,1,5,1,18
254,CUERNAVACA,175,204,152,29,7,17,50,1,3,0,17
255,CUERNAVACA,228,362,203,34,10,28,41,4,0,0,40
256,CUERNAVACA,160,242,204,6,19,31,36,0,2,0,30
257,CUERNAVACA,383,299,211,17,19,34,55,10,1,0,33
258,CUERNAVACA,111,92,60,9,9,12,13,0,0,0,5
259,CUERNAVACA,110,82,43,3,13,10,10,0,1,0,5
260,CUERNAVACA,132,94,66,5,8,7,21,2,0,0,10
261,CUERNAVACA,105,76,62,1,5,17,10,1,0,0,2
262,CUERNAVACA,143,74,61,9,5,16,8,1,0,0,7
263,CUERNAVACA,191,85,64,3,2,12,14,2,0,0,9
264,CUERNAVACA,186,99,90,5,1,14,13,0,1,1,7
265,CUERNAVACA,153,49,87,2,3,12,15,1,1,0,10
266,CUERNAVACA,245,113,100,1,9,15,18,1,0,0,6
267,CUERNAVACA,353,255,228,16,19,42,79,2,4,1,26
268,CUERNAVACA,217,193,135,17,9,15,32,2,3,0,18
269,CUERNAVACA,241,248,117,11,7,36,41,4,1,0,11
270,CUERNAVACA,138,79,75,10,11,32,41,0,0,0,9
271,CUERNAVACA,190,156,126,10,14,25,32,1,0,0,8
272,CUERNAVACA,262,320,206,50,24,49,48,4,3,0,64
273,CUERNAVACA,157,149,141,23,5,13,30,8,4,0,24
274,CUERNAVACA,211,276,153,32,27,38,46,3,2,1,37
275,CUERNAVACA,203,154,133,13,15,24,67,5,1,0,18
276,CUERNAVACA,216,157,116,9,9,20,42,1,1,7,5
277,CUERNAVACA,165,98,65,8,12,17,21,2,1,0,10
278,CUERNAVACA,223,143,73,9,10,37,39,2,0,1,9
279,CUERNAVACA,259,186,146,9,22,27,32,6,1,0,16
280,CUERNAVACA,97,62,61,2,3,3,6,1,1,0,8
281,CUERNAVACA,195,91,96,5,6,16,20,2,0,0,8
282,CUERNAVACA,203,188,165,14,23,52,48,4,3,1,29
283,CUERNAVACA,173,210,162,14,12,11,38,1,1,0,18
284,CUERNAVACA,173,293,160,25,12,22,38,8,1,0,35
285,CUERNAVACA,116,199,100,17,12,21,29,4,2,0,16
286,CUERNAVACA,147,170,149,7,13,19,41,4,3,0,13
287,CUERNAVACA,138,149,122,5,12,13,38,4,0,0,21
288,CUERNAVACA,178,228,191,11,20,51,53,7,2,0,49
289,CUERNAVACA,111,64,91,6,7,23,17,1,1,0,2
290,CUERNAVACA,317,248,209,12,19,44,56,4,2,0,28
291,CUERNAVACA,151,81,66,8,3,24,10,0,0,0,9
292,CUERNAVACA,282,257,235,36,26,34,42,1,3,0,43
293,CUERNAVACA,138,93,79,2,3,18,15,0,1,0,11
294,CUERNAVACA,188,169,108,19,14,21,42,13,0,0,20
295,CUERNAVACA,152,143,81,10,12,15,38,2,0,0,12
296,CUERNAVACA,136,182,115,12,11,19,33,5,3,0,22
297,CUERNAVACA,175,182,81,39,9,14,41,5,1,0,23
298,CUERNAVACA,174,136,86,7,5,20,38,0,1,1,9
299,CUERNAVACA,87,65,61,2,2,13,20,2,0,0,6
300,CUERNAVACA,192,165,92,9,16,26,32,3,1,0,17
301,CUERNAVACA,221,164,98,13,18,18,40,1,1,5,13
302,CUERNAVACA,60,209,223,22,3,7,14,0,1,0,10
303,CUERNAVACA,357,347,230,29,12,31,69,5,4,0,21
304,CUERNAVACA,294,270,145,16,9,47,45,5,3,0,36
305,CUERNAVACA,187,185,151,9,14,19,25,3,0,0,31
306,CUERNAVACA,168,143,143,16,8,23,38,2,1,0,29
307,CUERNAVACA,154,171,68,12,8,23,30,1,0,0,10
308,CUERNAVACA,209,218,105,21,9,27,52,4,3,0,15
309,CUERNAVACA,282,357,200,41,10,67,51,6,3,1,54
310,CUERNAVACA,202,119,74,5,5,13,26,2,0,0,13
311,CUERNAVACA,198,173,149,19,4,19,54,27,2,0,36
312,CUERNAVACA,223,217,132,13,7,21,23,3,3,0,22
313,CUERNAVACA,122,100,62,13,5,8,18,0,0,0,7
314,CUERNAVACA,156,193,113,20,14,30,51,3,2,0,25
315,CUERNAVACA,139,208,69,13,10,12,35,3,1,0,17
316,CUERNAVACA,144,194,130,36,8,25,29,5,0,3,45
317,CUERNAVACA,249,321,235,88,18,42,49,6,3,2,34
318,CUERNAVACA,137,260,115,51,12,16,24,6,3,0,18
319,CUERNAVACA,98,76,59,2,1,7,22,3,1,0,5
320,CUERNAVACA,259,309,153,62,17,52,57,4,5,1,37
321,CUERNAVACA,151,134,168,19,8,15,16,3,3,0,32
322,CUERNAVACA,185,197,169,10,13,37,30,4,2,0,19
323,CUERNAVACA,96,81,65,14,4,13,23,0,0,0,12
324,CUERNAVACA,179,192,99,12,7,30,39,7,0,0,24
325,CUERNAVACA,86,67,29,4,3,9,8,1,0,0,9
326,CUERNAVACA,63,59,32,6,7,0,10,2,0,0,9
327,CUERNAVACA,226,198,127,21,5,27,33,6,7,0,17
328,CUERNAVACA,144,149,66,42,10,19,63,9,1,0,14
329,CUERNAVACA,168,100,55,4,5,13,20,0,0,0,9
330,CUERNAVACA,258,94,79,6,14,27,32,1,0,0,9
331,CUERNAVACA,165,124,104,5,11,15,28,0,1,0,17
332,CUERNAVACA,192,241,134,33,20,29,56,4,1,0,16
333,CUERNAVACA,272,262,188,26,8,36,60,4,4,1,29
334,CUERNAVACA,213,261,216,21,11,24,76,5,1,0,26
335,CUERNAVACA,225,205,186,15,18,26,71,5,2,0,35
336,CUERNAVACA,93,105,79,11,8,15,24,1,1,0,11
337,CUERNAVACA,167,120,145,10,10,9,27,1,1,0,17
338,CUERNAVACA,89,200,66,9,5,12,26,3,0,0,15
339,CUERNAVACA,109,204,107,12,18,13,36,1,0,0,11
340,CUERNAVACA,241,328,224,19,23,37,108,8,7,2,34
341,CUERNAVACA,129,101,62,2,3,13,9,2,1,0,8
342,CUERNAVACA,204,139,89,2,3,20,23,1,3,0,8
343,CUERNAVACA,200,111,113,12,8,11,29,3,1,0,9
344,CUERNAVACA,310,262,124,7,10,28,31,1,1,1,18
345,CUERNAVACA,151,108,37,6,4,9,25,1,0,1,11
346,CUERNAVACA,129,134,74,3,8,22,32,2,0,1,16
347,CUERNAVACA,76,82,52,2,5,10,20,7,0,0,8
348,CUERNAVACA,138,225,122,13,10,28,53,2,5,0,23
349,CUERNAVACA,170,205,170,33,14,19,29,3,0,0,35
350,CUERNAVACA,251,244,162,18,12,36,68,5,2,2,26
351,CUERNAVACA,83,90,112,7,2,10,14,3,1,2,10
352,CUERNAVACA,147,154,84,9,8,29,22,1,0,0,12
353,CUERNAVACA,143,157,73,6,13,23,30,1,0,0,13
354,CUERNAVACA,270,149,115,4,20,24,44,4,3,0,12
355,CUERNAVACA,240,198,150,24,12,26,39,3,1,0,12
356,CUERNAVACA,215,297,166,8,8,40,57,4,0,1,8
357,CUERNAVACA,170,122,100,5,5,26,25,1,1,0,14
358,CUERNAVACA,93,109,77,3,5,10,14,0,0,0,7
359,CUERNAVACA,171,167,126,17,8,13,38,2,1,0,19
360,CUERNAVACA,83,320,195,4,5,15,39,2,1,0,18
361,CUERNAVACA,252,173,119,14,9,23,21,3,1,1,21
362,CUERNAVACA,99,99,58,4,3,16,13,2,0,0,15
363,CUERNAVACA,153,117,54,5,6,20,17,3,1,0,7
364,CUERNAVACA,92,296,106,27,6,13,17,6,2,0,19
365,CUERNAVACA,87,327,119,17,4,7,18,2,1,0,38
366,CUERNAVACA,98,238,192,17,2,20,41,5,0,0,15
367,CUERNAVACA,121,241,216,21,12,36,28,6,1,0,45
368,CUERNAVACA,248,132,101,5,4,34,24,2,0,5,6
369,CUERNAVACA,254,205,120,15,19,26,34,3,1,2,9
370,CUERNAVACA,306,233,183,28,10,33,59,7,1,0,33
371,CUERNAVACA,208,139,119,12,10,11,51,1,4,0,17
372,CUERNAVACA,247,145,120,5,4,14,19,3,0,0,12
373,CUERNAVACA,100,201,198,30,7,16,22,7,2,0,25
374,CUERNAVACA,79,150,190,15,3,10,7,1,2,0,14
375,CUERNAVACA,359,346,153,22,23,32,67,7,1,0,37
376,CUERNAVACA,179,57,62,4,2,12,19,0,0,0,12
377,CUERNAVACA,165,91,102,6,7,17,29,2,0,0,9
378,CUERNAVACA,204,141,118,5,12,18,42,2,0,0,15
379,CUERNAVACA,163,149,126,11,5,26,24,1,1,0,18
380,CUERNAVACA,126,44,45,0,2,5,13,0,0,0,4
381,CUERNAVACA,121,73,66,2,5,11,15,11,0,0,5
382,CUERNAVACA,451,367,192,41,10,26,35,7,3,0,34
383,CUERNAVACA,213,169,107,6,8,18,23,48,4,1,13
384,CUERNAVACA,172,108,110,1,5,21,26,0,1,0,16
385,CUERNAVACA,307,320,191,17,20,31,29,7,1,0,39
386,CUERNAVACA,259,271,104,20,12,18,39,9,2,0,24
387,CUERNAVACA,67,211,150,13,11,8,5,3,0,0,18
388,CUERNAVACA,112,379,274,41,15,19,31,4,1,0,34
389,CUERNAVACA,33,196,32,6,5,6,1,3,0,0,16
390,CUERNAVACA,48,153,47,7,1,20,15,0,1,0,9
391,EMILIANO ZAPATA,95,164,189,7,2,7,6,0,0,0,11
392,EMILIANO ZAPATA,70,112,64,2,1,1,1,0,0,0,8
393,EMILIANO ZAPATA,151,101,81,1,0,1,10,2,0,0,19
394,EMILIANO ZAPATA,270,179,118,4,3,1,11,6,0,0,25
395,EMILIANO ZAPATA,116,167,135,5,5,5,8,3,1,0,22
396,EMILIANO ZAPATA,275,195,285,9,6,11,32,7,5,0,22
397,EMILIANO ZAPATA,324,112,158,2,2,2,11,3,2,0,10
398,EMILIANO ZAPATA,471,122,76,0,1,0,24,2,1,0,25
399,EMILIANO ZAPATA,441,149,94,0,3,1,11,2,0,0,33
400,EMILIANO ZAPATA,293,102,53,0,0,0,3,0,0,0,27
401,EMILIANO ZAPATA,324,105,79,4,4,1,18,0,2,0,17
402,EMILIANO ZAPATA,417,235,202,5,4,3,24,2,1,12,24
403,EMILIANO ZAPATA,215,106,50,0,2,1,3,1,0,0,22
404,EMILIANO ZAPATA,188,235,181,6,7,21,15,27,3,0,25
405,EMILIANO ZAPATA,97,144,106,3,2,8,8,6,1,0,15
406,EMILIANO ZAPATA,237,410,229,72,11,10,13,22,3,3,30
407,EMILIANO ZAPATA,122,268,190,9,3,7,19,9,1,1,8
408,EMILIANO ZAPATA,226,278,41,2,3,2,6,2,2,0,13
409,EMILIANO ZAPATA,155,484,87,4,3,3,0,0,0,0,7
410,EMILIANO ZAPATA,175,404,48,5,6,5,9,3,1,0,45
411,EMILIANO ZAPATA,169,358,67,7,4,9,9,2,1,1,12
412,HUITZILAC,19,137,141,18,0,3,311,6,0,0,29
413,HUITZILAC,26,180,162,28,1,7,153,4,9,0,35
414,HUITZILAC,14,96,173,40,3,8,179,2,0,0,22
415,HUITZILAC,1,52,15,6,0,0,2,0,0,0,1
416,HUITZILAC,50,279,89,18,7,2,172,6,1,0,15
417,HUITZILAC,25,378,109,22,1,3,297,8,1,1,33
418,HUITZILAC,29,218,81,9,3,9,96,7,1,0,14
419,HUITZILAC,31,246,104,45,9,16,212,6,2,0,51
420,HUITZILAC,40,59,35,4,2,7,47,2,2,0,9
421,HUITZILAC,66,63,35,6,2,5,33,3,0,0,7
422,HUITZILAC,78,60,36,2,0,14,44,1,0,0,8
423,Jantetelco,61,229,205,0,0,1,9,0,0,0,9
424,Jantetelco,13,338,117,0,1,1,13,1,0,0,8
425,Jantetelco,20,318,161,1,1,3,7,1,0,0,21
