ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,PRI_PVEM_NVA_ALIANZA_PD,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,37, MIER Y NORIEGA,11,13,1667,2193,11,10,190,,89,,,6,,,,,,,,,,,,,,,,4166,82,4248,5740,0.74
19,NUEVO LEON,38, MINA,7,11,84,1462,,,1403,,,,,,,,,,,,,,,,,,,462,,3411,71,3482,4473,0.778
19,NUEVO LEON,39, MONTEMORELOS,43,85,7067,12216,237,854,718,,3142,,,378,,339,,,,,,,1458,,,,,,,26409,850,27259,48142,0.566
19,NUEVO LEON,40, MONTERREY,736,1557,142832,,5452,109229,,42014,,,,8608,14326,18276,,,,,,,,,,,185868,,,526605,13081,539686,904720,0.597
19,NUEVO LEON,41, PARAS,3,4,920,537,,,,,,,,,,,,,,,,,,,,,,,,1457,8,1465,1785,0.821
19,NUEVO LEON,42, PESQUERIA,9,40,985,6475,242,,4920,163,87,,,62,,1102,,,,,,,,,,,,,,14036,333,14369,25840,0.571
19,NUEVO LEON,43, LOS RAMONES,12,13,928,1288,,,829,,,,,7,101,,,,,,,,,,,,,,,3153,69,3222,5221,0.617
19,NUEVO LEON,44, RAYONES,5,6,1411,1381,,,,,,,,,,,,,,,,,,,,,,,,2792,18,2810,3143,0.894
19,NUEVO LEON,45, SABINAS HIDALGO,25,48,9966,6329,,,849,,269,,,254,,,,,,,,,,,,,,158,,17825,247,18072,26724,0.676
19,NUEVO LEON,46, SALINAS VICTORIA,9,48,4769,5626,5926,,154,,164,66,,84,,,,,,,,,,,,,,,,16789,458,17247,29618,0.582
19,NUEVO LEON,47, SAN NICOLAS DE LOS GARZA,238,614,116956,38514,3337,3837,8398,23643,5155,563,,4828,5026,7258,,,,,,,,,,,,,,217515,4510,222025,360641,0.621
19,NUEVO LEON,48, SANTA CATARINA,87,301,52096,,1351,1383,,7444,,,,1340,1557,1121,,,,,,,,,13356,,27189,,,106837,2003,108840,194766,0.559
19,NUEVO LEON,49, SANTIAGO,25,60,5049,,,,,846,,,,113,533,,,,,,,,,,,1178,8348,4040,,20107,404,20511,34474,0.618
19,NUEVO LEON,50, VALLECILLO,7,6,33,725,,,11,,,,,,,,,,,,,,,,,,,789,,1558,25,1583,2111,0.75
19,NUEVO LEON,51, VILLALDAMA,6,7,1006,,,,,,,,,,,,,,,,,,,,,,822,1029,,2857,48,2905,3630,0.8
