ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PAN_PRD_MC,PRI,PRD,PT,PT_MORENA_ES,PVEM,MC,NA,MORENA,ES,VR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,399,,34069,23749,,,84119,4981,,6845,,,5101,,158864,123,4918,163905,247313,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D11.pdf
15,MEXICO,12,TEOLOYUCAN,103,398,,38754,30879,,,85164,8854,,5002,,,4043,,172696,75,5195,177966,260134,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D12.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA,162,465,,32871,46591,,,68288,11832,,10206,,,3634,,173422,56,7697,181175,260074,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D13.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,178,465,,41155,50459,,,56211,15436,,15827,,,2042,,181130,47,7260,188437,252956,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D14.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON,121,411,,27979,46403,,,75164,7116,,4450,,,3398,,164510,94,7625,172229,248081,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D15.pdf
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,108,401,,43391,22512,,,76002,16251,,3913,,,4244,,166313,165,5121,171599,261776,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D16.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,105,390,,73451,38209,,,53891,7304,,3083,,,3264,,179202,50,5539,184791,252171,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D17.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,215,504,,66969,34944,,,85158,6581,,3416,,,5885,,202953,130,5699,208782,292444,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D18.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC 2,87,402,,42244,29686,,,88602,4456,,6088,,,3965,,175041,141,4796,179978,266860,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D19.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,138,488,,38375,39879,,,84382,7159,,14520,,,6061,,190376,124,6580,197080,314021,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D20.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,137,399,,30264,26373,,,81696,8806,,3199,,,2400,,152738,88,4723,157549,245660,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D21.pdf
15,MEXICO,22,ECATEPEC DE MORELOS,159,386,,23005,28680,,,81675,4526,,3356,,,2245,,143487,72,4570,148129,227649,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D22.pdf
15,MEXICO,23,TEXCOCO DE MORA,110,447,,21431,37591,,,100347,15413,,5361,,,5350,,185493,88,6089,191670,287754,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL 3,214,480,,57710,24906,,,89148,4817,,2986,,,2334,,181901,111,5386,187398,278996,http://www.ieem.org.mx/proceso2018/actas/distrital/CD24_NEZAHUALCOYOTL_JI_31_2018.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,244,523,,67064,25440,,,87176,5415,,3115,,,2148,,190358,99,5659,196116,296172,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,172,447,,41230,30348,,,87336,5818,,4551,,,5706,,174989,127,5132,180248,265297,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,114,404,,37925,22037,,,88090,6808,,2189,,,2620,,159669,150,5880,165699,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,170,424,,23584,48793,,,80623,8039,,3735,,,6315,,171089,120,6114,177323,256458,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D28.pdf
15,MEXICO,29,NAUCALPAN DE JUAREZ 4,185,476,,86016,27485,,,61582,11132,,3109,,,3865,,193189,143,4872,198204,279938,http://www.ieem.org.mx/proceso2018/actas/distrital/CD29_NAUCALPAN_JI_13_2018.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,189,454,,41534,30220,,,77312,5235,,2949,,,2556,,159806,92,5240,165138,266941,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,113,409,,24369,45231,,,79377,5946,,2443,,,2353,,159719,79,5510,165308,260012,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,139,445,,45357,31027,,,80635,4459,,2721,,,3165,,167364,148,5652,173164,274625,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D32.pdf
15,MEXICO,33,TECAMAC DE FELIPE VILLANUEVA,157,504,,28438,63401,,,109174,3754,,6371,,,3210,,214348,183,5775,220306,322728,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D33.pdf
15,MEXICO,34,TOLUCA DE LERDO,152,447,,53732,42752,,,81704,5691,,3794,,,5559,,193232,107,6407,199746,273938,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D34.pdf
15,MEXICO,35,METEPEC,113,402,,44930,44658,,,80747,6936,,5154,,,4979,,187404,83,5208,192695,260542,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,91,384,,39211,36554,,,74168,7446,,3570,,,2863,5907,169719,689,5784,176192,253276,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ 5,113,394,,24412,28097,,,85980,4646,,3316,,,4514,,150965,68,5408,156441,254006,http://www.ieem.org.mx/proceso2018/actas/distrital/CD37_TLALNEPANTLA_JDCL_452_2018.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,134,424,,38710,28788,,4156,,6017,,4842,85385,4327,5474,,177699,157,6795,184651,268588,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D38.pdf
15,MEXICO,39,ACOLMAN DE NEZAHUALCOYOTL,146,444,,33348,49702,,,90345,7394,,3846,,,6195,,190830,133,5608,196571,272235,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D39.pdf
15,MEXICO,40,IXTAPALUCA 6,159,430,,21471,52621,,,79930,3533,,1985,,,3158,,162698,92,5300,168090,258523,http://www.ieem.org.mx/proceso2018/actas/distrital/CD40_IXTAPALUCA_JI_32_2018.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,222,508,,64214,25182,,,82499,4914,,2763,,,1848,,181420,82,5634,187136,290097,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,159,378,,21775,32621,,,78814,4735,,3004,,,2183,,143132,89,4234,147455,218333,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,172,432,,50331,24305,,,84534,7503,,5767,,,5913,,178353,116,4713,183182,261609,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D43.pdf
15,MEXICO,44,NICOLAS ROMERO,100,430,,45580,32920,,,87491,5679,,4998,,,4016,,180684,171,5607,186462,284282,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D44.pdf
15,MEXICO,45,ALMOLOYA DE JUAREZ,107,381,,30473,31484,,,69924,8233,,9374,,,4399,,153887,28,6718,160633,236180,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D45.pdf
