id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PVEM,PC,PRD-PT-PRS,No Registrado,Nulos,Total
18,3/7/2005,12,Ayuntamientos,18,0,106,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,106,14,158,3,3,158,0,21,357
18,3/7/2005,12,Ayuntamientos,18,0,107,1,E,Extraordinaria,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,107,37,92,0,8,97,0,5,239
18,3/7/2005,12,Ayuntamientos,18,0,107,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,107,10,202,5,2,299,0,16,534
18,3/7/2005,12,Ayuntamientos,18,0,108,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,108,18,262,6,0,253,0,20,559
18,3/7/2005,12,Ayuntamientos,18,0,109,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,109,8,162,3,1,134,0,6,314
18,3/7/2005,12,Ayuntamientos,18,0,110,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,110,11,147,1,1,121,0,7,288
18,3/7/2005,12,Ayuntamientos,18,0,110,1,E,Extraordinaria,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,110,5,140,7,1,69,0,8,230
18,3/7/2005,12,Ayuntamientos,18,0,111,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,111,17,179,2,3,171,0,16,388
18,3/7/2005,12,Ayuntamientos,18,0,111,2,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,111,28,143,2,4,153,0,15,345
18,3/7/2005,12,Ayuntamientos,18,0,111,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,111,24,137,6,1,193,0,7,368
18,3/7/2005,12,Ayuntamientos,18,0,112,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,112,31,138,3,3,128,0,7,310
18,3/7/2005,12,Ayuntamientos,18,0,112,2,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,112,23,135,1,0,126,4,7,296
18,3/7/2005,12,Ayuntamientos,18,0,112,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,112,23,130,6,2,134,0,15,310
18,3/7/2005,12,Ayuntamientos,18,0,113,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,113,39,224,4,3,207,0,7,484
18,3/7/2005,12,Ayuntamientos,18,0,114,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,114,23,147,26,2,169,0,10,377
18,3/7/2005,12,Ayuntamientos,18,0,114,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,114,24,146,34,4,195,0,4,407
18,3/7/2005,12,Ayuntamientos,18,0,115,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,115,11,216,1,2,135,0,15,380
18,3/7/2005,12,Ayuntamientos,18,0,115,2,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,115,15,203,2,3,161,0,0,384
