CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,130,B,114,,124,22,10,,1,9,4,4,3,,,,,,,0,291,6,297,634,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0130B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,130,C01,113,,121,12,4,,2,5,5,8,6,,,,,,,0,276,14,290,634,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0130C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,130,C02,108,,128,21,4,,2,4,9,3,3,,,,,,,0,282,14,296,634,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0130C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,130,C03,121,,115,16,4,,0,6,12,7,3,,,,,,,0,284,7,291,633,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0130C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,130,C04,116,,130,14,5,,0,3,4,3,4,,,,,,,0,279,6,285,633,Acta casilla,,,
1,10,DURANGO,1,DURANGO,5,DURANGO,130,C05,116,,125,30,5,,1,8,8,6,1,,,,,,,0,300,8,308,633,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0130C5.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,131,B,150,,123,26,10,,2,4,8,3,10,,,,,,,0,336,0,336,617,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0131B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,131,C01,133,,108,17,7,,3,4,11,3,3,,,,,,,0,289,13,302,616,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0131C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,131,C02,149,,127,20,1,,2,4,8,3,0,,,,,,,6,314,6,326,616,Grupo de Recuento,,,
1,10,DURANGO,1,DURANGO,5,DURANGO,132,B,182,,122,31,8,,2,3,9,3,5,,,,,,,0,365,16,381,672,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0132B.pdf
