CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,350,C02,132,135,8,5,3,21,2,1,0,1,0,6,0,0,0,0,0,0,0,314,5,319,715,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,351,B,70,126,3,9,3,9,2,2,0,3,1,7,0,0,0,0,0,0,0,235,7,242,579,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,351,C01,85,97,6,8,2,9,4,6,0,2,3,2,0,0,0,0,0,0,0,224,7,231,579,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,351,C02,82,110,8,8,0,15,5,3,0,1,0,9,0,0,0,0,0,0,0,241,2,243,578,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,351,C03,83,111,4,4,2,10,1,8,0,1,8,0,0,0,0,0,0,0,0,232,9,241,578,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,353,B,96,95,1,7,1,6,5,9,0,1,0,6,0,0,0,0,0,0,0,227,9,236,533,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,353,C01,79,121,3,8,2,9,4,7,0,1,4,4,0,0,0,0,0,0,0,242,6,248,532,Grupo de Recuento,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,354,B,142,96,4,3,1,9,1,3,0,5,2,1,1,0,0,0,0,0,0,268,5,273,610,Grupo de Recuento,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,354,C01,160,121,1,5,1,7,1,3,0,1,0,11,0,0,0,0,0,0,0,311,3,314,610,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,355,B,172,122,3,4,4,15,6,10,0,6,0,4,0,0,0,0,0,0,0,346,8,354,637,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,355,C01,164,131,2,7,2,11,2,4,0,4,1,6,0,0,0,0,0,0,0,334,6,340,637,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,356,B,106,140,2,1,2,10,4,4,0,1,2,4,1,0,0,0,0,0,0,277,9,286,597,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,356,C01,113,145,0,2,1,15,4,9,0,8,0,2,0,0,0,0,0,0,0,299,7,306,596,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,357,B,116,113,3,0,2,6,0,6,0,2,2,5,0,0,0,0,0,0,0,255,4,259,557,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,357,C01,118,118,2,3,3,9,3,6,0,1,3,8,1,0,0,0,0,0,0,275,3,278,557,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,357,C02,119,102,1,4,1,7,6,7,0,2,0,8,0,0,0,0,0,0,1,257,10,268,556,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,358,B,88,103,3,3,1,10,2,6,0,2,1,18,0,0,0,0,0,0,0,237,7,244,514,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,358,C01,100,104,0,3,3,11,3,8,0,4,2,5,0,0,0,0,0,0,0,243,1,244,514,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,358,C02,90,101,2,6,3,5,2,2,0,3,0,5,0,0,0,0,0,0,0,219,8,227,513,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,B,132,198,5,7,2,59,1,12,0,4,0,4,0,0,0,0,0,0,1,424,4,429,711,Acta casilla,,,
