CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,14,B,1,0,B,39,67,0,3,8,6,1,10,105,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,246,0,0,246,407,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,15,B,1,0,B,28,40,4,2,8,3,2,11,97,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,,,,,209,0,6,215,338,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,16,B,1,0,B,34,40,0,4,8,0,3,4,94,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,,,,,197,0,5,202,310,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,17,B,1,0,B,27,17,1,0,5,4,2,8,96,0,2,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,3,,,,,173,0,7,180,271,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,18,B,1,0,B,20,32,4,3,4,4,5,4,75,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,160,0,7,167,282,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,19,B,1,0,B,187,62,3,2,3,1,3,9,73,0,6,2,2,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,1,,,,,363,0,11,374,543,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,20,B,1,0,B,191,75,4,1,4,3,3,5,57,1,4,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,,,,,355,0,7,362,505,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,21,B,1,0,B,167,36,1,0,0,4,1,9,46,0,2,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,,,,,276,0,4,280,392,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,22,B,1,0,B,140,63,8,4,4,4,0,20,176,2,10,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,4,2,0,2,,,,,445,0,3,448,659,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,23,B,1,0,B,128,55,4,3,4,9,1,18,156,3,14,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,,,,,405,0,6,411,566,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,24,B,1,0,B,76,50,2,4,4,2,3,3,68,1,7,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,1,,,,,229,0,9,238,364,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,25,B,1,0,B,76,41,2,6,9,9,4,13,152,5,3,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,7,1,0,2,,,,,335,0,7,342,546,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,26,B,1,0,B,114,64,5,3,7,12,10,19,227,0,6,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,,,,,481,1,4,486,716,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,27,B,1,0,B,65,35,1,1,3,2,1,4,83,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,,,,,203,0,8,211,302,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,28,B,1,0,B,234,72,2,3,0,5,3,4,27,3,6,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,,,,,368,0,2,370,474,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,29,B,1,0,B,92,40,5,0,4,3,3,6,37,1,2,0,1,0,1,1,2,1,2,0,0,0,1,1,0,0,0,1,0,0,,,,,204,1,4,209,317,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,30,B,1,0,B,68,36,3,0,8,4,1,10,87,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,,,,,226,0,2,228,323,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,31,B,1,0,B,53,23,1,1,4,1,2,2,48,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0,,,,,148,0,3,151,205,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,32,B,1,0,B,61,45,9,9,8,4,8,12,130,6,11,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,,,,,311,0,11,322,478,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,33,B,1,0,B,51,32,10,0,13,10,3,8,165,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,2,,,,,315,0,11,326,505,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,34,B,1,0,B,33,25,3,1,2,3,3,5,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,,,,,144,0,4,148,210,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,35,B,1,0,B,96,72,8,3,4,4,3,22,235,9,6,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,5,1,0,0,,,,,473,0,7,480,737,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,36,B,1,0,B,68,36,3,0,8,4,1,10,87,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,,,,,226,0,2,228,225,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,37,B,1,0,B,25,36,0,0,1,4,1,2,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,,,,,130,0,3,133,212,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,38,B,1,0,B,13,24,0,3,5,3,2,5,55,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,,,,,120,2,4,126,175,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,39,B,1,0,B,74,42,6,6,9,4,7,18,198,5,6,3,1,0,0,0,2,0,0,0,0,0,1,1,0,0,8,0,0,1,,,,,392,0,16,408,696,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,40,B,1,0,B,16,30,4,2,0,0,2,4,73,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,,,,,145,0,9,154,222,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,41,B,1,0,B,44,41,3,5,13,6,3,10,106,3,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1,1,1,,,,,253,0,8,261,409,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,42,B,1,0,B,66,38,1,5,6,5,5,7,122,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,,,,264,0,6,270,441,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,43,B,1,0,B,47,36,7,1,12,5,4,13,130,5,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,5,3,0,0,,,,,275,0,9,284,454,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,44,B,1,0,B,44,30,2,2,7,6,3,9,102,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,1,,,,,217,0,1,218,332,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,45,B,1,0,B,33,38,7,2,15,4,4,7,124,2,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,4,0,2,,,,,250,0,16,266,432,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,46,B,1,0,B,29,54,5,5,7,2,3,8,135,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,,,259,0,13,272,402,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,47,B,1,0,B,42,33,7,3,5,2,2,6,133,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,,,,,247,0,5,252,395,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,48,B,1,0,B,81,58,4,8,2,6,3,9,147,2,6,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,,,,,336,0,8,344,507,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,50,B,1,0,B,45,27,2,0,1,2,1,1,48,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,,,,,137,0,1,138,210,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,51,B,1,0,B,51,28,2,0,2,3,2,4,38,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,135,0,3,138,215,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,52,B,1,0,B,79,49,2,6,6,4,1,11,91,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,,,,,260,0,3,263,387,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,53,B,1,0,B,55,28,1,4,1,3,4,66,1,4,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,5,0,0,3,,,,,181,0,4,185,302,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,54,B,1,0,B,64,26,3,0,1,2,0,6,46,4,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,,,,,164,0,3,167,271,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,55,B,1,0,B,59,45,5,4,8,7,3,13,179,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,330,0,0,330,495,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,56,B,1,0,B,27,22,1,0,2,1,2,5,85,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,,,,,155,0,6,161,241,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,57,B,1,0,B,36,43,3,0,6,2,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,1,0,0,,,,,165,0,7,172,268,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,58,B,1,0,B,30,22,2,2,0,1,2,1,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,,,,,160,0,4,164,250,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,59,B,1,0,B,19,12,1,1,4,4,7,6,79,4,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,142,0,2,144,222,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,60,B,1,0,B,22,22,4,3,3,3,5,8,58,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,138,0,5,143,217,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,61,B,1,0,B,43,59,4,4,5,5,0,29,121,2,4,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,7,2,0,1,,,,,291,0,2,293,452,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,62,B,1,0,B,32,32,2,3,4,1,5,3,56,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,,,,,147,0,3,150,239,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,63,B,1,0,B,78,61,17,5,6,6,3,12,194,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,396,0,16,412,641,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,64,B,1,0,B,36,34,2,1,2,4,3,7,74,2,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,7,0,0,0,,,,,181,1,4,186,270,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,65,B,1,0,B,35,20,3,1,3,3,0,8,91,2,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,,,,,175,0,5,180,317,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,66,B,1,0,B,29,34,0,4,7,2,2,5,78,2,4,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,1,,,,,174,0,3,177,248,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,67,B,1,0,B,44,35,1,2,6,4,2,11,84,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,,,,,202,0,3,205,302,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,68,B,1,0,B,22,30,3,7,5,4,3,9,93,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,185,0,4,189,291,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,69,B,1,0,B,40,101,9,2,9,7,4,20,199,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,,,,,416,0,8,424,722,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,70,B,1,0,B,28,38,2,14,5,7,3,0,77,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,2,,,,,185,1,3,189,265,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,71,B,1,0,B,15,17,2,3,1,1,0,3,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,91,0,1,92,147,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,72,B,1,0,B,32,37,1,3,3,2,3,5,72,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,,,,,169,0,1,170,254,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,73,B,1,0,B,35,37,0,2,2,2,2,4,51,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,,,,,144,0,4,148,215,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,74,B,1,0,B,21,18,2,2,3,6,2,2,76,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,,,143,0,3,146,233,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,75,B,1,0,B,37,34,1,3,1,1,1,4,95,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,,,,,184,0,7,191,283,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,76,B,1,0,B,21,24,3,0,0,2,1,2,55,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,115,1,6,122,179,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,77,B,1,0,B,31,34,3,1,1,3,3,3,80,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,168,0,3,171,248,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,78,B,1,0,B,19,32,4,3,3,1,4,5,52,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,,,,,132,0,3,135,242,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,79,B,1,0,B,39,30,5,2,8,3,6,9,100,5,4,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,,,,,222,0,3,225,356,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,80,B,1,0,B,61,55,7,4,12,8,6,10,234,8,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,1,0,2,,,,,421,0,10,431,672,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,81,B,1,0,B,40,46,3,2,6,3,2,17,152,1,4,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,3,4,0,4,,,,,294,0,7,301,564,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,82,B,1,0,B,81,54,2,2,4,1,3,8,129,2,7,3,4,0,0,0,1,0,0,0,0,0,3,5,0,0,2,0,0,0,,,,,311,0,3,314,468,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,83,B,1,0,B,33,66,3,6,8,4,0,11,106,2,2,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,3,,,,,250,0,13,263,511,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,84,B,1,0,B,38,70,6,9,13,3,7,6,120,7,4,1,1,0,0,1,0,0,0,0,0,0,2,4,1,0,4,0,0,1,,,,,298,0,20,318,594,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,85,B,1,0,B,39,21,5,3,11,6,1,7,0,0,3,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,1,96,1,0,,,,,200,0,6,206,347,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,86,B,1,0,B,33,28,2,4,4,5,1,10,153,3,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,,,,,256,1,4,261,454,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,87,B,1,0,B,45,39,7,3,9,5,9,14,178,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2,,,,,323,0,3,326,577,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,88,B,1,0,B,40,36,3,4,17,6,11,12,199,4,2,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,7,4,1,0,,,,,351,0,9,360,632,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,89,B,1,0,B,45,30,2,4,13,8,6,13,136,8,1,1,0,0,0,0,1,0,0,1,0,0,4,1,0,0,2,2,0,1,,,,,279,0,9,288,518,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,90,B,1,0,B,50,37,2,3,19,4,0,13,168,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,,318,0,11,329,539,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,91,B,1,0,B,59,1,5,2,14,9,5,11,159,11,6,0,0,0,1,0,2,0,0,0,0,1,3,4,2,0,7,4,1,2,,,,,309,0,16,325,615,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,92,B,1,0,B,27,27,5,1,8,4,1,7,94,4,3,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,3,3,0,0,,,,,194,0,7,201,350,ACTA CASILLA,,,,
1,25,SINALOA,5,LOS MOCHIS,1,AHOME,93,B,1,0,B,42,31,4,5,10,7,1,11,107,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,0,0,,,,,232,0,10,242,385,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,94,B,1,0,B,20,14,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,82,0,1,83,143,GRUPO DE RECUENTO,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,95,B,1,0,B,35,57,3,6,14,5,2,16,152,12,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,15,1,0,2,,,,,331,0,10,341,620,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,96,B,1,0,B,33,50,4,8,8,4,6,17,143,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,,,,,294,1,6,301,492,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,97,B,1,0,B,52,70,3,8,6,2,0,23,224,7,6,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,0,3,,,,,412,0,6,418,642,GRUPO DE RECUENTO,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,98,B,1,0,B,46,57,1,6,5,3,11,13,246,10,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,,,,,410,0,10,420,599,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,99,B,1,0,B,33,72,4,2,8,6,8,8,237,5,11,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,398,0,4,402,639,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,100,B,1,0,B,47,42,5,6,3,4,6,12,187,12,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,,,,331,0,0,331,501,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,101,B,1,0,B,56,41,3,4,6,4,4,20,186,6,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,,,,,348,0,6,354,528,ACTA CASILLA,,,,
1,25,SINALOA,4,LOS MOCHIS,1,AHOME,102,B,1,0,B,34,41,4,4,13,10,9,24,253,9,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,,,,,424,0,8,432,739,ACTA CASILLA,,,,
