CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,329,C01,201,152,3,2,10,4,2,9,2,2,8,0,395,4,399,680,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,329,C02,183,154,3,3,9,8,1,5,2,2,2,0,372,11,383,680,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,330,B,50,46,3,1,1,1,0,0,0,0,0,0,102,2,104,157,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,331,B,39,80,0,0,3,2,1,1,0,0,3,0,129,6,135,188,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,332,B,83,95,2,1,8,3,3,6,1,0,4,0,206,4,210,314,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,333,B,60,103,1,0,1,2,0,0,3,1,6,0,177,4,181,257,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,334,B,106,142,5,3,5,5,2,4,1,1,7,0,281,12,293,637,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,334,C01,136,157,4,3,4,3,6,1,4,2,6,0,326,9,335,637,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,334,C02,113,169,3,1,6,4,4,0,5,1,6,0,312,5,317,637,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,335,B,110,125,6,0,7,6,2,3,1,0,4,0,264,7,271,541,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,335,C01,107,124,3,5,5,1,1,2,1,0,2,0,251,9,260,541,Acta Casilla,,,
