CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2082,1,COLIMA,69,5,804,328,36,162,51,118,43,47,35,0,0,0,1624,64,1688,3205
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2083,1,COLIMA,70,2,279,197,15,57,9,84,27,21,25,0,0,1,714,45,760,1125
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2084,1,COLIMA,71,2,236,141,18,47,13,36,18,23,5,0,0,0,537,12,549,1013
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2085,1,COLIMA,72,2,179,126,15,24,10,24,17,13,11,0,0,0,419,13,432,828
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2086,1,COLIMA,73,5,689,509,51,61,91,135,56,57,25,24,5,0,1703,32,1735,3002
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2087,1,COLIMA,74,3,330,285,48,59,52,103,26,26,10,17,7,1,963,40,1004,1794
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2088,1,COLIMA,75,2,249,180,22,31,43,52,21,6,12,9,3,1,628,17,646,1278
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2089,1,COLIMA,76,2,261,266,19,38,44,50,23,12,6,5,7,2,731,22,755,1420
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2090,1,COLIMA,77,2,249,190,23,35,11,61,30,23,8,0,0,0,630,15,645,964
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2091,1,COLIMA,78,1,36,31,4,5,1,7,6,6,1,0,0,0,97,4,101,132
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2092,1,COLIMA,79,3,278,371,28,84,24,90,74,18,5,8,0,0,980,26,1006,1544
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2093,1,COLIMA,80,1,135,146,10,31,14,48,23,14,5,3,0,1,429,17,447,699
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2094,1,COLIMA,81,3,399,475,23,42,64,78,25,22,9,16,6,3,1159,35,1197,2103
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2095,1,COLIMA,82,4,473,345,48,125,80,73,18,15,14,0,0,1,1191,75,1267,2178
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2096,1,COLIMA,83,3,107,139,6,34,7,23,10,5,1,0,0,0,332,14,346,536
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2097,1,COLIMA,84,3,294,443,11,84,6,76,24,10,3,0,0,0,951,39,990,1335
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2098,1,COLIMA,85,5,210,277,6,147,4,14,14,2,3,0,0,1,677,46,724,1054
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2099,1,COLIMA,86,1,190,68,10,14,3,3,19,3,3,0,0,0,313,18,331,539
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2100,1,COLIMA,87,3,292,198,9,33,8,7,15,2,2,0,0,1,566,25,592,878
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2101,1,COLIMA,88,2,94,156,3,88,0,4,72,2,3,0,0,0,422,26,448,932
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2102,1,COLIMA,89,2,91,149,4,68,4,2,65,6,2,0,0,0,391,18,409,803
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2103,1,COLIMA,90,2,78,193,5,54,4,3,10,1,2,0,0,0,350,22,372,512
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2104,1,COLIMA,91,2,151,173,3,41,1,5,3,0,2,0,0,0,379,13,392,572
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2105,2,COMALA,92,3,602,581,37,20,21,40,90,11,4,15,0,1,1421,32,1454,2041
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2106,2,COMALA,93,3,380,440,17,17,26,25,35,12,4,11,0,0,967,25,992,1378
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2107,2,COMALA,94,2,372,434,24,11,36,31,32,8,3,19,0,0,970,23,993,1484
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2108,2,COMALA,95,3,474,492,20,23,23,40,45,11,10,8,0,0,1146,25,1171,1715
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2109,2,COMALA,96,3,346,412,8,9,26,37,25,18,6,7,0,0,894,32,926,1270
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2110,2,COMALA,97,1,101,57,3,4,4,1,4,3,0,3,0,0,180,11,191,255
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2111,2,COMALA,98,1,33,34,2,0,2,0,0,0,0,0,0,0,71,2,73,100
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2112,2,COMALA,99,2,153,248,11,1,7,0,3,1,1,2,0,0,427,8,435,603
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2113,2,COMALA,100,3,425,482,19,17,37,11,15,5,5,15,0,0,1031,31,1062,1507
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2114,2,COMALA,101,4,587,570,17,4,8,7,8,25,5,0,0,0,1231,29,1260,1572
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2115,2,COMALA,102,1,139,196,16,4,14,6,8,0,1,6,0,0,390,15,405,609
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2116,2,COMALA,103,3,478,620,21,25,46,21,20,15,3,11,0,0,1260,38,1298,1667
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2117,2,COMALA,104,3,530,562,52,17,33,8,25,16,5,16,0,0,1264,20,1284,1749
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2118,3,COQUIMATLAN,105,4,520,603,13,14,49,69,8,19,23,6,7,0,1331,38,1369,2076
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2119,3,COQUIMATLAN,106,3,599,486,6,4,57,28,5,1,10,2,5,1,1203,24,1228,1807
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2120,3,COQUIMATLAN,107,3,546,442,8,2,27,25,5,6,5,2,8,1,1076,23,1100,1563
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2121,3,COQUIMATLAN,108,2,443,357,4,2,15,43,7,3,9,2,5,0,890,17,907,1324
