CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,ID_JUNTA,JUNTA,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,250,3,777,421,4,0,4,4,2,12,0,1,16,,1241,29,1270,1827
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,11,HOOL,334,1,3,24,0,0,0,1,1,0,0,1,4,,34,1,35,74
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,11,HOOL,329,2,57,345,63,8,3,2,28,8,2,1,20,,537,33,570,796
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,11,HOOL,331,4,798,583,29,14,9,3,17,42,1,1,53,,1550,42,1592,2725
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,332,1,30,132,20,9,3,11,15,63,1,9,4,,297,13,310,505
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,326,1,47,224,82,4,11,29,29,53,2,29,0,,510,21,531,729
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,324,2,33,167,85,3,11,37,47,195,7,111,10,,706,30,736,1096
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,323,2,42,185,54,4,23,50,64,194,4,61,7,,688,24,712,1015
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,325,2,47,204,116,5,21,25,31,168,4,221,15,,857,41,898,1316
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,322,2,51,209,96,3,22,24,57,141,5,68,8,,684,30,714,1073
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,321,2,55,169,62,2,45,33,18,139,0,23,3,,549,22,571,784
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,333,2,113,214,142,21,8,46,15,62,7,3,12,,643,27,670,1076
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,328,2,146,333,63,2,15,49,103,156,2,16,22,,907,33,940,1290
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,320,3,142,271,292,4,42,40,36,145,0,87,11,,1070,36,1106,1599
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,12,SEYBAPLAYA,327,3,183,532,48,20,9,74,118,173,2,7,34,,1200,39,1239,1576
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,13,SIHOCHAC,331,2,28,446,60,8,1,152,9,265,4,0,15,,988,21,1009,1072
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,13,SIHOCHAC,330,2,32,402,31,19,0,32,7,230,7,2,27,,789,21,810,1063
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,13,SIHOCHAC,334,2,77,219,12,7,6,36,22,132,3,0,7,,521,15,536,766
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,530,1,87,67,4,1,1,1,0,1,1,0,6,,169,11,180,236
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,347,1,111,160,60,2,5,5,11,29,1,0,8,,392,27,419,614
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,348,1,112,197,15,7,6,11,10,22,1,2,16,,399,37,436,690
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,352,1,181,116,32,2,5,7,5,10,1,0,2,,361,10,371,582
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,354,1,222,143,27,3,6,7,6,25,0,1,4,,444,19,463,663
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,343,2,250,293,9,3,8,6,13,35,0,0,22,,639,25,664,940
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,14,CARRILLO PUERTO,342,2,348,310,7,3,5,3,16,52,2,0,27,,773,28,801,1098
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,374,1,105,85,1,0,0,3,3,2,1,61,4,,265,14,279,307
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,377,2,313,252,7,8,3,1,3,48,3,203,12,,853,25,878,1072
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,376,2,361,288,3,20,2,1,4,54,5,348,12,,1098,14,1112,1366
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,379,2,378,230,4,8,0,6,15,12,2,229,17,,901,24,925,1124
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,378,2,447,305,2,6,0,11,6,36,1,198,10,,1022,25,1047,1299
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,15,POMUCH,375,2,507,280,8,19,0,9,4,29,1,292,12,,1161,27,1188,1417
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,16,BOLONCHEN DE REJON,386,1,114,118,0,0,0,0,0,1,0,0,3,,236,18,254,364
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,16,BOLONCHEN DE REJON,385,1,119,157,5,0,0,0,2,9,0,0,1,,293,4,297,313
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,16,BOLONCHEN DE REJON,387,1,124,84,2,0,0,0,0,16,0,0,0,,226,2,228,239
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,16,BOLONCHEN DE REJON,389,2,309,297,3,2,0,4,6,68,0,0,6,,695,24,719,1033
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,16,BOLONCHEN DE REJON,388,3,602,563,41,10,0,17,48,258,0,0,33,,1572,47,1619,2186
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,405,1,36,76,0,1,0,0,2,0,1,0,3,,119,3,122,607
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,402,1,42,90,1,0,11,2,1,0,1,0,0,,148,6,154,688
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,411,1,63,56,0,1,3,0,43,0,0,0,0,,166,1,167,170
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,408,1,114,191,1,0,10,3,24,2,0,0,5,,350,7,357,405
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,406,1,120,102,12,1,20,1,29,2,0,0,3,,290,11,301,459
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,413,1,123,93,0,0,0,0,2,1,0,0,0,,219,8,227,255
3,4,CAMPECHE,21,XPUJIL,6,HOPELCHEN,17,DZIBALCHEN,413,1,131,106,0,2,0,5,1,1,0,0,1,,247,5,252,267
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,412,1,133,125,0,0,0,0,15,2,0,0,1,,276,6,282,302
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,409,1,287,273,2,0,5,2,32,5,1,0,10,,617,12,629,724
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,404,2,211,258,1,3,24,5,31,6,0,0,15,,554,15,569,770
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,403,2,269,332,0,3,56,13,59,4,0,0,9,,745,20,765,1227
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,407,2,325,243,2,1,16,1,22,3,0,0,3,,616,12,628,779
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,401,2,434,489,2,4,1,2,8,9,0,0,17,,966,14,980,1098
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,400,2,484,468,0,2,2,0,8,10,0,0,28,,1002,9,1011,1136
3,4,CAMPECHE,18,HOPELCHEN,6,HOPELCHEN,17,DZIBALCHEN,410,2,601,475,5,3,7,6,106,5,0,0,1,,1209,21,1230,1328
3,4,CAMPECHE,7,TENABO,8,TENABO,18,TINUN,443,1,32,28,1,1,0,0,0,3,0,0,1,,66,2,68,97
3,4,CAMPECHE,7,TENABO,8,TENABO,18,TINUN,447,1,156,177,0,0,0,0,3,15,0,0,0,,351,3,354,380
3,4,CAMPECHE,7,TENABO,8,TENABO,18,TINUN,445,2,276,333,18,2,4,0,65,4,0,0,23,,725,21,746,886
3,4,CAMPECHE,21,XPUJIL,9,ESCARCEGA,19,CENTENARIO,357,1,41,262,84,7,0,4,0,0,0,0,17,,415,13,428,611
3,4,CAMPECHE,21,XPUJIL,9,ESCARCEGA,19,CENTENARIO,358,1,43,96,66,2,4,3,1,10,0,0,3,,228,2,230,320
3,4,CAMPECHE,21,XPUJIL,9,ESCARCEGA,19,CENTENARIO,361,2,127,377,194,7,4,2,15,1,1,0,38,,766,34,800,1365
3,4,CAMPECHE,21,XPUJIL,9,ESCARCEGA,19,CENTENARIO,356,3,290,476,372,2,4,5,4,5,0,0,8,,1166,43,1209,1739
3,4,CAMPECHE,21,XPUJIL,11,CALAKMUL,20,CONSTITUCION,417,1,99,122,2,2,0,2,14,3,0,0,15,,259,8,267,341
3,4,CAMPECHE,21,XPUJIL,11,CALAKMUL,20,CONSTITUCION,362,2,170,299,9,3,7,7,11,32,0,2,3,,543,17,560,826
3,4,CAMPECHE,21,XPUJIL,11,CALAKMUL,20,CONSTITUCION,359,2,266,348,21,2,1,1,22,4,0,2,16,,683,10,693,852
3,4,CAMPECHE,21,XPUJIL,11,CALAKMUL,20,CONSTITUCION,360,2,415,301,28,1,0,3,36,12,0,1,14,,811,12,823,1172
