SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
830,9,25,HUALAHUISES,40,43,0,1,0,0,0,0,0,84,107,107
831,9,26,ITURBIDE,29,336,0,352,0,0,0,0,21,738,942,928
832,9,26,ITURBIDE,12,233,0,247,0,0,0,0,12,504,664,659
833,9,26,ITURBIDE,16,123,0,73,0,0,0,0,7,219,251,247
834,9,26,ITURBIDE,5,181,0,104,0,0,0,0,11,301,395,390
835,9,22,JUAREZ,415,482,17,30,4,0,0,0,28,976,1803,1781
836,9,22,JUAREZ,412,545,28,60,6,0,0,0,49,1100,2007,1972
837,9,22,JUAREZ,278,267,8,77,0,0,0,0,9,639,1114,1096
838,9,22,JUAREZ,375,475,10,48,4,0,0,0,15,927,1530,1519
839,9,22,JUAREZ,238,368,8,5,0,0,0,0,16,635,1071,1057
840,9,22,JUAREZ,151,355,4,19,0,0,0,0,29,558,1074,1044
841,9,22,JUAREZ,499,785,14,31,4,0,0,0,30,1363,2392,2361
842,9,22,JUAREZ,184,507,5,17,2,0,0,0,14,729,1269,1258
843,9,22,JUAREZ,92,200,4,10,1,0,0,0,8,315,541,533
844,9,22,JUAREZ,367,771,90,146,13,0,0,0,49,1436,3114,3046
845,9,22,JUAREZ,551,980,34,58,5,0,0,0,31,1659,3557,3485
846,9,22,JUAREZ,344,282,15,31,2,0,0,0,23,697,1269,1263
847,9,22,JUAREZ,246,326,8,20,0,0,0,0,20,620,1178,1162
848,9,22,JUAREZ,51,74,6,2,0,0,0,0,2,135,208,202
849,9,22,JUAREZ,233,256,14,19,2,0,0,0,13,537,1060,1043
850,9,22,JUAREZ,833,1168,49,118,9,0,0,0,61,2238,5293,5135
851,9,22,JUAREZ,47,157,2,2,0,0,0,0,0,208,427,417
852,9,22,JUAREZ,9,61,1,3,0,0,0,0,2,76,125,124
853,9,22,JUAREZ,15,118,2,3,0,0,0,0,7,145,271,267
854,1,21,LAMPAZOS DE NARANJO,61,165,0,112,0,0,0,0,9,347,568,562
855,1,21, LAMPAZOS DE NARANJO,62,219,0,155,0,0,0,0,11,447,759,753
856,1,21, LAMPAZOS DE NARANJO,137,307,0,105,0,0,0,0,15,564,860,853
857,1,21, LAMPAZOS DE NARANJO,81,250,0,158,0,0,0,0,10,499,774,769
858,1,21, LAMPAZOS DE NARANJO,17,82,0,32,0,0,0,0,3,134,213,212
859,1,21, LAMPAZOS DE NARANJO,24,27,0,1,0,0,0,0,0,52,61,60
860,9,25,LINARES,180,282,11,13,103,2,3,0,25,619,951,934
861,9,25,LINARES,155,283,26,5,147,3,4,0,28,651,992,985
862,9,25,LINARES,172,275,13,11,187,4,3,0,27,692,1086,1073
863,9,25,LINARES,340,551,14,11,136,6,5,0,46,1109,1987,1967
864,9,25,LINARES,340,488,14,20,253,4,2,0,30,1151,1818,1800
865,9,25,LINARES,345,744,23,17,300,7,3,0,89,1528,2522,2489
866,9,25,LINARES,360,671,42,15,237,4,3,0,29,1361,2105,2084
867,9,25,LINARES,154,316,15,10,91,1,1,0,23,611,1099,1090
868,9,25,LINARES,166,155,22,4,78,3,5,0,17,450,724,717
