MUNICIPIO,SECCION,TIPO DE CASILLA,LISTA NOMINAL,PAN,CA,PRD,PT,PSN,PAS,CONVERGENCIA,MEXICOPOSIBLE,VOTOS NULOS,TOTAL
ANÁHUAC,44,CONTIGUA 1,562,125,212,4,2,,,,,3,346
ANÁHUAC,45,BASICA,431,147,123,1,1,,,,,4,276
ANÁHUAC,45,CONTIGUA 1,431,131,131,8,0,,,,,7,277
ANÁHUAC,46,BASICA,401,121,109,9,2,,,,,3,244
ANÁHUAC,46,CONTIGUA 1,401,113,118,9,1,,,,,1,242
ANÁHUAC,47,BASICA,412,106,126,6,1,,,,,5,244
ANÁHUAC,47,CONTIGUA 1,412,104,131,5,0,,,,,3,243
ANÁHUAC,48,BASICA,594,130,174,5,2,,,,,10,321
ANÁHUAC,48,CONTIGUA 1,595,143,180,3,1,,,,,6,333
ANÁHUAC,49,BASICA,667,133,254,6,3,,,,,6,402
ANÁHUAC,50,BASICAFUSIONADA,,,,,,,,,,,
ANÁHUAC,51,BASICA,116,28,25,6,0,,,,,0,59
ANÁHUAC,52,BASICA,224,76,25,28,0,,,,,3,132
ANÁHUAC,53,BASICAFUSIONADA,,,,,,,,,,,
ANÁHUAC,54,BASICA,,,,,,,,,,,
ANÁHUAC,55,BASICA,211,65,62,1,0,,,,,4,132
ANÁHUAC,56,BASICA,81,27,33,0,0,,,,,2,62
ANÁHUAC,57,BASICA,118,27,37,0,2,,,,,13,79
ANÁHUAC,58,BASICA,81,22,24,0,0,,,,,1,47
ANÁHUAC,59,BASICA,87,11,35,1,0,,,,,2,49
ANÁHUAC,60,BASICA,85,8,34,2,0,,,,,2,46
ANÁHUAC,61,BASICA,383,64,158,3,0,,,,,3,228
ANÁHUAC,62,BASICA,136,7,53,0,0,,,,,0,60
APODACA,63,BASICA,648,38,134,2,9,,,,,5,188
APODACA,63,CONTIGUA 1,648,19,130,2,9,,,,,9,169
APODACA,63,CONTIGUA 2,648,29,120,2,4,,,,,6,161
APODACA,63,CONTIGUA 3,649,34,154,4,3,,,,,6,201
APODACA,63,CONTIGUA 4,649,47,133,4,8,,,,,6,198
APODACA,63,CONTIGUA 5,649,43,129,1,10,,,,,9,192
APODACA,64,BASICA,572,55,234,2,11,,,,,5,307
APODACA,64,CONTIGUA 1,572,47,236,9,6,,,,,12,310
APODACA,64,CONTIGUA 2,573,40,223,17,4,,,,,9,293
APODACA,65,BASICA,648,69,200,5,11,,,,,12,297
APODACA,65,CONTIGUA 1,649,69,201,1,12,,,,,6,289
APODACA,65,CONTIGUA 2,649,83,177,3,11,,,,,14,288
APODACA,65,CONTIGUA 3,649,76,185,5,12,,,,,15,293
APODACA,65,CONTIGUA 4,649,59,222,2,4,,,,,2,289
APODACA,65,CONTIGUA 5,649,61,189,4,10,,,,,7,271
APODACA,65,EXTRAORDINARIA 1,725,71,301,1,8,,,,,1,382
APODACA,65,EXTRAORDINARIA 2,725,69,289,3,12,,,,,3,376
APODACA,65,EXTRAORDINARIA 3,725,91,294,1,9,,,,,4,399
APODACA,65,EXTRAORDINARIA 4,726,71,290,2,9,,,,,7,379
APODACA,65,EXTRAORDINARIA 5,726,71,289,2,7,,,,,0,369
APODACA,66,BASICA,731,63,248,2,15,,,,,5,333
APODACA,66,CONTIGUA 1,731,62,265,4,6,,,,,7,344
APODACA,66,CONTIGUA 2,731,63,258,5,14,,,,,4,344
APODACA,67,BASICA,713,86,223,7,12,,,,,4,332
APODACA,67,CONTIGUA 1,713,89,217,8,6,,,,,6,326
APODACA,67,CONTIGUA 2,713,87,231,6,5,,,,,7,336
APODACA,67,CONTIGUA 3,713,92,233,6,8,,,,,11,350
APODACA,67,CONTIGUA 4,713,82,202,2,9,,,,,8,303
APODACA,67,CONTIGUA 5,714,86,225,6,9,,,,,4,330
APODACA,67,CONTIGUA 6,714,91,225,7,11,,,,,3,337
APODACA,67,CONTIGUA 7,714,90,209,9,11,,,,,4,323
APODACA,67,CONTIGUA 8,714,116,246,1,6,,,,,3,372
APODACA,67,CONTIGUA 9,714,89,230,8,10,,,,,4,341
APODACA,68,BASICA,719,115,236,4,7,,,,,4,366
APODACA,68,CONTIGUA 1,719,110,200,9,7,,,,,3,329
APODACA,68,CONTIGUA 2,719,110,216,1,6,,,,,3,336
APODACA,68,CONTIGUA 3,720,116,225,6,12,,,,,3,362
APODACA,68,CONTIGUA 4,720,110,204,7,12,,,,,0,333
APODACA,69,BASICA,713,91,213,5,15,,,,,4,328
APODACA,69,CONTIGUA 1,713,89,247,4,13,,,,,0,353
APODACA,69,CONTIGUA 2,714,77,237,6,3,,,,,4,327
APODACA,69,CONTIGUA 3,714,90,260,8,5,,,,,7,370
APODACA,70,BASICA,609,106,202,6,8,,,,,6,328
APODACA,70,CONTIGUA 1,609,86,220,8,9,,,,,0,323
APODACA,70,CONTIGUA 2,609,106,200,3,14,,,,,2,325
APODACA,70,CONTIGUA 3,609,91,180,4,17,,,,,5,297
APODACA,70,CONTIGUA 4,609,89,200,5,11,,,,,4,309
APODACA,71,BASICA,411,63,125,10,7,,,,,1,206
APODACA,71,CONTIGUA 1,412,69,131,8,8,,,,,7,223
APODACA,72,BASICA,379,55,105,20,6,,,,,4,190
APODACA,72,CONTIGUA 1,379,46,131,6,3,,,,,3,189
APODACA,73,BASICA,414,43,166,4,4,,,,,3,220
APODACA,73,CONTIGUA 1,414,41,183,3,4,,,,,3,234
APODACA,74,BASICA,448,24,181,0,10,,,,,5,220
APODACA,74,CONTIGUA 1,449,24,165,2,7,,,,,11,209
APODACA,75,BASICA,382,19,157,2,10,,,,,4,192
APODACA,75,CONTIGUA 1,382,39,174,3,6,,,,,5,227
APODACA,76,BASICA,568,38,210,4,7,,,,,9,268
APODACA,76,CONTIGUA 1,568,24,225,2,7,,,,,4,262
APODACA,77,BASICA,686,76,245,2,5,,,,,8,336
APODACA,77,CONTIGUA 1,686,79,238,10,11,,,,,0,338
APODACA,77,CONTIGUA 2,686,75,253,5,15,,,,,2,350
APODACA,77,CONTIGUA 3,686,66,267,7,7,,,,,11,358
APODACA,77,CONTIGUA 4,687,78,235,4,13,,,,,4,334
APODACA,77,CONTIGUA 5,687,87,238,11,8,,,,,4,348
APODACA,77,CONTIGUA 6,687,79,230,5,8,,,,,3,325
APODACA,77,CONTIGUA 7,687,86,252,4,10,,,,,2,354
APODACA,77,CONTIGUA 8,687,86,249,5,4,,,,,7,351
APODACA,78,BASICA,693,49,254,1,10,,,,,4,318
APODACA,78,CONTIGUA 1,693,50,267,4,9,,,,,4,334
APODACA,79,BASICA,556,48,213,4,7,,,,,3,275
APODACA,79,CONTIGUA 1,556,36,192,0,5,,,,,5,238
APODACA,79,CONTIGUA 2,557,45,199,2,7,,,,,7,260
APODACA,80,BASICA,409,28,160,0,5,,,,,6,199
APODACA,80,CONTIGUA 1,409,31,155,1,6,,,,,0,193
APODACA,81,BASICA,727,134,232,9,9,,,,,2,386
APODACA,81,CONTIGUA 1,728,152,230,10,8,,,,,4,404
APODACA,81,CONTIGUA 2,728,135,213,8,7,,,,,3,366
APODACA,81,CONTIGUA 3,728,130,238,3,16,,,,,2,389
APODACA,82,BASICA,425,72,143,5,6,,,,,1,227
APODACA,82,CONTIGUA 1,426,65,148,1,7,,,,,6,227
APODACA,83,BASICA,635,62,247,8,8,,,,,2,327
APODACA,84,BASICA,697,69,261,5,6,,,,,5,346
APODACA,84,CONTIGUA 1,697,79,245,6,9,,,,,4,343
APODACA,84,CONTIGUA 2,697,85,254,2,8,,,,,1,350
APODACA,84,CONTIGUA 3,697,79,230,4,7,,,,,11,331
APODACA,84,CONTIGUA 4,697,81,244,4,18,,,,,0,347
APODACA,84,CONTIGUA 5,697,79,253,4,9,,,,,4,349
APODACA,84,CONTIGUA 6,697,85,275,3,10,,,,,7,380
APODACA,84,CONTIGUA 7,697,91,259,6,14,,,,,3,373
APODACA,85,BASICA,553,40,214,1,4,,,,,4,263
APODACA,85,CONTIGUA 1,554,52,205,3,8,,,,,8,276
APODACA,85,CONTIGUA 2,554,54,209,5,2,,,,,11,281
APODACA,86,BASICA,636,57,244,1,8,,,,,8,318
APODACA,86,CONTIGUA 1,637,49,241,3,9,,,,,6,308
APODACA,86,CONTIGUA 2,637,64,249,2,4,,,,,0,319
APODACA,87,BASICA,605,44,221,3,5,,,,,7,280
APODACA,87,CONTIGUA 1,606,40,217,2,12,,,,,5,276
APODACA,88,BASICA,733,98,259,13,15,,,,,3,388
APODACA,88,CONTIGUA 1,734,71,268,9,13,,,,,6,367
APODACA,88,CONTIGUA 2,734,105,295,7,1,,,,,9,417
APODACA,89,BASICA,526,56,203,2,6,,,,,1,268
APODACA,89,CONTIGUA 1,526,73,221,4,3,,,,,4,305
APODACA,89,CONTIGUA 2,527,53,175,4,6,,,,,53,291
APODACA,90,BASICA,667,71,260,3,10,,,,,8,352
APODACA,90,CONTIGUA 1,668,70,285,5,13,,,,,11,384
APODACA,91,BASICA,572,58,272,2,8,,,,,2,342
APODACA,91,CONTIGUA 1,573,63,228,1,8,,,,,4,304
APODACA,92,BASICA,537,65,247,1,7,,,,,4,324
APODACA,92,CONTIGUA 1,537,66,209,2,4,,,,,6,287
APODACA,92,CONTIGUA 2,538,58,220,2,6,,,,,7,293
APODACA,93,BASICA,683,90,275,6,11,,,,,14,396
APODACA,93,CONTIGUA 1,683,85,247,3,11,,,,,7,353
APODACA,94,BASICA,601,55,227,3,12,,,,,8,305
APODACA,94,CONTIGUA 1,601,51,231,2,13,,,,,4,301
APODACA,94,CONTIGUA 2,602,48,225,1,13,,,,,11,298
APODACA,95,BASICA,681,120,219,10,12,,,,,2,363
APODACA,95,CONTIGUA 1,682,134,228,7,12,,,,,2,383
APODACA,95,CONTIGUA 2,682,127,214,6,13,,,,,3,363
APODACA,96,BASICA,658,37,249,4,9,,,,,8,307
APODACA,96,CONTIGUA 1,659,57,253,3,19,,,,,8,340
APODACA,96,CONTIGUA 2,659,48,240,2,12,,,,,7,309
APODACA,97,BASICA,504,76,164,4,8,,,,,5,257
APODACA,97,CONTIGUA 1,504,90,182,3,6,,,,,0,281
APODACA,97,CONTIGUA 2,504,73,157,2,14,,,,,8,254
APODACA,98,BASICA,601,64,188,2,5,,,,,7,266
APODACA,98,CONTIGUA 1,601,53,211,3,10,,,,,9,286
APODACA,98,CONTIGUA 2,602,48,214,2,11,,,,,7,282
APODACA,99,BASICA,663,107,230,3,9,,,,,6,355
APODACA,99,CONTIGUA 1,663,108,239,4,7,,,,,8,366
APODACA,100,BASICA,614,80,213,3,9,,,,,5,310
APODACA,100,CONTIGUA 1,615,69,233,3,9,,,,,8,322
APODACA,100,CONTIGUA 2,615,84,201,3,6,,,,,5,299
APODACA,101,BASICA,704,82,280,0,11,,,,,6,379
APODACA,101,CONTIGUA 1,705,103,287,8,9,,,,,3,410
APODACA,101,CONTIGUA 2,705,98,274,4,8,,,,,5,389
APODACA,101,CONTIGUA 3,705,81,276,11,8,,,,,1,377
APODACA,102,BASICA,574,89,196,5,14,,,,,3,307
APODACA,102,CONTIGUA 1,574,72,224,3,7,,,,,11,317
APODACA,102,CONTIGUA 2,574,83,204,3,7,,,,,7,304
APODACA,102,CONTIGUA 3,575,72,217,2,6,,,,,9,306
APODACA,103,BASICA,583,76,207,3,4,,,,,15,305
APODACA,103,CONTIGUA 1,584,90,204,4,16,,,,,5,319
APODACA,103,CONTIGUA 2,584,85,229,4,8,,,,,7,333
APODACA,104,BASICA,609,65,229,3,15,,,,,8,320
APODACA,105,BASICA,570,81,216,2,7,,,,,1,307
APODACA,105,CONTIGUA 1,571,64,206,6,12,,,,,2,290
APODACA,106,BASICA,588,97,238,7,5,,,,,1,348
APODACA,106,CONTIGUA 1,589,85,236,5,7,,,,,3,336
APODACA,107,BASICA,551,40,200,5,2,,,,,6,253
APODACA,107,CONTIGUA 1,551,47,193,2,7,,,,,6,255
APODACA,107,CONTIGUA 2,551,29,228,2,9,,,,,0,268
APODACA,108,BASICA,440,40,163,1,1,,,,,7,212
APODACA,108,CONTIGUA 1,440,30,168,1,3,,,,,5,207
APODACA,109,BASICA,597,41,301,3,5,,,,,4,354
APODACA,109,CONTIGUA 1,598,57,317,0,1,,,,,4,379
APODACA,109,CONTIGUA 2,598,45,227,2,3,,,,,3,280
APODACA,109,CONTIGUA 3,598,68,237,2,2,,,,,9,318
APODACA,110,BASICA,471,125,199,3,1,,,,,3,331
APODACA,110,CONTIGUA 1,472,71,91,3,2,,,,,5,172
APODACA,111,BASICA,622,56,224,2,11,,,,,4,297
APODACA,111,CONTIGUA 1,623,67,203,4,6,,,,,9,289
APODACA,112,BASICA,525,57,200,2,5,,,,,8,272
APODACA,112,CONTIGUA 1,525,53,219,1,5,,,,,5,283
APODACA,112,CONTIGUA 2,526,51,191,2,4,,,,,5,253
APODACA,113,BASICA,474,69,191,1,4,,,,,4,269
APODACA,113,CONTIGUA 1,475,62,155,1,1,,,,,3,222
APODACA,114,BASICA,489,65,208,0,3,,,,,4,280
APODACA,114,CONTIGUA 1,490,61,203,2,1,,,,,10,277
APODACA,115,BASICA,589,63,221,4,5,,,,,0,293
APODACA,115,CONTIGUA 1,590,62,228,3,6,,,,,6,305
APODACA,115,CONTIGUA 2,590,86,219,0,6,,,,,7,318
APODACA,116,BASICA,591,19,241,1,6,,,,,10,277
APODACA,116,CONTIGUA 1,591,27,267,4,8,,,,,9,315
APODACA,116,CONTIGUA 2,591,34,248,0,7,,,,,6,295
APODACA,117,BASICA,540,38,212,1,4,,,,,22,277
APODACA,117,CONTIGUA 1,540,27,223,4,8,,,,,8,270
APODACA,117,CONTIGUA 2,541,44,218,0,4,,,,,3,269
APODACA,118,BASICA,706,38,291,3,2,,,,,8,342
APODACA,118,CONTIGUA 1,706,33,292,4,6,,,,,2,337
APODACA,119,BASICA,718,32,249,3,5,,,,,9,298
APODACA,119,CONTIGUA 1,719,33,289,5,4,,,,,12,343
APODACA,120,BASICA,661,36,286,2,13,,,,,3,340
APODACA,120,CONTIGUA 1,662,33,240,0,5,,,,,7,285
APODACA,120,CONTIGUA 2,662,33,266,1,10,,,,,9,319
APODACA,121,BASICA,663,31,265,5,5,,,,,8,314
APODACA,121,CONTIGUA 1,664,26,252,4,7,,,,,9,298
APODACA,121,CONTIGUA 2,664,34,241,0,5,,,,,8,288
APODACA,122,BASICA,531,15,223,0,8,,,,,6,252
APODACA,122,CONTIGUA 1,531,24,193,0,2,,,,,13,232
APODACA,122,CONTIGUA 2,532,26,211,1,4,,,,,13,255
APODACA,123,BASICA,531,30,215,0,7,,,,,6,258
APODACA,123,CONTIGUA 1,531,23,205,1,3,,,,,6,238
APODACA,123,CONTIGUA 2,532,30,200,3,2,,,,,4,239
APODACA,124,BASICA,638,40,206,5,5,,,,,9,265
APODACA,124,CONTIGUA 1,639,45,209,0,3,,,,,4,261
APODACA,124,CONTIGUA 2,639,48,214,3,4,,,,,6,275
APODACA,125,BASICA,527,18,228,4,3,,,,,4,257
APODACA,125,CONTIGUA 1,527,32,231,9,6,,,,,8,286
APODACA,125,CONTIGUA 2,528,19,223,5,5,,,,,9,261
APODACA,126,BASICA,484,22,190,2,5,,,,,6,225
APODACA,126,CONTIGUA 1,484,20,184,1,3,,,,,8,216
APODACA,127,BASICA,537,22,207,4,4,,,,,11,248
APODACA,127,CONTIGUA 1,538,15,232,4,6,,,,,8,265
APODACA,128,BASICA,477,15,223,0,1,,,,,13,252
APODACA,128,CONTIGUA 1,478,31,229,0,2,,,,,4,266
APODACA,129,BASICA,676,55,183,2,8,,,,,8,256
APODACA,129,CONTIGUA 1,676,57,260,0,0,,,,,4,321
APODACA,129,CONTIGUA 2,676,60,201,6,4,,,,,0,271
APODACA,129,CONTIGUA 3,677,60,208,3,9,,,,,4,284
APODACA,129,CONTIGUA 4,677,67,199,4,8,,,,,4,282
APODACA,130,BASICA,722,77,298,4,6,,,,,5,390
APODACA,130,CONTIGUA 1,722,59,297,6,7,,,,,13,382
APODACA,130,CONTIGUA 2,722,67,288,3,7,,,,,8,373
APODACA,130,CONTIGUA 3,723,67,294,4,8,,,,,2,375
APODACA,130,CONTIGUA 4,723,66,286,2,6,,,,,9,369
APODACA,131,BASICA,744,88,268,4,9,,,,,1,370
APODACA,131,CONTIGUA 1,744,105,262,3,10,,,,,2,382
APODACA,131,CONTIGUA 2,744,88,251,4,12,,,,,2,357
APODACA,131,CONTIGUA 3,745,94,270,4,5,,,,,1,374
APODACA,131,CONTIGUA 4,745,92,254,6,9,,,,,2,363
APODACA,132,BASICA,527,76,220,3,4,,,,,1,304
APODACA,133,BASICA,510,88,197,4,4,,,,,3,296
APODACA,133,CONTIGUA 1,511,74,198,2,8,,,,,3,285
APODACA,134,BASICA,493,55,215,3,7,,,,,4,284
APODACA,134,CONTIGUA 1,493,53,198,1,7,,,,,9,268
APODACA,135,BASICA,507,87,178,0,3,,,,,2,270
APODACA,135,CONTIGUA 1,508,68,199,1,9,,,,,2,279
APODACA,135,CONTIGUA 2,508,48,194,1,11,,,,,4,258
APODACA,136,BASICA,552,44,182,1,11,,,,,7,245
APODACA,136,CONTIGUA 1,552,46,213,3,7,,,,,3,272
APODACA,136,CONTIGUA 2,553,31,233,2,7,,,,,1,274
APODACA,137,BASICA,527,21,207,2,3,,,,,17,250
APODACA,137,CONTIGUA 1,528,38,199,3,6,,,,,5,251
APODACA,137,CONTIGUA 2,528,25,211,2,4,,,,,14,256
APODACA,138,BASICA,524,35,199,2,10,,,,,6,252
APODACA,138,CONTIGUA 1,524,35,206,4,3,,,,,10,258
APODACA,138,CONTIGUA 2,525,40,194,3,4,,,,,9,250
APODACA,139,BASICA,546,50,233,6,9,,,,,4,302
APODACA,139,CONTIGUA 1,546,71,206,7,12,,,,,16,312
APODACA,139,CONTIGUA 2,547,62,239,1,10,,,,,7,319
APODACA,140,BASICA,510,68,205,4,10,,,,,3,290
APODACA,140,CONTIGUA 1,511,61,218,3,11,,,,,1,294
APODACA,141,BASICA,746,83,284,0,9,,,,,10,386
APODACA,141,CONTIGUA 1,746,97,236,2,6,,,,,15,356
APODACA,141,CONTIGUA 2,747,95,257,5,15,,,,,6,378
APODACA,141,CONTIGUA 3,747,107,256,5,5,,,,,9,382
APODACA,141,CONTIGUA 4,747,77,247,2,12,,,,,7,345
APODACA,142,BASICA,626,57,209,3,6,,,,,1,276
APODACA,142,CONTIGUA 1,626,61,231,3,5,,,,,4,304
APODACA,142,CONTIGUA 2,627,43,185,4,6,,,,,0,238
APODACA,142,CONTIGUA 3,627,61,186,3,8,,,,,3,261
APODACA,142,CONTIGUA 4,627,79,209,2,4,,,,,2,296
APODACA,143,BASICA,570,45,215,2,7,,,,,13,282
APODACA,143,CONTIGUA 1,570,38,203,3,6,,,,,5,255
APODACA,143,CONTIGUA 2,571,45,189,1,5,,,,,9,249
APODACA,144,BASICA,705,89,205,1,8,,,,,22,325
APODACA,144,CONTIGUA 1,705,115,279,10,21,,,,,12,437
APODACA,144,CONTIGUA 2,706,39,133,2,3,,,,,6,183
APODACA,144,CONTIGUA 3,706,70,252,4,8,,,,,9,343
APODACA,144,CONTIGUA 4,706,77,231,4,8,,,,,7,327
APODACA,145,BASICA,720,88,269,4,9,,,,,5,375
APODACA,145,CONTIGUA 1,720,66,252,2,7,,,,,9,336
APODACA,145,CONTIGUA 2,721,77,297,5,8,,,,,9,396
APODACA,145,CONTIGUA 3,721,84,271,1,7,,,,,11,374
APODACA,146,BASICA,704,63,263,4,10,,,,,6,346
APODACA,146,CONTIGUA 1,705,69,241,7,5,,,,,2,324
APODACA,146,CONTIGUA 2,705,69,260,3,1,,,,,7,340
APODACA,147,BASICA,642,82,272,5,11,,,,,7,377
APODACA,147,CONTIGUA 1,642,81,247,2,10,,,,,11,351
APODACA,148,BASICA,733,71,293,9,14,,,,,2,389
APODACA,148,CONTIGUA 1,733,83,288,3,8,,,,,11,393
APODACA,148,CONTIGUA 2,733,104,255,3,12,,,,,2,376
APODACA,149,BASICA,503,35,212,3,7,,,,,7,264
APODACA,149,CONTIGUA 1,504,30,193,5,4,,,,,6,238
APODACA,149,CONTIGUA 2,504,32,213,3,5,,,,,7,260
APODACA,149,EXTRAORDINARIA 1,646,58,221,1,10,,,,,5,295
APODACA,149,EXTRAORDINARIA 2,646,54,228,1,7,,,,,4,294
APODACA,149,EXTRAORDINARIA 3,646,66,207,3,9,,,,,5,290
APODACA,149,EXTRAORDINARIA 4,646,49,198,0,10,,,,,3,260
APODACA,149,EXTRAORDINARIA 5,646,39,196,3,8,,,,,0,246
APODACA,149,EXTRAORDINARIA 6,647,61,203,1,11,,,,,6,282
APODACA,150,BASICA,432,28,177,1,4,,,,,2,212
APODACA,150,CONTIGUA 1,432,26,180,1,3,,,,,5,215
ARAMBERRI,151,BASICA,473,31,243,0,23,,,,,13,310
ARAMBERRI,151,CONTIGUA 1,474,28,226,3,14,,,,,16,287
ARAMBERRI,152,BASICA,563,38,287,2,17,,,,,22,366
ARAMBERRI,152,CONTIGUA 1,563,44,251,1,22,,,,,18,336
ARAMBERRI,153,BASICA,388,68,160,6,6,,,,,16,256
ARAMBERRI,154,BASICA,157,7,97,0,2,,,,,10,116
ARAMBERRI,154,EXTRAORDINARIA 1,112,6,52,0,1,,,,,5,64
ARAMBERRI,155,BASICA,464,41,167,1,25,,,,,36,270
ARAMBERRI,156,BASICA,630,142,228,2,11,,,,,26,409
ARAMBERRI,157,BASICA,513,107,198,2,18,,,,,5,330
ARAMBERRI,158,BASICA,613,86,251,5,11,,,,,26,379
ARAMBERRI,159,BASICA,175,27,68,0,2,,,,,6,103
ARAMBERRI,160,BASICA,512,47,251,0,17,,,,,1,316
ARAMBERRI,161,BASICA,384,49,182,1,9,,,,,6,247
ARAMBERRI,161,CONTIGUA 1,384,81,152,1,8,,,,,13,255
ARAMBERRI,162,BASICA,669,33,353,0,10,,,,,23,419
ARAMBERRI,163,BASICA,407,6,212,0,22,,,,,25,265
ARAMBERRI,164,BASICA,218,8,134,0,10,,,,,8,160
ARAMBERRI,164,EXTRAORDINARIA 1,158,4,99,0,6,,,,,2,111
ARAMBERRI,165,BASICA,645,44,261,3,35,,,,,21,364
ARAMBERRI,166,BASICA,434,34,207,4,19,,,,,9,273
ARAMBERRI,167,BASICA,294,36,153,1,14,,,,,11,215
BUSTAMANTE,168,BASICA,607,200,137,62,109,,,,,6,514
BUSTAMANTE,169,BASICA,692,244,189,12,91,,,,,7,543
BUSTAMANTE,170,BASICA,610,210,196,13,61,,,,,6,486
BUSTAMANTE,171,BASICA,649,187,145,32,138,,,,,4,506
CADEREYTA JIMÉNEZ,172,BASICA,611,112,200,3,9,,,,,5,329
CADEREYTA JIMÉNEZ,172,CONTIGUA 1,611,111,193,4,5,,,,,6,319
CADEREYTA JIMÉNEZ,173,BASICA,676,66,249,0,2,,,,,6,323
CADEREYTA JIMÉNEZ,173,CONTIGUA 1,676,99,231,4,13,,,,,8,355
CADEREYTA JIMÉNEZ,174,BASICA,668,90,203,1,15,,,,,2,311
CADEREYTA JIMÉNEZ,174,CONTIGUA 1,668,73,215,3,11,,,,,6,308
