Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CAMPECHE,87,C1,59,170,31,13,18,291,20,311,460,
CAMPECHE,88,B,72,320,22,10,26,450,16,466,635,
CAMPECHE,89,B,67,247,19,5,16,354,13,367,490,
CAMPECHE,89,C1,71,226,21,8,17,343,15,358,489,
CAMPECHE,90,B,67,217,30,21,25,360,15,375,556,
CAMPECHE,90,C1,75,202,27,12,18,334,13,347,556,
,,,,,,,,,,,,
CAMPECHE,90,C2,75,225,20,11,15,346,24,370,556,
CAMPECHE,91,B,58,176,30,10,17,291,12,303,527,
CAMPECHE,91,C1,65,165,42,14,11,297,12,309,527,
CAMPECHE,91,C2,65,152,42,16,20,295,19,314,526,
CAMPECHE,92,B,76,309,16,2,20,423,10,433,566,
CAMPECHE,92,C1,80,273,17,11,30,411,10,421,566,
CAMPECHE,92,S,2,1,1,0,1,5,0,5,250,
CAMPECHE,93,B,78,252,30,11,25,396,15,411,531,
CAMPECHE,93,C1,83,260,24,17,17,401,7,408,531,
CAMPECHE,94,B,85,235,33,18,25,396,9,405,572,
CAMPECHE,94,C1,96,215,27,24,34,396,15,411,572,
CAMPECHE,95,B,86,208,35,20,17,366,19,385,632,
CAMPECHE,95,C1,93,197,25,20,18,353,32,385,631,
CAMPECHE,96,B,91,178,27,88,16,320,11,331,534,
CAMPECHE,96,C1,76,180,26,13,23,318,25,343,534,
CAMPECHE,97,B,86,174,51,0,18,329,12,341,560,
CAMPECHE,97,C1,83,189,13,6,18,309,18,327,559,
CAMPECHE,98,B,58,212,21,5,34,330,6,336,432,
CAMPECHE,98,C1,61,170,24,6,39,300,14,314,432,
CAMPECHE,99,B,63,186,38,9,27,323,17,340,567,
CAMPECHE,99,C1,60,190,40,15,20,325,23,348,567,
CAMPECHE,100,B,95,226,30,9,12,372,18,390,669,
CAMPECHE,100,C1,89,261,27,7,15,399,25,424,669,
CAMPECHE,100,C2,92,229,35,9,22,387,30,417,669,
CAMPECHE,101,B,127,258,37,20,26,468,12,480,733,
CAMPECHE,101,C1,146,221,46,17,28,458,13,471,733,
CAMPECHE,101,C2,108,234,33,26,30,431,11,442,733,
CAMPECHE,102,B,146,253,37,28,20,484,15,499,750,
CAMPECHE,102,C1,91,284,45,28,16,464,26,490,749,
CAMPECHE,103,B,104,175,15,14,13,321,20,341,569,
CAMPECHE,103,C1,105,207,27,14,13,366,12,378,569,
CAMPECHE,104,B,64,131,30,14,26,265,18,283,404,
CAMPECHE,104,C1,59,170,29,7,13,278,9,287,404,
CAMPECHE,105,B,90,215,23,7,23,358,9,367,703,
CAMPECHE,105,C1,90,231,30,15,16,382,18,400,703,
,,,,,,,,,,,,
