"seccion","casilla","pan","pri","prd","pvem","pt","mc","morena","na","pes","mas","progresa","rsp","c_pan_pri_prd_rsp","c_pan_pri_prd","c_pan_pri_rsp","c_pan_prd_rsp","c_pri_prd_rsp","c_pan_pri","c_pan_prd","c_pan_rsp","c_pri_prd","c_pri_rsp","c_prd_rsp","no_registrados","num_votos_nulos","tot_votos","l_nominal","municipality","source_file","c_morena_na_pes_mas","c_morena_na_pes","c_morena_na_mas","c_morena_pes_mas","c_na_pes_mas","c_morena_na","c_morena_pes","c_morena_mas","c_na_pes","c_na_mas","c_pes_mas","c_mc_progresa","cand_ind_luis_armando_jaime_maldonado","cand_ind_andres_tapia_franco","cand_ind_perseo_quiroz_rendon"
"5","B1",5,2,0,29,233,1,18,82,1,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,22,411,655,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","B1",8,3,0,45,152,7,18,62,4,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,17,359,587,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C1",2,3,1,34,129,4,21,44,3,2,48,6,0,0,0,0,0,0,0,0,0,0,0,0,21,318,586,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C2",2,5,2,45,150,3,17,50,3,0,42,5,0,0,0,0,0,0,0,0,0,0,0,0,27,351,586,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","B1",2,5,1,68,89,4,26,49,10,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,16,301,558,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","C1",1,0,1,84,84,5,18,30,10,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,281,557,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","B1",0,0,1,89,165,7,18,22,2,6,43,3,0,0,0,0,0,7,0,0,0,0,0,0,0,363,640,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","C1",3,5,1,66,146,6,17,38,4,2,44,3,0,0,0,0,0,0,0,0,0,0,0,0,28,363,640,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","B1",4,1,0,58,177,0,5,38,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,320,564,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","C1",0,0,1,54,148,0,9,46,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,292,564,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","E1",4,4,1,26,184,0,1,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,262,451,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","B1",3,1,0,48,161,2,14,42,5,0,47,1,0,3,0,0,0,0,0,0,0,0,0,0,35,362,700,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","C1",1,2,1,43,207,1,11,26,3,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,31,352,700,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","B1",1,5,0,66,245,5,0,21,0,4,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375,725,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Totales","",65,63,11,1254,3578,56,246,822,118,71,1039,30,0,3,0,0,0,7,0,0,0,0,0,0,463,7826,13796,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","B1",171,3,1,190,14,31,55,4,2,0,0,5,9,4,3,0,0,1,1,0,0,0,0,0,0,498,713,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"12","C1",159,3,4,219,15,28,50,3,3,0,0,8,3,8,0,3,0,2,3,0,0,0,0,0,9,531,712,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,1,0,0,1,2,0,0,3,0,NA,NA,NA,NA
"12","C2",179,12,2,176,6,25,35,2,0,0,0,13,6,7,2,0,1,3,0,2,0,0,0,0,18,494,712,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"12","C3",167,11,6,185,10,38,45,4,0,1,0,10,14,5,1,1,0,0,0,2,3,0,1,0,7,517,712,"MORELOSCOMBINED","morelos_2024_combined.csv",5,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"13","B1",186,14,2,185,11,31,64,2,1,2,0,10,8,7,2,0,0,1,0,1,0,1,0,0,5,540,672,"MORELOSCOMBINED","morelos_2024_combined.csv",5,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"13","C1",172,13,3,189,11,29,43,3,1,0,0,10,5,5,0,0,0,3,0,0,0,0,0,1,4,497,672,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"13","C2",200,10,1,176,11,42,41,1,1,0,0,5,9,6,1,0,0,2,1,0,0,0,0,0,9,518,671,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"14","B1",242,13,2,192,10,25,43,3,8,0,0,8,0,6,7,0,0,2,4,1,0,0,0,0,8,578,740,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
"14","C1",209,8,6,207,7,18,37,2,2,2,0,4,10,4,0,0,0,2,0,2,0,0,0,1,12,536,740,"MORELOSCOMBINED","morelos_2024_combined.csv",0,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"15","B1",173,10,2,134,6,22,33,1,2,0,0,10,12,3,1,0,0,2,0,0,0,0,0,0,13,433,587,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,0,2,0,1,3,0,0,0,0,NA,NA,NA,NA
"15","C1",185,9,3,135,2,22,19,0,0,0,0,3,7,2,2,0,0,3,1,1,0,0,0,0,10,410,586,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,1,0,0,2,0,0,0,0,0,NA,NA,NA,NA
"15","C2",167,8,4,142,13,26,27,3,1,1,0,2,7,7,1,0,0,2,3,0,0,0,0,0,11,427,586,"MORELOSCOMBINED","morelos_2024_combined.csv",1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"15","E1",20,2,2,83,0,19,42,43,0,1,0,19,3,2,1,0,0,1,0,2,0,0,0,0,11,272,444,"MORELOSCOMBINED","morelos_2024_combined.csv",10,0,1,0,0,8,2,0,0,0,0,NA,NA,NA,NA
"15","E1 C1",15,7,0,69,5,11,45,47,1,0,0,8,0,0,0,0,0,2,0,1,1,0,0,0,18,264,444,"MORELOSCOMBINED","morelos_2024_combined.csv",22,2,0,0,1,8,0,0,0,1,0,NA,NA,NA,NA
"16","B1",48,1,1,106,5,11,74,1,3,13,1,7,0,5,0,0,0,0,1,2,0,0,0,0,0,293,444,"MORELOSCOMBINED","morelos_2024_combined.csv",0,5,0,0,3,3,2,0,0,1,0,NA,NA,NA,NA
"16","C1",33,0,2,137,3,17,69,3,4,15,1,4,1,2,1,0,0,2,1,2,0,0,0,0,9,323,443,"MORELOSCOMBINED","morelos_2024_combined.csv",9,2,0,0,1,3,0,2,0,0,0,NA,NA,NA,NA
"17","B1",148,7,1,154,4,12,86,5,2,0,0,3,0,6,3,0,0,3,1,0,0,0,0,0,24,466,603,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA
"17","C1",116,16,0,148,7,20,83,2,0,4,0,11,2,1,1,0,0,2,1,0,0,0,0,0,15,434,603,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,1,0,0,0,1,0,0,1,0,NA,NA,NA,NA
"17","C2",120,3,1,114,7,18,111,4,3,0,0,18,9,1,0,0,0,1,1,2,0,0,0,0,10,428,602,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA
"18","B1",212,12,0,89,7,30,80,6,0,1,0,14,7,5,1,1,0,4,1,2,0,1,0,0,11,491,700,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,0,1,0,1,0,0,1,0,0,NA,NA,NA,NA
"18","C1",176,15,1,134,9,13,71,6,0,1,2,5,9,10,0,0,0,5,2,2,0,0,0,0,20,493,700,"MORELOSCOMBINED","morelos_2024_combined.csv",6,0,1,0,0,4,0,1,0,0,0,NA,NA,NA,NA
"20","B1",199,25,5,114,7,14,87,6,15,4,0,3,4,6,0,0,0,1,1,0,0,0,0,1,8,506,726,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,NA
"21","B1",208,24,6,68,2,16,49,7,10,1,0,0,5,8,0,0,0,0,2,0,0,0,0,1,13,420,587,"MORELOSCOMBINED","morelos_2024_combined.csv",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22","B1",138,13,2,48,0,12,36,8,5,1,0,0,0,7,0,0,0,2,1,0,0,0,0,0,2,278,407,"MORELOSCOMBINED","morelos_2024_combined.csv",0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22","C1",138,21,1,30,1,8,31,6,8,0,1,2,0,7,1,0,0,1,0,0,0,0,0,1,1,261,406,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"23","B1",161,20,6,46,3,8,46,2,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,7,313,412,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"962","B1",129,9,1,137,8,26,32,2,3,4,2,2,3,3,1,0,0,0,3,0,0,0,0,0,14,385,578,"MORELOSCOMBINED","morelos_2024_combined.csv",3,1,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA
"962","C1",97,9,3,141,3,27,54,1,1,0,1,5,2,4,1,0,0,2,0,0,0,0,0,0,13,368,578,"MORELOSCOMBINED","morelos_2024_combined.csv",3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"962","C2",102,8,2,153,6,23,42,1,5,3,0,3,7,6,0,0,0,0,0,1,0,0,0,0,21,390,577,"MORELOSCOMBINED","morelos_2024_combined.csv",0,1,0,0,0,3,0,3,0,0,0,NA,NA,NA,NA
"963","B1",73,5,1,187,16,12,33,0,0,2,0,1,7,3,0,0,0,4,0,1,0,0,0,0,10,362,549,"MORELOSCOMBINED","morelos_2024_combined.csv",4,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,NA
"963","C1",84,4,5,158,13,21,43,2,0,2,1,3,6,3,0,0,0,5,1,0,0,0,0,0,11,366,548,"MORELOSCOMBINED","morelos_2024_combined.csv",3,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA
"963","C2",102,2,0,167,12,12,41,3,3,1,0,5,3,3,0,0,0,4,0,0,0,0,0,0,15,375,548,"MORELOSCOMBINED","morelos_2024_combined.csv",2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"964","B1",48,4,1,188,14,35,107,1,5,1,0,0,8,0,3,0,0,0,2,0,1,1,0,0,23,447,697,"MORELOSCOMBINED","morelos_2024_combined.csv",0,0,0,0,0,0,1,0,1,2,1,NA,NA,NA,NA
"964","C1",48,7,2,221,5,20,111,6,5,0,1,4,0,2,1,0,0,1,1,0,0,0,0,0,26,470,696,"MORELOSCOMBINED","morelos_2024_combined.csv",8,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
"Totales","",4625,328,79,4822,253,722,1865,190,98,60,10,207,172,148,34,5,1,63,32,24,5,3,1,5,388,14384,20395,"MORELOSCOMBINED","morelos_2024_combined.csv",126,15,12,3,6,43,19,8,3,8,1,NA,NA,NA,NA
"24","B1",26,6,1,3,76,198,37,0,0,0,29,5,0,1,1,0,0,1,0,1,0,0,0,0,14,399,676,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","C1",47,3,2,2,49,214,50,0,2,0,42,1,4,0,0,0,0,0,2,0,0,0,0,0,12,430,676,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","C2",34,2,4,4,72,203,32,1,2,0,52,4,1,1,0,0,0,0,1,0,0,0,0,0,19,432,676,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","B1",30,7,3,0,66,176,25,0,0,0,45,3,2,0,1,0,0,0,0,0,0,0,0,0,7,365,527,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","C1",34,7,2,0,71,178,18,1,0,0,30,2,1,0,1,0,0,1,1,0,0,0,0,0,11,358,526,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","B1",40,3,1,2,85,250,31,0,1,0,73,0,0,5,0,0,0,0,0,0,0,0,0,0,10,501,748,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","C1",50,7,3,0,67,206,31,1,1,0,71,0,6,0,0,0,0,0,0,0,0,0,0,0,19,462,747,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","C2",24,8,0,0,65,224,39,1,0,0,87,8,0,0,0,0,0,1,0,0,0,0,0,0,9,466,747,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","C3",30,4,1,0,60,216,30,2,1,0,86,2,14,0,0,0,0,0,0,0,0,0,0,0,24,470,747,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","B1",38,11,5,2,60,220,26,1,0,0,38,1,2,0,0,0,0,0,0,0,0,0,0,0,10,414,632,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","C1",19,6,1,2,74,231,19,0,1,0,40,2,2,0,0,1,0,0,0,1,0,0,0,0,18,417,631,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","B1",35,5,1,1,65,173,41,0,5,0,40,1,2,2,1,0,0,0,0,0,0,0,0,0,15,387,592,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","C1",28,8,5,0,78,185,28,0,1,1,43,2,0,4,0,0,0,1,0,0,0,0,0,0,11,395,591,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","B1",22,2,1,0,65,187,26,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,15,378,619,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","C1",33,4,1,0,63,175,40,0,2,0,54,0,2,0,1,0,0,0,0,0,0,0,0,0,7,382,618,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","C2",18,5,0,2,53,168,46,0,1,0,57,4,4,0,0,0,0,0,0,0,0,0,0,0,18,376,618,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","C3",15,3,1,0,71,216,29,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,12,393,618,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","B1",30,2,1,0,53,182,16,0,0,0,20,0,0,3,0,0,0,1,0,0,0,0,0,0,14,322,520,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","C1",28,5,2,1,64,154,26,0,0,0,46,6,2,2,0,0,0,1,0,0,0,0,0,0,16,353,519,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","C2",18,1,1,3,61,180,19,0,0,0,33,4,1,2,0,0,0,0,0,0,0,0,0,0,13,336,519,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","B1",30,5,2,0,61,258,53,1,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,20,460,715,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C1",25,8,1,0,66,266,48,0,1,0,44,3,1,0,0,0,0,0,0,0,0,0,0,0,23,486,715,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C2",61,5,3,2,51,257,30,0,0,0,30,7,3,0,0,0,0,0,0,0,0,0,0,0,19,468,714,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","B1",26,3,3,2,68,188,45,0,0,0,41,3,0,1,0,0,0,0,1,0,0,0,0,0,13,394,635,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","C1",27,3,3,2,68,189,47,0,0,0,41,2,0,1,0,0,0,0,0,0,0,0,0,0,11,394,635,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","B1",14,5,2,0,122,189,38,1,6,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,12,418,612,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","C1",6,1,0,3,93,228,43,1,2,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,14,412,611,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","C2",5,3,2,5,132,197,39,0,2,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,17,425,611,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","B1",6,2,1,1,39,83,31,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,189,278,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","B1",39,5,4,6,36,203,85,1,0,0,49,8,1,0,0,0,0,0,0,0,0,0,0,0,14,451,699,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","C1",36,5,7,2,31,227,78,0,1,1,34,5,4,0,0,0,0,0,0,0,0,0,0,0,16,447,699,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","B1",12,12,5,2,40,217,76,0,1,0,45,8,2,0,0,0,0,0,0,0,0,0,0,0,9,429,645,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","C1",14,1,2,1,49,234,57,1,0,0,36,4,1,0,0,0,0,0,0,0,0,0,0,0,19,419,645,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","B1",21,3,2,1,18,253,57,0,1,0,24,4,1,0,0,0,0,0,0,0,0,0,0,0,8,393,630,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","C1",22,3,3,4,17,248,65,0,1,0,26,5,2,0,0,0,0,0,0,0,0,0,0,0,16,412,629,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","B1",14,7,1,3,50,174,54,0,1,0,37,3,1,2,0,0,0,0,0,0,0,1,0,0,2,350,653,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","C1",17,10,2,3,54,170,64,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,22,375,653,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","C2",20,9,3,0,61,163,0,1,2,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,298,652,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","B1",35,11,7,0,75,148,49,1,2,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,371,644,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","C1",36,23,3,4,40,178,37,1,1,0,33,4,0,3,0,0,0,0,0,1,0,0,0,0,14,378,643,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","B1",10,8,1,1,55,181,39,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,4,322,496,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","C1",8,0,1,3,50,188,50,1,1,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,7,327,495,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","B1",10,4,1,2,38,203,38,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,325,504,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","C1",10,1,1,3,43,229,53,1,1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,13,371,504,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
