ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,MC,PUP,NA,MORENA,PSD,PMR,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD_MC,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,C_COMUN_PRD_MC_PUP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,432,SANTA MARIA TECOMAVACA,1,2,,,,,2,,,425,,11,,362,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,0,49,1134,1427,
20,OAXACA,435,SANTA MARIA TEOPOXCO,2,6,,,,,12,,,,,28,1084,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,0,86,2005,2986,
20,OAXACA,437,SANTA MARIA TEXCATITLAN,1,2,,,,,,,,,,244,278,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,0,19,560,756,
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,6,14,,,,,241,,,1888,126,578,837,553,,,,,,,,,,,817,,,,,,,,,,,,,,,,,,,,5040,5,257,5302,7074,
20,OAXACA,558,VALERIO TRUJANO,2,2,,,,,463,,,83,,81,163,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,0,31,1023,1250,
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,24,,,,,566,,,26,421,2568,1421,2728,,,,,,,,,,,,1249,,,,,,,,,,,,,,,,,,,8979,2,372,9353,13139,
20,OAXACA,86,SAN ANDRES DINICUITI,3,6,,,,,,,,,,594,325,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,0,60,1214,1699,
20,OAXACA,99,SAN ANDRES ZAUTLA,2,5,,,,,,,,,1189,22,796,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259,0,59,2318,2988,
20,OAXACA,147,SAN FRANCISCO TELIXTLAHUACA,6,16,,,,,815,313,,1866,333,370,,1391,,,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,6580,261,289,7130,9181,
20,OAXACA,292,SAN PABLO HUITZO,5,10,,,,,385,,,228,,444,1243,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3849,7,110,3966,5225,
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,5,8,,,,,5,,,,,42,1031,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2265,1,67,2333,3205,
20,OAXACA,457,SANTIAGO CACALOXTEPEC,3,3,,,,,,,,,,626,528,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,0,38,1218,1511,
20,OAXACA,485,SANTIAGO SUCHILQUITONGO,5,12,,,,,68,,,2520,,1030,1068,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5366,0,226,5592,7321,
20,OAXACA,539,VILLA DE TAMAZULAPAM DEL PROGRESO,6,12,,1312,,,33,20,,,995,614,,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937,1,139,4077,5587,
20,OAXACA,543,VILLA TEJUPAM DE LA UNION,3,4,,,,,,,,2,,701,485,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,0,61,1472,1829,
20,OAXACA,5,ASUNCION CUYOTEPEJI,1,2,,,,,,,,,,334,316,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,0,9,717,852,
20,OAXACA,31,FRESNILLO DE TRUJANO,2,2,,,,,,,,,,242,,114,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,0,16,601,814,
20,OAXACA,32,GUADALUPE DE RAMIREZ,3,3,,,,,,,,,,150,322,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,0,41,752,1086,
20,OAXACA,37,HEROICA CIUDAD DE HUAJUAPAN DE LEON,34,98,,7799,3696,,1026,218,,81,359,5615,,10671,,,,,,,,,,,,,928,,,,,,,,,,,,,,,,,,30393,1934,1109,33436,56025,
20,OAXACA,55,MARISCALA DE JUAREZ,7,8,,549,122,,607,405,,,,25,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,0,128,2020,2741,
20,OAXACA,157,SAN JERONIMO SILACAYOAPILLA,2,2,,,,,,,,,,281,317,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,0,17,697,1156,
20,OAXACA,179,SAN JUAN BAUTISTA SUCHITEPEC,2,2,,,,,,,,,,143,124,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,0,8,309,406,
20,OAXACA,200,SAN JUAN IHUALTEPEC,2,2,58,,,,,,96,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0,7,319,577,
20,OAXACA,237,SAN MARCOS ARTEAGA,3,3,,222,,,1,,,,,384,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,0,36,775,1238,
20,OAXACA,245,SAN MARTIN ZACATEPEC,2,3,,,,,,,,,,9,512,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,0,21,985,1255,
20,OAXACA,258,SAN MIGUEL AHUEHUETITLAN,2,4,,,,,,,,,,551,579,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281,0,44,1325,1856,
20,OAXACA,260,SAN MIGUEL AMATITLAN,9,13,,,,,26,7,,,,1286,,1214,,,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787,2,122,3911,5135,
20,OAXACA,288,SAN NICOLAS HIDALGO,1,2,,,,,,,,,,196,160,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,0,22,558,784,
20,OAXACA,382,SANTA CRUZ TACACHE DE MINA,3,5,,,,,,,,,,745,634,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459,0,54,1513,2053,
20,OAXACA,456,SANTIAGO AYUQUILILLA,2,3,,,,,,,,,,490,626,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,0,55,1212,1878,
