CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,250,2,327,77,24,18,10,35,22,179,24,3,9,3,1,4,1,0,2,,,,,,,,,44,,,,,,,783,1,32,816,1137
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,251,2,252,73,12,13,9,27,10,108,11,1,4,4,1,2,0,0,2,,,,,,,,,32,,,,,,,561,2,24,587,823
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,252,2,188,78,42,39,25,48,12,215,35,8,13,11,6,9,1,0,3,,,,,,,,,62,,,,,,,795,2,46,843,1264
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,253,2,82,43,59,54,28,34,5,235,36,13,9,5,2,15,2,0,7,,,,,,,,,64,,,,,,,693,2,25,720,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,254,2,125,60,65,43,38,65,9,290,51,28,9,6,2,12,1,1,0,,,,,,,,,68,,,,,,,873,0,38,911,1444
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,255,3,263,144,67,64,54,73,26,385,57,25,15,6,7,11,7,2,6,,,,,,,,,110,,,,,,,1322,1,50,1373,2249
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,262,2,300,53,13,20,18,18,16,149,16,3,7,3,1,4,0,0,2,,,,,,,,,48,,,,,,,671,0,20,691,969
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,263,2,342,80,15,28,13,32,12,125,17,2,11,4,0,4,0,1,0,,,,,,,,,38,,,,,,,724,0,30,754,1082
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,264,2,226,53,15,27,9,22,26,103,24,1,7,9,2,3,0,0,0,,,,,,,,,46,,,,,,,573,1,28,602,824
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,265,1,219,47,10,28,9,18,10,58,10,5,5,4,1,3,0,0,3,,,,,,,,,31,,,,,,,461,0,22,483,695
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,266,1,166,61,6,10,13,22,22,110,7,1,4,1,0,3,0,0,3,,,,,,,,,26,,,,,,,455,0,31,486,688
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,267,3,226,98,58,34,33,54,22,344,46,10,14,6,1,13,3,0,9,,,,,,,,,94,,,,,,,1065,1,53,1119,1610
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,268,2,93,54,39,36,21,52,11,240,29,15,7,6,3,10,1,0,4,,,,,,,,,55,,,,,,,676,0,36,712,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,269,2,157,65,31,36,17,52,13,212,29,11,16,8,2,11,3,4,3,,,,,,,,,75,,,,,,,745,0,35,780,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,270,1,71,37,12,24,22,19,3,123,11,6,7,2,1,5,0,1,2,,,,,,,,,38,,,,,,,384,1,28,413,624
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,278,2,156,72,26,19,10,28,16,158,20,9,9,0,0,4,8,0,2,,,,,,,,,48,,,,,,,585,1,34,620,793
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,279,2,201,52,39,39,13,49,17,331,43,11,21,2,0,10,4,1,3,,,,,,,,,55,,,,,,,891,0,46,937,1429
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,280,1,85,16,4,9,7,16,13,60,4,2,2,0,1,2,0,0,0,,,,,,,,,13,,,,,,,234,0,13,247,355
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,281,2,280,78,22,27,4,39,20,143,21,6,8,7,0,9,0,0,3,,,,,,,,,40,,,,,,,707,0,36,743,1061
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,289,1,128,45,22,20,10,24,11,122,10,6,3,0,1,4,1,1,1,,,,,,,,,33,,,,,,,442,2,21,465,710
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,290,3,301,136,40,57,45,54,28,436,55,9,20,6,1,20,6,0,8,,,,,,,,,90,,,,,,,1312,0,65,1377,1901
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,291,2,144,52,16,22,18,20,13,171,22,6,7,6,1,6,3,0,2,,,,,,,,,43,,,,,,,552,3,26,581,817
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,292,3,210,78,103,65,49,60,19,418,60,25,21,10,11,23,5,0,6,,,,,,,,,98,,,,,,,1261,0,70,1331,1989
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,293,1,115,27,10,12,7,12,7,94,19,5,5,2,0,6,0,0,0,,,,,,,,,29,,,,,,,350,0,24,374,575
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,302,4,252,93,159,81,76,126,35,308,63,74,12,25,15,34,7,4,9,,,,,,,,,49,,,,,,,1422,0,113,1535,2929
