CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,3,0,C03,63,24,35,30,9,14,8,152,20,8,13,1,4,5,0,0,4,,,,,,,,,29,,,,,,,419,0,26,445,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,B,1,0,B,42,23,21,12,7,18,6,102,19,5,10,0,1,4,1,0,4,,,,,,,,,34,,,,,,,309,1,21,331,534,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,1,0,C01,44,19,27,24,13,15,9,97,17,6,3,1,2,4,1,0,2,,,,,,,,,28,,,,,,,312,0,20,332,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,2,0,C02,38,24,35,23,17,13,7,101,8,5,5,0,1,5,0,0,2,,,,,,,,,30,,,,,,,314,0,15,329,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,B,1,0,B,52,31,18,16,12,17,4,124,19,7,10,3,4,2,2,0,5,,,,,,,,,39,,,,,,,365,0,22,387,600,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,1,0,C01,45,30,21,21,18,8,7,111,19,11,13,5,3,4,0,0,1,,,,,,,,,18,,,,,,,335,0,28,363,599,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,2,0,C02,49,28,20,19,18,20,11,135,16,8,6,1,3,9,2,0,7,,,,,,,,,43,,,,,,,395,2,12,409,599,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,B,1,0,B,73,31,22,27,11,20,9,127,26,4,11,1,4,5,1,0,3,,,,,,,,,42,,,,,,,417,0,15,432,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,1,0,C01,88,47,26,21,13,18,3,126,15,5,9,2,0,9,1,0,1,,,,,,,,,47,,,,,,,431,1,20,452,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,2,0,C02,78,28,22,26,12,23,7,135,18,8,8,5,3,7,2,1,6,,,,,,,,,26,,,,,,,415,1,30,446,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,B,1,0,B,71,28,38,28,8,14,6,138,22,9,8,0,6,5,2,0,1,,,,,,,,,46,,,,,,,430,0,25,455,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,C,1,0,C01,73,39,41,29,21,17,5,118,24,7,8,4,3,7,1,0,3,,,,,,,,,41,,,,,,,441,0,13,454,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,S,1,0,SMR01,9,6,4,2,5,4,1,23,5,0,3,1,1,2,0,0,1,,,,,,,,,6,,,,,,,73,0,3,76,0,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,B,1,0,B,110,27,25,10,12,15,11,69,16,7,5,4,5,13,0,0,2,,,,,,,,,43,,,,,,,374,0,13,387,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,1,0,C01,93,18,17,14,12,10,11,88,17,5,2,5,0,3,0,0,1,,,,,,,,,29,,,,,,,325,0,15,340,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,2,0,C02,88,33,45,18,6,16,12,77,20,38,7,3,47,2,1,1,1,,,,,,,,,38,,,,,,,453,0,0,453,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,B,1,0,B,85,22,17,11,5,13,16,92,11,4,5,1,1,4,0,0,1,,,,,,,,,22,,,,,,,310,0,15,325,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,C,1,0,C01,101,21,8,15,7,7,7,68,6,7,5,3,0,6,1,0,0,,,,,,,,,37,,,,,,,299,0,14,313,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,B,1,0,B,73,22,10,15,9,17,5,92,7,4,3,1,1,6,0,0,1,,,,,,,,,18,,,,,,,284,0,11,295,415,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,C,1,0,C01,77,33,4,9,9,14,5,70,13,2,5,1,0,3,1,1,1,,,,,,,,,21,,,,,,,269,0,11,280,414,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,B,1,0,B,95,19,21,17,20,21,9,105,21,5,4,3,1,8,3,0,3,,,,,,,,,38,,,,,,,393,0,17,410,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,1,0,C01,81,21,7,19,19,16,4,130,17,6,6,2,0,6,0,0,0,,,,,,,,,29,,,,,,,363,0,15,378,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,2,0,C02,79,21,19,16,20,22,6,129,24,3,1,0,3,10,1,0,5,,,,,,,,,36,,,,,,,395,0,13,408,614,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,B,1,0,B,124,42,7,7,9,13,8,84,13,3,2,2,0,5,2,0,0,,,,,,,,,0,,,,,,,321,0,14,335,550,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,C,1,0,C01,125,28,10,8,3,7,6,94,11,3,2,5,1,1,1,0,0,,,,,,,,,17,,,,,,,322,1,20,343,549,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,C,2,0,C02,147,38,10,11,3,19,4,84,9,2,4,3,0,4,2,0,1,,,,,,,,,26,,,,,,,367,0,9,376,549,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,0,E01,58,30,24,13,19,26,11,165,18,13,7,1,2,12,0,0,4,,,,,,,,,0,,,,,,,403,1,25,429,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,1,E01C01,54,16,35,24,16,22,8,145,18,8,10,3,4,8,1,1,6,,,,,,,,,51,,,,,,,430,0,15,445,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,2,E01C02,46,23,29,11,16,15,8,150,26,4,6,5,2,8,2,0,6,,,,,,,,,44,,,,,,,401,0,22,423,742,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,3,E01C03,59,23,24,22,16,29,9,145,17,9,12,4,0,7,1,0,3,,,,,,,,,50,,,,,,,430,0,22,452,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,4,E01C04,51,38,18,17,13,18,6,163,22,10,6,1,1,12,0,0,0,,,,,,,,,36,,,,,,,412,0,15,427,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,E,1,5,E01C05,70,13,17,18,17,18,8,161,26,10,5,3,4,2,1,1,4,,,,,,,,,55,,,,,,,433,0,20,453,742,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,B,1,0,B,56,26,14,13,12,20,4,131,17,8,5,4,0,9,1,0,4,,,,,,,,,20,,,,,,,344,0,23,367,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,C,1,0,C01,50,36,10,13,12,17,2,133,14,4,2,1,0,9,0,0,6,,,,,,,,,27,,,,,,,336,1,23,360,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,C,2,0,C02,41,25,3,15,19,14,3,140,17,3,10,3,1,3,1,0,3,,,,,,,,,29,,,,,,,330,0,19,349,562,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,B,1,0,B,48,23,14,21,11,9,8,141,20,9,4,2,2,3,0,0,8,,,,,,,,,28,,,,,,,351,0,27,378,637,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,C,1,0,C01,46,30,15,21,12,26,5,157,18,3,4,2,1,1,1,0,1,,,,,,,,,33,,,,,,,376,0,27,403,636,Grupo de recuento,,,
