Municipio,Seccion,PAN,PRI,PRD,PVEM,Convergencia,PT,PANAL,PRI-PVEM,VÁLIDOS,NULOS,TOTAL,LISTANOMINAL
Huimilpan,151,331,,20,,3,2,,77,433,27,460,977
Huimilpan,152,584,,9,,16,5,,328,942,46,988,1710
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Jalpan de Serra,153,537,586,47,90,11,9,40,,1320,30,1350,2086
Jalpan de Serra,154,513,446,37,32,13,4,22,,1067,34,1101,1677
Jalpan de Serra,155,470,329,18,46,28,0,20,,911,45,956,1530
Jalpan de Serra,156,456,400,25,29,8,12,25,,955,28,983,1487
Jalpan de Serra,157,295,154,3,4,0,0,5,,461,31,492,860
Jalpan de Serra,158,256,218,5,7,3,4,22,,515,35,550,1114
Jalpan de Serra,159,122,92,1,1,1,2,1,,220,12,232,418
Jalpan de Serra,160,142,126,16,8,20,7,5,,324,12,336,526
Jalpan de Serra,161,249,273,10,10,9,6,4,,561,27,588,1049
Jalpan de Serra,162,125,131,3,4,7,5,2,,277,13,290,581
Jalpan de Serra,163,173,188,10,11,21,8,0,,411,19,430,889
Jalpan de Serra,164,257,105,8,9,4,5,0,,388,15,403,767
Jalpan de Serra,165,115,95,10,14,1,4,1,,240,27,267,520
Jalpan de Serra,166,143,89,23,4,2,9,8,,278,22,300,573
Jalpan de Serra,167,386,224,10,12,3,6,1,,642,35,677,1291
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Landa de Matamoros,168,484,268,249,3,2,,,,1006,61,1067,1697
Landa de Matamoros,169,186,149,45,3,0,,,,383,12,395,743
Landa de Matamoros,170,203,185,27,3,2,,,,420,7,427,743
Landa de Matamoros,171,388,179,151,10,2,,,,730,33,763,1308
Landa de Matamoros,172,197,144,47,3,4,,,,395,18,413,713
Landa de Matamoros,173,151,119,69,2,0,,,,341,0,341,584
Landa de Matamoros,174,227,208,138,11,6,,,,590,34,624,1099
Landa de Matamoros,175,244,134,97,5,0,,,,480,17,497,821
Landa de Matamoros,176,461,284,99,7,3,,,,854,43,897,1458
Landa de Matamoros,177,151,115,58,5,1,,,,330,18,348,545
Landa de Matamoros,178,110,97,45,1,7,,,,260,13,273,464
Landa de Matamoros,179,133,88,24,2,0,,,,247,13,260,399
Landa de Matamoros,180,409,311,96,5,4,,,,825,42,867,1343
Landa de Matamoros,181,137,82,30,0,1,,,,250,0,250,405
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pedro Escobedo,210,421,,274,,17,3,,213,928,19,947,1365
Pedro Escobedo,211,496,,166,,13,4,,140,819,12,831,1147
Pedro Escobedo,212,418,,259,,15,11,,238,941,13,954,1271
Pedro Escobedo,213,545,,183,,13,3,,107,851,20,871,1196
Pedro Escobedo,214,528,,234,,12,5,,194,973,33,1006,1580
Pedro Escobedo,215,490,,114,,7,6,,183,800,15,815,1373
Pedro Escobedo,216,529,,363,,11,49,,200,1152,37,1189,1750
Pedro Escobedo,217,370,,239,,2,7,,248,866,20,886,1405
Pedro Escobedo,218,340,,133,,7,3,,147,630,9,639,953
Pedro Escobedo,219,232,,384,,4,7,,247,874,11,885,1169
Pedro Escobedo,220,426,,162,,2,14,,172,776,22,798,1346
Pedro Escobedo,221,502,,115,,3,12,,152,784,33,817,1436
Pedro Escobedo,222,719,,211,,8,7,,323,1268,23,1291,1933
Pedro Escobedo,223,563,,324,,9,7,,151,1054,24,1078,1503
Pedro Escobedo,224,714,,358,,15,6,,190,1283,35,1318,1764
Pedro Escobedo,225,523,,236,,15,12,,135,921,20,941,1258
Pedro Escobedo,226,533,,242,,6,2,,262,1045,28,1073,1553
Pedro Escobedo,227,187,,870,,18,13,,142,1230,61,1291,1763
Pedro Escobedo,228,210,,690,,5,2,,104,1011,53,1064,1544
Pedro Escobedo,229,285,,57,,2,1,,122,467,17,484,750
Pedro Escobedo,230,789,,437,,5,26,,331,1588,49,1637,2544
Pedro Escobedo,231,795,,134,,3,5,,280,1217,38,1255,1951
Pedro Escobedo,232,176,,31,,0,0,,96,303,13,316,491
Pedro Escobedo,233,479,,265,,23,5,,132,904,16,920,1287
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Peñamiller,234,91,,230,,9,0,,386,716,31,747,1100
Peñamiller,235,43,,104,,1,2,,91,241,18,259,359
Peñamiller,236,29,,42,,0,1,,90,162,7,169,322
Peñamiller,237,206,,119,,3,3,,512,843,37,880,1429
Peñamiller,238,106,,61,,0,4,,84,255,14,269,507
Peñamiller,239,28,,36,,0,0,,119,183,27,210,448
Peñamiller,240,104,,208,,12,8,,314,646,35,681,1003
Peñamiller,241,95,,93,,3,1,,285,477,25,502,939
Peñamiller,242,134,,116,,3,4,,166,423,27,450,860
Peñamiller,243,86,,138,,2,1,,125,352,16,368,578
Peñamiller,244,45,,60,,0,0,,147,252,10,262,397
Peñamiller,245,84,,551,,7,13,,454,1109,46,1155,1627
Peñamiller,246,6,,13,,2,1,,56,78,6,84,107
Peñamiller,247,109,,271,,6,21,,403,810,37,847,1272
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pinal de Amoles,248,370,,358,,20,7,,171,926,34,960,1376
Pinal de Amoles,249,241,,206,,5,3,,68,523,18,541,815
Pinal de Amoles,250,321,,40,,1,5,,347,714,29,743,1306
Pinal de Amoles,251,224,,112,,1,6,,311,654,33,687,1191
Pinal de Amoles,252,149,,25,,0,2,,145,321,19,340,588
Pinal de Amoles,253,638,,78,,0,2,,409,1127,35,1162,1745
Pinal de Amoles,254,271,,95,,5,0,,164,535,23,558,1020
Pinal de Amoles,255,30,,59,,0,2,,51,142,8,150,308
Pinal de Amoles,256,153,,25,,2,3,,214,397,21,418,683
Pinal de Amoles,257,91,,48,,1,1,,65,206,6,212,339
Pinal de Amoles,258,284,,151,,5,5,,133,578,43,621,1017
Pinal de Amoles,259,237,,71,,17,10,,148,483,47,530,890
Pinal de Amoles,260,382,,52,,2,2,,100,538,45,583,1109
Pinal de Amoles,261,282,,33,,5,2,,223,545,34,579,1118
Pinal de Amoles,262,258,,222,,0,6,,151,637,60,697,1285
Pinal de Amoles,263,77,,61,,19,0,,95,252,15,267,497
Pinal de Amoles,264,126,,85,,1,2,,94,308,10,318,571
Pinal de Amoles,265,85,,21,,0,3,,25,134,11,145,260
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Querétaro,266,716,,110,,16,7,18,514,1381,35,1416,2566
Querétaro,267,780,,44,,6,6,7,232,1075,11,1086,1680
Querétaro,268,1219,,53,,23,5,4,143,1447,6,1453,1962
Querétaro,269,1094,,50,,25,2,7,153,1331,9,1340,1803
Querétaro,270,1017,,248,,37,25,45,493,1865,43,1908,3700
Querétaro,272,623,,139,,29,11,31,312,1145,24,1169,2108
Querétaro,273,1725,,439,,54,25,50,651,2944,52,2996,5256
Querétaro,274,633,,150,,19,18,28,275,1123,26,1149,1872
Querétaro,275,344,,132,,12,13,16,322,839,29,868,1562
Querétaro,276,1075,,316,,26,65,49,837,2368,96,2464,4432
Querétaro,277,1295,,342,,45,28,53,653,2416,31,2447,3783
Querétaro,278,1510,,458,,39,41,45,671,2764,52,2816,4906
Querétaro,279,351,,60,,24,2,15,188,640,5,645,964
Querétaro,280,556,,75,,15,7,26,257,936,15,951,1431
Querétaro,281,601,,109,,22,3,27,278,1040,14,1054,1545
Querétaro,282,2005,,352,,65,23,72,716,3233,35,3268,5016
Querétaro,283,490,,80,,18,6,21,245,860,10,870,1222
Querétaro,284,514,,80,,16,4,16,207,837,4,841,1186
Querétaro,285,289,,121,,21,27,17,276,751,17,768,1522
Querétaro,286,266,,114,,11,66,22,285,764,25,789,1671
Querétaro,287,399,,124,,19,14,13,224,793,17,810,1493
Querétaro,288,698,,232,,32,21,32,394,1409,18,1427,2366
Querétaro,289,428,,79,,17,8,19,152,703,14,717,1051
Querétaro,290,377,,53,,20,1,9,188,648,10,658,1003
Querétaro,291,520,,112,,33,6,23,333,1027,14,1041,1505
Querétaro,292,550,,59,,9,10,20,253,901,7,908,1360
Querétaro,294,432,,81,,17,1,14,147,692,11,703,1089
Querétaro,295,388,,152,,13,40,27,426,1046,38,1084,2145
Querétaro,296,394,,85,,9,17,17,227,749,20,769,1316
Querétaro,297,650,,83,,27,3,25,293,1081,18,1099,1587
Querétaro,298,507,,73,,16,7,21,190,814,15,829,1270
Querétaro,299,572,,61,,10,4,24,184,855,28,883,1320
Querétaro,300,872,,140,,31,6,49,348,1446,21,1467,2610
Querétaro,301,492,,78,,17,7,17,226,837,8,845,1283
Querétaro,302,645,,87,,28,10,20,281,1071,12,1083,1528
Querétaro,303,1047,,344,,33,23,41,520,2008,34,2042,3326
Querétaro,304,469,,131,,19,30,42,418,1109,34,1143,2078
Querétaro,305,969,,199,,27,22,30,466,1713,18,1731,2813
Querétaro,306,455,,82,,15,4,13,144,713,16,729,1018
Querétaro,307,415,,53,,10,3,14,146,641,15,656,1006
Querétaro,308,1489,,276,,42,8,49,483,2347,30,2377,3491
Querétaro,309,407,,63,,18,1,27,144,660,12,672,986
Querétaro,310,497,,56,,17,6,15,185,776,6,782,1161
Querétaro,311,325,,53,,16,8,17,151,570,5,575,894
Querétaro,312,400,,66,,12,4,13,241,736,7,743,1167
Querétaro,313,908,,88,,27,10,11,211,1255,7,1262,1736
Querétaro,314,419,,75,,20,5,19,213,751,16,767,1112
Querétaro,315,350,,68,,18,7,25,193,661,8,669,1024
Querétaro,316,746,,108,,14,13,29,297,1207,8,1215,1881
Querétaro,317,341,,74,,6,16,18,194,649,12,661,1005
Querétaro,318,1333,,252,,40,27,50,674,2376,29,2405,3639
Querétaro,319,1333,,246,,58,18,46,677,2378,23,2401,3651
Querétaro,320,685,,113,,25,15,22,426,1286,16,1302,2120
Querétaro,321,509,,85,,14,9,11,251,879,6,885,1289
Querétaro,322,377,,72,,16,10,18,180,673,10,683,995
Querétaro,323,2368,,384,,73,29,114,927,3895,35,3930,5940
Querétaro,324,406,,60,,7,3,14,199,689,9,698,1023
Querétaro,325,437,,40,,15,8,16,220,736,7,743,1041
Querétaro,326,431,,128,,12,8,16,304,899,20,919,1789
Querétaro,327,813,,135,,24,11,20,269,1272,6,1278,1971
Querétaro,328,917,,170,,25,12,34,412,1570,30,1600,2524
Querétaro,329,798,,132,,39,10,25,329,1333,7,1340,2062
Querétaro,330,482,,124,,6,5,20,206,843,16,859,1283
Querétaro,331,637,,154,,12,19,33,354,1209,29,1238,2112
Querétaro,332,463,,114,,8,9,13,264,871,24,895,1586
Querétaro,333,805,,53,,29,3,8,194,1092,7,1099,1434
Querétaro,334,753,,70,,25,7,20,189,1064,8,1072,1444
Querétaro,335,327,,73,,17,4,25,217,663,16,679,1284
Querétaro,336,434,,81,,10,13,16,266,820,22,842,1531
Querétaro,337,504,,67,,20,5,34,188,818,7,825,1286
Querétaro,338,1253,,110,,41,12,23,388,1827,17,1844,2715
Querétaro,339,394,,51,,6,6,12,133,602,6,608,902
Querétaro,340,675,,152,,21,11,17,340,1216,39,1255,2070
Querétaro,341,447,,83,,18,3,21,217,789,12,801,1192
Querétaro,342,341,,68,,7,9,8,139,572,3,575,848
Querétaro,343,1058,,167,,27,9,24,400,1685,19,1704,2446
Querétaro,344,1296,,240,,37,12,51,597,2233,31,2264,3661
Querétaro,345,564,,138,,17,12,27,313,1071,34,1105,1901
Querétaro,346,512,,134,,18,9,20,319,1012,14,1026,1648
Querétaro,347,551,,91,,23,10,18,223,916,20,936,1379
Querétaro,348,455,,102,,18,8,13,192,788,30,818,1198
Querétaro,349,763,,60,,35,6,18,231,1113,2,1115,1592
Querétaro,350,411,,68,,12,7,23,203,724,20,744,1162
Querétaro,351,767,,46,,20,5,13,174,1025,6,1031,1391
Querétaro,352,432,,39,,16,6,6,166,665,9,674,1171
Querétaro,353,1493,,168,,34,9,28,345,2077,17,2094,2721
Querétaro,354,371,,85,,20,15,16,208,715,18,733,1148
Querétaro,355,397,,140,,18,8,14,204,781,19,800,1287
Querétaro,356,660,,122,,22,9,29,315,1157,8,1165,1773
Querétaro,357,779,,142,,23,9,25,297,1275,14,1289,1891
Querétaro,358,343,,57,,10,4,15,121,550,2,552,744
Querétaro,359,839,,178,,29,8,32,393,1479,15,1494,2120
Querétaro,360,523,,129,,15,11,15,326,1019,23,1042,1736
Querétaro,361,367,,62,,13,12,13,189,656,8,664,1024
Querétaro,362,322,,64,,17,12,16,214,645,12,657,1033
Querétaro,363,369,,75,,13,16,12,268,753,19,772,1281
Querétaro,364,763,,57,,24,5,12,249,1110,5,1115,1486
Querétaro,365,271,,45,,7,15,14,150,502,16,518,930
Querétaro,366,181,,42,,9,9,12,142,395,5,400,702
Querétaro,367,231,,37,,5,8,9,145,435,4,439,693
Querétaro,368,430,,65,,5,8,16,241,765,9,774,1231
Querétaro,369,513,,42,,16,3,10,181,765,2,767,1010
Querétaro,370,358,,36,,22,5,9,185,615,5,620,897
Querétaro,371,276,,71,,15,9,17,167,555,7,562,848
Querétaro,372,636,,110,,35,8,10,333,1132,16,1148,1625
Querétaro,373,428,,99,,26,8,22,355,938,27,965,1529
Querétaro,374,577,,40,,24,6,4,152,803,5,808,1072
Querétaro,375,728,,80,,22,6,21,242,1099,15,1114,1464
Querétaro,376,458,,77,,26,9,23,220,813,25,838,1307
Querétaro,377,383,,73,,17,6,21,296,796,25,821,1281
Querétaro,378,223,,36,,9,6,7,152,433,17,450,760
Querétaro,379,402,,50,,17,7,15,181,672,6,678,895
Querétaro,380,514,,100,,13,7,15,279,928,17,945,1368
Querétaro,381,676,,179,,24,9,26,339,1253,12,1265,1938
Querétaro,382,653,,75,,39,8,31,286,1092,12,1104,1451
Querétaro,383,456,,59,,20,6,9,171,721,10,731,954
Querétaro,384,326,,35,,18,4,5,161,549,8,557,754
Querétaro,385,234,,48,,11,6,14,119,432,1,433,665
Querétaro,386,430,,94,,44,1,12,351,932,13,945,1373
Querétaro,387,398,,78,,29,4,6,275,790,22,812,1130
Querétaro,388,466,,64,,27,10,19,303,889,8,897,1235
Querétaro,389,665,,62,,23,2,9,185,946,14,960,1300
Querétaro,390,286,,31,,24,2,12,107,462,10,472,679
Querétaro,391,227,,32,,8,3,26,133,429,3,432,628
Querétaro,392,496,,69,,25,3,14,221,828,5,833,1114
Querétaro,393,758,,84,,21,13,29,272,1177,20,1197,1686
Querétaro,394,395,,59,,22,3,21,250,750,11,761,1252
Querétaro,395,359,,87,,8,6,11,228,699,10,709,1321
Querétaro,396,340,,71,,15,6,13,210,655,11,666,1208
Querétaro,397,374,,70,,15,7,18,213,697,10,707,1149
Querétaro,398,197,,49,,14,4,10,150,424,4,428,700
Querétaro,399,445,,54,,20,9,14,215,757,15,772,1156
Querétaro,400,223,,25,,7,5,11,138,409,10,419,651
Querétaro,401,504,,37,,27,7,10,192,777,10,787,1053
Querétaro,402,564,,37,,33,2,12,163,811,7,818,1028
Querétaro,403,608,,46,,33,1,10,210,908,6,914,1189
Querétaro,404,1505,,94,,43,11,22,270,1945,3,1948,2544
Querétaro,405,535,,44,,34,1,6,133,753,5,758,989
Querétaro,406,308,,49,,26,9,6,141,539,5,544,780
Querétaro,407,537,,67,,25,9,7,273,918,12,930,1422
Querétaro,408,427,,79,,15,8,13,213,755,18,773,1225
