MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,Total,Comment
CANELAS,46,B,19,4,0,18,0,0,0,0,0,41,0,1,42,
CANELAS,47,B,42,11,0,45,0,0,0,0,0,98,0,0,98,
CANELAS,48,B,44,10,0,52,0,0,0,0,0,106,0,4,110,
CANELAS,50,B,4,10,1,45,0,0,0,0,0,60,5,1,66,
CANELAS,51,B,11,4,0,6,0,0,0,0,0,21,0,0,21,
CANELAS,52,B,1,25,0,18,0,0,0,0,0,44,0,0,44,
CANELAS,53,B,64,21,2,12,0,0,0,0,0,99,0,7,106,
CANELAS,54,B,18,4,1,14,0,0,0,0,0,37,0,2,39,
CANELAS,55,B,15,12,0,64,0,0,0,0,0,91,0,2,93,
CANELAS,56,B,31,26,2,66,0,0,0,0,0,125,0,4,129,
,,,,,,,,,,,,,,,,
CONETO DE COMONFORT,57,B,36,106,1,40,0,0,0,0,145,328,0,1,329,
CONETO DE COMONFORT,58,B,0,46,0,42,0,0,0,0,43,131,0,2,133,
CONETO DE COMONFORT,59,B,3,22,0,4,0,0,0,0,41,70,0,0,70,
CONETO DE COMONFORT,60,B,46,72,0,27,0,0,0,0,45,190,0,3,193,
CONETO DE COMONFORT,61,B,4,10,0,12,0,0,0,0,33,59,0,0,59,
CONETO DE COMONFORT,62,B,44,35,0,17,0,0,0,0,26,122,0,26,148,
CONETO DE COMONFORT,63,B,18,150,1,190,0,0,0,0,81,440,0,5,445,
CONETO DE COMONFORT,63,X,2,19,0,14,0,0,0,0,4,39,0,1,40,
CONETO DE COMONFORT,64,B,8,34,2,21,0,0,0,0,69,134,0,0,134,
CONETO DE COMONFORT,65,B,5,80,1,20,0,0,0,0,83,189,0,0,189,
,,,,,,,,,,,,,,,,
CUENCAME,66,B,129,177,21,10,0,0,0,4,3,344,0,10,354,
CUENCAME,66,C,145,163,24,4,0,0,0,3,3,342,0,5,347,
CUENCAME,67,B,97,103,10,3,0,0,0,1,4,218,0,10,228,
CUENCAME,67,C,119,90,14,1,0,0,0,0,4,228,0,0,228,
CUENCAME,68,B,110,83,13,2,0,0,0,2,0,210,0,3,213,
CUENCAME,68,C,94,115,21,1,0,0,0,1,3,235,0,10,245,
CUENCAME,69,B,174,219,14,14,0,0,0,3,2,426,0,8,434,
CUENCAME,69,C,136,226,28,10,0,0,0,3,9,412,0,10,422,
CUENCAME,70,B,168,181,24,6,0,0,0,5,0,384,1,14,399,
CUENCAME,71,B,12,10,0,4,0,0,0,0,0,26,0,0,26,
CUENCAME,72,B,84,84,3,4,0,0,0,0,0,175,0,6,181,
CUENCAME,73,B,53,75,11,8,0,0,0,7,0,154,0,7,161,
CUENCAME,73,C,53,59,14,10,0,0,0,5,0,141,0,9,150,
CUENCAME,74,B,76,30,0,1,0,0,0,2,1,110,0,1,111,
CUENCAME,75,B,110,152,11,8,0,0,0,1,1,283,0,8,291,
CUENCAME,76,B,75,63,0,1,0,0,0,1,1,141,0,8,149,
CUENCAME,76,C,70,80,1,5,0,0,0,0,0,156,0,8,164,
CUENCAME,77,B,53,47,0,2,0,0,0,2,0,104,0,2,106,
CUENCAME,78,,69,92,1,17,0,0,0,0,0,179,0,17,196,
CUENCAME,79,B,62,59,0,10,0,0,0,0,0,131,0,3,134,
CUENCAME,80,B,103,127,2,2,0,0,0,1,0,235,0,9,244,
CUENCAME,80,C,106,112,2,2,0,0,0,0,0,222,0,5,227,
CUENCAME,81,B,42,107,2,2,0,0,0,1,0,154,0,0,154,
CUENCAME,82,B,18,35,1,0,0,0,0,0,1,55,0,1,56,
CUENCAME,82,X,44,7,5,1,0,0,0,0,0,57,0,1,58,
CUENCAME,83,B,62,60,2,2,0,0,0,1,2,129,0,2,131,
CUENCAME,84,B,44,88,14,2,0,0,0,0,0,148,0,0,148,
CUENCAME,85,B,36,43,6,4,0,0,0,0,0,89,0,4,93,
CUENCAME,86,B,42,62,2,4,0,0,0,5,0,115,0,0,115,
CUENCAME,87,B,59,105,0,2,0,0,0,12,0,178,0,4,182,
CUENCAME,88,B,12,27,2,0,0,0,0,0,0,41,0,1,42,
CUENCAME,89,B,26,66,2,4,0,0,0,0,1,99,0,1,100,
CUENCAME,90,B,59,51,0,4,0,0,0,2,0,116,0,0,116,
CUENCAME,91,B,58,84,3,8,0,0,0,0,1,154,0,1,155,
CUENCAME,92,B,26,25,0,6,0,0,0,0,1,58,0,2,60,
CUENCAME,93,B,11,35,0,3,0,0,0,0,1,50,0,0,50,
CUENCAME,94,B,151,119,1,3,0,0,0,0,1,275,0,2,277,
CUENCAME,95,B,51,89,1,11,0,0,0,0,0,152,0,1,153,
CUENCAME,95,C,70,75,2,2,0,0,0,1,0,150,0,5,155,
CUENCAME,96,B,64,92,1,65,0,0,0,0,0,222,0,6,228,
CUENCAME,97,B,127,76,2,2,0,0,0,1,0,208,0,9,217,
CUENCAME,97,X,22,26,0,2,0,0,0,0,1,51,0,1,52,
CUENCAME,98,B,5,19,1,3,0,0,0,0,0,28,0,0,28,
CUENCAME,99,B,88,66,8,4,0,0,0,0,1,167,0,2,169,
CUENCAME,99,C,84,98,6,0,0,0,0,0,2,190,0,4,194,
CUENCAME,100,B,53,73,6,3,0,0,0,0,0,135,0,4,139,
CUENCAME,100,C,59,85,8,4,0,0,0,1,0,157,0,9,166,
CUENCAME,101,B,92,91,6,5,0,0,0,0,0,194,0,5,199,
CUENCAME,102,B,94,95,3,2,0,0,0,0,0,194,0,0,194,
CUENCAME,103,B,176,84,2,8,0,0,0,1,1,272,1,8,281,
CUENCAME,104,B,24,69,3,0,0,0,0,0,0,96,0,19,115,
CUENCAME,105,B,109,116,46,7,0,0,0,0,0,278,0,8,286,
CUENCAME,106,B,99,53,18,4,0,0,0,0,0,174,0,9,183,
CUENCAME,107,B,49,26,0,16,0,0,0,0,0,91,0,4,95,
,,,,,,,,,,,,,,,,
SIMON BOLIVAR,420,B,11,104,101,2,0,0,0,0,4,222,0,5,227,
SIMON BOLIVAR,420,C,12,124,103,2,0,0,0,0,8,249,0,0,249,
SIMON BOLIVAR,421,B,11,20,3,1,0,0,0,0,2,37,0,0,37,
SIMON BOLIVAR,422,B,12,293,40,6,0,0,0,0,11,362,0,15,377,
SIMON BOLIVAR,423,B,17,62,60,10,0,0,0,0,0,149,0,0,149,
SIMON BOLIVAR,424,B,6,253,19,16,0,0,0,0,9,303,0,0,303,
SIMON BOLIVAR,425,B,11,123,15,8,0,0,0,0,17,174,0,5,179,
SIMON BOLIVAR,426,B,19,175,7,4,0,0,0,0,202,407,4,3,414,
SIMON BOLIVAR,427,B,30,93,13,5,0,0,0,0,16,157,0,0,157,
SIMON BOLIVAR,428,B,3,62,5,2,0,0,0,0,1,73,0,2,75,
SIMON BOLIVAR,428,X,3,40,11,1,0,0,0,0,5,60,0,4,64,
SIMON BOLIVAR,429,B,22,57,9,4,0,0,0,0,17,109,0,13,122,
SIMON BOLIVAR,429,X,3,58,9,3,0,0,0,0,0,73,0,5,78,
SIMON BOLIVAR,429,X,3,70,3,1,0,0,0,0,10,87,0,2,89,
SIMON BOLIVAR,430,B,9,76,27,1,0,0,0,0,14,127,0,0,127,
SIMON BOLIVAR,430,X,1,45,24,2,0,0,0,0,0,72,0,0,72,
SIMON BOLIVAR,431,B,36,206,84,11,0,0,0,0,7,344,0,5,349,
SIMON BOLIVAR,432,B,5,55,2,1,0,0,0,0,5,68,0,1,69,
SIMON BOLIVAR,433,B,3,62,26,7,0,0,0,0,2,100,0,2,102,
SIMON BOLIVAR,434,B,6,52,22,1,0,0,0,0,3,84,0,4,88,
SIMON BOLIVAR,435,B,6,90,39,1,0,0,0,0,11,147,0,0,147,
SIMON BOLIVAR,435,C,3,85,48,2,0,0,0,0,12,150,5,11,166,
SIMON BOLIVAR,435,X,23,50,11,5,0,0,0,0,1,90,0,1,91,
,,,,,,,,,,,,,,,,
GOMEZ PALACIO,436,B,69,220,9,0,1,0,0,0,0,299,0,2,301,
GOMEZ PALACIO,437,B,123,181,26,0,6,0,0,0,17,353,0,0,353,
GOMEZ PALACIO,438,B,35,178,5,4,0,0,0,0,1,223,0,8,231,
GOMEZ PALACIO,438,C,39,186,8,1,0,0,0,0,5,239,0,5,244,
GOMEZ PALACIO,439,B,54,224,5,0,0,0,0,0,5,288,0,4,292,
GOMEZ PALACIO,439,C,53,200,3,0,2,0,0,1,3,262,0,1,263,
GOMEZ PALACIO,439,C,48,219,4,3,0,0,0,0,6,280,0,2,282,
GOMEZ PALACIO,439,C,127,367,6,2,0,0,0,0,13,515,0,15,530,
GOMEZ PALACIO,440,B,46,140,0,0,0,0,0,2,3,191,0,8,199,
GOMEZ PALACIO,440,C,26,164,1,1,1,0,0,0,2,195,0,1,196,
GOMEZ PALACIO,441,B,11,127,1,0,0,0,0,1,5,145,0,1,146,
GOMEZ PALACIO,441,C,24,121,3,1,1,0,0,0,8,158,0,3,161,
GOMEZ PALACIO,442,B,67,229,2,0,1,0,0,1,14,314,1,6,321,
GOMEZ PALACIO,443,B,24,173,2,1,1,0,0,0,0,201,0,0,201,
GOMEZ PALACIO,443,C,29,182,1,0,1,0,0,0,8,221,0,5,226,
GOMEZ PALACIO,443,C,32,131,1,3,0,0,0,1,3,171,0,0,171,
GOMEZ PALACIO,444,B,33,195,0,1,2,0,0,3,5,239,0,3,242,
GOMEZ PALACIO,445,B,53,156,3,1,8,0,0,2,18,241,0,5,246,
GOMEZ PALACIO,445,C,20,96,2,0,3,0,0,0,2,123,0,2,125,
GOMEZ PALACIO,446,C,25,116,7,23,14,0,0,0,4,189,0,7,196,
GOMEZ PALACIO,446,C,15,176,5,24,13,0,0,0,8,241,0,6,247,
GOMEZ PALACIO,446,B,28,184,0,23,7,0,0,0,3,245,0,5,250,
GOMEZ PALACIO,447,B,51,223,8,3,2,0,0,0,5,292,0,2,294,
GOMEZ PALACIO,447,C,61,213,3,1,3,0,0,1,4,286,0,0,286,
GOMEZ PALACIO,447,C,53,234,6,0,0,0,0,1,2,296,0,1,297,
GOMEZ PALACIO,447,C,58,231,1,1,3,0,0,1,3,298,0,2,300,
GOMEZ PALACIO,447,C,63,218,10,2,2,0,0,0,1,296,0,1,297,
GOMEZ PALACIO,448,B,65,199,5,0,0,0,0,0,4,273,0,2,275,
GOMEZ PALACIO,448,C,45,225,5,0,3,0,0,0,1,279,0,1,280,
GOMEZ PALACIO,449,B,57,175,6,3,1,0,0,1,0,243,0,7,250,
GOMEZ PALACIO,449,C,61,161,9,1,3,0,0,0,3,238,0,3,241,
GOMEZ PALACIO,450,B,61,145,3,3,2,0,0,0,3,217,0,0,217,
GOMEZ PALACIO,450,C,56,158,5,1,1,0,0,0,4,225,0,5,230,
GOMEZ PALACIO,451,B,51,190,1,3,2,0,0,1,1,249,0,5,254,
GOMEZ PALACIO,451,C,54,200,6,0,3,0,0,1,3,267,0,6,273,
GOMEZ PALACIO,452,B,44,164,7,2,1,0,0,1,12,231,0,0,231,
GOMEZ PALACIO,452,C,42,167,2,2,1,0,0,1,2,217,0,5,222,
GOMEZ PALACIO,452,C,39,183,3,0,3,0,0,0,1,229,0,5,234,
GOMEZ PALACIO,453,B,81,214,7,0,3,0,0,0,3,308,0,5,313,
GOMEZ PALACIO,453,C,67,223,7,0,2,0,0,0,5,304,0,9,313,
GOMEZ PALACIO,454,B,8,104,6,0,2,0,1,0,17,138,0,5,143,
GOMEZ PALACIO,454,C,15,112,1,0,1,0,0,0,17,146,0,2,148,
GOMEZ PALACIO,455,B,65,216,3,1,0,0,0,2,6,293,0,7,300,
GOMEZ PALACIO,456,B,10,180,0,2,7,0,0,3,13,215,0,7,222,
GOMEZ PALACIO,457,B,14,106,1,0,0,0,0,0,13,134,0,5,139,
GOMEZ PALACIO,458,B,27,206,6,1,0,0,0,5,11,256,0,3,259,
GOMEZ PALACIO,459,B,37,170,6,5,3,0,0,1,6,228,0,2,230,
GOMEZ PALACIO,459,C,35,167,2,2,5,0,0,0,8,219,0,7,226,
GOMEZ PALACIO,460,B,18,205,2,1,0,0,0,0,8,234,0,7,241,
GOMEZ PALACIO,460,C,21,186,2,1,2,0,0,0,5,217,0,4,221,
GOMEZ PALACIO,461,B,37,170,1,0,2,0,0,1,5,216,0,7,223,
GOMEZ PALACIO,461,C,49,177,1,0,2,0,0,3,3,235,0,1,236,
GOMEZ PALACIO,462,B,33,149,0,0,0,0,0,0,2,184,0,1,185,
GOMEZ PALACIO,462,C,38,136,0,0,0,0,0,0,3,177,0,0,177,
GOMEZ PALACIO,463,B,40,114,1,0,1,0,0,1,3,160,0,3,163,
GOMEZ PALACIO,463,C,30,111,3,2,0,0,0,2,2,150,0,2,152,
GOMEZ PALACIO,464,B,45,143,0,0,1,0,0,0,2,191,0,1,192,
GOMEZ PALACIO,464,C,34,180,0,0,1,0,2,0,1,218,0,2,220,
GOMEZ PALACIO,465,B,52,135,4,0,1,0,0,5,2,199,0,3,202,
GOMEZ PALACIO,466,B,60,156,1,0,0,0,0,2,2,221,0,2,223,
GOMEZ PALACIO,467,B,151,317,4,2,9,0,0,5,9,497,0,6,503,
GOMEZ PALACIO,467,C,60,161,1,0,4,0,0,1,2,229,0,4,233,
GOMEZ PALACIO,468,B,51,179,5,1,0,0,0,7,6,249,0,3,252,
GOMEZ PALACIO,469,B,48,228,4,2,0,0,0,1,8,291,0,7,298,
GOMEZ PALACIO,470,B,34,152,2,0,0,0,0,0,6,194,0,5,199,
GOMEZ PALACIO,471,B,51,159,2,0,3,0,0,0,4,219,0,8,227,
GOMEZ PALACIO,471,C,70,190,3,0,1,0,0,1,6,271,0,3,274,
GOMEZ PALACIO,472,B,56,247,6,0,3,0,0,2,5,319,0,7,326,
GOMEZ PALACIO,472,C,59,207,3,0,1,0,0,2,13,285,0,6,291,
GOMEZ PALACIO,473,B,46,181,2,1,3,0,0,1,11,245,0,0,245,
GOMEZ PALACIO,473,C,72,176,0,2,0,0,0,1,5,256,0,4,260,
GOMEZ PALACIO,473,C,47,207,1,0,1,0,0,0,4,260,0,3,263,
GOMEZ PALACIO,474,B,73,200,5,0,1,0,0,0,10,289,0,8,297,
GOMEZ PALACIO,474,C,60,208,2,0,1,0,0,0,7,278,0,5,283,
GOMEZ PALACIO,475,B,67,205,7,1,1,0,0,0,6,287,0,3,290,
GOMEZ PALACIO,475,C,55,197,1,0,0,0,0,0,10,263,0,8,271,
GOMEZ PALACIO,476,B,19,132,3,0,0,0,0,0,4,158,0,7,165,
GOMEZ PALACIO,476,C,18,141,0,1,0,0,0,1,4,165,0,8,173,
GOMEZ PALACIO,477,B,29,149,0,0,0,0,0,1,5,184,0,5,189,
GOMEZ PALACIO,478,B,57,194,5,0,0,0,0,0,6,262,0,6,268,
GOMEZ PALACIO,479,B,33,123,3,2,1,0,0,2,4,168,0,7,175,
GOMEZ PALACIO,479,C,25,110,4,0,3,0,0,0,3,145,0,4,149,
GOMEZ PALACIO,480,B,36,141,1,1,0,0,0,2,1,182,0,0,182,
GOMEZ PALACIO,480,C,35,137,4,2,1,0,0,0,2,181,0,3,184,
GOMEZ PALACIO,481,B,42,127,4,1,1,0,0,3,1,179,0,4,183,
GOMEZ PALACIO,481,C,57,120,4,0,1,0,0,4,1,187,0,0,187,
GOMEZ PALACIO,482,B,41,131,2,0,2,0,0,4,3,183,0,1,184,
GOMEZ PALACIO,482,C,51,171,1,1,1,0,0,0,1,226,0,2,228,
GOMEZ PALACIO,483,B,42,121,1,1,0,0,0,3,2,170,0,5,175,
GOMEZ PALACIO,483,C,37,116,0,0,1,0,0,0,2,156,0,5,161,
GOMEZ PALACIO,484,B,56,129,2,0,0,0,0,1,10,198,0,3,201,
GOMEZ PALACIO,484,C,53,150,1,2,0,0,0,0,2,208,0,4,212,
GOMEZ PALACIO,485,B,38,172,1,2,1,0,0,1,6,221,0,8,229,
GOMEZ PALACIO,485,C,51,191,2,1,0,0,0,0,1,246,0,9,255,
GOMEZ PALACIO,486,B,39,212,1,0,1,0,0,1,8,262,0,4,266,
GOMEZ PALACIO,486,C,55,193,5,2,0,0,0,0,7,262,0,8,270,
GOMEZ PALACIO,487,B,36,156,9,0,5,0,0,0,1,207,0,8,215,
GOMEZ PALACIO,487,C,33,163,10,3,0,0,0,0,4,213,0,8,221,
GOMEZ PALACIO,488,B,27,139,1,1,1,0,0,0,1,170,0,5,175,
GOMEZ PALACIO,488,C,31,126,2,1,1,0,0,1,5,167,0,4,171,
GOMEZ PALACIO,488,C,21,157,4,1,2,0,0,0,1,186,0,2,188,
GOMEZ PALACIO,489,B,14,103,1,1,3,0,0,0,3,125,0,0,125,
GOMEZ PALACIO,489,C,14,116,3,1,2,0,0,0,1,137,0,1,138,
GOMEZ PALACIO,490,B,12,107,0,2,0,0,0,0,0,121,0,6,127,
GOMEZ PALACIO,490,C,12,111,7,1,0,0,0,0,3,134,0,3,137,
GOMEZ PALACIO,491,B,22,113,2,14,3,0,0,0,5,159,0,10,169,
GOMEZ PALACIO,491,C,24,149,2,7,0,0,0,0,1,183,0,4,187,
GOMEZ PALACIO,491,C,29,118,3,17,3,0,0,0,2,172,0,7,179,
GOMEZ PALACIO,492,B,29,186,4,2,3,0,0,0,5,229,0,5,234,
GOMEZ PALACIO,492,C,31,174,4,0,0,0,0,0,6,215,0,0,215,
GOMEZ PALACIO,493,B,38,143,2,3,0,0,0,1,7,194,0,7,201,
GOMEZ PALACIO,493,C,36,146,1,4,1,0,0,0,4,192,0,4,196,
GOMEZ PALACIO,494,B,57,168,2,0,3,0,0,1,4,235,0,4,239,
GOMEZ PALACIO,494,C,61,162,3,1,3,0,0,0,4,234,0,4,238,
GOMEZ PALACIO,495,B,61,162,1,0,1,0,0,0,3,228,0,4,232,
GOMEZ PALACIO,495,C,78,159,1,0,5,0,0,0,4,247,0,4,251,
GOMEZ PALACIO,496,B,85,249,0,1,2,0,0,0,4,341,0,6,347,
GOMEZ PALACIO,497,B,54,176,3,3,2,0,0,0,3,241,0,6,247,
GOMEZ PALACIO,498,B,68,124,4,2,2,0,0,0,7,207,0,2,209,
GOMEZ PALACIO,498,C,77,141,4,2,0,0,0,1,6,231,0,4,235,
GOMEZ PALACIO,499,B,29,149,2,1,2,0,0,0,6,189,0,7,196,
GOMEZ PALACIO,499,C,41,166,0,1,2,0,0,0,8,218,0,4,222,
GOMEZ PALACIO,500,B,41,178,9,0,2,0,0,1,4,235,0,4,239,
GOMEZ PALACIO,500,C,47,175,2,0,1,0,0,0,2,227,0,4,231,
GOMEZ PALACIO,501,B,51,174,5,3,0,0,0,0,2,235,0,5,240,
GOMEZ PALACIO,501,C,58,167,4,0,1,0,0,1,2,233,0,9,242,
GOMEZ PALACIO,502,B,76,191,2,1,2,0,0,0,5,277,0,3,280,
GOMEZ PALACIO,502,C,71,221,5,2,2,0,0,0,4,305,0,2,307,
GOMEZ PALACIO,502,C,65,191,7,1,2,0,0,0,8,274,0,2,276,
GOMEZ PALACIO,503,B,55,189,6,0,0,0,0,0,2,252,0,0,252,
GOMEZ PALACIO,503,C,61,172,2,0,0,0,0,1,2,238,0,4,242,
GOMEZ PALACIO,504,B,52,132,2,0,1,0,0,0,8,195,0,3,198,
GOMEZ PALACIO,504,C,60,149,3,3,0,0,0,0,4,219,0,5,224,
GOMEZ PALACIO,505,B,82,146,7,0,1,0,0,0,2,238,0,7,245,
GOMEZ PALACIO,505,C,79,176,6,1,1,0,0,0,2,265,0,2,267,
GOMEZ PALACIO,506,B,55,136,0,2,0,0,0,1,4,198,0,7,205,
GOMEZ PALACIO,506,C,52,154,4,0,2,0,0,0,3,215,0,4,219,
GOMEZ PALACIO,507,B,63,123,6,1,0,0,0,0,6,199,0,3,202,
GOMEZ PALACIO,507,C,45,155,6,0,2,0,0,0,3,211,0,5,216,
GOMEZ PALACIO,508,B,75,205,4,1,2,0,0,0,3,290,0,6,296,
GOMEZ PALACIO,509,B,47,233,2,5,2,0,0,0,14,303,0,7,310,
GOMEZ PALACIO,510,B,40,172,5,2,0,0,0,1,15,235,0,2,237,
GOMEZ PALACIO,510,C.,37,161,10,3,1,0,0,0,12,224,0,2,226,
GOMEZ PALACIO,510,C,37,114,5,2,0,1,0,1,30,190,0,12,202,
GOMEZ PALACIO,511,B,30,98,12,2,0,0,0,0,4,146,0,3,149,
GOMEZ PALACIO,511,C,26,108,10,2,0,0,0,0,5,151,0,4,155,
GOMEZ PALACIO,512,B,17,101,0,21,0,0,0,0,3,142,0,2,144,
GOMEZ PALACIO,512,C,23,113,3,21,0,0,0,0,0,160,0,6,166,
GOMEZ PALACIO,513,B,27,141,1,3,0,0,0,1,1,174,0,11,185,
GOMEZ PALACIO,513,C,20,108,1,4,1,0,0,0,6,140,0,12,152,
GOMEZ PALACIO,514,B,56,183,3,1,1,0,0,1,25,270,0,13,283,
GOMEZ PALACIO,515,B,68,187,9,1,1,0,0,1,16,283,0,11,294,
GOMEZ PALACIO,515,C,41,194,1,1,1,0,0,5,11,254,0,0,254,
GOMEZ PALACIO,516,B,52,183,3,0,2,0,0,1,6,247,0,9,256,
GOMEZ PALACIO,517,B,107,185,7,0,0,0,0,0,5,304,1,4,309,
GOMEZ PALACIO,518,B,58,152,2,1,1,0,0,0,1,215,0,4,219,
GOMEZ PALACIO,519,B,65,167,5,0,1,0,0,2,3,243,0,3,246,
GOMEZ PALACIO,519,C,75,159,2,1,0,0,0,0,3,240,0,2,242,
GOMEZ PALACIO,520,B,64,183,4,0,1,0,0,0,2,254,0,4,258,
GOMEZ PALACIO,520,C,64,185,3,1,0,0,0,0,2,255,0,5,260,
GOMEZ PALACIO,521,B,40,194,5,1,1,0,0,0,1,242,0,5,247,
GOMEZ PALACIO,521,C,27,191,1,0,1,0,0,1,0,221,0,9,230,
GOMEZ PALACIO,522,B,63,181,0,0,0,0,0,1,2,247,0,4,251,
GOMEZ PALACIO,522,C,66,146,0,1,1,0,0,1,5,220,0,3,223,
GOMEZ PALACIO,523,B,50,131,1,1,3,0,0,1,2,189,0,4,193,
GOMEZ PALACIO,523,C,40,123,1,1,0,0,0,0,2,167,0,1,168,
GOMEZ PALACIO,524,B,50,198,2,0,0,0,0,0,5,255,0,6,261,
GOMEZ PALACIO,525,B,38,198,4,2,2,0,0,0,5,249,0,6,255,
GOMEZ PALACIO,525,C,41,231,3,5,0,0,0,2,7,289,0,6,295,
GOMEZ PALACIO,526,B,20,88,2,22,0,0,0,0,5,137,0,1,138,
GOMEZ PALACIO,526,C,24,78,2,34,0,0,0,0,6,144,0,1,145,
GOMEZ PALACIO,527,B,40,99,1,1,1,0,0,0,10,152,0,0,152,
GOMEZ PALACIO,527,C,36,107,1,0,1,0,0,0,4,149,0,2,151,
GOMEZ PALACIO,528,B,13,143,5,0,2,0,0,0,4,167,0,4,171,
GOMEZ PALACIO,528,C,18,132,1,1,0,0,0,0,6,158,0,0,158,
GOMEZ PALACIO,529,B,36,124,3,0,1,0,0,0,1,165,4,3,172,
GOMEZ PALACIO,529,C,30,143,1,0,1,0,0,0,2,177,0,2,179,
GOMEZ PALACIO,530,B,47,190,4,1,3,0,0,0,0,245,0,4,249,
GOMEZ PALACIO,530,C,44,200,5,1,1,0,0,0,2,253,0,7,260,
GOMEZ PALACIO,531,B,32,185,4,0,1,0,0,0,3,225,0,5,230,
