Municpio,Seccion,PAN,PRI,PRD,PFCRN,PT,PVEM,PRS,PPBC,Otros,Nulos
MEXICALI,210,269,263,7,2,8,0,8,3,0,9
MEXICALI,211,395,359,12,4,4,0,1,2,0,21
MEXICALI,212,266,261,4,0,5,0,10,3,0,7
MEXICALI,213,282,207,8,1,1,0,2,0,0,5
MEXICALI,214,267,271,8,3,4,0,11,0,0,11
MEXICALI,215,404,312,9,3,6,1,5,0,0,21
MEXICALI,216,318,277,6,1,2,0,1,2,2,17
MEXICALI,217,291,288,12,1,2,0,4,1,0,10
MEXICALI,218,400,276,9,1,17,0,2,2,0,20
MEXICALI,219,394,315,9,1,5,0,8,2,0,24
MEXICALI,220,234,222,10,1,4,0,3,0,0,20
MEXICALI,221,382,351,6,2,5,0,0,2,0,7
MEXICALI,222,368,344,5,2,5,0,9,3,2,12
MEXICALI,223,348,293,16,2,4,0,8,3,0,14
MEXICALI,224,338,303,10,2,5,0,13,2,0,4
MEXICALI,225,392,278,11,0,5,0,1,1,0,2
MEXICALI,226,263,296,5,0,4,0,11,3,1,5
MEXICALI,227,258,223,8,1,1,0,3,3,0,13
MEXICALI,228,381,321,21,2,7,0,12,2,0,15
MEXICALI,229,231,139,9,0,2,0,1,1,0,3
MEXICALI,230,432,262,11,2,9,0,19,1,0,22
MEXICALI,231,382,343,16,1,10,0,5,4,0,27
MEXICALI,232,307,244,7,0,7,0,3,1,0,6
MEXICALI,233,432,306,8,0,7,0,7,4,0,3
MEXICALI,234,248,283,8,0,5,0,7,3,0,12
MEXICALI,235,222,349,8,0,3,0,5,1,0,6
MEXICALI,236,351,290,8,0,5,0,10,1,0,16
MEXICALI,237,265,214,12,1,2,0,1,2,0,50
MEXICALI,238,257,226,4,1,8,0,9,3,0,12
MEXICALI,239,426,213,15,5,7,0,10,3,0,32
MEXICALI,240,287,151,9,3,16,0,11,4,0,6
MEXICALI,241,264,165,9,1,2,0,1,0,0,10
MEXICALI,242,274,186,7,0,5,0,1,0,0,12
MEXICALI,243,280,240,10,0,4,0,5,2,0,12
MEXICALI,244,368,345,8,2,3,0,7,2,0,7
MEXICALI,245,371,281,8,1,3,0,17,1,1,1
MEXICALI,246,345,295,9,0,9,0,17,3,0,28
MEXICALI,247,267,249,10,5,1,0,9,2,0,16
MEXICALI,248,367,191,6,2,7,0,7,6,0,11
MEXICALI,249,289,196,11,2,4,0,6,3,0,19
MEXICALI,250,293,222,13,0,2,4,10,4,0,16
MEXICALI,251,278,227,8,0,4,0,4,3,0,11
MEXICALI,252,288,308,20,2,4,0,19,2,0,10
MEXICALI,253,340,277,14,3,9,0,16,0,1,11
MEXICALI,254,344,299,14,3,11,0,22,3,0,25
MEXICALI,255,340,303,21,4,13,0,12,3,0,29
MEXICALI,256,445,382,13,7,5,0,13,0,0,26
MEXICALI,257,308,333,20,0,6,0,8,2,0,7
MEXICALI,258,423,441,11,4,4,0,28,6,0,11
MEXICALI,259,317,265,23,1,3,0,6,4,0,13
MEXICALI,260,434,259,15,5,2,0,17,8,0,28
MEXICALI,261,410,305,12,2,3,0,25,6,0,28
MEXICALI,262,429,305,16,5,6,0,7,2,0,22
MEXICALI,263,371,298,13,2,8,0,10,3,0,19
MEXICALI,264,420,316,14,1,6,0,11,2,0,17
MEXICALI,265,505,312,18,5,12,0,17,3,0,23
MEXICALI,266,562,327,16,3,2,0,2,3,0,18
MEXICALI,267,532,378,17,4,2,0,8,3,0,11
MEXICALI,268,484,437,18,0,2,0,20,1,1,11
MEXICALI,269,245,221,11,1,5,0,3,0,1,5
MEXICALI,270,280,206,11,0,5,0,2,1,0,13
MEXICALI,271,258,177,11,2,7,0,1,0,0,11
MEXICALI,272,460,279,17,8,5,0,11,3,0,26
MEXICALI,273,415,288,15,4,8,0,35,4,0,27
MEXICALI,274,478,326,14,6,10,0,15,1,0,23
MEXICALI,275,323,232,13,4,8,0,9,3,0,7
MEXICALI,276,215,212,4,10,6,1,10,1,0,14
MEXICALI,277,246,263,15,4,4,0,7,3,0,12
MEXICALI,278,400,309,7,2,6,0,39,2,0,23
MEXICALI,279,288,257,12,5,6,0,4,1,0,19
MEXICALI,280,446,217,10,0,4,0,2,3,0,15
MEXICALI,281,272,201,8,2,9,0,2,3,0,9
MEXICALI,282,279,173,6,4,5,0,2,1,0,12
MEXICALI,283,146,89,7,1,6,0,1,1,0,9
MEXICALI,284,198,144,6,1,2,0,1,2,0,0
MEXICALI,285,274,240,10,6,7,0,2,5,3,28
MEXICALI,286,345,353,11,9,5,0,7,4,0,25
MEXICALI,287,320,229,8,2,3,0,3,2,0,4
MEXICALI,288,273,238,10,1,2,0,5,0,0,10
MEXICALI,289,213,148,5,0,0,0,4,0,0,4
MEXICALI,290,243,204,8,8,3,0,20,0,0,4
MEXICALI,291,634,398,20,2,11,0,3,6,0,21
MEXICALI,292,256,272,5,1,2,0,8,3,0,2
MEXICALI,293,359,224,11,4,4,0,2,2,0,5
MEXICALI,294,85,86,6,1,0,0,0,0,0,0
MEXICALI,295,128,177,14,8,4,0,0,0,0,15
MEXICALI,296,227,185,9,5,2,0,3,1,0,20
MEXICALI,297,204,293,33,12,4,0,1,0,0,14
MEXICALI,298,179,207,14,35,3,0,2,2,0,18
MEXICALI,299,202,191,8,5,8,0,0,0,0,13
MEXICALI,300,226,384,18,3,5,0,1,0,0,21
MEXICALI,301,141,124,7,1,1,0,1,0,0,11
MEXICALI,302,207,204,15,2,2,0,2,1,0,8
MEXICALI,303,231,171,24,3,3,0,2,0,0,13
MEXICALI,304,237,190,21,11,4,0,6,1,0,11
MEXICALI,305,249,211,26,9,7,0,2,1,0,20
MEXICALI,306,160,442,24,2,4,0,1,0,0,13
MEXICALI,307,107,173,48,2,6,0,0,2,0,17
MEXICALI,308,189,281,14,2,4,0,0,1,0,9
MEXICALI,309,435,632,90,7,14,0,6,5,0,28
MEXICALI,310,102,290,48,4,1,0,2,1,0,12
MEXICALI,311,265,297,24,2,4,0,3,2,0,30
MEXICALI,312,230,393,48,7,3,0,3,1,0,14
MEXICALI,313,178,231,57,2,3,0,0,0,0,6
MEXICALI,314,161,307,34,6,10,0,4,1,0,34
MEXICALI,315,164,216,45,5,1,0,3,1,0,36
MEXICALI,316,124,155,61,2,3,0,4,1,0,27
MEXICALI,317,171,213,29,3,0,0,0,1,0,23
MEXICALI,318,163,260,53,1,4,0,1,1,1,22
MEXICALI,319,112,253,19,4,1,0,0,3,0,12
MEXICALI,320,329,268,21,2,5,0,8,0,0,26
MEXICALI,321,144,207,58,1,0,0,0,0,0,34
MEXICALI,322,88,111,15,0,4,0,5,0,0,7
MEXICALI,323,99,124,12,0,2,0,2,0,0,17
MEXICALI,324,231,192,20,3,6,0,3,0,0,12
MEXICALI,325,251,187,31,4,5,0,5,0,0,27
MEXICALI,326,111,135,32,0,4,0,9,0,0,15
MEXICALI,327,255,243,23,3,1,0,6,2,0,22
MEXICALI,328,77,93,30,2,6,0,4,1,0,15
MEXICALI,329,191,165,32,0,2,0,5,3,0,18
MEXICALI,330,217,208,26,2,1,0,4,2,0,17
MEXICALI,331,216,235,64,1,6,0,5,4,0,19
MEXICALI,332,227,267,8,1,4,0,0,1,0,21
MEXICALI,333,152,162,4,1,4,0,2,2,0,21
MEXICALI,334,199,254,10,0,24,0,0,0,0,19
MEXICALI,335,195,203,9,0,27,0,3,1,0,34
MEXICALI,336,372,371,2,2,7,0,0,0,0,42
MEXICALI,337,69,89,14,2,2,0,0,1,0,10
MEXICALI,338,297,273,7,2,4,0,1,0,0,19
MEXICALI,339,305,228,9,2,5,0,2,1,0,20
MEXICALI,340,286,256,8,2,1,0,0,0,0,15
MEXICALI,341,250,293,5,1,6,0,0,1,0,17
MEXICALI,342,155,139,10,2,5,0,0,0,0,14
MEXICALI,343,235,271,20,2,6,0,0,1,0,37
MEXICALI,344,294,347,30,1,6,0,1,2,0,19
MEXICALI,345,300,273,16,3,1,0,1,1,0,24
MEXICALI,346,180,229,19,1,4,0,1,2,0,23
MEXICALI,347,142,269,1,3,0,0,0,0,0,11
MEXICALI,348,276,247,14,3,6,0,1,0,0,24
MEXICALI,349,190,243,13,2,2,0,3,0,0,22
MEXICALI,350,354,242,8,5,4,0,2,1,0,26
MEXICALI,351,74,109,3,3,0,0,1,0,0,4
MEXICALI,352,181,144,13,0,2,0,2,0,0,9
MEXICALI,353,165,206,11,2,3,0,1,1,0,16
MEXICALI,354,213,218,14,0,6,0,0,1,0,6
MEXICALI,355,212,209,16,1,6,0,1,2,0,17
MEXICALI,356,40,54,2,0,0,0,0,0,0,8
MEXICALI,357,152,192,3,0,4,0,1,0,0,11
MEXICALI,358,153,288,7,0,1,0,1,1,0,13
MEXICALI,359,91,108,16,1,1,0,2,0,0,5
MEXICALI,360,211,228,12,3,6,0,2,0,0,28
MEXICALI,361,191,150,46,9,17,2,0,0,0,34
MEXICALI,362,266,428,7,1,6,0,3,3,0,29
MEXICALI,363,101,159,18,2,4,0,4,3,0,9
MEXICALI,364,207,171,16,1,6,0,0,1,0,19
MEXICALI,365,198,198,25,5,2,0,0,0,0,15
MEXICALI,366,218,237,16,1,4,0,2,3,0,14
MEXICALI,367,243,171,13,0,6,0,0,2,0,12
MEXICALI,368,97,134,2,2,0,0,0,0,0,5
MEXICALI,369,218,190,15,5,1,0,1,2,0,19
MEXICALI,370,183,144,24,1,5,0,2,0,0,15
MEXICALI,371,80,93,6,0,0,0,1,0,0,12
MEXICALI,372,148,250,17,0,2,0,2,0,0,5
MEXICALI,373,123,300,12,2,4,0,2,0,0,13
MEXICALI,374,144,259,9,0,0,0,3,3,0,14
MEXICALI,375,318,327,39,5,9,0,2,0,0,16
MEXICALI,376,122,219,21,4,3,0,1,1,0,22
MEXICALI,377,180,221,14,1,0,0,1,1,0,17
MEXICALI,378,115,77,6,0,2,0,1,0,0,6
MEXICALI,379,232,320,53,5,11,0,2,2,0,34
MEXICALI,380,174,289,63,7,6,0,3,2,0,24
MEXICALI,381,225,140,26,2,3,0,1,1,0,23
MEXICALI,382,180,232,14,1,6,0,0,0,0,18
MEXICALI,383,303,187,13,16,4,0,3,0,0,6
MEXICALI,384,165,107,6,5,2,0,2,0,0,8
MEXICALI,385,202,220,18,6,5,0,12,1,0,15
MEXICALI,386,295,264,13,1,7,0,6,0,0,9
MEXICALI,387,355,192,14,1,6,0,6,1,0,10
MEXICALI,388,364,329,20,5,10,0,3,1,0,18
MEXICALI,389,341,230,13,3,7,0,6,4,0,13
MEXICALI,390,307,179,9,5,9,0,4,3,1,4
MEXICALI,391,198,199,18,3,3,0,4,2,0,9
MEXICALI,392,149,177,10,1,5,0,0,1,0,13
MEXICALI,393,169,175,8,5,20,0,0,0,0,21
MEXICALI,394,123,133,6,2,16,0,2,1,0,8
MEXICALI,395,368,257,4,6,12,0,1,2,0,24
MEXICALI,396,368,238,17,11,10,0,1,2,0,20
MEXICALI,397,413,281,10,5,4,0,2,3,0,10
MEXICALI,398,234,174,5,2,7,0,1,2,0,11
MEXICALI,399,200,120,9,2,2,0,1,2,0,6
MEXICALI,400,266,189,5,2,0,0,4,2,0,9
MEXICALI,401,281,223,11,7,5,0,3,2,0,13
MEXICALI,402,410,262,12,24,3,0,5,2,0,31
MEXICALI,403,313,153,5,4,8,0,1,5,0,13
MEXICALI,404,449,276,7,23,8,0,3,1,0,23
MEXICALI,405,328,199,11,5,7,2,2,0,0,13
MEXICALI,406,237,170,0,3,3,3,0,1,0,2
MEXICALI,407,579,405,14,8,6,0,8,5,0,21
MEXICALI,408,212,165,4,1,6,0,3,1,0,6
MEXICALI,409,312,220,9,5,8,0,4,2,0,8
MEXICALI,410,94,133,10,1,1,0,2,1,0,17
MEXICALI,411,138,173,16,6,3,1,2,0,0,13
MEXICALI,412,171,145,4,8,4,0,2,0,0,17
MEXICALI,413,226,190,11,8,3,0,3,0,0,21
MEXICALI,414,216,159,7,2,7,0,3,0,0,17
MEXICALI,415,146,162,11,3,7,0,2,0,0,18
MEXICALI,416,165,174,7,5,2,0,2,1,0,16
MEXICALI,417,186,103,12,1,5,0,2,0,0,18
MEXICALI,418,167,137,28,1,4,0,4,0,0,8
MEXICALI,419,153,163,9,4,3,0,18,2,0,8
MEXICALI,420,112,138,7,1,2,0,17,1,0,13
MEXICALI,421,214,162,10,3,5,0,14,2,0,26
MEXICALI,422,1070,1044,49,24,17,0,54,2,0,72
MEXICALI,423,205,178,5,0,5,0,1,0,0,22
MEXICALI,424,163,135,4,2,1,1,7,0,0,9
MEXICALI,425,289,220,8,4,3,0,0,0,0,16
MEXICALI,426,329,219,7,8,5,0,3,3,0,14
MEXICALI,427,362,248,12,16,3,0,7,3,0,12
MEXICALI,428,296,217,10,28,2,0,2,2,0,17
MEXICALI,429,179,159,6,5,3,0,4,1,0,8
MEXICALI,430,313,239,13,4,5,0,2,3,0,15
MEXICALI,431,252,129,2,6,4,0,1,0,0,7
MEXICALI,432,173,136,10,1,1,0,3,1,0,5
MEXICALI,433,223,143,8,7,11,3,2,1,0,9
MEXICALI,434,122,185,2,0,2,0,0,0,0,4
MEXICALI,435,278,190,13,1,12,0,2,2,0,12
MEXICALI,436,246,156,8,4,0,0,3,2,0,17
MEXICALI,437,253,109,11,3,1,0,4,1,0,16
MEXICALI,438,253,169,65,3,12,0,7,1,0,28
MEXICALI,439,187,170,30,2,4,0,5,3,0,14
MEXICALI,440,90,90,12,1,7,0,4,0,0,10
MEXICALI,441,144,143,8,2,6,0,2,1,0,11
MEXICALI,442,130,192,13,1,7,0,6,1,0,11
MEXICALI,443,168,219,18,1,16,0,28,1,1,14
MEXICALI,444,97,108,6,3,7,1,2,2,0,14
MEXICALI,445,139,121,14,2,8,0,19,1,0,18
MEXICALI,446,128,170,6,0,7,0,17,6,0,11
MEXICALI,447,133,144,15,1,10,0,32,0,0,10
MEXICALI,448,132,116,7,0,0,0,11,0,0,14
MEXICALI,449,70,92,6,3,5,0,11,3,0,7
MEXICALI,450,211,197,19,2,8,0,7,4,0,20
MEXICALI,451,174,161,23,3,7,0,4,0,0,11
MEXICALI,452,193,165,30,2,6,0,10,1,0,13
MEXICALI,453,188,248,35,1,7,0,15,13,0,37
MEXICALI,454,198,205,58,2,7,0,18,2,0,26
MEXICALI,455,179,106,14,3,2,0,2,5,0,8
MEXICALI,456,104,108,6,1,0,0,0,1,0,0
MEXICALI,457,142,161,27,0,1,0,0,0,0,10
MEXICALI,458,125,186,32,1,0,0,0,0,0,17
MEXICALI,459,31,69,4,0,0,0,0,0,0,0
MEXICALI,460,182,341,57,10,7,0,0,2,0,9
MEXICALI,461,282,223,21,2,4,0,0,1,0,15
MEXICALI,462,182,132,13,2,4,0,2,0,0,8
MEXICALI,463,144,117,9,2,4,0,2,0,0,2
MEXICALI,464,163,235,8,1,2,0,0,1,0,21
MEXICALI,465,136,158,14,1,0,0,0,0,0,18
MEXICALI,466,93,63,10,1,1,0,0,2,0,6
MEXICALI,467,139,53,17,0,0,0,0,0,0,9
MEXICALI,468,114,68,4,3,1,0,1,0,0,8
MEXICALI,469,145,150,32,0,1,0,1,0,0,9
MEXICALI,470,96,254,27,1,2,0,0,0,0,16
MEXICALI,471,101,467,19,4,1,0,0,0,0,34
MEXICALI,472,136,194,11,6,2,0,0,1,2,19
MEXICALI,473,96,279,13,1,1,0,0,0,0,7
MEXICALI,474,303,288,14,4,3,0,2,0,0,15
MEXICALI,475,132,116,10,1,4,0,1,1,0,12
MEXICALI,476,236,288,24,0,1,0,1,5,0,29
MEXICALI,477,191,241,8,1,11,0,0,0,0,18
MEXICALI,478,103,169,5,1,1,0,0,0,0,0
MEXICALI,479,150,229,17,2,1,0,2,0,0,13
MEXICALI,480,113,235,6,1,1,0,0,0,0,18
MEXICALI,481,111,81,8,3,1,0,1,3,0,8
