Municipio,Distrito,Casilla,Tipo,PAN-PVEM,PRI,PRD,PT,PEBC,PSN,PC- PAS,Nulos
Tecate,7,26,B,87,87,39,8,0,0,12,9
Tecate,7,26,C,82,99,34,17,0,0,15,12
Tecate,7,27,B,0,0,0,0,0,0,0,0
Tecate,7,27,C,93,103,24,12,0,0,16,4
Tecate,7,28,B,82,81,26,12,0,0,18,12
Tecate,7,28,C,71,88,26,19,0,0,16,1
Tecate,7,28,D,88,135,51,10,0,0,28,9
Tecate,7,29,B,82,113,33,15,0,0,10,8
Tecate,7,29,C1,74,76,32,23,0,0,7,10
Tecate,7,29,C2,71,89,45,10,0,0,22,4
Tecate,7,29,D1,127,90,34,11,0,0,25,3
Tecate,7,29,D1C,141,102,34,22,0,0,13,5
Tecate,7,29,D2,80,87,30,6,0,0,13,9
Tecate,7,30,B,67,111,24,34,0,0,11,9
Tecate,7,30,C1,78,107,28,24,0,0,8,7
Tecate,7,30,C2,67,114,23,19,0,0,12,8
Tecate,7,31,B,63,99,33,23,0,0,8,3
Tecate,7,31,C1,56,97,43,16,0,0,5,8
Tecate,7,31,C2,79,100,44,14,0,0,11,7
Tecate,7,32,B,90,88,20,11,0,0,72,9
Tecate,7,33,B,73,136,34,9,0,0,87,11
Tecate,7,34,B,60,75,20,4,0,0,20,16
Tecate,7,35,B,42,57,38,6,0,0,5,4
Tecate,7,36,B,70,120,59,13,0,0,7,12
Tecate,7,37,B,59,81,9,7,0,0,7,10
Tecate,7,37,C,0,0,0,0,0,0,0,0
Tecate,7,38,B,56,53,30,7,0,0,3,6
Tecate,7,39,B,44,57,20,0,0,0,0,2
Tecate,7,40,B,120,95,6,3,0,0,1,13
Tecate,7,41,B,93,124,4,6,0,0,2,7
Mexicali,1,42,B,69,62,6,2,3,0,4,4
Mexicali,1,42,C,73,53,4,4,1,0,2,2
Mexicali,1,43,B,77,49,7,1,2,0,2,6
Mexicali,1,43,C,68,53,6,2,1,0,2,4
Mexicali,1,44,B,73,54,9,4,2,0,3,5
Mexicali,1,44,C,84,59,12,3,2,0,7,2
Mexicali,1,45,B,70,46,8,3,2,0,2,3
Mexicali,1,45,C,79,54,6,1,2,0,2,8
Mexicali,1,46,B,69,55,11,0,3,0,5,1
Mexicali,1,46,C,75,62,13,2,3,0,8,6
Mexicali,1,47,B,105,84,13,3,0,0,6,7
Mexicali,1,48,B,103,77,7,4,3,0,5,15
Mexicali,1,49,B,112,89,6,2,2,0,4,4
Mexicali,1,50,B,95,62,8,0,3,0,1,2
Mexicali,1,50,C,96,47,15,1,4,0,3,3
Mexicali,1,51,B,83,61,10,0,5,0,3,1
Mexicali,1,51,C,88,58,11,3,3,0,2,5
Mexicali,1,52,B,87,54,4,3,5,0,2,3
Mexicali,1,52,C,79,47,9,1,2,0,4,5
Mexicali,1,53,B,72,51,12,5,5,0,3,3
Mexicali,1,53,C,74,49,11,1,5,0,3,4
Mexicali,1,54,B,155,76,23,4,8,0,3,6
Mexicali,1,55,B,89,49,7,5,2,0,1,3
Mexicali,1,55,C,83,50,7,0,0,0,3,8
Mexicali,1,56,B,173,90,16,6,10,0,3,10
Mexicali,1,57,B,95,67,12,3,3,0,0,8
Mexicali,1,57,C,79,64,11,0,3,0,0,6
Mexicali,1,58,B,72,24,7,3,2,0,1,5
Mexicali,1,58,C,71,33,6,1,2,0,2,5
Mexicali,1,59,B,92,74,14,1,4,0,2,8
Mexicali,1,60,B,118,67,15,3,0,0,2,5
Mexicali,1,61,B,112,91,23,5,5,0,9,7
Mexicali,1,62,B,109,90,13,3,1,0,4,7
Mexicali,1,63,B,89,66,6,5,7,0,7,5
Mexicali,1,63,C,96,86,10,7,2,0,12,10
Mexicali,1,64,B,67,51,8,1,1,0,0,6
Mexicali,1,64,C,100,40,6,1,5,0,3,4
Mexicali,1,65,B,104,87,7,3,7,0,8,6
Mexicali,1,65,C,98,64,7,6,2,0,0,5
Mexicali,1,66,B,87,78,5,3,10,0,0,10
Mexicali,1,66,C,82,66,11,2,8,0,3,10
Mexicali,1,67,B,78,47,5,3,6,0,5,4
Mexicali,1,67,C,72,46,10,3,2,0,5,6
Mexicali,1,68,B,102,52,7,2,6,0,6,6
Mexicali,1,68,C,70,69,4,2,1,0,3,4
Mexicali,1,69,B,91,74,12,1,4,0,7,5
Mexicali,1,69,C,74,62,13,0,4,0,3,4
Mexicali,1,70,B,104,66,16,4,6,0,8,7
Mexicali,1,71,B,136,101,13,9,4,0,5,8
Mexicali,1,72,B,129,107,8,3,9,0,6,12
Mexicali,1,73,B,128,88,21,8,7,0,3,13
Mexicali,1,74,B,79,36,7,2,2,0,6,3
Mexicali,1,74,C,92,51,10,4,2,0,2,6
Mexicali,1,75,B,113,81,17,4,7,0,3,6
Mexicali,1,76,B,136,96,14,11,7,0,6,8
Mexicali,1,77,B,75,48,8,4,6,0,4,5
Mexicali,1,77,C,88,38,10,2,3,0,4,9
Mexicali,1,78,B,98,59,6,3,4,0,5,10
Mexicali,1,78,C,87,58,7,2,5,0,11,5
Mexicali,1,79,B,88,54,9,0,4,0,3,3
Mexicali,1,79,C,82,53,7,4,3,0,5,5
Mexicali,1,80,B,84,58,2,1,9,0,3,2
Mexicali,1,80,C,109,50,9,3,12,0,2,4
Mexicali,1,81,B,100,51,9,2,4,0,3,6
Mexicali,1,81,C,99,50,12,2,6,0,5,3
Mexicali,1,82,B,103,61,15,2,5,0,6,14
Mexicali,1,82,C,100,63,6,6,2,0,2,6
Mexicali,1,83,B,114,46,4,2,7,0,6,2
Mexicali,1,83,C,114,59,11,3,6,0,6,9
Mexicali,1,84,B,99,69,19,1,8,0,4,6
Mexicali,1,84,C,93,45,6,0,3,0,10,5
Mexicali,1,85,B,204,107,19,3,9,0,6,13
Mexicali,1,86,B,86,60,6,5,2,0,4,4
Mexicali,1,86,C,90,39,6,3,1,0,4,5
Mexicali,1,87,B,119,53,9,3,2,0,7,13
Mexicali,1,87,C,114,48,13,2,13,0,11,10
Mexicali,1,88,B,94,64,9,3,5,0,5,10
Mexicali,1,88,C,102,59,2,1,3,0,3,3
Mexicali,1,89,B,136,78,14,2,5,0,6,7
Mexicali,1,89,C,132,64,10,3,4,0,5,10
Mexicali,1,90,B,88,52,9,2,9,0,7,2
Mexicali,1,90,C,115,49,4,1,1,0,8,6
Mexicali,1,91,B,137,83,22,2,10,0,6,2
Mexicali,1,91,C,126,90,19,2,5,0,2,6
Mexicali,1,92,B,26,44,5,9,4,0,4,3
Mexicali,1,92,C,37,50,5,1,4,0,1,2
Mexicali,1,93,B,195,84,19,3,8,0,7,1
Mexicali,1,93,C,172,103,17,2,4,0,6,3
Mexicali,1,94,B,128,87,18,6,11,0,10,10
Mexicali,1,94,C,139,84,19,1,10,0,6,11
Mexicali,1,95,B,114,67,14,8,7,0,7,8
Mexicali,1,95,C,105,77,11,6,10,0,4,5
Mexicali,1,96,B,109,41,6,1,5,0,9,8
Mexicali,1,96,C,117,82,12,2,3,0,2,7
Mexicali,1,97,B,116,81,18,2,7,0,10,1
Mexicali,1,97,C,133,79,18,2,5,0,5,4
Mexicali,1,98,B,138,62,10,2,4,0,7,3
Mexicali,1,98,C,148,62,12,0,13,0,6,1
Mexicali,1,99,B,185,102,23,2,8,0,5,8
Mexicali,1,100,B,93,59,9,6,6,0,5,8
Mexicali,1,100,C,104,63,12,1,7,0,3,4
Mexicali,1,101,B,160,67,13,2,9,0,3,4
Mexicali,1,101,C,146,60,29,2,12,0,3,0
Mexicali,1,102,B,133,66,8,0,10,0,2,3
Mexicali,1,102,C,87,42,15,1,2,0,5,4
Mexicali,1,103,B,201,91,25,1,6,0,4,3
Mexicali,1,103,C,195,105,11,1,8,0,7,2
Mexicali,1,104,B,136,59,22,5,8,0,1,8
Mexicali,1,104,C,171,76,18,3,8,0,2,7
Mexicali,1,105,B,150,70,6,5,13,0,6,10
Mexicali,1,105,C,153,70,13,3,10,0,7,12
Mexicali,1,106,B,139,55,9,5,6,0,4,5
Mexicali,1,106,C,121,78,10,2,9,0,7,2
Mexicali,1,107,B,145,70,8,6,6,0,7,4
Mexicali,1,107,C,132,68,13,2,4,0,4,0
Mexicali,1,108,B,144,72,15,2,8,0,2,5
Mexicali,1,108,C1,139,72,20,2,8,0,1,6
Mexicali,1,108,C2,167,83,11,6,14,0,3,12
Mexicali,1,109,B,110,75,21,1,1,0,7,1
Mexicali,1,109,C,83,75,12,2,5,0,4,5
Mexicali,1,110,B,169,104,13,4,9,0,9,14
Mexicali,1,110,C,180,101,9,4,9,0,7,7
Mexicali,1,111,B,86,69,9,4,7,0,8,8
Mexicali,1,111,C,60,91,9,3,2,0,4,10
Mexicali,1,112,B,127,56,13,6,3,0,9,4
Mexicali,1,112,C,140,60,6,2,7,0,5,2
Mexicali,1,113,B,154,65,10,7,11,0,5,6
Mexicali,1,113,C,167,74,14,2,16,0,4,5
Mexicali,1,114,B,111,67,9,7,2,0,3,3
Mexicali,1,114,C,106,70,3,2,8,0,4,1
Mexicali,1,115,B,49,43,5,3,6,0,3,5
Mexicali,1,115,C,81,75,5,5,4,0,3,5
Mexicali,1,116,B,92,47,2,0,6,0,2,5
Mexicali,1,116,C,77,58,4,4,6,0,5,6
Mexicali,1,117,B,105,109,9,6,4,0,6,3
Mexicali,1,117,C,115,96,8,3,7,0,6,4
Mexicali,2,118,B,95,58,19,2,2,0,6,5
Mexicali,2,119,B,136,87,25,6,4,0,2,9
Mexicali,2,120,B,150,89,8,3,7,0,2,4
Mexicali,2,121,B,122,90,14,2,4,0,1,1
Mexicali,2,122,B,102,67,13,1,3,0,3,3
Mexicali,2,122,C,114,71,23,1,5,0,5,0
Mexicali,2,123,B,97,64,6,0,6,0,2,3
Mexicali,2,123,C,127,66,7,1,9,0,7,1
Mexicali,2,124,B,113,79,7,1,8,0,4,1
Mexicali,2,124,C,116,95,16,1,5,0,0,4
Mexicali,2,125,B,103,67,7,2,4,0,1,5
Mexicali,2,125,C,99,64,22,0,10,0,6,3
Mexicali,2,126,B,117,88,15,1,6,0,3,2
Mexicali,2,126,C,121,70,16,2,11,0,5,5
Mexicali,2,127,B,92,59,9,1,0,0,3,2
Mexicali,2,127,C,138,84,9,2,2,0,2,4
Mexicali,2,128,B,80,68,11,2,1,0,5,3
Mexicali,2,128,C,64,50,19,1,3,0,2,4
Mexicali,2,129,B,84,72,18,1,1,0,4,5
Mexicali,2,129,C,108,77,8,0,2,0,10,3
Mexicali,2,130,B,121,77,10,2,4,0,3,0
Mexicali,2,130,C,99,75,1,3,1,0,7,2
Mexicali,2,131,B,130,65,12,2,11,0,2,3
Mexicali,2,131,C,87,84,6,0,3,0,1,3
Mexicali,2,132,B,208,141,17,1,1,0,2,3
Mexicali,2,133,B,158,70,13,3,4,0,5,1
Mexicali,2,133,C,141,88,9,0,4,0,1,3
Mexicali,2,134,B,89,59,3,3,5,0,4,3
Mexicali,2,134,C,108,77,10,4,1,0,3,2
Mexicali,2,135,B,112,113,9,3,2,0,3,6
Mexicali,2,135,C,129,80,9,1,5,0,2,5
Mexicali,2,136,B,102,75,10,0,2,0,4,3
Mexicali,2,136,C,99,88,8,1,4,0,6,5
Mexicali,2,137,B,94,42,7,1,2,0,0,10
Mexicali,2,137,C,90,57,9,3,2,0,6,7
Mexicali,2,138,B,86,52,2,0,5,0,2,4
Mexicali,2,138,C,76,53,7,3,2,0,3,5
Mexicali,2,139,B,157,86,18,3,7,0,5,3
Mexicali,2,140,B,112,101,17,0,4,0,7,5
Mexicali,2,141,B,174,118,20,3,7,0,6,6
Mexicali,2,142,B,147,91,20,2,3,0,11,7
Mexicali,2,143,B,111,71,15,3,2,0,6,6
Mexicali,2,143,C,116,76,8,2,2,0,4,6
Mexicali,2,144,B,73,69,7,0,4,0,6,4
Mexicali,2,144,C,101,91,9,1,2,0,2,2
Mexicali,2,145,B,130,73,11,0,1,0,9,1
Mexicali,2,145,C,127,73,14,3,2,0,10,1
Mexicali,2,146,B,169,133,19,7,5,0,8,6
Mexicali,2,146,C,151,123,25,1,12,0,5,5
Mexicali,2,147,B,81,70,8,3,2,0,4,2
Mexicali,2,147,C,90,72,6,4,4,0,4,6
Mexicali,2,148,B,106,54,11,1,4,0,3,3
Mexicali,2,148,C,98,56,16,4,3,0,1,2
Mexicali,2,149,B,102,48,11,3,4,0,1,5
Mexicali,2,149,C,126,52,7,2,4,0,1,6
Mexicali,2,150,B,94,63,14,1,3,0,3,4
Mexicali,2,150,C,98,50,9,2,1,0,4,2
Mexicali,2,151,B,73,66,19,0,2,0,2,4
Mexicali,2,151,C,80,64,17,1,3,0,2,1
Mexicali,2,152,B,152,98,21,3,5,0,4,4
Mexicali,2,152,C1,134,120,21,3,6,0,4,5
Mexicali,2,152,C2,147,122,27,4,9,0,1,4
Mexicali,2,153,B,143,79,7,2,8,0,1,4
Mexicali,2,153,C,178,79,21,2,5,0,6,6
Mexicali,2,154,B,214,118,30,5,9,0,7,2
Mexicali,2,154,C,187,122,19,6,4,0,6,5
Mexicali,2,155,B,140,78,19,2,5,0,1,9
Mexicali,2,155,C,108,94,10,4,1,0,5,6
Mexicali,2,156,B,97,66,9,4,5,0,3,5
Mexicali,2,156,C,136,70,11,1,2,0,3,3
Mexicali,2,157,B,174,114,12,2,2,0,8,7
Mexicali,2,158,B,94,59,10,5,0,0,3,4
Mexicali,2,158,C,96,53,5,3,3,0,2,4
Mexicali,2,159,B,122,85,10,3,5,0,8,12
Mexicali,2,159,C,106,59,8,0,2,0,6,3
Mexicali,2,160,B,74,57,3,4,0,0,2,3
Mexicali,2,160,C,67,59,4,7,2,0,2,4
Mexicali,2,161,B,180,70,15,7,7,0,2,5
Mexicali,2,161,C,165,79,20,1,7,0,4,4
Mexicali,2,162,B,114,73,10,6,3,0,3,2
Mexicali,2,162,C,110,100,12,3,13,0,5,4
Mexicali,2,163,B,131,94,11,1,4,0,4,10
Mexicali,2,163,C,106,69,16,2,3,0,4,6
Mexicali,2,164,B,135,65,12,4,4,0,3,16
Mexicali,2,164,C,101,64,7,4,1,0,2,8
Mexicali,2,165,B,130,76,16,0,4,0,4,1
Mexicali,2,165,C,115,99,15,0,7,0,9,1
Mexicali,2,166,B,106,76,13,5,2,0,8,11
Mexicali,2,166,C,86,72,7,7,3,0,10,6
Mexicali,2,167,B,50,59,13,4,2,0,5,2
Mexicali,2,167,C,45,64,14,2,0,0,6,3
Mexicali,2,168,B,133,65,14,2,3,0,3,9
Mexicali,2,168,C,149,70,13,0,7,0,9,8
Mexicali,2,169,B,91,60,9,5,8,0,3,1
Mexicali,2,169,C,89,61,11,2,3,0,8,5
Mexicali,2,170,B,107,69,8,2,8,0,4,2
Mexicali,2,170,C,113,63,8,2,1,0,1,5
Mexicali,2,171,B,148,67,19,3,8,0,3,5
Mexicali,2,171,C,144,58,13,5,9,0,7,1
Mexicali,2,172,B,145,69,16,1,8,0,4,4
Mexicali,2,172,C,184,57,10,1,5,0,8,4
Mexicali,2,173,B,157,75,16,0,4,0,3,4
Mexicali,2,173,C,182,82,19,4,7,0,2,6
Mexicali,2,174,B,122,52,6,1,3,0,4,2
Mexicali,2,174,C,108,52,6,0,4,0,6,5
Mexicali,2,175,B,113,68,12,0,6,0,5,7
Mexicali,2,175,C,145,71,13,2,1,0,5,3
Mexicali,2,176,B,129,80,14,5,4,0,3,2
Mexicali,2,176,C,161,83,11,4,3,0,7,5
Mexicali,2,177,B,94,74,8,6,4,0,9,6
Mexicali,2,177,C,83,71,5,5,4,0,5,6
Mexicali,2,178,B,89,67,6,3,4,0,11,6
Mexicali,2,178,C,74,76,10,3,2,0,6,7
Mexicali,2,179,B,86,78,5,3,7,0,4,5
Mexicali,2,179,C,87,77,8,1,4,0,6,9
Mexicali,2,180,B,165,54,9,3,8,0,3,2
Mexicali,2,180,C,125,64,11,5,2,0,4,7
Mexicali,2,181,B,135,73,12,1,7,0,9,0
Mexicali,2,181,C,181,58,8,2,6,0,7,3
Mexicali,2,182,B,131,65,15,1,7,0,4,4
Mexicali,2,182,C,146,70,14,3,5,0,2,4
Mexicali,2,183,B,138,61,13,1,3,0,5,2
Mexicali,2,183,C,143,79,14,3,8,0,7,3
Mexicali,2,184,B,157,66,14,1,10,0,2,4
Mexicali,2,184,C1,193,71,19,6,11,0,9,3
Mexicali,2,184,C2,195,64,20,5,10,0,9,4
Mexicali,2,185,B,195,86,16,4,4,0,17,4
Mexicali,2,185,C,191,94,16,4,8,0,15,1
Mexicali,2,186,B,165,57,12,2,7,0,8,4
Mexicali,2,186,C,176,59,10,4,8,0,4,1
Mexicali,2,187,B,101,69,10,1,3,0,10,2
Mexicali,2,187,C1,132,85,9,4,5,0,4,4
Mexicali,2,187,C2,127,74,13,1,2,0,12,2
Mexicali,2,188,B,145,74,10,7,4,0,15,3
Mexicali,2,188,C,166,60,15,3,5,0,16,7
Mexicali,2,189,B,102,82,14,3,7,0,6,2
Mexicali,2,189,C,143,87,13,2,6,0,10,6
Mexicali,2,190,B,116,91,10,11,6,0,13,5
Mexicali,2,191,B,103,73,8,10,8,0,11,4
Mexicali,2,191,C,83,57,9,3,2,0,10,6
Mexicali,2,192,B,109,113,13,2,3,0,14,9
Mexicali,2,192,C,107,120,14,1,5,0,16,8
Mexicali,2,193,B,149,68,25,2,11,0,6,1
Mexicali,2,193,C,137,62,15,2,6,0,1,2
Mexicali,2,194,B,93,65,12,0,5,0,13,3
Mexicali,2,194,C,94,51,13,2,4,0,5,7
Mexicali,2,195,B,122,55,2,7,5,0,32,4
Mexicali,2,195,C,125,58,9,1,3,0,23,3
Mexicali,2,196,B,114,58,17,4,4,0,22,7
Mexicali,2,196,C,106,50,9,3,7,0,21,4
Mexicali,2,197,B,132,75,18,2,4,0,12,2
Mexicali,2,197,C,145,69,17,4,4,0,17,3
Mexicali,2,198,B,72,51,20,2,4,0,8,13
Mexicali,2,198,C,88,51,22,3,1,0,11,12
Mexicali,2,199,B,117,76,7,2,5,0,4,5
Mexicali,2,199,C,132,59,15,3,1,0,3,3
Mexicali,3,200,B,118,56,12,2,4,0,4,9
Mexicali,3,200,C,110,62,14,4,6,0,5,3
Mexicali,3,201,B,107,76,13,2,4,0,4,10
Mexicali,3,201,C,110,56,8,1,5,0,5,0
Mexicali,3,202,B,110,77,14,3,0,0,1,10
Mexicali,3,202,C,111,63,26,3,6,0,5,2
Mexicali,3,203,B,116,65,13,0,1,0,6,2
Mexicali,3,203,C,131,39,9,2,1,0,4,2
Mexicali,4,204,B,199,88,28,3,5,0,15,7
Mexicali,4,204,C,188,106,19,1,5,0,7,6
Mexicali,4,205,B,128,50,10,2,2,0,9,2
Mexicali,4,205,C,145,72,10,1,4,0,11,3
Mexicali,4,206,B,160,86,28,4,3,0,2,4
Mexicali,4,206,C,150,52,14,1,3,0,10,6
Mexicali,4,207,B,146,56,7,2,7,0,6,6
Mexicali,4,207,C,154,75,16,19,3,0,2,5
Mexicali,4,208,B,171,98,10,4,8,0,2,8
Mexicali,4,208,C,198,97,14,4,5,0,9,6
Mexicali,4,209,B,129,73,4,4,4,0,2,3
Mexicali,4,209,C,142,56,8,2,4,0,2,3
Mexicali,4,210,B,103,56,11,3,2,0,7,8
Mexicali,4,210,C,103,52,7,6,2,0,10,4
Mexicali,3,211,B,165,101,16,1,7,0,5,5
Mexicali,3,211,C,154,113,16,4,2,0,9,4
Mexicali,3,212,B,92,76,18,3,6,0,3,6
Mexicali,3,212,C,115,82,15,0,3,0,10,2
Mexicali,3,213,B,89,58,10,1,3,0,4,2
Mexicali,3,213,C,117,55,7,0,1,0,3,3
Mexicali,3,214,B,86,70,9,1,3,0,5,4
Mexicali,3,214,C,103,64,16,0,5,0,7,3
Mexicali,3,215,B,155,80,16,3,4,0,6,5
Mexicali,3,215,C,157,86,14,3,3,0,8,5
Mexicali,3,216,B,149,76,14,6,4,0,1,5
Mexicali,3,216,C,132,76,6,0,3,0,7,6
Mexicali,3,217,B,132,102,13,3,0,0,2,4
Mexicali,3,217,C,120,89,15,3,2,0,5,2
Mexicali,4,218,B,129,77,10,5,2,0,2,10
Mexicali,4,218,C,133,83,12,3,5,0,4,6
Mexicali,4,219,B,150,93,11,4,4,0,5,12
Mexicali,4,219,C,154,83,11,3,6,0,6,5
Mexicali,4,220,B,96,68,11,1,2,0,6,8
Mexicali,4,220,C,103,71,9,2,1,0,5,4
Mexicali,3,221,B,199,101,17,4,13,0,3,2
Mexicali,3,221,C,204,108,19,2,11,0,5,1
Mexicali,3,222,B,135,101,16,5,7,0,9,7
Mexicali,3,222,C,154,121,8,5,7,0,7,5
Mexicali,3,223,B,137,61,20,2,5,0,11,9
Mexicali,3,223,C,146,84,23,0,3,0,8,4
Mexicali,3,224,B,147,106,17,3,4,0,4,7
Mexicali,3,224,C,171,73,18,1,3,0,2,3
Mexicali,3,225,B,159,108,13,0,11,0,5,4
Mexicali,3,225,C,143,94,18,0,11,0,0,1
Mexicali,3,226,B,108,87,13,1,2,0,2,4
Mexicali,3,226,C,97,82,14,4,4,0,5,3
Mexicali,3,227,B,107,62,7,0,1,0,2,4
Mexicali,3,227,C,96,67,9,0,0,0,13,3
Mexicali,3,228,B,147,97,21,2,2,0,6,4
Mexicali,3,228,C,129,92,14,5,1,0,7,10
Mexicali,3,229,B,227,103,13,2,14,0,4,3
Mexicali,3,230,B,158,112,13,8,4,0,15,7
Mexicali,3,230,C,184,74,7,3,6,0,14,11
Mexicali,3,231,B,142,89,22,3,6,0,8,9
Mexicali,3,231,C,161,107,10,3,0,0,2,12
Mexicali,3,232,B,127,57,14,3,7,0,4,0
Mexicali,3,232,C,112,47,9,1,9,0,6,4
Mexicali,3,233,B,176,120,23,1,7,0,4,4
Mexicali,3,233,C,165,109,14,0,4,0,8,0
Mexicali,3,234,B,118,77,11,2,1,0,11,2
Mexicali,3,234,C,117,73,12,1,2,0,7,4
Mexicali,3,235,B,121,117,19,0,8,0,5,3
Mexicali,3,235,C,98,107,12,2,8,0,5,3
Mexicali,3,236,B,133,97,12,5,0,0,2,6
Mexicali,3,236,C,173,70,11,11,1,0,8,6
Mexicali,3,237,B,95,69,11,0,2,0,3,8
Mexicali,3,237,C,108,68,4,3,2,0,3,4
Mexicali,3,238,B,105,70,8,3,4,0,6,4
Mexicali,3,238,C,81,89,6,2,4,0,9,0
Mexicali,3,239,B,131,69,12,4,2,0,7,10
Mexicali,3,239,C,155,72,9,3,5,0,11,11
Mexicali,3,240,B,99,64,6,5,2,0,6,0
Mexicali,3,240,C,85,61,11,0,0,0,6,0
Mexicali,3,241,B,68,56,5,0,1,0,12,0
Mexicali,3,241,C,118,58,3,4,1,0,6,5
Mexicali,3,242,B,109,44,1,4,2,0,8,7
Mexicali,3,242,C,95,46,2,6,0,0,7,0
Mexicali,3,243,B,111,71,14,2,6,0,3,1
Mexicali,3,243,C,130,70,8,1,2,0,5,1
Mexicali,3,244,B,151,118,7,0,10,0,13,4
Mexicali,3,244,C,145,115,9,0,14,0,5,3
Mexicali,3,245,B,155,76,17,3,6,0,15,3
Mexicali,3,245,C,172,116,15,1,5,0,8,1
Mexicali,3,246,B,143,77,11,0,6,0,10,5
Mexicali,3,246,C,155,69,10,1,4,0,6,5
Mexicali,3,247,B,107,95,9,3,4,0,14,6
Mexicali,3,247,C,97,77,11,2,3,0,14,6
Mexicali,3,248,B,123,62,12,6,4,0,7,11
Mexicali,3,248,C,127,68,10,1,4,0,6,8
Mexicali,3,249,B,117,67,5,2,3,0,6,6
Mexicali,3,249,C,124,71,9,3,3,0,10,5
Mexicali,3,250,B,80,78,9,2,2,0,13,9
Mexicali,3,250,C,115,71,10,1,5,0,14,4
Mexicali,3,251,B,147,62,13,0,4,0,6,3
Mexicali,3,251,C,128,88,10,2,6,0,5,5
Mexicali,3,252,B,123,126,15,4,7,0,6,4
Mexicali,3,252,C,138,112,24,0,10,0,9,5
Mexicali,3,253,B,125,74,12,6,1,0,17,10
Mexicali,3,253,C,103,80,38,5,1,0,16,8
Mexicali,3,254,B,144,106,10,7,3,0,19,13
Mexicali,3,254,C,141,105,9,10,4,0,14,5
Mexicali,3,255,B,144,78,8,1,6,0,8,7
Mexicali,3,255,C,155,76,12,4,5,0,10,16
Mexicali,3,256,B,160,97,12,8,4,0,5,2
Mexicali,3,256,C,174,101,20,4,2,0,19,11
Mexicali,3,257,B,149,113,18,3,5,0,2,3
Mexicali,3,257,C,167,123,14,0,5,0,8,6
Mexicali,3,258,B,166,127,23,5,6,0,3,2
Mexicali,3,258,C,208,142,22,0,9,0,10,0
