ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
31,YUCATAN,20,CHICXULUB PUEBLO,2,5,1297,1338,8,4,18,9,8,4,26,20,,,4,0,2737,38,2775,3111,0.8919
31,YUCATAN,21,CHICHIMILA,6,10,2094,2742,24,4,4,15,18,96,3,2,18,,,0,5020,27,5047,5541,0.9108
31,YUCATAN,22,CHIKINDZONOT,3,5,1117,1431,1,1,0,1,0,3,1,0,2,,0,0,2557,2,2559,2828,0.9048
31,YUCATAN,23,CHOCHOLA,3,6,1117,1617,37,44,9,10,23,37,18,0,8,,0,0,2920,75,2995,3403,0.8801
31,YUCATAN,24,CHUMAYEL,2,4,1039,1125,49,8,1,2,1,15,1,0,,2,,0,2243,13,2256,2481,0.9093
31,YUCATAN,25,DZAN,2,6,1375,1092,706,4,7,4,15,22,1,1,3,,,0,3230,42,3272,3674,0.8905
31,YUCATAN,26,DZEMUL,3,6,1259,1328,12,4,3,12,9,0,0,22,,,4,0,2653,39,2692,2984,0.9021
31,YUCATAN,27,DZIDZANTUN,5,12,2497,2264,30,13,18,35,30,283,4,2,12,,,0,5188,76,5264,6338,0.8305
31,YUCATAN,28,DZILAM BRAVO,2,4,684,946,5,4,6,13,20,59,1,2,3,,,0,1743,43,1786,2029,0.8802
31,YUCATAN,29,DZILAM GONZALEZ,5,10,1520,2294,17,4,26,10,8,97,1,0,14,,,6,3991,62,4059,4573,0.8876
31,YUCATAN,30,DZITAS,4,5,1172,1214,13,7,1,1,5,12,0,0,14,,0,0,2439,33,2472,2725,0.9071
31,YUCATAN,31,DZONCAUICH,3,5,1191,1340,2,0,2,2,7,10,1,0,3,,,0,2558,4,2562,2853,0.898
31,YUCATAN,32,ESPITA,8,17,3436,4120,11,143,12,297,23,30,9,96,12,,0,0,8189,156,8345,9851,0.8471
31,YUCATAN,33,HALACHO,10,24,4819,5086,211,1558,26,18,41,503,8,12,21,,,0,12303,159,12462,14022,0.8887
31,YUCATAN,34,HOCABA,5,9,1170,1607,636,73,77,2,52,32,3,0,,0,,0,3652,57,3709,4394,0.8441
31,YUCATAN,35,HOCTUN,5,9,253,1718,1901,10,6,3,2,21,2,0,,4,,0,3920,42,3962,4529,0.8748
31,YUCATAN,36,HOMUN,6,10,710,2847,937,30,6,9,40,34,8,0,,13,,0,4634,161,4795,5501,0.8716
31,YUCATAN,37,HUHI,4,7,1479,1566,158,7,1,19,2,9,1,0,,5,,0,3247,27,3274,3756,0.8716
31,YUCATAN,38,HUNUCMA,15,37,6908,5694,635,2327,39,62,642,374,37,0,8,,1,1,16727,396,17124,21928,0.7809
31,YUCATAN,39,IXIL,2,4,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,2821,0
31,YUCATAN,40,IZAMAL,15,33,7329,7927,129,78,19,26,41,211,19,9,22,,0,2,15810,249,16061,18869,0.8511
31,YUCATAN,41,KANASIN,20,85,10202,14845,1167,731,178,596,343,1056,116,198,,187,10,12,29629,969,30610,57202,0.5351
31,YUCATAN,42,KANTUNIL,3,6,1361,1306,548,15,8,3,7,19,1,0,4,,9,0,3281,42,3323,3872,0.8582
31,YUCATAN,43,KAUA,1,3,869,1021,3,3,1,1,0,73,0,0,2,,0,0,1973,5,1978,2101,0.9414
31,YUCATAN,44,KINCHIL,4,8,1335,1847,62,174,6,6,738,43,6,0,0,,0,1,4217,86,4304,4800,0.8966
31,YUCATAN,45,KOPOMA,2,4,180,1232,5,15,11,4,7,5,11,13,1,,,1,1484,37,1522,1922,0.7918
31,YUCATAN,46,MAMA,2,4,190,1022,889,15,3,7,1,20,0,0,,7,,0,2154,45,2199,2423,0.9075
31,YUCATAN,47,MANI,3,8,2070,1483,10,6,9,2,9,11,5,4,3,,,0,3612,24,3636,4062,0.8951
31,YUCATAN,48,MAXCANU,12,27,1453,5803,108,4096,60,52,146,433,33,270,5,,,0,12459,334,12793,15720,0.8138
31,YUCATAN,49,MAYAPAN,2,4,993,1130,2,3,0,2,0,1,0,0,,1,0,0,2132,13,2145,2250,0.9533
31,YUCATAN,50,MERIDA,470,1095,156286,150747,5652,8310,2457,14454,5047,14995,168,219,,4653,52,338,363040,18967,382345,627531,0.6092
31,YUCATAN,51,MOCOCHA,4,5,985,1153,7,1,11,12,72,0,1,6,,,1,0,2249,30,2279,2525,0.9025
31,YUCATAN,52,MOTUL,19,42,7479,6273,164,87,590,110,2901,22,32,276,,,87,0,18022,445,18467,24427,0.756
31,YUCATAN,53,MUNA,7,15,3489,3231,35,32,25,28,38,153,11,15,38,,,0,7095,120,7215,9448,0.7636
31,YUCATAN,54,MUXUPIP,3,4,425,777,0,2,14,4,750,0,3,19,,,2,0,1996,16,2012,2241,0.8978
31,YUCATAN,55,OPICHEN,3,8,2063,1420,7,121,1,2,5,24,4,42,0,,,0,3689,54,3743,4510,0.8299
31,YUCATAN,56,OXKUTZCAB,16,37,2699,6262,4916,45,599,87,132,201,228,4,64,,,0,15237,838,16075,21029,0.7644
31,YUCATAN,57,PANABA,6,11,2205,2400,8,8,17,3,12,24,7,1,23,,,1,4708,56,4765,5362,0.8886
31,YUCATAN,58,PETO,17,29,5609,5255,524,40,192,28,79,199,4,2,48,,,1,11980,177,12158,15711,0.7738
31,YUCATAN,59,PROGRESO,30,71,2614,12413,589,341,505,813,4641,120,141,949,,,341,0,23468,1178,24646,41019,0.6008
31,YUCATAN,60,QUINTANA ROO,1,2,424,481,3,2,1,1,1,7,1,1,0,,0,0,922,8,930,1035,0.8985
31,YUCATAN,61,RIO LAGARTOS,3,6,1044,1265,6,2,14,8,13,23,4,1,6,,,0,2386,44,2430,2660,0.9135
31,YUCATAN,62,SACALUM,3,6,1068,1449,5,407,3,100,44,31,11,3,0,,,0,3121,55,3176,3475,0.9139
31,YUCATAN,63,SAMAHIL,3,6,510,1653,1061,15,4,4,7,15,33,0,0,,1,0,3303,53,3356,3748,0.8954
31,YUCATAN,64,SANAHCAT,1,2,532,684,39,7,0,0,0,4,1,0,,3,,1,1270,13,1284,1365,0.9406
31,YUCATAN,65,SAN FELIPE,2,3,635,861,4,3,5,7,6,7,0,1,6,,,0,1535,21,1556,1637,0.9505
31,YUCATAN,66,SANTA ELENA,3,6,1079,1277,5,1,2,1,3,8,1,2,2,,,0,2381,17,2398,2839,0.8446
31,YUCATAN,67,SEYE,5,12,1753,2124,1088,66,7,59,11,689,31,0,,6,,0,5834,112,5946,6935,0.8573
31,YUCATAN,68,SINANCHE,3,5,816,994,40,10,11,5,6,208,4,2,3,,,0,2099,34,2133,2438,0.8748
31,YUCATAN,69,SOTUTA,7,11,789,1909,1417,72,20,112,13,25,6,2,4,,1,1,4370,91,4462,5671,0.7868
31,YUCATAN,70,SUCILA,2,5,1117,1404,7,0,5,1,5,14,1,1,4,,,0,2559,30,2589,2869,0.9024
31,YUCATAN,71,SUDZAL,2,3,420,497,33,392,2,2,1,9,1,0,3,,0,0,1360,13,1373,1489,0.922
31,YUCATAN,72,SUMA,2,4,166,775,345,15,4,6,9,27,5,3,1,,0,0,1356,40,1396,1628,0.8574
31,YUCATAN,73,TAHDZIU,1,4,120,1274,995,4,1,1,1,16,0,0,8,,,0,2420,26,2446,2597,0.9418
31,YUCATAN,74,TAHMEK,2,5,295,1037,305,925,4,3,34,11,9,0,,0,,0,2623,27,2650,2977,0.8901
31,YUCATAN,75,TEABO,2,7,1238,2435,21,11,4,6,19,40,0,0,13,,,0,3787,57,3844,4331,0.8875
31,YUCATAN,76,TECOH,10,22,3702,5069,273,417,42,32,34,32,15,3,,19,,1,9638,196,9835,11735,0.838
31,YUCATAN,77,TEKAL DE VENEGAS,2,5,1005,761,63,3,1,2,1,64,0,0,2,,0,0,1902,16,1918,2281,0.8408
31,YUCATAN,78,TEKANTO,6,8,1186,1394,10,11,2,5,5,24,3,2,3,,0,0,2645,22,2667,2960,0.901
31,YUCATAN,79,TEKAX,20,49,3677,9187,6302,105,506,39,818,272,26,44,94,,,2,21070,645,21717,27684,0.7844
31,YUCATAN,80,TEKIT,4,13,3333,3195,38,23,4,8,5,23,5,0,,20,,0,6654,60,6714,7435,0.903
31,YUCATAN,81,TEKOM,4,6,1108,1185,5,8,2,3,5,24,1,1,3,,0,1,2345,4,2350,2528,0.9295
31,YUCATAN,82,TELCHAC PUEBLO,4,6,666,1521,13,4,17,12,25,5,8,66,,,4,0,2341,50,2391,2874,0.8319
31,YUCATAN,83,TELCHAC PUERTO,2,4,434,452,5,3,150,10,362,1,0,25,,,3,0,1445,37,1482,1657,0.8943
31,YUCATAN,84,TEMAX,6,11,2926,1698,1,3,6,6,6,27,2,1,2,,,0,4678,41,4719,5355,0.8812
31,YUCATAN,85,TEMOZON,8,17,2115,3041,1650,29,17,8,1537,118,5,7,26,,,0,8553,204,8757,9948,0.8802
31,YUCATAN,86,TEPAKAN,3,4,80,595,626,11,2,1,3,12,1,2,1,,0,0,1334,12,1346,2048,0.6572
31,YUCATAN,87,TETIZ,2,6,662,1377,817,137,3,5,7,15,2,0,2,,3,0,3030,52,3082,3566,0.8642
31,YUCATAN,88,TEYA,2,3,177,834,134,10,4,3,4,5,1,3,8,,0,0,1183,63,1246,1559,0.7992
31,YUCATAN,89,TICUL,16,46,7884,10509,91,73,36,96,342,659,77,31,39,,,9,19837,371,20217,26555,0.7613
31,YUCATAN,90,TIMUCUY,3,8,1896,2314,133,13,2,3,3,37,1,0,,8,,0,4410,36,4446,4923,0.9031
31,YUCATAN,91,TINUM,7,15,2865,3167,432,26,8,4,10,115,5,7,5,,0,0,6644,88,6732,7778,0.8655
31,YUCATAN,92,TIXCACALCUPUL,4,7,1432,2175,12,11,4,7,1,32,2,0,14,,0,0,3690,39,3729,4264,0.8745
31,YUCATAN,93,TIXKOKOB,10,23,3928,4826,288,369,87,45,152,310,321,0,,14,,0,10340,241,10581,12798,0.8267
31,YUCATAN,94,TIXMEHUAC,4,7,112,1757,1251,4,4,2,7,9,3,6,4,,,0,3159,28,3187,3425,0.9305
31,YUCATAN,95,TIXPEUAL,6,9,1297,1193,452,305,4,11,245,65,4,1,,0,,1,3577,57,3635,4164,0.8729
31,YUCATAN,96,TIZIMIN,41,91,13701,16989,488,136,300,1186,560,727,49,21,219,,,28,34376,917,35321,49647,0.7114
31,YUCATAN,97,TUNKAS,4,7,1279,1036,107,2,1,3,3,2,0,1,1,,0,0,2435,19,2454,2841,0.8637
31,YUCATAN,98,TZUCACAB,8,17,1486,3210,2522,73,63,3,37,69,4,0,11,,,0,7478,128,7606,9201,0.8266
31,YUCATAN,99,UAYMA,3,5,1074,1101,157,5,1,1,6,15,0,2,6,,3,0,2371,20,2391,2559,0.9343
31,YUCATAN,100,UCU,2,4,926,1030,10,38,3,8,9,21,0,0,3,,0,0,2048,53,2101,2571,0.8171
31,YUCATAN,101,UMAN,20,61,8021,7512,5105,262,454,186,348,628,131,0,63,,16,8,22726,1247,23981,36214,0.6622
31,YUCATAN,102,VALLADOLID,33,81,6439,12702,2938,252,291,323,337,8573,134,137,269,,,5,32395,808,33208,49572,0.6698
31,YUCATAN,103,XOCCHEL,2,5,259,824,977,2,7,8,13,4,3,0,,13,,0,2110,26,2136,2464,0.8668
31,YUCATAN,104,YAXCABA,11,18,3617,4719,43,18,5,2,9,17,0,1,23,,0,0,8454,71,8525,9755,0.8739
31,YUCATAN,105,YAXKUKUL,1,4,166,954,30,4,725,14,11,6,7,52,,,4,0,1973,34,2007,2319,0.8654
31,YUCATAN,106,YOBAIN,3,4,775,782,3,3,10,4,128,34,2,0,,5,,1,1746,27,1774,1971,0.9
