CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,40,2,360,251,16,146,6,2,5,4,9,2,0,0,0,0,801,22,823,1396
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,41,2,364,132,3,152,0,1,3,2,3,11,0,0,0,0,671,15,686,1302
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,42,2,181,102,6,117,2,1,1,3,1,0,0,0,0,0,414,14,428,1262
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,43,1,71,79,2,60,6,4,5,1,4,13,0,0,0,0,245,9,254,406
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,44,2,127,107,3,86,6,2,9,11,4,12,0,0,0,0,367,10,377,808
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,45,1,79,28,2,58,3,1,0,1,0,2,0,0,0,0,174,2,176,407
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,46,2,168,46,7,104,3,1,12,2,1,26,0,0,0,0,370,11,381,849
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,47,2,298,57,8,156,10,3,6,11,5,20,0,0,0,0,574,17,591,1380
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,48,2,173,58,6,126,2,1,11,1,9,26,0,0,0,0,413,11,424,1025
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,49,1,100,47,12,59,1,2,5,3,7,20,0,0,0,0,256,14,270,597
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,50,3,328,175,54,87,6,1,5,53,2,1,0,0,0,0,712,9,721,1663
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,51,5,361,33,610,121,35,0,117,35,0,0,0,0,0,1,1313,43,1356,3023
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,52,1,144,9,146,22,13,0,22,8,0,0,0,0,0,1,365,22,387,750
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,53,2,172,26,206,56,9,0,16,5,0,0,0,0,0,1,491,19,510,856
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,54,2,183,15,167,38,9,0,24,10,0,0,0,0,0,0,446,14,460,823
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,55,1,102,8,126,40,0,0,25,10,0,0,0,0,0,0,311,12,323,626
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,56,2,177,27,225,53,6,0,24,5,0,0,0,0,0,1,518,27,545,1343
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,57,2,116,16,136,68,7,0,34,4,0,0,0,0,0,0,381,17,398,1008
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,58,2,155,21,245,87,6,0,36,5,0,0,0,0,0,0,555,2,557,1392
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,59,2,183,12,196,63,7,0,27,4,0,0,0,0,0,0,492,10,502,1016
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,60,2,150,16,188,41,8,0,31,8,0,0,0,0,0,1,443,12,455,846
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,61,2,206,10,203,55,15,0,33,11,0,0,0,0,0,0,533,25,558,931
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,62,2,182,19,194,39,5,0,31,11,0,0,0,0,0,1,482,23,505,900
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,63,1,97,15,160,34,6,0,14,3,0,0,0,0,0,0,329,12,341,643
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,64,2,95,21,177,42,9,0,22,9,0,0,0,0,0,0,375,13,388,831
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,65,2,113,25,216,61,4,0,32,9,0,0,0,0,0,0,460,19,479,1078
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,66,1,119,17,167,40,4,0,27,9,0,0,0,0,0,1,384,27,411,745
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,67,4,361,41,433,111,9,0,55,18,0,0,0,0,0,0,1028,35,1063,2421
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,68,2,145,14,208,45,6,0,24,15,0,0,0,0,0,2,459,20,479,800
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,69,1,94,10,150,27,1,0,14,5,0,0,0,0,0,0,301,18,319,614
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,70,2,143,15,156,69,15,0,28,17,0,0,0,0,0,2,445,14,459,1049
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,71,2,154,18,199,76,5,0,33,10,0,0,0,0,0,0,495,23,518,1214
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,72,2,141,15,189,43,4,0,40,23,0,0,0,0,0,0,455,26,481,1058
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,73,2,166,20,217,32,6,0,28,9,0,0,0,0,0,0,478,25,503,877
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,74,3,262,36,338,88,7,0,69,18,0,0,0,0,0,1,819,35,854,1745
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,75,1,87,10,157,23,7,0,25,6,0,0,0,0,0,1,316,17,333,728
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,76,2,100,19,209,32,4,0,24,9,0,0,0,0,0,0,397,19,416,843
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,77,2,129,20,247,76,8,0,70,17,0,0,0,0,0,0,567,29,596,1272
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,78,2,158,23,262,44,3,0,68,13,0,0,0,0,0,0,571,25,596,1403
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,79,2,209,19,253,48,16,0,32,9,0,0,0,0,0,0,586,23,609,1469
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,80,2,144,25,202,37,11,0,36,11,0,0,0,0,0,0,466,16,482,1202
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,81,5,479,65,637,158,21,0,114,47,0,0,0,0,0,2,1523,54,1577,2991
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,82,2,137,10,203,46,10,0,27,7,0,0,0,0,0,0,440,9,449,1093
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,83,2,161,14,221,59,23,0,30,7,0,0,0,0,0,0,515,12,527,1464
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,84,2,170,27,257,58,26,0,17,5,0,0,0,0,0,1,561,11,572,1410
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,85,2,162,21,258,52,17,0,25,5,0,0,0,0,0,1,541,17,558,1368
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,86,5,431,84,632,103,50,0,48,16,0,0,0,0,0,0,1364,54,1418,3734
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,87,1,42,20,29,2,0,0,12,0,0,0,0,0,0,0,105,0,105,305
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,88,1,11,7,67,3,3,0,1,0,0,0,0,0,0,0,92,7,99,216
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,89,2,94,15,156,23,0,0,4,3,0,0,0,0,0,0,295,11,306,758
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,90,1,32,13,72,8,1,0,6,1,0,0,0,0,0,0,133,8,141,396
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,91,2,101,25,166,15,2,0,17,2,0,0,0,0,0,0,328,15,343,944
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,92,2,61,16,85,13,3,0,2,0,0,0,0,0,0,0,180,5,185,541
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,93,2,116,14,136,5,1,0,24,3,0,0,0,0,0,0,299,8,307,901
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,94,2,162,21,107,17,3,0,14,2,0,0,0,0,0,0,326,5,331,821
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,95,2,133,16,103,17,3,0,6,1,0,0,0,0,0,0,279,9,288,807
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,96,2,155,8,168,8,4,0,16,3,0,0,0,0,0,0,362,2,364,909
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,97,2,146,18,131,27,4,0,29,0,0,0,0,0,0,0,355,8,363,954
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,98,1,28,15,84,8,8,0,1,4,0,0,0,0,0,0,148,7,155,485
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,99,2,92,27,87,29,9,0,7,13,0,0,0,0,0,0,264,8,272,1057
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,100,2,69,23,137,22,8,0,8,5,0,0,0,0,0,0,272,18,290,1034
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,101,2,166,30,116,10,6,0,12,4,0,0,0,0,0,0,344,22,366,1076
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,102,2,163,21,149,38,8,0,10,9,0,0,0,0,0,2,400,15,415,1094
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,103,2,67,17,198,42,5,0,9,4,0,0,0,0,0,0,342,15,357,942
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,104,2,111,16,272,25,4,0,12,9,0,0,0,0,0,0,449,21,470,933
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,105,1,107,12,48,19,3,0,11,2,0,0,0,0,0,0,202,7,209,468
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,106,2,104,9,109,158,3,0,5,2,0,0,0,0,0,0,390,12,402,873
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,107,1,112,15,110,21,12,0,12,1,0,0,0,0,0,0,283,17,300,726
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,108,2,75,9,107,18,5,0,21,7,0,0,0,0,0,0,242,11,253,881
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,109,2,113,13,190,29,7,0,30,19,0,0,0,0,0,1,402,21,423,1359
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,110,1,50,9,76,13,1,0,8,5,0,0,0,0,0,0,162,11,173,587
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,111,2,207,11,139,22,12,0,3,9,0,0,0,0,0,0,403,4,407,800
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,112,1,63,50,111,18,16,0,6,3,0,0,0,0,0,0,267,27,294,721
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,113,1,119,16,128,26,3,0,10,2,0,0,0,0,0,0,304,12,316,730
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,114,3,183,46,224,43,31,0,26,7,0,0,0,0,0,0,560,31,591,1572
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,115,3,188,11,354,36,10,0,21,4,0,0,0,0,0,0,624,29,653,1517
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,116,2,98,21,278,14,3,0,18,5,0,0,0,0,0,0,437,20,457,1010
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,117,2,32,8,198,22,2,0,11,5,0,0,0,0,0,0,278,6,284,772
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,118,2,94,32,226,33,2,0,22,4,0,0,0,0,0,0,413,22,435,1082
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,119,2,121,10,160,12,2,0,12,5,0,0,0,0,0,0,322,21,343,772
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,120,1,54,11,202,8,2,0,8,0,0,0,0,0,0,0,285,11,296,697
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,121,2,119,23,389,31,7,0,15,5,0,0,0,0,0,0,589,25,614,1365
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,122,1,123,12,130,28,2,0,23,1,0,0,0,0,0,0,319,16,335,731
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,123,2,159,40,303,53,6,0,34,8,0,0,0,0,0,0,603,27,630,1436
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,124,1,30,17,67,43,2,0,6,2,0,0,0,0,0,0,167,7,174,446
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,125,1,35,13,84,16,3,0,4,3,0,0,0,0,0,0,158,9,167,526
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,126,2,77,60,158,46,6,0,6,1,0,0,0,0,0,0,354,20,374,923
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,127,1,51,9,80,10,2,0,13,0,0,0,0,0,0,0,165,13,178,418
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,128,2,138,20,274,55,5,0,31,12,0,0,0,0,0,0,535,34,569,1201
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,129,2,80,16,139,24,1,0,6,0,0,0,0,0,0,0,266,16,282,612
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,130,2,58,15,203,14,17,0,2,0,0,0,0,0,0,0,309,9,318,594
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,131,3,137,86,218,49,5,0,17,4,0,0,0,0,0,0,516,14,530,1268
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,132,2,95,88,97,36,8,0,10,10,0,0,0,0,0,0,344,4,348,952
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,133,1,51,79,47,23,6,0,9,3,0,0,0,0,0,0,218,17,235,632
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,134,1,110,3,50,2,1,0,3,1,0,0,0,0,0,0,170,5,175,550
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,135,1,86,11,72,11,6,0,13,5,0,0,0,0,0,0,204,14,218,704
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,136,3,432,30,299,24,8,0,9,4,0,0,0,0,0,0,806,18,824,1804
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,137,3,296,49,267,18,3,0,8,4,0,0,0,0,0,1,646,15,661,1583
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,138,3,247,39,301,46,2,0,12,3,0,0,0,0,0,0,650,31,681,1827
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,139,1,118,23,114,17,4,0,4,0,0,0,0,0,0,3,283,9,292,676
2,11,GUANAJUATO,22,ACAMBARO,2,ACAMBARO,140,2,63,38,153,19,2,0,17,2,0,0,0,0,0,0,294,12,306,1169
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,141,6,990,363,12,43,32,47,26,0,313,100,24,0,6,3,1953,66,2019,4399
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,142,2,254,85,2,23,5,20,10,0,90,38,8,0,2,0,535,15,550,1215
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,143,2,403,160,5,18,5,29,10,0,179,63,12,0,3,3,887,33,920,1468
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,144,2,269,105,4,15,14,15,7,0,91,42,3,0,1,0,565,21,586,1020
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,145,7,1000,467,16,61,22,54,26,0,319,67,38,0,19,2,2072,75,2147,5000
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,146,3,430,154,12,14,18,19,8,0,162,69,15,0,7,0,901,41,942,1916
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,147,2,264,106,6,8,8,5,1,0,96,46,1,0,0,1,542,25,567,1058
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,148,2,238,90,3,0,7,14,6,0,74,58,5,0,1,2,497,11,508,828
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,149,2,272,114,2,12,8,15,17,0,95,57,8,0,0,2,602,16,618,1186
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,150,2,230,91,2,9,5,10,4,0,66,28,64,0,62,2,511,20,531,774
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,151,1,141,79,3,16,3,13,11,0,65,35,8,0,3,0,374,14,388,679
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,152,1,193,66,5,8,3,13,5,0,41,39,5,0,0,0,378,21,399,738
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,153,2,268,88,4,12,9,18,13,0,103,54,4,0,0,0,573,15,588,1089
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,154,2,324,93,4,10,7,13,9,0,112,46,11,0,6,0,629,27,656,1227
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,155,4,520,179,6,13,14,24,16,0,184,89,13,0,5,0,1058,18,1076,2256
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,156,5,625,310,27,38,21,27,19,0,198,65,18,0,8,6,1354,35,1389,3238
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,157,8,962,451,21,47,37,87,27,0,405,216,32,0,15,7,2292,62,2354,4299
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,158,3,373,142,8,42,11,16,11,0,129,63,13,0,1,0,808,26,834,1697
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,159,2,241,109,14,8,6,17,10,0,127,45,6,0,1,1,584,18,602,1228
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,160,2,206,87,3,10,8,15,8,0,71,69,4,0,1,0,481,26,507,883
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,161,1,115,51,7,2,2,10,4,0,33,34,0,0,0,0,258,9,267,486
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,162,1,106,27,1,6,4,14,3,0,19,33,2,0,1,0,215,9,224,406
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,163,1,154,96,2,5,6,11,6,0,65,19,7,0,5,3,374,14,388,705
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,164,5,721,310,17,61,28,38,13,0,238,108,22,0,2,1,1557,51,1608,3628
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,165,2,242,171,5,22,15,19,8,0,103,32,7,0,7,0,624,20,644,1326
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,166,1,64,30,2,3,3,6,6,0,12,23,0,0,0,0,149,14,163,272
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,167,1,115,51,2,5,4,7,5,0,18,29,0,0,0,0,236,7,243,424
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,168,2,314,115,7,18,12,20,8,0,88,49,8,0,0,2,641,18,659,1130
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,169,2,360,103,5,7,22,17,7,0,94,69,4,0,3,0,688,21,709,1370
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,170,1,166,72,9,5,13,15,5,0,63,32,4,0,1,1,385,18,403,736
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,171,2,208,166,11,29,13,20,12,0,77,42,18,0,2,1,597,24,621,1331
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,172,5,698,336,14,30,25,66,35,0,278,132,25,0,11,2,1641,59,1700,2861
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,173,5,704,232,19,22,46,59,83,0,207,97,11,0,4,0,1480,72,1552,3228
2,11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,174,2,247,124,8,24,9,15,6,0,81,52,12,0,3,0,578,16,594,1230
