ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,19,EL ARENAL,11,22,2101,4438,298,74,84,307,732,465,230,0,0,0,0,1,8729,212,8942,13006,0.6875
13,HIDALGO,20,ELOXOCHITLÁN,8,7,23,454,582,382,345,10,37,12,3,0,0,0,0,3,1848,40,1891,2489,0.7597
13,HIDALGO,21,EMILIANO ZAPATA,8,18,1011,1679,112,477,92,2409,447,451,78,0,0,0,0,4,6756,198,6958,10495,0.6629
13,HIDALGO,22,EPAZOYUCAN,11,21,2460,1713,109,57,123,1177,150,404,527,8,9,3,1,4,6741,198,6943,11062,0.6276
13,HIDALGO,23,FRANCISCO I. MADERO,17,44,1907,3489,4075,242,349,748,2209,2049,614,11,6,14,1,6,15714,611,16331,26069,0.6264
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,2284,2698,2520,425,124,270,596,472,194,37,7,23,7,1,9657,265,9923,13418,0.7395
13,HIDALGO,25,HUAUTLA,26,33,208,2185,642,291,1527,1436,1644,1103,1884,44,9,51,24,6,11048,806,11860,15628,0.7588
13,HIDALGO,26,HUAZALINGO,10,18,102,1122,1482,18,72,121,1149,1374,86,0,0,0,0,0,5526,311,5837,8523,0.6848
13,HIDALGO,27,HUEHUETLA,16,31,607,3870,486,2542,124,560,2086,974,344,63,28,72,23,9,11779,467,12255,16353,0.7494
13,HIDALGO,28,HUEJUTLA DE REYES,53,146,7826,15762,2752,522,593,1217,1779,1468,21027,116,70,65,19,54,53216,3703,56973,85499,0.6663
13,HIDALGO,29,HUICHAPAN,37,62,4045,5366,749,2805,179,257,1895,2464,463,0,0,0,0,56,18223,1011,19290,33125,0.5823
13,HIDALGO,30,IXMIQUILPAN,61,127,22264,12006,791,343,221,613,2240,1970,552,0,0,0,0,11,41000,1096,42107,68991,0.6103
13,HIDALGO,31,JACALA DE LEDEZMA,22,24,64,2238,3988,38,33,60,82,73,22,0,0,0,0,5,6598,252,6855,9762,0.7022
13,HIDALGO,32,JALTOCÁN,12,16,93,2017,2351,60,85,121,168,63,686,34,2,4,0,1,5684,179,5864,7753,0.7563
13,HIDALGO,33,JUÁREZ HIDALGO,4,5,18,943,640,5,3,15,71,77,6,0,0,0,0,0,1778,34,1812,2533,0.7153
13,HIDALGO,34,LA MISIÓN,11,16,47,1797,3777,9,20,10,48,12,3,0,0,0,0,0,5723,149,5872,7871,0.746
13,HIDALGO,35,LOLOTLA,8,14,1657,1923,51,38,35,48,136,73,890,0,0,0,0,23,4851,181,5055,6828,0.7403
13,HIDALGO,36,METEPEC,9,17,111,2524,2537,57,35,29,423,37,39,70,11,67,6,4,5946,255,6205,8872,0.6993
13,HIDALGO,37,METZTITLÁN,26,37,301,4759,3180,62,91,87,306,127,1753,0,0,0,0,9,10666,624,11299,16481,0.6855
13,HIDALGO,38,MINERAL DEL CHICO,13,14,594,1807,1688,38,66,52,99,274,41,0,0,0,0,8,4659,106,4773,6500,0.7343
13,HIDALGO,39,MINERAL DEL MONTE,12,21,97,1814,1416,124,34,44,1410,223,447,70,16,34,6,0,5735,286,6021,10982,0.5482
13,HIDALGO,40,MINERAL DE LA REFORMA,76,169,18295,11842,2122,663,784,8272,1662,4668,2078,91,41,10,4,77,50532,1367,51976,101786,0.5106
