CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,C02,86,170,28,8,7,73,17,53,8,,,,,0,450,23,473,693,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0013C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,B ,44,138,36,3,8,30,12,57,11,,,,,0,339,30,369,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0014B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,C01,47,144,36,2,4,36,8,53,4,,,,,1,334,26,361,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0014C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,C02,57,156,35,6,8,27,15,62,5,,,,,0,371,14,385,535,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0014C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,15,B ,10,112,23,8,23,19,20,16,21,,,,,0,252,23,275,451,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0015B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,16,B ,90,136,15,17,25,112,13,23,15,,,,,0,446,38,484,722,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0016B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,B ,35,72,9,3,15,29,6,14,7,,,,,0,190,35,225,394,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0017B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,C01,35,89,4,4,7,17,3,23,0,,,,,0,182,41,223,393,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0017C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,B ,6,52,2,2,2,5,3,7,0,,,,,0,79,7,86,146,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0018B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,B ,23,129,38,0,6,7,3,57,1,,,,,0,264,17,281,536,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0019B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,C01,19,127,32,2,7,7,8,60,1,,,,,0,263,9,272,536,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0019C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,B ,51,106,13,21,11,13,9,21,1,,,,,0,246,31,277,567,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0020B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,C01,31,103,7,23,12,7,6,19,4,,,,,0,212,38,250,566,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0020C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,B ,43,112,11,18,18,15,6,17,1,,,,,0,241,38,279,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0021B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,C01,38,114,8,25,19,6,9,18,6,,,,,4,243,32,279,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0021C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,C02,39,110,5,15,17,6,6,19,5,,,,,0,222,35,257,636,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0021C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,B ,42,80,63,24,5,10,8,21,2,,,,,0,255,0,255,503,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0022B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,C01,43,102,63,19,11,8,6,19,9,,,,,0,280,19,299,503,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0022C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,C02,42,87,78,13,9,8,10,19,6,,,,,0,272,28,300,502,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0022C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,B ,66,207,21,17,10,12,13,32,11,,,,,0,389,32,421,681,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0023B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,C01,52,187,27,11,12,24,11,26,11,,,,,0,361,25,386,680,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0023C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,C02,65,176,23,20,13,11,13,17,16,,,,,2,354,22,378,680,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0023C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,B ,40,168,28,22,25,59,17,56,16,,,,,0,431,43,474,741,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0024B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,C01,28,180,35,23,23,46,27,69,19,,,,,0,450,29,479,741,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0024C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,C02,39,134,29,19,20,81,29,53,26,,,,,1,430,32,463,740,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0024C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,B ,41,133,26,13,9,29,29,34,13,,,,,0,327,10,337,569,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0025B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,E01,47,93,19,12,17,24,10,42,15,,,,,0,279,17,296,452,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0025E01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,E01C01,55,83,19,6,11,44,9,39,6,,,,,1,272,6,279,451,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0025E01C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,B ,49,123,26,11,8,48,21,53,7,,,,,0,346,17,363,743,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0026B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,B ,44,123,18,15,10,20,9,112,2,,,,,0,353,53,406,709,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0027B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C01,57,116,31,11,11,22,9,153,6,,,,,0,416,37,453,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0027C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C02,51,118,13,9,17,30,12,166,3,,,,,0,419,30,449,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0027C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,C03,67,89,28,20,15,14,15,158,4,,,,,0,410,48,458,708,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0027C03.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,B ,11,108,10,21,8,7,3,123,1,,,,,2,292,24,318,485,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0028B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,C01,11,82,10,23,5,20,11,132,5,,,,,2,299,11,312,485,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0028C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,B ,18,136,72,28,28,27,8,34,5,,,,,0,356,22,378,559,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0029B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,C01,22,126,46,28,35,25,9,40,1,,,,,0,332,31,363,558,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0029C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,C02,42,154,58,18,23,28,10,31,8,,,,,0,372,23,395,558,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0029C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,B ,38,94,28,30,27,19,10,134,12,,,,,0,392,33,425,743,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0030B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,C01,51,90,24,34,22,16,14,134,7,,,,,1,392,31,424,742,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0030C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,C02,25,87,24,23,17,16,8,133,13,,,,,0,346,59,405,742,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0030C02.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,B ,41,66,26,21,19,9,10,107,5,,,,,2,304,43,349,597,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0031B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,C01,34,52,19,31,14,4,9,90,16,,,,,0,269,53,322,597,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0031C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,B ,57,157,21,12,10,39,12,65,7,,,,,0,380,25,405,711,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0032B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,C01,43,178,37,7,13,39,19,88,5,,,,,0,429,18,447,711,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0032C01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,B ,33,102,84,3,8,5,6,13,6,,,,,1,260,23,284,455,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0033B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,C01,11,114,78,8,10,10,7,11,11,,,,,2,260,13,275,454,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0033C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,B ,15,108,17,4,7,18,38,38,55,,,,,4,300,14,318,664,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,C01,18,117,23,4,4,18,39,27,80,,,,,0,330,15,345,664,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,C02,26,123,23,9,9,28,49,27,80,,,,,2,374,16,392,664,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034C02.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,C03,15,104,14,6,5,23,61,30,84,,,,,0,342,18,360,663,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034C03.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,C04,21,139,34,2,3,17,41,30,57,,,,,0,344,14,358,663,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034C04.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,C05,19,121,22,2,6,29,53,29,54,,,,,0,335,8,343,663,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0034C05.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,B ,16,127,23,4,6,19,26,24,101,,,,,0,346,18,364,742,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0035B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,C01,69,140,18,7,6,20,31,28,111,,,,,0,430,14,444,741,ACTA CASILLA,,,
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,C02,13,138,20,8,2,25,21,23,88,,,,,0,338,12,350,741,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0035C02.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,B ,24,108,19,3,10,35,27,28,60,,,,,0,314,11,325,613,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0036B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,C01,17,105,25,1,6,0,27,33,57,,,,,0,271,16,287,613,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0036C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,B ,21,121,21,4,6,32,35,25,80,,,,,2,345,12,359,645,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0037B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,C01,25,123,12,3,11,21,36,37,85,,,,,0,353,14,367,646,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0037C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,C02,31,100,10,6,12,21,31,39,82,,,,,1,332,12,345,646,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0037C02.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,B ,16,129,17,8,4,40,26,53,66,,,,,0,359,21,380,691,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0038B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,C01,25,136,22,3,1,48,35,49,71,,,,,0,390,13,403,691,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0038C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,B ,36,109,15,3,1,29,46,26,54,,,,,0,319,12,331,578,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0039B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,C01,12,107,28,11,8,37,34,34,91,,,,,0,362,7,369,578,GRUPO DE RECUENTO,,,
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,C02,28,109,16,5,5,23,49,45,65,,,,,0,345,11,356,577,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0039C02.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,B ,28,120,30,5,6,26,41,44,55,,,,,0,355,9,364,655,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0040B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,C01,23,121,19,2,6,37,36,49,72,,,,,1,365,19,385,655,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0040C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,C02,32,125,23,8,5,27,53,34,72,,,,,0,379,21,400,654,ACTA CASILLA,,,
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,B ,12,107,28,11,8,37,34,34,91,,,,,0,362,7,369,724,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0041B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,C01,25,103,33,11,3,37,23,31,89,,,,,0,355,17,372,723,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0041C01.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,B ,19,125,15,10,4,19,17,26,65,,,,,0,300,10,310,559,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0042B00.jpg
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,C01,18,105,16,6,3,28,17,27,67,,,,,0,287,10,297,559,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0042C01.jpg
