ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,30,CHICOLOAPAN,70,207,3266,23349,7053,2146,1832,948,1395,35021,1921,679,,,,,,1565,,,,,,,,,,,,,79175,162,2057,81394,129663,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M030.pdf
15,MEXICO,31,CHICONCUAC,7,31,647,1525,270,321,688,1417,2118,3712,163,1075,,,,,,,2304,,,,,,,,,,,,14240,2,331,14573,19651,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M031.pdf
15,MEXICO,32,CHIMALHUACAN 10,162,683,10867,114409,13306,7284,3234,2954,3814,98008,5518,2623,,,,,,,,,,,,,,,,,,,262027,142,7723,269892,451573,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M032_CHIMALHUACAN_JI_3_2018.pdf
15,MEXICO,33,DONATO GUERRA,16,39,248,7396,7454,142,62,147,254,612,103,48,,,,,,,,,,,,,,,,,,,16466,0,825,17291,23599,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M033.pdf
15,MEXICO,34,ECATEPEC DE MORELOS,745,2052,75315,163325,64053,25677,24683,13748,17056,372720,22226,11125,,,,,,,,,,,,,,,,,,,789928,561,23149,813638,1248615,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M034.pdf
15,MEXICO,35,ECATZINGO,4,12,1620,1404,76,141,,84,92,1630,84,20,,,,,,,,,,,,,,,,,,,5151,3,128,5282,6830,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M035.pdf
15,MEXICO,36,HUEHUETOCA,51,148,13142,8968,1240,823,7215,726,2846,9549,830,6599,,,,,,,,,,,,,,,,,,,51938,17,1376,53331,92773,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M036.pdf
15,MEXICO,37,HUEYPOXTLA,16,49,1360,5705,2694,541,115,250,5606,4793,210,,,,,,,,,,,,,,,,,,,,21274,9,850,22133,30394,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M037.pdf
15,MEXICO,38,HUIXQUILUCAN 11,76,289,68949,31879,3147,1753,2387,1756,1341,19540,1449,,,,,,,,,,,,,,,,,,,,132201,21,3046,135268,187671,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M038_HUIXQUILUCAN_JI_66_2018.pdf
15,MEXICO,39,ISIDRO FABELA 12,5,13,90,2495,1211,56,327,49,957,298,21,355,,,,,,,,,,,,,,,,,,,5859,2,194,6055,8054,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M039.pdf
15,MEXICO,40,IXTAPALUCA,226,573,11410,101340,10258,5070,2436,2865,2242,74553,3913,2926,,,,,,,,,,,,,,,,,,,217013,97,5823,222933,344842,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M040.pdf
15,MEXICO,41,IXTAPAN DE LA SAL,19,47,6984,5109,606,535,245,318,275,2970,252,125,,,,,,,,,,,,,,,,,,,17419,11,607,18037,26407,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M041.pdf
