ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,15,VERACRUZ II,190,399,60627,18966,2198,2166,1691,1844,1955,767,1124,22243,2233,2760,236,69,82,15,11,686,35,18,10,5,12,176,119753,4081,124010,227222,0.5458
30,VERACRUZ,16,BOCA DEL RIO,186,378,64026,25984,1700,2776,1032,1564,1314,655,802,14982,1391,2953,126,54,94,10,3,796,51,45,6,4,12,113,120380,3878,124371,207755,0.5986
30,VERACRUZ,17,MEDELLIN,137,339,33940,26689,6362,3878,1175,1565,2139,2263,642,16657,924,1927,0,0,0,0,0,0,0,0,0,0,0,43,98161,3314,101518,185371,0.5476
30,VERACRUZ,18,HUATUSCO,119,303,26397,25924,6727,9136,1104,2384,1652,713,1699,11792,968,2618,0,0,0,0,0,0,0,0,0,0,0,82,91114,4679,95875,172008,0.5574
30,VERACRUZ,19,CORDOBA,154,348,28987,32084,2268,2115,1190,3049,1264,1548,1257,27436,1600,787,0,0,0,0,0,0,0,0,0,0,0,203,103585,4657,108445,194588,0.5573
30,VERACRUZ,20,ORIZABA,168,360,22814,16272,4346,3710,2016,1901,1213,870,1979,37933,2719,793,41,25,31,3,6,474,22,8,13,4,13,191,97206,4681,102078,200593,0.521
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,14085,20722,8661,1186,2124,1344,1407,1014,1023,25779,1786,1191,0,0,0,0,0,0,0,0,0,0,0,86,80322,4511,84919,169017,0.5109
30,VERACRUZ,22,ZONGOLICA,133,292,25553,16336,8616,17607,1851,1058,2205,924,847,11963,963,1842,0,0,0,0,0,0,0,0,0,0,0,24,89765,5711,95500,162438,0.588
30,VERACRUZ,23,COSAMALOAPAN,193,386,34727,35277,2869,2808,2210,1300,1674,610,857,19277,869,1643,0,0,0,0,0,0,0,0,0,0,0,51,104121,4015,108187,199506,0.5439
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,22340,32657,11315,1575,1583,1634,1060,738,665,14469,543,3741,0,0,0,0,0,0,0,0,0,0,0,91,92320,3752,96163,194287,0.5035
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,12093,8038,3961,2204,999,1942,34200,602,1098,16026,2761,1230,0,0,0,0,0,0,0,0,0,0,0,72,85154,5730,90956,178466,0.5106
30,VERACRUZ,26,COSOLEACAQUE,159,369,16358,24090,8489,1831,1631,836,3922,1487,1143,33011,2850,1668,123,60,66,11,18,590,215,52,23,9,38,29,98521,5095,103645,204741,0.506
30,VERACRUZ,27,ACAYUCAN,151,329,18334,20209,6022,3077,1433,6282,1087,6431,994,20654,1404,1773,224,11,123,10,2,383,22,224,11,54,23,55,88787,3174,92016,181385,0.5068
30,VERACRUZ,28,MINATITLAN,151,341,15463,26317,5109,2003,999,1001,615,839,622,29091,1738,1524,0,0,0,0,0,0,0,0,0,0,0,78,85321,3249,88648,173581,0.5107
30,VERACRUZ,29,COATZACOALCOS I,149,353,7601,20913,2355,5070,1957,1537,2247,1651,1299,49813,2188,448,0,0,0,0,0,0,0,0,0,0,0,129,97079,3409,100617,195052,0.5158
30,VERACRUZ,30,COATZACOALCOS II,152,355,6475,16437,4288,5471,972,747,2730,1206,540,38002,1350,609,0,0,0,0,0,0,0,0,0,0,0,66,78827,3431,82324,185400,0.4639
