CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_PVEM,PRI_NA,PRI_ES,PRI_NA_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,22,81,14,49,96,3,10,192,7,0,0,3,0,2,0,0,0,0,0,0,0,479,0,35,514,775
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,1,11,33,7,18,102,3,5,116,1,0,0,2,0,4,0,0,0,0,0,0,0,302,0,15,317,517
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,2,16,132,28,40,60,9,20,230,2,2,0,0,0,5,0,0,0,0,1,0,0,545,0,29,574,835
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,107,1,11,74,9,24,59,3,10,149,3,0,0,1,0,3,0,0,0,0,0,0,0,346,0,7,353,546
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,108,1,15,61,4,65,44,4,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,9,255,349
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,109,1,12,40,7,30,61,2,1,51,0,0,0,0,6,0,0,0,0,0,0,0,0,210,0,12,222,354
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,110,1,4,44,3,41,12,3,4,71,4,0,0,4,0,4,0,0,0,0,0,0,0,194,0,4,198,265
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,2,29,156,7,33,152,8,8,139,6,1,0,1,0,7,0,0,0,0,0,0,0,547,1,36,584,877
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,112,1,2,18,1,18,32,2,2,31,0,0,0,0,0,2,0,0,0,0,0,0,0,108,0,2,110,147
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,113,1,2,47,9,7,45,1,4,63,0,0,1,1,0,1,0,0,0,0,0,0,0,181,0,12,193,285
5,13,HIDALGO,10,APAN,7,ALMOLOYA,114,4,142,330,21,24,70,24,194,701,34,4,,,,,,,,,,,,1544,0,82,1626,2505
5,13,HIDALGO,10,APAN,7,ALMOLOYA,115,2,95,223,8,17,70,8,85,279,21,2,,,,,,,,,,,,808,0,54,862,1465
5,13,HIDALGO,10,APAN,7,ALMOLOYA,116,1,21,37,5,3,6,1,5,35,0,0,,,,,,,,,,,,113,0,11,124,218
5,13,HIDALGO,10,APAN,7,ALMOLOYA,117,1,33,98,6,7,8,2,14,43,2,0,,,,,,,,,,,,213,0,0,213,384
5,13,HIDALGO,10,APAN,7,ALMOLOYA,118,1,20,46,1,4,2,1,20,59,0,0,,,,,,,,,,,,153,0,9,162,267
5,13,HIDALGO,10,APAN,7,ALMOLOYA,119,1,21,98,1,5,11,3,31,129,2,0,,,,,,,,,,,,301,0,16,317,474
5,13,HIDALGO,10,APAN,7,ALMOLOYA,120,1,15,40,3,4,3,0,11,29,2,0,,,,,,,,,,,,107,0,11,118,184
5,13,HIDALGO,10,APAN,7,ALMOLOYA,121,2,33,190,11,18,21,5,77,146,9,0,,,,,,,,,,,,510,0,44,554,863
5,13,HIDALGO,10,APAN,7,ALMOLOYA,122,1,41,130,3,7,19,5,62,164,18,0,,,,,,,,,,,,449,0,41,490,712
5,13,HIDALGO,10,APAN,7,ALMOLOYA,123,1,7,81,1,17,5,3,53,87,5,0,,,,,,,,,,,,259,0,17,276,391
5,13,HIDALGO,10,APAN,7,ALMOLOYA,124,1,20,80,4,6,5,3,25,106,4,0,,,,,,,,,,,,253,2,13,268,378
5,13,HIDALGO,10,APAN,7,ALMOLOYA,125,1,15,78,7,1,7,0,21,116,7,0,,,,,,,,,,,,252,0,23,275,373
5,13,HIDALGO,10,APAN,7,ALMOLOYA,126,1,36,167,3,8,18,3,31,156,5,0,,,,,,,,,,,,427,0,20,447,678
5,13,HIDALGO,10,APAN,8,APAN,127,4,139,265,29,71,136,32,144,666,58,6,,,,,,,,,,,,1546,0,80,1626,2679
5,13,HIDALGO,10,APAN,8,APAN,128,5,182,339,37,93,200,29,228,635,55,3,,,,,,,,,,,,1801,3,94,1898,3154
5,13,HIDALGO,10,APAN,8,APAN,129,5,182,296,25,97,265,27,274,733,47,43,,,,,,,,,,,,1989,0,89,2078,3125
5,13,HIDALGO,10,APAN,8,APAN,130,3,158,185,24,52,150,11,157,482,49,4,,,,,,,,,,,,1272,0,74,1346,2092
5,13,HIDALGO,10,APAN,8,APAN,131,2,91,141,12,27,74,5,69,190,20,2,,,,,,,,,,,,631,0,42,673,1025
5,13,HIDALGO,10,APAN,8,APAN,132,2,69,120,4,22,57,6,91,199,18,0,,,,,,,,,,,,586,0,22,608,865
5,13,HIDALGO,10,APAN,8,APAN,133,2,67,157,5,45,59,7,50,197,21,0,,,,,,,,,,,,608,0,29,637,922
5,13,HIDALGO,10,APAN,8,APAN,134,3,166,218,15,31,132,21,138,484,41,1,,,,,,,,,,,,1247,0,60,1307,1960
5,13,HIDALGO,10,APAN,8,APAN,135,3,127,274,19,41,93,14,212,420,46,1,,,,,,,,,,,,1247,0,58,1305,2017
5,13,HIDALGO,10,APAN,8,APAN,136,4,122,249,18,32,129,13,133,577,31,2,,,,,,,,,,,,1306,0,51,1357,1505
5,13,HIDALGO,10,APAN,8,APAN,137,3,115,208,13,51,114,24,169,486,42,3,,,,,,,,,,,,1225,0,78,1303,1963
5,13,HIDALGO,10,APAN,8,APAN,138,2,63,115,10,17,36,11,52,167,16,3,,,,,,,,,,,,490,0,30,520,801
5,13,HIDALGO,10,APAN,8,APAN,139,1,15,153,5,9,13,3,58,115,7,0,,,,,,,,,,,,378,0,27,405,593
5,13,HIDALGO,10,APAN,8,APAN,140,1,7,61,7,9,2,1,32,32,0,0,,,,,,,,,,,,151,0,9,160,248
5,13,HIDALGO,10,APAN,8,APAN,141,1,23,44,11,7,6,4,32,36,3,0,,,,,,,,,,,,166,0,11,177,293
5,13,HIDALGO,10,APAN,8,APAN,142,1,27,86,13,23,11,6,45,127,5,1,,,,,,,,,,,,344,0,25,369,647
5,13,HIDALGO,10,APAN,8,APAN,143,3,93,214,14,33,97,15,154,446,23,0,,,,,,,,,,,,1089,0,65,1154,2037
5,13,HIDALGO,10,APAN,8,APAN,144,1,28,165,3,12,31,4,28,157,11,0,,,,,,,,,,,,439,0,19,458,674
5,13,HIDALGO,10,APAN,8,APAN,145,2,30,69,9,22,20,6,25,351,8,1,,,,,,,,,,,,541,0,31,572,837
5,13,HIDALGO,10,APAN,8,APAN,146,3,88,188,14,33,41,14,94,419,18,1,,,,,,,,,,,,910,0,51,961,1493
5,13,HIDALGO,10,APAN,8,APAN,147,2,62,181,13,34,49,8,46,300,19,1,,,,,,,,,,,,713,0,60,773,1363
5,13,HIDALGO,10,APAN,8,APAN,148,2,66,163,24,37,32,7,52,172,16,1,,,,,,,,,,,,570,0,52,622,1204
5,13,HIDALGO,10,APAN,8,APAN,149,1,30,62,4,9,2,4,24,68,4,0,,,,,,,,,,,,207,0,9,216,323
5,13,HIDALGO,10,APAN,8,APAN,150,1,31,84,3,12,18,6,71,130,9,1,,,,,,,,,,,,365,0,20,385,596
5,13,HIDALGO,10,APAN,8,APAN,151,2,35,63,9,35,16,11,24,310,12,0,,,,,,,,,,,,515,0,20,535,774
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,152,3,199,265,25,52,18,40,51,659,62,2,,,,,,,,,,,,1373,1,52,1426,2019
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,153,4,193,263,41,84,43,33,68,951,46,2,,,,,,,,,,,,1724,0,83,1807,2901
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,154,3,139,118,57,30,28,19,49,666,20,1,,,,,,,,,,,,1127,0,52,1179,1961
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,155,3,97,217,44,26,32,16,26,608,21,1,,,,,,,,,,,,1088,0,54,1142,1775
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,156,3,161,321,36,44,20,35,57,640,21,2,,,,,,,,,,,,1337,0,67,1404,1944
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,157,5,188,399,45,54,48,52,36,1592,50,3,,,,,,,,,,,,2467,0,77,2544,3594
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,158,4,212,275,24,31,22,25,50,623,37,5,,,,,,,,,,,,1304,1,49,1354,2365
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,159,1,38,151,5,11,12,3,9,321,4,0,,,,,,,,,,,,554,0,16,570,740
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,160,2,39,129,8,9,20,8,9,373,8,1,,,,,,,,,,,,604,0,20,624,802
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,161,4,150,280,62,53,23,68,55,972,19,2,,,,,,,,,,,,1684,1,49,1734,2509
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,162,3,207,417,56,5,20,21,23,820,39,5,1,11,0,4,1,0,0,0,0,0,0,1630,0,58,1688,2223
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,163,3,43,238,9,5,9,4,13,433,2,0,1,5,0,3,1,0,0,0,1,0,0,767,0,32,799,977
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,164,1,14,126,9,3,4,3,7,99,11,0,0,0,0,1,0,0,0,0,0,0,0,277,0,15,292,353
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,165,2,43,306,11,3,9,11,21,504,6,0,1,7,0,3,2,0,0,0,0,0,0,927,0,51,978,1239
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,166,2,37,138,43,5,14,3,9,388,9,5,0,4,2,2,1,0,0,0,0,0,0,660,0,31,691,947
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,167,1,15,141,117,5,15,1,3,156,4,0,3,1,0,1,0,0,0,0,1,0,0,463,0,22,485,506
