ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PT_MORENA_ES,C_COMUN_PAN_PRD_MC_PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,C_COMUN_PRD_MC_CPPP_PSI,C_COMUN_PAN_PRD_MC,C_COMUN_PAN_PRD_PCPP,C_COMUN_PAN_PRD_PSI,C_COMUN_PAN_MC_PCPP,C_COMUN_PAN_MC_PSI,C_COMUN_PAN_PCPP_PSI,C_COMUN_PRD_MC_PCPP,C_COMUN_PRD_MC_PSI,C_COMUN_PRD_PCPP_PSI,C_COMUN_MC_PCPP_PSI,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PAN_PCPP,C_COMUN_PAN_PSI,C_COMUN_PRD_MC,C_COMUN_PRD_PCPP,C_COMUN_PRD_PSI,C_COMUN_MC_PCPP,C_COMUN_MC_PSI,C_COMUN_PCPP_PSI,C_COMUN_PVEM_PCPP_PSI,C_COMUN_PRI_NA,C_COMUN_PVEM_PCPP,C_COMUN_PVEM_PSI,C_COMUN_NA_PCPP,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,CAN_IND5,CAN_IND6,CAN_IND7,CAN_IND8,CAN_IND9,CAN_IND10,CAN_IND11,CAN_IND12,CAN_IND13,CAN_IND14,CAN_IND15,CAN_IND16,CAN_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,11,ALBINO ZERTUCHE,1,2,,429,,,,,0,120,,,113,,,,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108,0,14,1122,1445,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_ALBINO ZERTUCHE ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,12,ALJOJUCA,4,9,930,581,,,,529,1041,309,,,171,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,3849,2,170,4021,4858,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_ALJOJUCA ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,13,ALTEPEXI,6,21,1472,1300,,42,,1648,2856,59,,,1422,,,,,,,,,,,,,,,,,,,,,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,10675,1,419,11095,13488,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_26_CME_ALTEPEXI.pdf
21,PUEBLA,14,AMIXTLAN,3,7,,389,,765,,,,5,,,102,,,,,,,,,,,,,,,,,,,249,,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594,2,168,2764,3459,
21,PUEBLA,15,AMOZOC,18,101,,4093,,1211,,1017,1405,,,,18173,,,,,,,,,,,,,,,,,9851,,,,,,,,7598,,,,,,,,,,,,,,,,,,,,,,,,43348,33,1893,45274,68752,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_12_CME_AMOZOC_DE_MOTA.pdf
21,PUEBLA,16,AQUIXTLA,5,10,,2176,,,,38,,16,,,222,,,,,,,,,,,,,,,,,,,1350,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,4484,32,258,4774,6004,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_03_CME_AQUIXTLA.pdf
21,PUEBLA,17,ATEMPAN,9,31,,4842,,144,,4453,39,39,,,1107,,,,,,,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12748,2,922,13672,18161,
21,PUEBLA,18,ATEXCAL,6,7,,1193,,2,,,,3,,,84,,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,0,95,2273,2775,
21,PUEBLA,82,ATLEQUIZAYAN,2,4,213,787,6,,,,,0,,,581,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1591,0,19,1610,1889,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_ATLEQUIZAYAN.pdf
21,PUEBLA,19,ATLIXCO,68,170,,11061,,1282,369,1159,488,379,,,23970,,,,,,,,,,,,,,,,,24134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62842,127,2425,65394,103235,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/ATLIXCO - RESOLUCION.pdf
21,PUEBLA,20,ATOYATEMPAN,2,7,,402,,265,,19,375,,,,1715,,,,,,,,,,,,,,,,,120,,,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,3754,1,141,3896,4905,
21,PUEBLA,21,ATZALA,1,2,,408,,397,1,,13,1,,,17,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,0,31,896,1074,
21,PUEBLA,22,ATZITZIHUACAN,9,18,,2079,,31,,,,8,,,627,,,,,,,3569,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,6348,0,272,6620,9014,
21,PUEBLA,23,ATZITZINTLA,5,13,,291,,,,1454,,31,,,729,,,,,,,,,,,,,,,,,684,,,,,,,1531,,,,,,,,,,,,,,,,,,,,,,,,,4720,1,193,4914,6190,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_ATZITZINTLA.pdf
21,PUEBLA,24,AXUTLA,2,3,,326,,,3,,1,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,0,17,700,1059,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_AXUTLA.pdf
21,PUEBLA,25,AYOTOXCO DE GUERRERO,4,10,,1151,,937,,,598,,,,214,,,,,,,,,,,,,,,,,,,,1088,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222,1,188,4411,5880,
21,PUEBLA,26,CALPAN,8,18,,459,,436,952,334,25,939,,,2327,,,,,,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538,2,445,6985,10576,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_CALPAN.pdf
21,PUEBLA,27,CALTEPEC,7,10,,1054,,,,,,,,,167,,,,,,,,,,,,,,579,,,,,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817,0,73,2890,3572,
21,PUEBLA,28,CAMOCUAUTLA,2,3,,515,,,704,,,2,,,342,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,0,50,1680,1855,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_02_CME_CAMOCUAUTLA.pdf
21,PUEBLA,29,CAÑADA MORELOS,9,25,,0,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,13797,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/CANADA-MORELOS-SCM-JDC-1141-2018.pdf
21,PUEBLA,30,CAXHUACAN,2,4,29,859,11,105,84,26,456,190,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141,0,110,2251,2796,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_CAXHUACAN.pdf
21,PUEBLA,46,CHALCHICOMULA DE SESMA,24,57,,2073,,585,,951,5048,286,,,6197,,,,,,,5288,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,20990,4,1071,22065,33128,
21,PUEBLA,47,CHAPULCO,3,8,547,830,,190,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,873,887,,,,,,,,,,,,,,,,,,,,,,,,,3649,0,144,3793,4888,
21,PUEBLA,48,CHIAUTLA,17,33,,3108,,,,189,1680,,,,2874,,,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9118,0,370,9488,16307,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/CHIAUTLA - RESOLUCION.pdf
21,PUEBLA,49,CHIAUTZINGO,8,23,,1848,143,79,,,897,1342,,,2878,,,,,,,,,,,,,,,,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8634,5,357,8996,14334,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_SAN_LORENZO_CHIAUTZINGO.pdf
21,PUEBLA,51,CHICHIQUILA,9,24,,2923,,25,,1971,708,380,,,1891,,,,,,,2384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10282,1,751,11034,14444,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_CHICHIQUILA.pdf
21,PUEBLA,50,CHICONCUAUTLA,7,19,,3141,,31,,1264,4,15,,,131,,,,,,,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7173,1,1005,8179,10348,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/CHICONCUAUTLA - RESOLUCION.pdf
21,PUEBLA,52,CHIETLA,20,48,,5538,,81,2692,634,2736,979,,,2158,,,,,,,,,,,,,,,,,2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17320,1,886,18207,27640,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_CHIETLA.pdf
21,PUEBLA,53,CHIGMECATITLAN,2,2,,367,,,36,,,0,,,191,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,0,20,947,1111,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CHIGMECATITLAN ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,54,CHIGNAHUAPAN,28,77,,6486,,217,,1021,,350,,,8811,,14627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31512,6,1403,32921,44566,
21,PUEBLA,55,CHIGNAUTLA,7,34,,5317,,342,,570,,896,,,2466,,,,,,,,,,,,,,,,,1915,,,,,,,3183,,,,,,,,,,,,,,,,,,,,,,,,,14689,1,813,15503,21286,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_06_CME_CHIGNAUTLA.pdf
21,PUEBLA,56,CHILA,4,8,,1088,,,64,,11,,,,66,,,,,,,,,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759,2,86,2847,3935,
21,PUEBLA,57,CHILA DE LA SAL,2,3,,459,,,,,,1,,,283,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,930,0,8,938,1212,
21,PUEBLA,59,CHILCHOTLA,7,19,,937,964,323,1419,184,,725,,,1276,,,,,,,,,,,,,,,,,,,2588,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,8422,0,835,9257,12104,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_CHILCHOTLA.pdf
21,PUEBLA,60,CHINANTLA,3,5,,579,,,,81,80,,,,195,,,,,,,,,,,,,,,,,,,,386,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,0,39,1463,2323,
21,PUEBLA,31,COATEPEC,1,1,,187,,,77,,225,1,,,3,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,0,13,536,749,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_02_CME_COATEPEC.pdf
21,PUEBLA,32,COATZINGO,3,6,13,481,,586,,,2,2,,,48,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618,0,88,1706,2278,
21,PUEBLA,33,COHETZALA,2,3,14,303,,70,4,296,,1,,,55,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,829,0,46,875,1179,
21,PUEBLA,34,COHUECAN,3,6,1475,828,,,,,,10,,,188,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,216,,,,,,,,,,,,,,,,,,2731,0,85,2816,3566,
21,PUEBLA,35,CORONANGO,12,56,,3722,4682,1496,,497,2853,443,,,6951,,,,,,,,,,,,,,,,,,2637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23281,73,843,24197,36473,
21,PUEBLA,36,COXCATLAN,12,26,832,1850,,1219,,377,1658,1169,,,2072,,,,,,,,,,,,,,,,,,,,,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,10139,0,700,10839,14760,
21,PUEBLA,37,COYOMEAPAN,8,19,,2313,,14,,16,6,,,,1362,,,3491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7202,1,261,7464,8935,
21,PUEBLA,38,COYOTEPEC,3,4,,462,,,,205,2,4,,,467,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,0,73,1562,1976,
21,PUEBLA,39,CUAPIAXTLA DE MADERO,2,10,672,838,,,,,6,60,,,2007,,,,,,,,,,,,,,,,,,,,,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,0,134,4494,6038,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_13_CME_CUAPIAXTLA_DE_MADERO.pdf
21,PUEBLA,40,CUAUTEMPAN,4,14,,1210,,,,225,1170,,,,356,,,,,,,,,,,,,,,,,432,,,,,,,,1670,,,,,,,,,,,,,,,,,,,,,,,,5063,0,312,5375,6671,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_CUAUTEMPAN.pdf
21,PUEBLA,41,CUAUTINCHAN,2,12,,154,541,362,,22,1178,16,,,1629,,,,,,,,,,,,,,,,,,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267,0,281,5548,6841,
21,PUEBLA,42,CUAUTLANCINGO,16,105,,4787,,664,,1103,,,,,18015,,,,,,,,13427,,,,,,,,,,,,,,,,,665,,,,,,,,,6977,,,,,,,,,,,,,,,45638,495,1221,47354,70757,
21,PUEBLA,43,CUAYUCA DE ANDRADE,4,8,,814,1,310,,,2,3,,,83,,,,,,,,,,,,,,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2,81,2203,2778,
21,PUEBLA,44,CUETZALAN DEL PROGRESO,20,52,,9275,,109,534,102,55,47,,,2399,,,,,,,,,,,,,,,,,7508,,,,,,,,,,,,,,,,,,956,,,,,,,,,,,,,,20985,17,1628,22630,31820,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_05_CME_CUETZALAN_DEL_PROGRESO.pdf
21,PUEBLA,45,CUYOACO,7,19,,1629,,297,2412,,,1354,,,1929,,,,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8616,0,365,8981,11442,
21,PUEBLA,61,DOMINGO ARENAS,3,8,,195,,,,,,3,,,341,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,1606,,,,,,,,,,,,,3523,0,139,3662,5018,
21,PUEBLA,62,ELOXOCHITLAN,6,19,,,,13,,,20,,,,139,,,4253,,,,,,,,,,,,,,,,,,,,,,,,,2868,,,,,,,,,,,,,,,,,,,,,7293,0,232,7525,8683,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_26_CME_ELOXOCHITLAN.pdf
21,PUEBLA,63,EPATLAN,2,6,,560,,,891,,,,,,415,,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,1,78,2769,3707,
21,PUEBLA,64,ESPERANZA,9,19,,599,,174,,,,260,,,1050,,,,,,,1605,,,,,,,,,,,,,,,,,,,,,,,,3341,,,,,,,,,,,,,,,,,,7029,19,354,7402,10175,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_ESPERANZA.pdf
21,PUEBLA,65,FRANCISCO Z. MENA,9,23,,1780,,41,,748,,21,,,3628,,3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9379,0,331,9710,12623,
21,PUEBLA,66,GENERAL FELIPE ANGELES,7,24,,2323,,,,,,2237,,,2732,,,,,,,1377,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,8934,1,506,9441,13860,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_15_CME_GENERAL_FELIPE_ANGELES.pdf
21,PUEBLA,67,GUADALUPE,4,9,,1799,,,9,,2,,,,465,,,,,,,,,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838,0,81,3919,5408,
21,PUEBLA,68,GUADALUPE VICTORIA,10,19,,5195,,36,243,1449,,16,,,642,,,,,,,,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8176,1,419,8596,11502,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_06_CME_GUADALUPE_VICTORIA.pdf
21,PUEBLA,69,HERMENEGILDO GALEANA,4,10,,1624,,,5,,,4,,,113,,,,,,,,,,,,,,,,,1755,,,,,,,,,,,,647,,,,,,,,,,,,,,,,,,,,4148,0,191,4339,5337,
21,PUEBLA,58,HONEY,3,9,,2020,,,11,,3,4,,,158,,,,,,,,,,,,,,,,,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,0,214,4089,5186,
21,PUEBLA,70,HUAQUECHULA,19,38,,4349,,93,,76,209,271,,,5030,,,,,,,2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,,13071,9,571,13651,20393,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_HUAQUECHULA.pdf
21,PUEBLA,71,HUATLATLAUCA,6,11,1700,113,,,,,,5,,,281,,,,,,,,,,,,,1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3626,0,221,3847,5094,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_HUATLATLAUCA.pdf
21,PUEBLA,72,HUAUCHINANGO,37,118,,9213,,,,415,,,,,15668,,,12954,,,,,,,,,,,,,,,,,,,,,,,,,,7047,,,,,,,,,814,,,,,,,,,,,46111,31,2836,48978,71439,
21,PUEBLA,73,HUEHUETLA,9,21,,3775,,6,,19,,27,,,268,,,,,,,,,,,,,,,,,,1911,,,,3063,,,,,,,,,,,,,,,,,,,,,,,,,,,9069,0,232,9301,11343,
21,PUEBLA,74,HUEHUETLAN EL CHICO,6,13,,1817,,14,,67,,,,,378,,,,,,,,,,,,,,894,,,,,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5085,0,245,5330,7283,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_HUEHUETLAN_EL_CHICO.pdf
21,PUEBLA,75,HUEHUETLAN EL GRANDE,5,10,,1782,,12,,,,,,,246,,,,,,,,97,,,,,,,,,,,,,,,,,1325,,,,,,,,,,,,,,,,,,,,,,,,3462,0,228,3690,4970,
21,PUEBLA,76,HUEJOTZINGO,22,84,2894,5883,,810,,4894,827,379,,,8914,,,,,,,,,,,,,,,,,,,,,6517,,,,,,,,,,,,,,,,,,1721,,,,,,,,,,32839,33,1360,34232,53731,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_HUEJOTZINGO.pdf
21,PUEBLA,77,HUEYAPAN,5,12,,1912,,18,,862,150,,,,1460,,,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5770,0,245,6015,8275,
21,PUEBLA,78,HUEYTAMALCO,15,36,,4672,,1090,,,,798,,,1639,,,,,,,3232,,,,,,,,,,,,,,,,,,,,,,,,1546,,,,,,,,,,,,,,,,,,12977,4,656,13637,19500,
21,PUEBLA,79,HUEYTLALPAN,3,8,,1690,,7,,,2,5,,,269,,,,,,,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268,1,118,3387,4075,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_HUEYTLALPAN.pdf
21,PUEBLA,80,HUITZILAN DE SERDAN,5,17,,4012,,,,,,,,,581,,,,,,,2019,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,6639,0,320,6959,9430,
21,PUEBLA,81,HUITZILTEPEC,3,7,,580,,1428,132,,,,,,312,,,,,,,,,,,,,,,,,641,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3097,1,101,3199,4025,
21,PUEBLA,83,IXCAMILPA DE GUERRERO,3,7,,1185,,,,,,,,,87,,,,,,,,98,,,,,,,,,,,,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,,2327,0,63,2390,3066,
21,PUEBLA,84,IXCAQUIXTLA,3,9,,2355,,12,113,17,706,1,,,800,,,,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368,4,131,4503,5800,
21,PUEBLA,85,IXTACAMAXTITLAN,15,38,1756,6228,,58,,76,415,29,,,1897,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,12859,0,884,13743,17912,
21,PUEBLA,86,IXTEPEC,3,8,,819,,12,8,,,,,,208,,,,,,,,,,,,,,,,,,,1135,,,,1466,,,,,,,,,,,,,,,,,,,,,,,,,,3648,0,191,3839,4822,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_IXTEPEC.pdf
21,PUEBLA,87,IZUCAR DE MATAMOROS,34,103,,8045,,684,,2148,,1687,,,12566,,,,,,,,,,,,,,,,,4952,,,,,,,2241,,,,,,,,,,,,,,,,1088,,,,,,,,,33411,14,1593,35018,57741,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_IZUCAR_DE_MATAMOROS.pdf
21,PUEBLA,88,JALPAN,6,16,,461,200,,,1196,,17,,,579,,,,,,,,,,,,,,,,,,2082,,,,,,,,,,,2117,,,,,,,,,,,,,,,,,,,,6652,1,437,7090,9278,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_01_JALPAN ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,89,JOLALPAN,6,16,,2964,,,,9,,6,,,378,,,,,,,,,,,,,,,,,,,2306,,1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,6987,5,420,7412,9401,
21,PUEBLA,90,JONOTLA,3,7,,666,,460,,723,1,3,,,88,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,0,121,2271,3415,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_05_CME_JONOTLA.pdf
21,PUEBLA,91,JOPALA,7,16,,917,,926,,17,17,,,,1484,,,,,,,,,,,,,,,,,,2064,,,,,1468,,,,,,,,,,,,,,,,,,,,,,,,,,6893,0,267,7160,9104,
