CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,585,C,1,0,C01,106,36,,,,,5,77,8,,26,177,7,0,1,0,0,,,,,443,0,27,470,672,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,585,C,2,0,C02,115,30,,,,,13,78,6,,13,160,7,3,2,2,0,,,,,429,1,18,448,672,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,585,C,3,0,C03,100,41,,,,,6,68,3,,20,172,12,3,0,2,0,,,,,427,2,26,455,672,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,B,1,0,B,100,59,,,,,5,44,13,,10,99,6,2,1,0,0,,,,,339,0,27,366,506,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,C,1,0,C01,72,67,,,,,4,56,10,,7,87,8,0,2,0,0,,,,,313,0,24,337,506,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,551,C,2,0,C02,49,54,,,,,4,54,14,,4,114,1,0,1,0,0,,,,,295,0,16,311,505,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,552,B,1,0,B,35,56,,,,,4,36,12,,2,102,3,0,1,0,0,,,,,251,0,18,269,449,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,57,SAN LUCAS TECOPILCO,552,C,1,0,C01,70,45,,,,,3,51,9,,6,78,9,0,0,0,0,,,,,271,0,19,290,449,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,B,1,0,B,0,27,,,,,6,78,47,,18,161,13,0,0,0,0,,,,,350,0,23,373,678,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,C,1,0,C01,21,30,,,,,12,84,34,,12,152,8,0,0,0,0,,,,,353,0,29,382,677,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,232,C,2,0,C02,16,22,,,,,7,92,46,,11,91,9,0,0,1,0,,,,,295,0,24,319,677,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,B,1,0,B,17,43,,,,,5,27,37,,10,194,6,0,0,0,0,,,,,339,0,24,363,575,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,C,1,0,C01,19,41,,,,,9,40,40,,13,164,8,1,0,0,0,,,,,335,0,22,357,575,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,233,C,2,0,C02,18,25,,,,,9,45,41,,10,190,11,0,0,0,0,,,,,349,0,18,367,575,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,234,B,1,0,B,20,54,,,,,6,34,19,,18,208,9,0,0,0,0,,,,,368,0,9,377,655,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,234,C,1,0,C01,21,67,,,,,16,30,22,,19,211,8,2,0,3,0,,,,,399,0,12,411,654,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,235,B,1,0,B,7,7,,,,,2,20,12,,13,39,1,0,1,0,0,,,,,102,0,8,110,204,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,236,B,1,0,B,13,36,,,,,6,17,24,,5,43,8,0,0,0,0,,,,,152,0,8,160,273,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,237,B,1,0,B,4,58,,,,,2,12,72,,5,41,3,0,0,0,0,,,,,197,0,12,209,329,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,238,B,1,0,B,3,20,,,,,5,30,46,,10,28,3,1,0,0,0,,,,,146,0,12,158,284,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,239,B,1,0,B,11,29,,,,,3,17,81,,2,77,8,0,1,0,0,,,,,229,0,26,255,429,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,240,B,1,0,B,9,15,,,,,6,11,20,,15,115,20,1,0,0,1,,,,,213,0,10,223,415,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,240,C,1,0,C01,7,25,,,,,6,23,12,,13,98,7,2,0,0,1,,,,,194,0,13,207,414,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,241,B,1,0,B,16,16,,,,,9,40,26,,7,146,17,0,0,0,0,,,,,277,0,17,294,581,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,241,C,1,0,C01,15,18,,,,,3,51,17,,2,146,12,0,0,0,1,,,,,265,0,25,290,581,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,241,C,2,0,C02,15,14,,,,,6,41,15,,8,141,6,0,0,0,0,,,,,246,0,27,273,580,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,242,B,1,0,B,21,33,,,,,5,73,20,,4,156,24,0,1,0,0,,,,,337,3,16,356,690,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,242,C,1,0,C01,10,20,,,,,1,53,22,,10,165,25,0,0,0,0,,,,,306,0,31,337,690,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,243,B,1,0,B,3,29,,,,,2,32,17,,5,97,4,3,2,0,0,,,,,194,0,7,201,313,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,244,B,1,0,B,7,39,,,,,8,38,25,,19,92,14,4,1,1,0,,,,,248,0,25,273,483,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,245,B,1,0,B,7,52,,,,,9,35,17,,11,161,11,0,0,0,0,,,,,303,0,15,318,591,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,245,C,1,0,C01,3,49,,,,,6,28,18,,10,160,22,0,1,0,0,,,,,297,0,26,323,591,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,245,C,2,0,C02,14,52,,,,,7,48,20,,12,160,19,0,0,0,0,,,,,332,0,16,348,591,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,245,C,3,0,C03,5,62,,,,,9,47,22,,6,131,12,0,0,0,0,,,,,294,0,11,305,591,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,246,B,1,0,B,18,69,,,,,6,59,48,,19,196,23,1,1,0,0,,,,,440,0,25,465,721,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,247,B,1,0,B,24,47,,,,,10,41,9,,33,115,18,0,0,0,0,,,,,297,0,21,318,535,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,247,C,1,0,C01,21,36,,,,,6,30,7,,37,136,10,4,1,0,0,,,,,288,0,27,315,535,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,247,C,2,0,C02,22,45,,,,,8,35,15,,50,131,15,2,0,0,1,,,,,324,0,16,340,534,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,248,B,1,0,B,14,32,,,,,12,44,22,,29,187,18,0,0,0,0,,,,,358,0,15,373,603,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,248,C,1,0,C01,9,38,,,,,9,44,18,,24,146,45,0,0,2,0,,,,,335,0,19,354,603,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,249,B,1,0,B,10,46,,,,,8,44,6,,3,112,6,0,1,1,0,,,,,237,0,15,252,541,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,250,B,1,0,B,26,27,,,,,7,25,15,,19,156,8,3,0,0,2,,,,,288,1,27,316,502,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,250,C,1,0,C01,21,29,,,,,5,21,19,,12,179,16,0,0,1,0,,,,,303,0,21,324,501,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,251,B,1,0,B,14,57,,,,,8,39,27,,7,242,20,0,0,0,0,,,,,414,0,21,435,733,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,251,C,1,0,C01,19,72,,,,,3,39,22,,6,262,15,0,0,0,0,,,,,438,0,13,451,733,Acta  casilla,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,251,C,2,0,C02,12,63,,,,,3,57,20,,5,253,16,0,0,0,0,,,,,429,0,22,451,732,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,251,C,3,0,C03,12,63,,,,,5,53,19,,12,228,8,0,0,0,0,,,,,400,0,21,421,732,Grupo de recuento,,,
1,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,252,B,1,0,B,17,40,,,,,9,23,8,,10,183,9,0,0,0,0,,,,,299,0,15,314,626,Grupo de recuento,,,
