ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,52,1,120,,7,,,,,,3,,,,,,,,,,,,130,,,,,,,,,,,,,,0,260,5,265,392
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,53,1,239,,16,,,,,,2,,,,,,,,,,,,148,,,,,,,,,,,,,,0,405,15,420,645
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,54,1,168,,24,,,,,,5,,,,,,,,,,,,157,,,,,,,,,,,,,,0,354,10,364,542
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,55,1,152,,0,,,,,,21,,,,,,,,,,,,219,,,,,,,,,,,,,,0,392,7,399,501
8,CHIHUAHUA,11,MEOQUI,4,AQUILES SERDAN,56,3,109,,7,930,,6,,4,,,,,,,,,,,,,,324,,,,,,,,,,,,,0,1380,39,1419,1843
8,CHIHUAHUA,11,MEOQUI,4,AQUILES SERDAN,57,1,40,,0,145,,11,,0,,,,,,,,,,,,,,81,,,,,,,,,,,,,0,277,11,288,428
8,CHIHUAHUA,11,MEOQUI,4,AQUILES SERDAN,59,13,511,,75,1948,,189,,70,,,,,,,,,,,,,,1634,,,,,,,,,,,,,0,4427,145,4572,8056
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,60,2,257,323,4,2,8,32,8,4,,3,0,20,0,0,5,0,1,0,0,0,,,,,,,,,,,,,,,0,667,14,681,1263
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,61,2,238,309,5,2,12,26,0,4,,2,1,0,0,0,3,1,0,0,0,0,,,,,,,,,,,,,,,0,603,14,617,1102
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,62,1,114,182,2,1,1,19,4,1,,5,1,0,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,0,333,3,336,556
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,63,2,272,267,4,1,6,15,2,6,,0,0,0,0,0,9,0,2,0,0,0,,,,,,,,,,,,,,,0,584,11,595,1082
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,64,2,159,194,7,0,3,25,3,3,,0,0,0,1,0,2,0,0,0,0,0,,,,,,,,,,,,,,,0,397,4,401,957
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,65,1,106,164,1,0,4,24,0,2,,1,0,20,0,0,3,0,1,0,0,0,,,,,,,,,,,,,,,0,326,6,332,516
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,66,1,94,201,3,1,0,27,1,4,,3,1,1,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,0,340,13,353,593
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,67,1,114,194,1,0,0,15,1,1,,1,0,0,0,0,2,1,0,0,0,0,,,,,,,,,,,,,,,1,330,12,343,595
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,68,2,134,255,4,1,6,17,4,3,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,425,12,437,777
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,69,1,147,177,6,1,3,18,0,1,,1,0,0,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,0,357,5,362,630
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,70,2,275,275,4,2,2,27,4,0,,4,0,1,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,0,598,19,617,1087
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,71,1,143,221,2,2,2,23,0,1,,0,0,0,0,1,2,0,2,0,0,0,,,,,,,,,,,,,,,0,399,4,403,685
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,72,2,161,243,5,14,6,28,9,8,,0,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,0,479,21,500,1287
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,73,1,38,113,3,5,2,5,2,1,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,170,5,175,450
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,74,2,73,103,0,0,2,9,6,3,,0,1,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,0,200,9,209,535
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,75,1,68,114,5,6,5,6,4,5,,1,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,0,216,11,227,742
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,76,2,112,181,7,9,12,8,11,1,,0,0,0,0,0,5,0,1,0,0,0,,,,,,,,,,,,,,,0,347,19,366,978
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,78,2,229,144,0,4,0,42,2,0,,3,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,0,429,7,436,772
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,79,2,189,148,5,3,2,27,1,4,,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,381,14,395,772
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,80,1,39,23,0,1,0,6,1,0,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,71,0,71,359
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,81,2,168,53,0,1,3,5,2,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,232,2,234,1276
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,82,1,235,107,7,1,1,,0,,,1,0,1,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,0,356,5,361,562
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,83,1,204,154,5,0,1,,7,,,3,0,4,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,0,381,15,396,622
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,84,1,47,114,7,1,0,,0,,,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,0,171,4,175,321
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,85,1,69,108,8,2,0,,5,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,192,5,197,324
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,86,1,17,41,3,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,63,1,64,108
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,87,1,125,153,12,0,1,,1,,,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,294,7,301,524
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,88,1,152,87,6,0,0,,1,,,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,248,14,262,357
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,89,1,68,74,1,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,143,4,147,250
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,90,1,64,106,0,1,1,,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,174,6,180,275
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,91,1,42,29,1,2,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,76,2,78,119
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,92,1,53,19,2,1,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,76,3,79,120
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,94,1,46,55,4,0,0,,2,,,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,109,5,114,163
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,95,1,72,90,2,0,0,,1,,,0,0,5,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,0,172,3,175,285
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,97,1,45,50,0,1,0,,0,,,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,99,3,102,155
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,98,1,77,47,2,1,0,,2,,,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,131,2,133,189
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,99,1,124,109,6,0,0,,3,,,0,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,1,245,7,253,408
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,100,1,122,95,25,0,2,,2,,,2,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,250,8,258,399
8,CHIHUAHUA,13,GUERRERO,6,BACHINIVA,101,1,77,101,16,4,1,,1,,,1,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,208,8,216,401
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,102,2,461,356,0,0,0,,0,,1,1,1,5,0,0,0,0,14,0,0,0,,,,,,,,,,,,,,,1,839,25,865,1230
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,103,2,302,257,0,3,0,,2,,6,0,1,5,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,577,12,589,876
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,104,1,108,204,1,1,3,,2,,0,9,0,0,0,0,4,3,2,0,0,0,,,,,,,,,,,,,,,0,337,22,359,512
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,105,1,166,146,2,1,0,,0,,2,0,0,5,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,0,326,20,346,578
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,106,2,279,496,6,1,2,,6,,1,1,2,11,0,0,12,2,0,0,1,0,,,,,,,,,,,,,,,2,820,42,864,1257
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,107,1,187,175,0,1,0,,2,,9,4,0,2,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,0,382,8,390,615
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,108,1,120,172,0,0,1,,3,,0,0,0,1,0,0,5,0,9,0,0,0,,,,,,,,,,,,,,,0,311,13,324,544
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,109,1,41,131,0,2,1,,2,,0,1,1,2,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,0,184,8,192,321
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,110,2,272,345,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,618,38,656,987
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,111,2,336,340,0,2,0,,6,,1,4,0,14,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,0,708,50,758,1077
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,112,1,139,153,1,3,0,,7,,1,0,0,3,0,0,2,0,0,2,1,0,,,,,,,,,,,,,,,0,312,14,326,468
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,113,3,161,601,1,2,1,,0,,0,42,0,3,1,0,2,1,0,0,0,0,,,,,,,,,,,,,,,0,815,61,876,1615
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,114,3,531,586,1,5,6,,6,,1,5,1,9,0,0,4,0,0,0,4,0,,,,,,,,,,,,,,,0,1159,48,1207,1819
8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,115,2,179,373,1,3,2,,4,,0,0,1,8,0,0,13,0,1,0,0,0,,,,,,,,,,,,,,,0,585,28,613,952
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,116,2,130,,,,,21,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,1,601,68,670,1321
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,117,2,100,,,,,4,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,0,414,60,474,953
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,118,1,20,,,,,1,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,0,107,16,123,193
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,119,2,148,,,,,2,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,3,362,83,448,1033
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,120,1,45,,,,,0,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,1,151,19,171,368
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,121,2,96,,,,,2,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,2,337,99,438,1018
