ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD,PRI_PVEM,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
14,JALISCO,57,MAGDALENA,10,25,2571,3076,646,174,,1879,245,7,,,,,,,,,3,8598,126,8727,15153,0.5759
14,JALISCO,59,MANZANILLA DE LA PAZ,5,7,740,1080,,,,549,,60,,,,,,,,,0,2429,17,2446,3248,0.7531
14,JALISCO,60,MASCOTA,13,23,959,3501,63,171,241,1884,,,,,,262,,,,,0,7081,102,7183,10982,0.6541
14,JALISCO,61,MAZAMITLA,9,20,203,2552,934,58,0,2290,0,72,0,207,61,81,0,0,0,0,1,6458,116,6575,10393,0.6326
14,JALISCO,62,MEXTICACÁN,7,10,1089,1195,,,,343,200,44,,,,,,,,,1,2871,42,2914,4912,0.5932
14,JALISCO,63,MEZQUITIC,8,23,3228,3816,66,,,1756,,281,,,,,,,,,10,9147,333,9490,12970,0.7317
14,JALISCO,64,MIXTLÁN,4,7,46,665,,,451,919,184,,,,,,,,,,0,2265,25,2290,3221,0.7110
14,JALISCO,65,OCOTLÁN,42,117,3787,9078,469,514,1534,13534,1789,620,2139,1516,50,154,,,,,304,35184,1004,36492,73385,0.4973
14,JALISCO,66,OJUELOS DE JALISCO,15,34,628,3324,2868,400,,3175,694,521,,,367,583,,,,,4,12560,345,12909,19665,0.6564
14,JALISCO,67,PIHUAMO,12,21,,2568,,,,3490,,,,,,,,,,,1,6058,99,6158,9607,0.6410
14,JALISCO,68,PONCITLÁN,20,55,1954,7267,3388,253,,5341,,331,,,237,193,,,,,1,18964,343,19308,34296,0.5630
14,JALISCO,69,PUERTO VALLARTA,78,309,17521,26413,694,1076,984,34001,920,1146,682,645,,989,,,4213,,96,89284,1661,91041,202982,0.4485
14,JALISCO,71,QUITUPAN,12,18,1995,2623,,,,142,,,,,,,,,,,5,4760,87,4852,8599,0.5643
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,1042,794,53,,,,,5,,,,,,,,,0,1894,37,1931,3047,0.6337
14,JALISCO,74,SAN DIEGO DE ALEJANDRÍA,7,11,1541,1774,,,,179,,,,,,,,,,,0,3494,41,3535,5218,0.6775
14,JALISCO,24,SAN GABRIEL,10,20,1247,3105,2423,,,470,,353,,,,,,,,,1,7598,166,7765,11662,0.6658
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,22,1671,2411,29,2043,,855,,,245,,1,,,,,,3,7255,200,7458,14193,0.5255
14,JALISCO,75,SAN JUAN DE LOS LAGOS,34,81,11445,2000,,6592,,3290,995,177,1050,,,393,,,,,38,25942,552,26532,49101,0.5404
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,12,1033,1183,284,,,1018,100,761,,223,,,,,,,0,4602,78,4680,7286,0.6423
14,JALISCO,76,SAN JULIÁN,10,21,2713,2873,,,,2022,,,,,,,,,,,1,7608,147,7756,12865,0.6029
14,JALISCO,77,SAN MARCOS,2,5,466,741,61,,,722,219,,,,46,,,,,,1,2255,23,2279,3018,0.7551
14,JALISCO,78,SAN MARTÍN DE BOLAÑOS,5,7,890,789,,,,133,,8,,,,,,,,,0,1820,25,1845,2653,0.6954
14,JALISCO,79,SAN MARTÍN HIDALGO,17,40,1997,3718,152,498,,6286,,176,577,142,82,,,,,,1,13628,254,13883,23791,0.5835
14,JALISCO,80,SAN MIGUEL EL ALTO,17,39,5111,4542,572,233,,1356,,,,536,,,,,,,2,12350,348,12700,23167,0.5482
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,204,718,23535,55040,2643,5903,4388,64399,4364,7312,3443,5359,113,2877,0,0,0,0,98,179376,5765,185239,448790,0.4128
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,,1222,,,,1370,52,,688,,,,,,,,1,3332,53,3386,4653,0.7277
14,JALISCO,82,SANTA MARIA DE LOS ÁNGELES,5,7,889,925,,,,383,,8,,,,,,,,,0,2205,24,2229,3255,0.6848
14,JALISCO,58,SANTA MARÍA DEL ORO,5,6,634,725,,,,,,,,,,,,,,,0,1359,10,1369,2076,0.6594
14,JALISCO,83,SAYULA,18,42,1435,2470,4530,165,373,639,1358,1758,749,131,,183,,,,,7,13791,308,14106,25909,0.5444
