id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,PAN,PRI,PVEM,PC,PRD-PT-PRS,No Registrado,Nulos,Total
18,03/07/05,12,Ayuntamientos,18,0,260,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,51,28,0,2,18,0,19,118
18,03/07/05,12,Ayuntamientos,18,0,260,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,59,60,0,33,139,0,22,313
18,03/07/05,12,Ayuntamientos,18,0,261,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,10,87,0,1,129,0,13,240
18,03/07/05,12,Ayuntamientos,18,0,262,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,51,155,0,0,12,0,16,234
18,03/07/05,12,Ayuntamientos,18,0,262,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,110,207,0,11,33,0,9,370
18,03/07/05,12,Ayuntamientos,18,0,263,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,4,15,0,0,59,0,4,82
18,03/07/05,12,Ayuntamientos,18,0,264,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,20,55,0,3,51,0,14,143
18,03/07/05,12,Ayuntamientos,18,0,264,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,11,12,0,2,25,0,8,58
18,03/07/05,12,Ayuntamientos,18,0,265,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,44,42,0,0,82,0,20,188
18,03/07/05,12,Ayuntamientos,18,0,266,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,20,61,0,1,106,0,16,204
18,03/07/05,12,Ayuntamientos,18,0,267,2,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,42,35,0,1,61,0,8,147
18,03/07/05,12,Ayuntamientos,18,0,267,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,29,86,0,1,45,0,10,171
18,03/07/05,12,Ayuntamientos,18,0,267,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,43,118,0,1,63,0,25,250
18,03/07/05,12,Ayuntamientos,18,0,267,1,C,Contigua,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,45,118,0,2,69,0,29,263
18,03/07/05,12,Ayuntamientos,18,0,268,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,6,65,0,4,58,0,8,141
18,03/07/05,12,Ayuntamientos,18,0,268,2,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,12,130,0,1,27,0,12,182
18,03/07/05,12,Ayuntamientos,18,0,268,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,30,107,0,3,24,0,12,176
18,03/07/05,12,Ayuntamientos,18,0,269,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,94,116,0,13,30,0,30,283
18,03/07/05,12,Ayuntamientos,18,0,270,1,C,Contigua,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,80,117,0,4,42,0,37,280
18,03/07/05,12,Ayuntamientos,18,0,270,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,60,81,0,1,41,0,28,211
18,03/07/05,12,Ayuntamientos,18,0,270,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,81,109,0,3,53,0,33,279
18,03/07/05,12,Ayuntamientos,18,0,271,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,8,94,0,1,66,0,18,187
18,03/07/05,12,Ayuntamientos,18,0,271,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,28,99,0,2,58,0,13,200
18,03/07/05,12,Ayuntamientos,18,0,272,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,38,130,0,7,54,0,26,255
