ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
11,GUANAJUATO,30,SAN FELIPE,71,139,12022,7252,1088,9766,672,77,1510,424,1152,196,0,13,34172,1523,35695,75928,0.4701
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,149,12784,11972,303,8665,291,146,799,443,306,895,0,11,36615,1306,37921,84933,0.4465
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,95,6345,4817,1230,9161,356,884,2242,897,369,642,0,15,26958,1059,28017,53277,0.5259
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,137,14606,7090,2528,3989,879,772,1056,862,417,675,0,53,32927,2088,35015,82653,0.4236
11,GUANAJUATO,34,SANTA CATARINA,5,8,1387,1423,9,32,2,9,27,15,5,8,0,0,2917,68,2985,4114,0.7256
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,96,10476,4293,8630,4939,264,172,1174,430,903,308,0,10,31599,773,32372,57739,0.5607
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,1923,2208,17,142,10,13,55,23,10,13,0,1,4415,100,4515,6590,0.6851
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,206,19021,11614,3977,7084,475,521,1438,2887,640,868,0,91,48616,1686,50302,124738,0.4033
11,GUANAJUATO,38,TARANDACUAO,12,19,2082,2565,184,102,16,478,154,60,10,26,0,1,5678,220,5898,9939,0.5934
11,GUANAJUATO,39,TARIMORO,34,57,6116,3972,560,2428,108,1551,458,157,76,101,0,5,15532,475,16007,30411,0.5264
11,GUANAJUATO,40,TIERRA BLANCA,11,22,2710,2854,2351,450,24,25,132,129,110,21,0,5,8811,297,9108,12194,0.7469
11,GUANAJUATO,41,URIANGATO,26,75,5600,9638,873,6302,242,242,950,445,494,206,0,3,24995,726,25721,46860,0.5489
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,201,17724,11584,6257,1278,690,526,3797,2281,3830,581,0,33,48581,1650,50231,110490,0.4546
11,GUANAJUATO,43,VICTORIA,15,27,4534,3536,892,171,20,22,396,44,30,27,0,1,9673,310,9983,14580,0.6847
11,GUANAJUATO,44,VILLAGRAN,28,72,8852,1757,1773,1311,153,975,5399,1107,1650,354,365,5,23701,462,24163,42019,0.575
11,GUANAJUATO,45,XICHU,14,22,3206,2132,19,194,12,5,51,26,11,9,0,2,5667,155,5822,8181,0.7116
11,GUANAJUATO,46,YURIRIA,57,109,6116,8413,361,8669,189,161,2281,743,4538,169,0,4,31644,1082,32726,61198,0.5348
