ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,11,SAN NICOLAS DE LOS GARZA,83,192,21137,9036,202,369,354,492,278,39,59,264,179,197,36523,10,7,2,2,1,77,6,4,2,1,0,,69241,1202,70443,110592,0.6370
19,NUEVO LEON,12,GUADALUPE,64,204,15644,16729,222,331,383,426,368,44,73,320,297,164,38607,16,77,7,4,1,136,47,10,15,1,1,,73923,1592,75515,126952,0.5950
19,NUEVO LEON,13,GUADALUPE,60,225,14818,18445,319,348,370,365,371,52,54,305,252,170,41311,140,59,5,5,1,129,37,3,8,1,6,,77574,1744,79318,144419,0.5490
19,NUEVO LEON,14,GUADALUPE,85,273,21503,21840,294,375,526,475,356,54,81,492,283,195,49785,33,44,8,8,1,158,35,5,9,2,7,,96569,1696,98265,165412,0.5940
19,NUEVO LEON,15,GUADALUPE,84,156,13544,10444,151,219,313,300,231,18,48,206,204,100,28811,27,25,2,10,2,71,26,4,3,0,1,,54760,1005,55765,87103,0.6400
19,NUEVO LEON,16,APODACA,288,628,38041,40402,755,937,1241,1094,815,74,158,642,506,335,106918,24,39,8,1,5,148,26,11,5,1,2,,192188,3086,195274,360935,0.5410
19,NUEVO LEON,17,GENERAL ESCOBEDO,135,437,24859,32392,682,1097,858,815,477,45,92,465,380,207,76458,37,49,5,3,3,287,33,7,10,0,3,,139264,2505,141769,272504,0.5200
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,77,209,17506,9787,189,240,306,474,216,52,51,145,419,110,48370,11,9,0,1,0,58,17,4,2,0,1,,77968,1469,79437,128742,0.6170
19,NUEVO LEON,19,SANTA CATARINA,72,257,23640,14597,293,349,410,481,367,42,74,247,323,142,52742,11,31,1,3,0,65,24,5,12,0,2,,93861,1659,95520,166499,0.5740
19,NUEVO LEON,20,HIDALGO,196,406,21102,32987,3724,1081,1188,876,613,124,63,347,342,326,61717,89,39,4,5,0,306,46,9,12,5,16,,125021,2694,127715,225622,0.5660
19,NUEVO LEON,21,SABINAS HIDALGO,67,100,14064,11047,471,447,239,46,408,18,14,116,957,8,9470,5,17,0,1,0,31,44,2,1,0,0,,37406,736,38142,54220,0.7040
19,NUEVO LEON,22,CHINA,251,443,31377,42161,296,589,3302,368,1239,76,171,322,529,2531,52604,156,100,8,9,6,303,177,11,26,3,6,,132374,3401,135775,246209,0.5520
19,NUEVO LEON,23,CADEREYTA JIMENEZ,71,176,13273,15461,99,887,2551,302,207,50,42,194,369,214,23137,12,9,0,1,3,153,21,8,14,1,7,,57015,1305,58320,100819,0.5790
19,NUEVO LEON,24,MONTEMORELOS,81,151,11069,15463,125,273,289,116,592,32,42,186,437,72,19797,135,18,2,2,0,58,27,3,6,0,0,,48744,1577,50321,85605,0.5880
19,NUEVO LEON,25,LINARES,61,123,12864,10766,99,82,205,67,2241,26,21,36,65,28,13677,79,149,4,7,3,69,501,6,31,1,5,,41032,1496,42528,69420,0.6130
19,NUEVO LEON,26,GALEANA,111,173,15175,27867,132,1268,247,37,809,25,31,46,106,98,12390,27,75,2,4,0,156,65,10,7,2,0,,58579,2736,61315,81710,0.7500
