SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
152,B,83,230,93,23,54,,,1,,4,,8,52,LA MAGDALENA TLALTELULCO
152,C,75,233,95,32,51,,,3,,6,,10,52,LA MAGDALENA TLALTELULCO
153,B,48,80,50,20,89,,,5,,2,,2,52,LA MAGDALENA TLALTELULCO
153,C,61,82,50,32,48,,,3,,1,,19,52,LA MAGDALENA TLALTELULCO
154,B,87,77,48,27,76,,,7,,9,,5,52,LA MAGDALENA TLALTELULCO
154,C,130,54,49,16,56,,,18,,15,,0,52,LA MAGDALENA TLALTELULCO
155,B,84,81,25,34,69,,,7,,6,,9,52,LA MAGDALENA TLALTELULCO
155,C,63,64,61,31,89,,,8,,7,,2,52,LA MAGDALENA TLALTELULCO
156,B,51,72,80,41,,,,,,6,0,8,10,CHIAUTEMPAN
156,C,53,81,61,33,,,,,,7,0,0,10,CHIAUTEMPAN
157,B,84,105,81,40,,,,,,14,0,21,10,CHIAUTEMPAN
158,B,8,149,153,93,,,,73,,,,24,51,SAN FRANCISCO TETLANOHCAN
158,C,5,175,99,118,,,,71,,,,20,51,SAN FRANCISCO TETLANOHCAN
158,DC,7,133,146,113,,,,64,,,,24,51,SAN FRANCISCO TETLANOHCAN
159,B,2,87,165,10,,,,83,,,,0,51,SAN FRANCISCO TETLANOHCAN
159,C,5,84,179,15,,,,90,,,,10,51,SAN FRANCISCO TETLANOHCAN
159,DC,9,87,175,19,,,,68,,,,6,51,SAN FRANCISCO TETLANOHCAN
160,B,2,94,191,25,,,,104,,,,0,51,SAN FRANCISCO TETLANOHCAN
160,C,3,83,131,45,,,,130,,,,21,51,SAN FRANCISCO TETLANOHCAN
160,DC,9,101,168,25,,,,99,,,,18,51,SAN FRANCISCO TETLANOHCAN
161,B,56,113,130,124,,,,,,27,,7,11,MUNOZ DE DOMINGO ARENAS
161,C,46,95,114,124,,,,,,42,,9,11,MUNOZ DE DOMINGO ARENAS
162,B,293,59,26,35,,,,,,8,,50,11,MUNOZ DE DOMINGO ARENAS
163,B,49,34,18,96,,,,,,14,,0,11,MUNOZ DE DOMINGO ARENAS
164,B,6,43,18,49,,,,,,8,,0,11,MUNOZ DE DOMINGO ARENAS
165,B,8,130,89,154,,,,,,5,3,7,12,ESPAÑITA
165,C,11,121,105,112,,,,,,4,1,7,12,ESPAÑITA
166,B,5,16,4,6,,,,,,0,0,0,12,ESPAÑITA
167,B,12,85,35,6,,,,,,0,0,3,12,ESPAÑITA
168,B,26,184,28,14,,,,,,2,9,11,12,ESPAÑITA
169,B,6,61,19,11,,,,,,2,1,8,12,ESPAÑITA
170,B,156,59,33,16,,,,,,2,1,15,12,ESPAÑITA
171,B,20,69,20,9,,,,,,1,0,6,12,ESPAÑITA
172,B,2,33,77,16,,,,,,0,0,4,12,ESPAÑITA
173,B,5,53,17,13,,,,,,2,0,0,12,ESPAÑITA
174,B,5,19,42,6,,,,,,1,0,2,12,ESPAÑITA
175,B,54,77,67,27,,,,,,0,0,5,12,ESPAÑITA
176,B,33,94,39,26,,,,,,0,3,1,12,ESPAÑITA
177,B,16,19,31,44,,,,,,11,1,18,12,ESPAÑITA
178,B,204,43,136,6,13,,,,,2,1,8,13,HUAMANTLA
178,C,197,57,120,14,20,,,,,3,0,17,13,HUAMANTLA
178,DC,202,74,110,4,12,,,,,0,0,12,13,HUAMANTLA
179,B,197,40,127,11,7,,,,,0,1,10,13,HUAMANTLA
179,C,177,53,111,10,15,,,,,1,1,7,13,HUAMANTLA
179,DC,170,49,125,9,15,,,,,0,1,13,13,HUAMANTLA
