SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
200,B,87,63,137,5,8,,,,,0,1,19,13,HUAMANTLA
200,C,59,107,139,3,13,,,,,0,0,15,13,HUAMANTLA
201,B,82,140,111,49,14,,,,,0,3,23,13,HUAMANTLA
201,C,113,158,91,34,4,,,,,0,6,23,13,HUAMANTLA
201,DC,110,136,95,50,10,,,,,0,1,25,13,HUAMANTLA
202,B,105,46,31,25,1,,,,,0,0,20,13,HUAMANTLA
203,B,123,128,103,79,12,,,,,0,0,28,13,HUAMANTLA
203,C,112,111,107,66,20,,,,,0,0,36,13,HUAMANTLA
204,B,52,80,81,52,12,,,,,0,0,49,13,HUAMANTLA
204,C,56,71,79,25,18,,,,,0,0,42,13,HUAMANTLA
205,B,12,37,59,3,2,,,,,0,0,0,13,HUAMANTLA
206,B,70,199,129,9,1,,,,,0,0,0,13,HUAMANTLA
207,B,62,123,104,11,10,,,,,0,0,2,13,HUAMANTLA
208,B,99,76,75,2,20,,,,,0,0,0,13,HUAMANTLA
209,B,77,88,122,4,4,,,,,6,0,17,13,HUAMANTLA
210,B,16,54,18,1,4,,,,,0,0,0,13,HUAMANTLA
211,B,47,142,192,2,8,,,,,4,0,0,13,HUAMANTLA
212,B,28,56,14,10,9,,,,,0,0,39,13,HUAMANTLA
213,B,151,87,86,13,0,,,,,8,1,0,13,HUAMANTLA
213,C,123,105,85,26,6,,,,,4,1,13,13,HUAMANTLA
213,DC,137,80,96,19,4,,,,,2,0,0,13,HUAMANTLA
214,B,121,123,107,12,6,,,,,1,1,24,13,HUAMANTLA
214,C,96,136,137,6,7,,,,,8,0,23,13,HUAMANTLA
215,B,6,42,22,23,4,,,,,0,0,20,13,HUAMANTLA
216,B,29,88,145,4,4,,,,,0,1,15,13,HUAMANTLA
217,B,85,46,98,3,24,,,,,0,0,8,13,HUAMANTLA
218,B,50,79,84,10,13,,,,,0,0,1,13,HUAMANTLA
219,B,63,117,81,22,6,,,,,0,0,10,13,HUAMANTLA
220,B,197,160,37,5,2,,,,,22,0,18,14,HUEYOTLIPAN
220,C,239,138,26,7,1,,,,,26,0,32,14,HUEYOTLIPAN
221,B,140,120,20,6,1,,,,,1,0,12,14,HUEYOTLIPAN
221,C,145,124,22,13,1,,,,,8,0,10,14,HUEYOTLIPAN
221,DC,171,122,24,2,2,,,,,8,1,9,14,HUEYOTLIPAN
222,B,79,128,102,73,0,,,,,0,0,0,14,HUEYOTLIPAN
223,B,27,42,44,16,1,,,,,20,0,17,14,HUEYOTLIPAN
224,B,54,30,121,60,3,,,,,9,0,23,14,HUEYOTLIPAN
225,B,19,25,38,9,15,,,,,2,0,3,14,HUEYOTLIPAN
226,B,15,33,127,13,1,,,,,11,0,16,14,HUEYOTLIPAN
227,B,39,62,165,23,1,,,,,7,0,16,14,HUEYOTLIPAN
228,B,11,47,279,3,2,,,,,6,0,44,14,HUEYOTLIPAN
228,C,8,33,309,5,0,,,,,9,1,26,14,HUEYOTLIPAN
228,DC,9,37,294,2,2,,,,,12,0,41,14,HUEYOTLIPAN
229,B,18,23,17,0,0,,,,,11,0,5,14,HUEYOTLIPAN
230,B,75,45,143,9,1,,,,,0,0,32,14,HUEYOTLIPAN
231,B,31,9,33,9,4,,,,,3,0,0,14,HUEYOTLIPAN
232,B,16,66,221,12,,,,,,2,,20,15,IXTACUIXTLA DE MARIANO MATAMOROS
232,C,6,95,208,13,,,,,,0,,29,15,IXTACUIXTLA DE MARIANO MATAMOROS
233,B,7,85,286,14,,,,,,6,,11,15,IXTACUIXTLA DE MARIANO MATAMOROS
233,C,4,99,272,9,,,,,,7,,19,15,IXTACUIXTLA DE MARIANO MATAMOROS
234,B,12,59,221,18,,,,,,1,,8,15,IXTACUIXTLA DE MARIANO MATAMOROS
234,C,6,50,243,6,,,,,,1,,8,15,IXTACUIXTLA DE MARIANO MATAMOROS
235,B,2,48,28,16,,,,,,1,,13,15,IXTACUIXTLA DE MARIANO MATAMOROS
236,B,1,35,83,7,,,,,,2,,0,15,IXTACUIXTLA DE MARIANO MATAMOROS
237,B,2,40,64,8,,,,,,0,,7,15,IXTACUIXTLA DE MARIANO MATAMOROS
238,B,0,55,39,15,,,,,,0,,1,15,IXTACUIXTLA DE MARIANO MATAMOROS
239,B,3,78,64,8,,,,,,2,,4,15,IXTACUIXTLA DE MARIANO MATAMOROS
240,B,10,79,122,8,,,,,,34,,17,15,IXTACUIXTLA DE MARIANO MATAMOROS
241,B,35,89,139,18,,,,,,14,,20,15,IXTACUIXTLA DE MARIANO MATAMOROS
241,C,28,82,106,16,,,,,,18,,19,15,IXTACUIXTLA DE MARIANO MATAMOROS
242,B,29,110,62,8,,,,,,6,,10,15,IXTACUIXTLA DE MARIANO MATAMOROS
242,C,26,78,68,4,,,,,,7,,11,15,IXTACUIXTLA DE MARIANO MATAMOROS
243,B,5,64,60,11,,,,,,0,,7,15,IXTACUIXTLA DE MARIANO MATAMOROS
244,B,2,78,97,3,,,,,,18,,24,15,IXTACUIXTLA DE MARIANO MATAMOROS
245,B,9,242,78,6,,,,,,5,,34,15,IXTACUIXTLA DE MARIANO MATAMOROS
245,C,8,230,92,6,,,,,,6,,33,15,IXTACUIXTLA DE MARIANO MATAMOROS
245,DC,14,277,65,5,,,,,,2,,26,15,IXTACUIXTLA DE MARIANO MATAMOROS
246,B,2,146,154,2,,,,,,12,,7,15,IXTACUIXTLA DE MARIANO MATAMOROS
247,B,26,85,223,6,,,,,,2,,20,15,IXTACUIXTLA DE MARIANO MATAMOROS
247,C,21,88,191,16,,,,,,16,,10,15,IXTACUIXTLA DE MARIANO MATAMOROS
248,B,22,76,154,13,,,,,,0,,16,15,IXTACUIXTLA DE MARIANO MATAMOROS
248,C,18,80,135,33,,,,,,6,,25,15,IXTACUIXTLA DE MARIANO MATAMOROS
249,B,18,50,90,20,,,,,,9,,33,15,IXTACUIXTLA DE MARIANO MATAMOROS
250,B,19,122,231,30,,,,,,4,,23,15,IXTACUIXTLA DE MARIANO MATAMOROS
251,B,95,127,119,11,,,,,,5,,13,15,IXTACUIXTLA DE MARIANO MATAMOROS
251,C,55,148,120,9,,,,,,7,,17,15,IXTACUIXTLA DE MARIANO MATAMOROS
251,DC,71,156,82,5,,,,,,10,,18,15,IXTACUIXTLA DE MARIANO MATAMOROS
252,B,4,102,120,11,,,,,,4,,6,15,IXTACUIXTLA DE MARIANO MATAMOROS
252,C,9,112,119,11,,,,,,14,,6,15,IXTACUIXTLA DE MARIANO MATAMOROS
253,B,8,65,130,18,,,,,,18,,11,15,IXTACUIXTLA DE MARIANO MATAMOROS
253,C,10,109,130,19,,,,,,13,,6,15,IXTACUIXTLA DE MARIANO MATAMOROS
254,B,77,133,71,77,,,,38,,,,16,58,SANTA ANA NOPALUCAN
254,C,87,149,75,58,,,,54,,,,19,58,SANTA ANA NOPALUCAN
254,DC,97,129,77,58,,,,25,,,,30,58,SANTA ANA NOPALUCAN
255,B,91,118,114,51,,,,39,,,,0,58,SANTA ANA NOPALUCAN
255,C,76,89,104,71,,,,34,,,,43,58,SANTA ANA NOPALUCAN
255,DC,123,149,111,44,,,,25,,,,0,58,SANTA ANA NOPALUCAN
256,B,28,73,62,1,,,,,,57,,33,15,IXTACUIXTLA DE MARIANO MATAMOROS
256,C,29,48,77,10,,,,,,82,,20,15,IXTACUIXTLA DE MARIANO MATAMOROS
257,B,20,105,49,6,,,,,,110,,46,15,IXTACUIXTLA DE MARIANO MATAMOROS
258,B,16,55,106,7,,,,,,0,,2,15,IXTACUIXTLA DE MARIANO MATAMOROS
259,B,19,105,44,33,15,,,64,5,,60,22,16,IXTENCO
259,C,40,93,52,30,7,,,69,3,,66,27,16,IXTENCO
260,B,9,95,45,22,3,,,44,7,,76,12,16,IXTENCO
260,C,22,67,48,45,14,,,33,2,,73,0,16,IXTENCO
261,B,5,111,56,69,9,,,60,6,,53,13,16,IXTENCO
261,C,9,80,63,78,12,,,57,2,,71,0,16,IXTENCO
262,B,25,83,52,65,27,,,62,20,,72,31,16,IXTENCO
263,B,194,142,93,4,,,,,,,0,8,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
263,C,213,128,83,11,,,,,,,1,21,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
264,B,94,126,129,10,,,,,,,0,6,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
264,C,79,160,108,4,,,,,,,0,16,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
265,B,37,95,199,11,,,,,,,0,0,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
265,C,34,93,203,11,,,,,,,0,13,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
266,B,66,163,174,12,,,,,,,3,11,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
266,C,102,130,135,15,,,,,,,3,10,17,MAZATECOCHCO DE JOSÉ MARÍA MORELOS
267,B,128,91,75,27,55,,,17,,2,,9,18,CONTLA DE JUAN CUAMATZI
267,C,109,139,58,28,28,,,37,,1,,9,18,CONTLA DE JUAN CUAMATZI
268,B,128,138,54,8,43,,,7,,5,,16,18,CONTLA DE JUAN CUAMATZI
268,C,145,142,51,20,40,,,3,,2,,0,18,CONTLA DE JUAN CUAMATZI
269,B,72,118,48,18,43,,,14,,3,,0,18,CONTLA DE JUAN CUAMATZI
269,C,112,100,66,18,39,,,10,,13,,10,18,CONTLA DE JUAN CUAMATZI
270,B,118,103,82,13,51,,,10,,3,,15,18,CONTLA DE JUAN CUAMATZI
271,B,120,126,47,19,49,,,21,,3,,9,18,CONTLA DE JUAN CUAMATZI
271,C,110,140,47,26,52,,,18,,12,,12,18,CONTLA DE JUAN CUAMATZI
272,B,96,137,98,10,51,,,19,,0,,12,18,CONTLA DE JUAN CUAMATZI
272,C,97,115,122,23,53,,,13,,1,,12,18,CONTLA DE JUAN CUAMATZI
272,DC,101,81,127,14,59,,,21,,1,,15,18,CONTLA DE JUAN CUAMATZI
273,B,198,145,77,8,33,,,18,,0,,11,18,CONTLA DE JUAN CUAMATZI
273,C,178,111,68,11,23,,,23,,0,,13,18,CONTLA DE JUAN CUAMATZI
274,B,64,75,65,10,38,,,35,,6,,7,18,CONTLA DE JUAN CUAMATZI
274,C,38,84,65,21,68,,,13,,1,,8,18,CONTLA DE JUAN CUAMATZI
275,B,78,70,52,10,26,,,18,,6,,17,18,CONTLA DE JUAN CUAMATZI
275,C,105,83,27,16,34,,,15,,10,,12,18,CONTLA DE JUAN CUAMATZI
276,B,106,73,55,18,38,,,14,,9,,11,18,CONTLA DE JUAN CUAMATZI
276,C,107,93,38,19,28,,,11,,14,,16,18,CONTLA DE JUAN CUAMATZI
277,B,67,71,8,11,20,,,0,,0,,15,18,CONTLA DE JUAN CUAMATZI
278,B,77,43,54,8,17,,,4,,0,,7,18,CONTLA DE JUAN CUAMATZI
279,B,55,132,117,23,13,,,11,,0,,6,18,CONTLA DE JUAN CUAMATZI
279,C,57,163,73,7,23,,,4,,0,,0,18,CONTLA DE JUAN CUAMATZI
280,B,40,76,18,8,14,,,11,,1,,6,18,CONTLA DE JUAN CUAMATZI
281,B,118,115,51,9,16,,,6,,1,,12,18,CONTLA DE JUAN CUAMATZI
281,C,144,80,37,11,17,,,2,,0,,0,18,CONTLA DE JUAN CUAMATZI
282,B,26,49,22,12,7,,,1,,2,,0,18,CONTLA DE JUAN CUAMATZI
283,B,102,62,35,3,47,,,15,,0,,4,18,CONTLA DE JUAN CUAMATZI
283,C,91,78,45,6,51,,,21,,0,,4,18,CONTLA DE JUAN CUAMATZI
284,B,95,29,15,66,25,31,,,0,0,2,10,19,TEPETITLA DE LARDIZABAL
284,C,85,27,22,57,19,49,,,0,1,6,8,19,TEPETITLA DE LARDIZABAL
285,B,82,58,40,44,33,41,,,0,10,3,15,19,TEPETITLA DE LARDIZABAL
285,C,123,51,36,43,40,44,,,0,3,7,6,19,TEPETITLA DE LARDIZABAL
286,B,135,33,13,86,11,20,,,2,1,16,7,19,TEPETITLA DE LARDIZABAL
286,C,141,42,20,90,39,12,,,8,0,17,0,19,TEPETITLA DE LARDIZABAL
286,DC,117,26,15,117,24,24,,,0,1,6,11,19,TEPETITLA DE LARDIZABAL
287,B,142,25,13,60,27,22,,,3,1,4,0,19,TEPETITLA DE LARDIZABAL
287,C,108,27,13,116,31,28,,,2,2,1,15,19,TEPETITLA DE LARDIZABAL
288,B,53,29,39,42,71,26,,,112,0,2,0,19,TEPETITLA DE LARDIZABAL
288,C,56,26,48,47,81,21,,,106,3,3,20,19,TEPETITLA DE LARDIZABAL
289,B,43,21,48,36,62,15,,,117,1,3,15,19,TEPETITLA DE LARDIZABAL
289,C,33,29,68,35,56,11,,,103,3,4,17,19,TEPETITLA DE LARDIZABAL
290,B,68,17,45,31,253,18,,,18,10,2,37,19,TEPETITLA DE LARDIZABAL
290,C,56,22,38,47,268,16,,,24,6,0,0,19,TEPETITLA DE LARDIZABAL
291,B,25,44,3,38,103,5,,,0,0,1,0,19,TEPETITLA DE LARDIZABAL
292,B,2,115,147,25,,,,,,1,,12,20,SANCTORUM
292,C,8,121,159,12,,,,,,1,,8,20,SANCTORUM
293,B,17,140,170,8,,,,,,1,,12,20,SANCTORUM
293,C,14,124,171,11,,,,,,0,,6,20,SANCTORUM
294,B,2,143,171,7,,,,,,3,,6,20,SANCTORUM
294,C,3,166,135,5,,,,,,1,,6,20,SANCTORUM
295,B,52,116,101,82,17,,,,,,,18,60,BENITO JUÁREZ
295,C,66,121,94,81,15,,,,,,,0,60,BENITO JUÁREZ
295,DC,51,134,68,104,15,,,,,,,0,60,BENITO JUÁREZ
296,B,44,132,102,110,25,,,,,,,5,60,BENITO JUÁREZ
296,C,38,146,114,86,18,,,,,,,10,60,BENITO JUÁREZ
297,B,22,50,74,106,,,,,,2,,13,20,SANCTORUM
297,C,20,55,109,81,,,,,,0,,6,20,SANCTORUM
298,B,15,110,95,93,,,,,,0,,10,20,SANCTORUM
299,B,23,93,48,108,6,,,2,,7,12,0,21,NANACAMILPA DE MARIANO ARISTA
299,C,27,63,66,109,3,,,10,,0,13,11,21,NANACAMILPA DE MARIANO ARISTA
299,DC,15,74,68,125,5,,,5,,3,5,9,21,NANACAMILPA DE MARIANO ARISTA
300,B,45,115,39,77,14,,,12,,0,43,7,21,NANACAMILPA DE MARIANO ARISTA
300,C,34,86,29,80,10,,,8,,1,38,15,21,NANACAMILPA DE MARIANO ARISTA
301,B,40,163,62,50,3,,,4,,0,15,8,21,NANACAMILPA DE MARIANO ARISTA
301,C,51,165,44,68,5,,,3,,0,13,0,21,NANACAMILPA DE MARIANO ARISTA
301,DC,38,162,55,57,9,,,6,,0,9,13,21,NANACAMILPA DE MARIANO ARISTA
302,B,37,138,61,61,0,,,12,,0,10,7,21,NANACAMILPA DE MARIANO ARISTA
302,C,48,112,87,44,16,,,16,,0,0,2,21,NANACAMILPA DE MARIANO ARISTA
302,DC,33,110,78,67,6,,,8,,1,12,10,21,NANACAMILPA DE MARIANO ARISTA
303,B,25,115,29,64,0,,,1,,0,13,1,21,NANACAMILPA DE MARIANO ARISTA
303,C,18,120,37,61,3,,,2,,0,17,3,21,NANACAMILPA DE MARIANO ARISTA
304,B,20,121,100,40,5,,,11,,0,40,8,21,NANACAMILPA DE MARIANO ARISTA
305,B,26,67,47,8,0,,,9,,1,9,3,21,NANACAMILPA DE MARIANO ARISTA
306,B,2,30,36,2,0,,,3,,0,6,1,21,NANACAMILPA DE MARIANO ARISTA
307,B,5,87,42,30,2,,,3,,1,4,11,21,NANACAMILPA DE MARIANO ARISTA
308,B,32,98,110,32,1,,,1,,0,2,9,21,NANACAMILPA DE MARIANO ARISTA
308,C,32,71,116,34,0,,,2,,0,0,1,21,NANACAMILPA DE MARIANO ARISTA
309,B,58,6,84,11,,,,21,,,,29,22,ACUAMANALA DE MIGUEL HIDALGO
309,C,74,66,73,4,,,,35,,,,0,22,ACUAMANALA DE MIGUEL HIDALGO
310,B,28,118,103,6,,,,2,,,,1,22,ACUAMANALA DE MIGUEL HIDALGO
310,C,52,88,107,11,,,,2,,,,0,22,ACUAMANALA DE MIGUEL HIDALGO
311,B,80,181,125,15,,,,94,,,,19,22,ACUAMANALA DE MIGUEL HIDALGO
312,B,24,87,81,6,,,,32,,,,1,22,ACUAMANALA DE MIGUEL HIDALGO
313,B,16,67,29,109,12,,,108,,,,7,46,SANTA CRUZ QUILEHTLA
313,C,12,52,34,114,35,,,101,,,,5,46,SANTA CRUZ QUILEHTLA
314,B,10,59,48,74,11,,,70,,,,0,46,SANTA CRUZ QUILEHTLA
314,C,8,49,27,108,16,,,56,,,,8,46,SANTA CRUZ QUILEHTLA
315,B,1,3,117,134,6,,,0,,,,5,46,SANTA CRUZ QUILEHTLA
315,C,1,4,136,118,4,,,0,,,,0,46,SANTA CRUZ QUILEHTLA
316,B,35,113,75,107,,,,75,,,,11,45,SANTA APOLONIA TEACALCO
316,C,37,127,97,93,,,,61,,,,4,45,SANTA APOLONIA TEACALCO
317,B,61,115,58,159,,,,88,,,,0,45,SANTA APOLONIA TEACALCO
317,C,54,157,62,150,,,,83,,,,9,45,SANTA APOLONIA TEACALCO
318,B,75,51,6,33,11,,,26,18,4,,0,23,NATIVITAS
318,C,81,40,12,25,20,,,25,18,10,,9,23,NATIVITAS
319,B,78,91,13,55,41,,,54,18,3,,21,23,NATIVITAS
319,C,108,69,13,90,10,,,38,13,4,,13,23,NATIVITAS
319,DC,80,58,14,81,38,,,70,14,4,,8,23,NATIVITAS
320,B,56,82,15,79,12,,,31,0,3,,14,23,NATIVITAS
321,B,21,83,3,40,21,,,44,7,15,,15,23,NATIVITAS
322,B,63,48,10,56,14,,,37,10,0,,13,23,NATIVITAS
322,C,57,42,10,51,18,,,46,3,2,,13,23,NATIVITAS
323,B,60,65,93,21,21,,,32,2,5,,12,23,NATIVITAS
323,C,74,77,139,22,9,,,30,6,0,,13,23,NATIVITAS
324,B,31,101,18,29,8,,,62,2,0,,10,23,NATIVITAS
325,B,69,73,8,54,3,,,19,22,1,,25,23,NATIVITAS
325,C,58,77,11,51,0,,,29,33,2,,0,23,NATIVITAS
326,B,17,156,25,32,18,,,66,2,0,,18,23,NATIVITAS
326,C,19,179,33,19,27,,,65,0,0,,19,23,NATIVITAS
326,DC,18,179,32,22,31,,,55,4,3,,14,23,NATIVITAS
327,B,60,178,14,86,20,,,48,1,3,,28,23,NATIVITAS
327,C,39,136,18,78,10,,,53,4,1,,29,23,NATIVITAS
328,B,210,25,16,31,9,,,52,17,3,,0,23,NATIVITAS
329,B,61,93,8,58,26,,,31,4,6,,22,23,NATIVITAS
329,C,41,118,9,72,28,,,36,3,6,,20,23,NATIVITAS
330,B,50,46,17,45,20,,,29,15,11,,8,23,NATIVITAS
330,C,51,57,20,61,26,,,26,15,6,,15,23,NATIVITAS
331,B,29,171,4,60,104,,,28,12,0,,18,23,NATIVITAS
332,B,15,32,7,8,,,,,,1,,12,24,PANOTLA
332,C,17,41,11,8,,,,,,1,,16,24,PANOTLA
333,B,16,48,34,19,,,,,,5,,3,24,PANOTLA
334,B,20,76,52,42,,,,,,29,,9,24,PANOTLA
334,C,18,82,46,89,,,,,,24,,10,24,PANOTLA
335,B,23,85,64,143,,,,,,7,,9,24,PANOTLA
336,B,19,79,88,115,,,,,,13,,9,24,PANOTLA
336,C,32,89,63,125,,,,,,13,,11,24,PANOTLA
336,DC,26,61,60,128,,,,,,26,,15,24,PANOTLA
337,B,54,73,50,112,,,,,,3,,12,24,PANOTLA
337,C,30,72,58,132,,,,,,19,,7,24,PANOTLA
337,DC,36,62,62,144,,,,,,7,,9,24,PANOTLA
338,B,8,126,98,90,,,,,,12,,14,24,PANOTLA
338,C,19,93,105,78,,,,,,18,,19,24,PANOTLA
339,B,3,43,62,224,,,,,,0,,36,24,PANOTLA
340,B,9,80,11,131,,,,,,5,,14,24,PANOTLA
341,B,1,12,8,56,,,,,,2,,4,24,PANOTLA
342,B,12,223,52,85,,,,,,2,,20,24,PANOTLA
342,C,10,162,53,128,,,,,,1,,16,24,PANOTLA
343,B,2,98,198,41,,,,,,0,,0,24,PANOTLA
344,B,8,106,13,193,,,,,,8,,7,24,PANOTLA
345,B,22,133,87,124,,,,,,1,,2,24,PANOTLA
345,C,18,136,81,122,,,,,,1,,17,24,PANOTLA
346,B,42,149,51,111,,,,,,4,,23,24,PANOTLA
346,C,56,159,72,131,,,,,,14,,18,24,PANOTLA
347,B,38,137,65,119,,,,,,5,,10,24,PANOTLA
347,C,28,148,61,124,,,,,,3,,12,24,PANOTLA
348,B,31,140,42,7,34,20,4,66,32,97,,19,25,SAN PABLO DEL MONTE
348,C,23,214,23,10,23,25,2,46,8,123,,17,25,SAN PABLO DEL MONTE
348,DC,24,142,46,23,19,10,5,68,31,115,,0,25,SAN PABLO DEL MONTE
349,B,21,99,50,9,7,27,7,117,28,24,,28,25,SAN PABLO DEL MONTE
349,C,16,82,95,10,23,17,3,102,40,26,,28,25,SAN PABLO DEL MONTE
349,DC,14,102,69,7,8,16,7,117,23,38,,20,25,SAN PABLO DEL MONTE
350,B,16,147,48,32,26,10,2,27,62,40,,18,25,SAN PABLO DEL MONTE
350,C,21,126,38,35,42,10,1,34,26,40,,20,25,SAN PABLO DEL MONTE
350,DC,30,105,49,24,29,8,2,27,41,57,,39,25,SAN PABLO DEL MONTE
350,TC,8,122,45,37,17,15,2,47,23,54,,27,25,SAN PABLO DEL MONTE
351,B,19,122,36,32,57,1,1,33,35,29,,29,25,SAN PABLO DEL MONTE
351,C,8,98,41,59,54,1,0,54,23,29,,22,25,SAN PABLO DEL MONTE
351,DC,11,128,20,42,48,1,2,48,19,39,,25,25,SAN PABLO DEL MONTE
352,B,8,86,33,96,29,2,0,25,33,36,,0,25,SAN PABLO DEL MONTE
352,C,17,79,38,75,25,8,1,51,21,25,,0,25,SAN PABLO DEL MONTE
352,DC,5,65,24,92,27,4,2,28,27,28,,45,25,SAN PABLO DEL MONTE
353,B,33,72,63,9,3,6,2,44,21,64,,14,25,SAN PABLO DEL MONTE
353,C,52,57,38,10,6,6,9,54,13,99,,0,25,SAN PABLO DEL MONTE
353,DC,39,59,63,9,2,7,10,59,16,80,,9,25,SAN PABLO DEL MONTE
354,B,38,53,27,17,16,13,6,34,63,46,,15,25,SAN PABLO DEL MONTE
354,C,16,69,36,8,2,18,0,50,97,41,,12,25,SAN PABLO DEL MONTE
354,DC,21,72,44,7,12,20,3,33,83,50,,0,25,SAN PABLO DEL MONTE
354,TC,21,78,45,13,8,15,3,46,61,45,,21,25,SAN PABLO DEL MONTE
355,B,21,60,92,1,33,8,4,31,31,61,,13,25,SAN PABLO DEL MONTE
355,C,13,88,58,4,19,13,6,34,40,63,,13,25,SAN PABLO DEL MONTE
355,DC,16,106,72,4,31,8,2,34,15,57,,15,25,SAN PABLO DEL MONTE
356,B,40,88,40,24,5,20,3,71,47,68,,12,25,SAN PABLO DEL MONTE
356,C,26,126,41,23,31,13,7,56,33,73,,20,25,SAN PABLO DEL MONTE
356,DC,21,120,43,16,17,12,1,78,38,72,,31,25,SAN PABLO DEL MONTE
357,B,31,90,59,10,12,12,5,66,11,83,,19,25,SAN PABLO DEL MONTE
357,C,36,124,29,17,9,12,5,62,13,77,,16,25,SAN PABLO DEL MONTE
357,DC,39,84,48,14,3,22,2,51,8,103,,21,25,SAN PABLO DEL MONTE
358,B,33,58,77,9,9,13,4,33,21,118,,7,25,SAN PABLO DEL MONTE
358,C,32,60,61,16,3,21,1,32,27,99,,28,25,SAN PABLO DEL MONTE
358,DC,33,47,74,21,2,31,5,46,22,99,,20,25,SAN PABLO DEL MONTE
359,B,34,87,89,17,17,10,13,27,0,67,,13,25,SAN PABLO DEL MONTE
359,C,31,76,75,34,5,12,4,17,21,57,,33,25,SAN PABLO DEL MONTE
360,B,41,81,165,18,14,7,2,22,8,53,,14,25,SAN PABLO DEL MONTE
360,C,64,88,92,20,9,8,4,19,8,64,,25,25,SAN PABLO DEL MONTE
361,B,44,59,39,7,11,30,2,57,21,42,,18,25,SAN PABLO DEL MONTE
361,C,59,63,30,18,11,15,4,62,26,62,,12,25,SAN PABLO DEL MONTE
361,DC,27,66,44,16,12,13,3,47,39,61,,28,25,SAN PABLO DEL MONTE
362,B,24,54,51,4,17,19,1,39,20,57,,16,25,SAN PABLO DEL MONTE
362,C,41,54,22,1,11,7,1,41,40,62,,20,25,SAN PABLO DEL MONTE
362,DC,39,51,33,7,17,9,1,46,28,45,,19,25,SAN PABLO DEL MONTE
363,B,36,63,64,68,50,5,3,15,23,23,,38,25,SAN PABLO DEL MONTE
363,C,31,74,68,78,29,1,1,32,8,25,,0,25,SAN PABLO DEL MONTE
363,DC,33,76,48,84,56,0,0,17,8,24,,29,25,SAN PABLO DEL MONTE
364,B,80,88,53,31,85,2,2,43,11,43,,35,25,SAN PABLO DEL MONTE
364,C,71,89,39,38,84,0,0,26,9,0,,41,25,SAN PABLO DEL MONTE
365,B,163,88,33,19,,,,9,,,,29,26,SANTA CRUZ TLAXCALA
366,B,78,265,83,8,,,,8,,,,12,26,SANTA CRUZ TLAXCALA
366,C,85,223,83,19,,,,8,,,,14,26,SANTA CRUZ TLAXCALA
367,B,143,40,33,77,,,,6,,,,9,26,SANTA CRUZ TLAXCALA
367,C,164,22,46,85,,,,6,,,,16,26,SANTA CRUZ TLAXCALA
367,DC,162,30,41,86,,,,7,,,,21,26,SANTA CRUZ TLAXCALA
368,B,168,83,36,76,,,,13,,,,11,26,SANTA CRUZ TLAXCALA
368,C,186,81,46,69,,,,16,,,,13,26,SANTA CRUZ TLAXCALA
369,B,33,141,86,29,,,,7,,,,19,26,SANTA CRUZ TLAXCALA
369,C,29,160,78,15,,,,6,,,,14,26,SANTA CRUZ TLAXCALA
370,B,29,131,106,91,,,,5,,,,6,26,SANTA CRUZ TLAXCALA
371,B,49,178,79,8,,,,1,,,,6,26,SANTA CRUZ TLAXCALA
371,C,71,154,100,9,,,,1,,,,2,26,SANTA CRUZ TLAXCALA
371,DC,43,149,105,3,,,,0,,,,8,26,SANTA CRUZ TLAXCALA
372,B,36,110,26,27,55,,,26,,,,0,27,TENANCINGO
372,C,28,122,23,34,57,,,25,,,,7,27,TENANCINGO
373,B,22,113,21,34,52,,,12,,,,4,27,TENANCINGO
373,C,24,137,23,30,70,,,12,,,,0,27,TENANCINGO
374,B,32,49,25,18,44,,,24,,,,0,27,TENANCINGO
374,C,39,50,13,18,37,,,18,,,,8,27,TENANCINGO
375,B,40,54,19,25,78,,,48,,,,0,27,TENANCINGO
375,C,33,48,20,32,67,,,44,,,,7,27,TENANCINGO
375,DC,34,51,34,24,83,,,38,,,,8,27,TENANCINGO
376,B,29,65,23,40,53,,,40,,,,7,27,TENANCINGO
376,C,45,72,35,21,57,,,26,,,,5,27,TENANCINGO
377,B,49,47,52,56,51,,,25,,,,2,27,TENANCINGO
377,C,57,45,30,48,43,,,13,,,,0,27,TENANCINGO
377,DC,54,36,46,47,69,,,9,,,,7,27,TENANCINGO
378,B,84,86,149,7,12,,,,,,1,15,28,SAN LUIS TEOLOCHOLCO
378,C,112,81,127,8,13,,,,,,2,12,28,SAN LUIS TEOLOCHOLCO
379,B,91,123,107,27,27,,,,,,27,0,28,SAN LUIS TEOLOCHOLCO
379,C,87,117,131,10,22,,,,,,25,19,28,SAN LUIS TEOLOCHOLCO
380,B,60,183,141,4,34,,,,,,11,27,28,SAN LUIS TEOLOCHOLCO
380,C,60,188,135,8,35,,,,,,0,0,28,SAN LUIS TEOLOCHOLCO
380,DC,52,181,143,5,29,,,,,,10,24,28,SAN LUIS TEOLOCHOLCO
