CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C02,5,98,34,7,10,8,8,10,17,1,6,3,4,0,211,16,227,614,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C03,4,113,67,6,6,12,4,9,21,3,2,2,4,0,253,14,267,614,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,B,9,73,67,4,12,6,9,5,6,1,7,9,5,0,213,21,234,597,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C01,13,98,61,7,2,9,8,10,15,1,9,1,4,0,238,16,254,597,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C02,12,90,52,4,7,8,9,8,24,2,2,3,6,0,227,15,242,597,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,C03,21,82,70,3,8,10,4,9,10,3,6,2,2,0,230,17,247,597,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,B,16,95,54,10,13,22,24,25,15,9,4,3,4,0,294,19,313,650,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,C01,8,102,67,7,8,23,17,25,15,2,12,4,4,0,294,36,330,649,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,B,6,97,31,2,6,19,2,18,3,3,6,1,2,0,196,14,210,442,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,C01,4,84,55,6,9,15,5,11,7,3,10,0,0,0,209,13,222,442,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,B,7,98,66,2,6,12,11,19,6,3,7,0,0,0,237,21,258,492,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,C01,5,85,45,1,10,13,30,10,6,0,0,6,4,0,215,20,235,492,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,SMR01,0,6,5,1,1,4,2,2,3,0,0,0,0,0,24,0,24,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,SRP01,17,239,180,11,21,44,14,75,31,8,6,3,3,0,652,51,703,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,B,6,85,56,7,6,17,5,21,10,2,5,3,3,0,226,16,242,523,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,C01,5,72,64,3,6,15,4,35,12,8,10,3,1,0,238,18,256,522,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,C02,5,77,62,3,9,17,14,25,11,7,6,2,3,1,241,19,261,522,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,B,7,121,51,6,5,12,3,18,8,6,7,1,1,0,246,22,268,436,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,C01,12,106,41,3,6,14,4,31,7,3,4,0,0,1,231,31,263,435,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,B,8,111,74,4,12,21,5,26,23,5,7,2,4,1,302,24,327,705,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,C01,2,106,75,6,8,13,9,20,26,3,7,2,4,1,281,18,300,705,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,C02,5,109,72,5,8,12,8,14,20,3,6,1,3,0,266,25,291,705,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1233,B,3,65,38,9,11,2,1,4,21,3,7,6,4,0,174,12,186,389,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1233,C01,5,44,49,4,4,6,1,8,13,4,5,3,1,0,147,9,156,389,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1234,B,2,97,46,5,3,11,9,9,12,3,11,0,0,0,208,21,229,592,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1234,C01,3,116,50,10,3,6,11,6,9,4,4,5,3,0,230,9,239,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1234,C02,4,90,54,5,11,9,2,8,22,2,5,1,3,0,216,10,226,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1235,B,7,136,66,9,13,16,9,14,24,7,23,3,4,0,331,23,354,689,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1235,C01,8,135,60,3,10,13,7,12,10,5,13,4,2,1,282,23,306,689,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1236,B,4,96,53,6,5,12,9,18,9,4,10,4,3,0,233,24,257,634,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1236,C01,6,108,50,7,10,15,12,15,6,8,13,2,0,0,252,22,274,633,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,B,4,120,69,8,11,15,11,21,6,6,6,2,2,1,281,26,308,582,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,C01,10,121,65,3,7,7,9,20,6,5,10,3,2,0,268,22,290,582,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,C02,10,130,45,8,8,17,9,22,9,8,6,2,1,0,275,12,287,581,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,SMR01,1,9,4,1,1,0,0,0,0,0,0,0,2,0,18,0,18,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,SRP01,18,285,136,7,19,45,11,63,14,15,15,0,0,1,628,62,691,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1238,B,7,87,50,4,6,20,7,18,13,7,7,4,2,0,232,19,251,549,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1238,C01,9,106,48,1,12,12,9,17,14,10,5,0,2,1,245,21,267,549,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1238,C02,6,94,47,3,10,14,16,20,15,6,10,1,0,0,242,0,242,549,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1252,B,4,127,70,4,8,16,6,17,16,3,9,6,6,0,292,22,314,693,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1252,C01,8,113,76,7,5,6,6,9,19,4,4,4,5,0,266,20,286,693,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1252,C02,5,107,68,4,9,11,7,7,16,2,4,5,5,1,250,13,264,693,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,B,1,110,43,5,8,13,4,13,20,5,8,5,2,0,237,9,246,643,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,C01,6,113,89,0,0,15,4,7,17,4,10,0,0,0,265,14,279,642,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,C02,5,105,62,6,13,10,8,5,6,5,6,5,3,0,239,17,256,642,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,C03,10,129,81,0,0,11,8,19,8,3,4,0,0,0,273,19,292,642,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,C04,6,92,62,3,5,6,6,7,14,3,8,5,4,0,221,15,236,642,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,C05,5,99,60,8,5,13,5,14,19,1,6,9,6,0,250,15,265,642,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1260,B,14,121,50,3,8,5,24,30,10,7,9,4,4,0,289,14,303,837,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1260,C01,3,116,60,6,6,12,8,27,7,5,7,0,0,0,257,16,273,578,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1260,C02,6,70,69,4,4,13,19,22,12,9,8,1,3,0,240,15,255,578,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1264,B,3,114,52,4,10,16,24,16,11,2,9,7,4,0,272,23,295,714,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1264,C01,3,109,73,3,18,10,23,16,6,7,7,9,4,0,288,15,303,714,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1264,C02,3,117,74,1,4,8,21,15,7,2,11,5,2,1,270,15,286,714,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,B,0,87,59,5,7,20,9,18,13,2,10,8,4,0,242,26,268,701,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,C01,2,111,70,5,18,21,10,15,20,3,7,3,0,0,285,31,316,701,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,C02,2,72,57,10,15,28,10,19,9,6,10,3,2,0,243,17,260,701,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,C03,4,105,78,9,6,18,13,10,11,6,13,2,5,0,280,27,307,701,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,C04,4,83,60,5,11,21,15,12,13,3,11,6,8,0,252,22,274,700,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1266,B,5,101,68,2,13,16,12,14,13,6,13,4,7,0,274,25,299,692,Acta Casilla,,,
