uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
13015,2005,PRD,ISIDRO RAMIREZ REBOLLEDO,PRI,,0.0292159763
13015,2008,PRI_PNA,INDALECIO TRINIDAD SALAS CRISOSTOMOS,PRD,,0.12018886820000001
13015,2011,PRI_PVEM_PNA,JAVIER PEREZ CRUZ,PAN_PRD,,0.0504332083
13015,2016,PRI_PVEM_PNA,JORGE PENCA ZONGUA,PRD,,0.0872731614
13016,1990,PRI,MANUEL F. RIVERA PERALTA,PFCRN,,0.6240352811
13016,1993,PRI,JORGE CAZARES DURAN,PAN,,0.8155511022
13016,1996,PRI,MARTIN G. HERNANDEZ CASTELAN,PAN,,0.0832877711
13016,1999,PRI,MANUEL F. RIVERA PERALTA,PAN,,0.5126327051
13016,2002,PRI,AGUSTIN CENOBIO CASTELAN,PAN,,0.086526413
13016,2005,PAN,JUAN CARLOS SANCHEZ RIVERA,PRI,,0.1811431006
13016,2008,PRI,RICARDO EDUARDO CASTELAN TELLEZ,PAN,,0.1071467186
13016,2011,PNA,JOSE GERARDO OLMEDO ARISTA,PRI,,0.0238685394
13016,2016,PRI,HAYDEE GARCIA ACOSTA,PNA,,0.0876157618
13017,1990,PRI,NOE RIVERA PIÑA,PRD,,0.2816659511
13017,1993,PRI,PEDRO SANTIAGO HERNANDEZ,PRD,,0.1478672986
13017,1996,PRI,REYES MARTINEZ MAYO,PRD,,0.0926460786
13017,1999,PRI,NORMA ISIS SANTIAGO D.,PRD,,0.5206149546
13017,2002,PRI,ABEL URIBE ROMERO,PRD,,0.1730850614
13017,2005,PRI,ARTURO SANTIAGO SANTIAGO,PVEM,,0.0169776119
13017,2008,PVEM,RICARDO JUAN BENITEZ MARTINEZ,PRI_PNA,,0.1132013741
13017,2011,PRI,EUSTORGIO SERAFIN BENITEZ GUERRERO,PVEM,,0.0522663517
13017,2016,PVEM,SOTERO SANTIAGO SANTIAGO,PRI,,0.0287183883
13018,1990,PRI,ALFONSO COBARRUVIAS R.,PRD,,0.8061026352
13018,1993,PRI,FELIPE ZAPATA RUBIO,PRD,,0.6794004752
13018,1996,PRI,JOSE VIGIL ANGELES,PRD,,0.8168190128
13018,1999,PRI,ENRIQUE HERNANDEZ H.,PRD,,0.0599547511
13018,2002,PRI,FLORINO TREJO BARRERA,PRD,,0.0514102564
13018,2005,PRI,FERMIN CASTILLO GONZALEZ,PRD,,0.0484218077
13018,2008,PRD,HERIBERTO LOPEZ MARTINEZ,PRI_PNA,,0.0661708411
13018,2011,PRI_PVEM_PNA,J CARMELO LOPEZ MATA,PRD,,0.0055898794
13018,2016,PRD,NARCISO VILLANUEVA FALCON,PRI_PVEM_PNA,,0.2820750347
13019,1990,PRI,CANDIDO MARTINEZ GARCIA,PRD,,0.4000732064
13019,1993,PRI,GILDARDO LOPEZ B.,PRD,,0.5281965382
13019,1996,PRI,CRISPIN MARTIN MARTIN,PRD,,0.1546174142
13019,2000,PRI,AURELIO LOPEZ MARTINEZ,PRD,,0.157362307980517
13019,2002,PRD,JOSE GARCIA ESCAMILLA,PRI,,0.0702787593
13019,2005,PRI,CRISTINO URIBE CANO,PRD,,0.0116834838
13019,2008,PRD,FRANCISCO LORENZO ALVAREZ,PRI_PNA,,0.0981612857
13019,2011,PRI,SILVANO RAMOS LOPEZ,PAN_PRD,,0.0103502227
13019,2016,MORENA,GENARO TREJO MARTINEZ,PRI,,0.0409233998
13020,1990,PRI,SAUL HERNANDEZ R.,0,,1
13020,1993,PRI,SINECIO BADILLO ZENIL,PRD,,0.992
13020,1996,PRI,GILBERTO HERNANDEZ P.,PRD,,0.7249766137
13020,1999,PRD,ALEJANDRO RAMIREZ P.,PRI,,0.2807881773
13020,2002,PRD,AARON SANTAMARINA DURAN,PRI_PVEM,,0.0650570087
13020,2005,PRD,AURELIO PERAZA MONTIEL,PRI,,0.0065963061
13020,2008,PT,OCIEL MIRANDA CORONADO,PRI,,0.0360674811
13020,2011,PT,BALTASAR HERNANDEZ DELGADO,PRI,,0.0205078125
13020,2016,PVEM,HECTOR VADILLO SEVERIANO,PRD,,0.0157442748
13021,1990,PRI,EVENCIO LOPEZ ESPEJEL,PAN,,0.9929221436
13021,1993,PRI,RAYMUNDO ALVAREZ G.,PFCRN,,0.2272040302
13021,1996,PRI,JOSE LUIS YAÑEZ AVILES,PRD,,0.0702987698
13021,1999,PRI,HUMBERTO VERGARA E.,PRD,,0.0804549284
13021,2002,PRI,GELACIO ORTIZ ISLAS,PRD,,0.0700306531
13021,2005,PRD,BULMARO TORRES ROSALES,PRI,,0.0849056604
13021,2009,PVEM,ANTONIO ESPINOZA ESPINOZA,PRI,,0.0719346888
13021,2011,PRI,ALEJANDRO GONZALEZ MENDEZ,PNA,,0.2117248808
13021,2016,MC,ANTONIO ESPINOZA ESPINOZA,PRI_PVEM_PNA,,0.2589728626
13022,1991,PRI,JOSE GUADALUPE PALACIOS M.,PRD,,0.6355731225
13022,1993,PRI,GERARDO CANALES V.,PAN,,0.6182915211
13022,1996,PRI,LUIS CASTELAZO ISLAS,PAN,,0.1526908636
13022,1999,PRI,FRANCISCO MONTIEL LEON,PAN,,0.0723533892
13022,2002,PRI,CARMINA ORTIZ DE LA ROSA,PAN,,0.1201365188
13022,2005,PT,MIGUEL ANGEL MONTIEL IBARRA,PAN,,0.0946985026
13022,2008,PRI_PNA,SERGIO GUADALUPE AMADOR PEREZ,PAN,,0.066
13022,2011,PRI,CARLOS SANTILLAN MUÑOZ,PAN_PRD,,0.1165976426
13022,2016,PAN,RAUL ARMANDO PADILLA ISLAS,PRI_PVEM_PNA,,0.1388888889
13023,1990,PRI,ADRIAN MENDOZA G.,PARM,,0.0237925291
13023,1993,PRI,JOSE MORELOS HERNANDEZ,PARM,,0.1168167764
13023,1996,PRD,VICTOR GALVEZ OROZCO,PRI,,0.1604793539
13023,1999,PRD,MARTINIANO GONZALEZ LOPEZ,PRI,,0.1658160495
13023,2002,PRI,NICOLAS PONCE SANTIAGO,PRD,,0.1071870538
13023,2005,PRD,LUCAS PABLO GUZMAN ISIDRO,PRI,,0.0891618618
13023,2008,PRI_PNA,AARON MOISES VALENZUELA RODRIGUEZ,PRD,,0.0693568726
13023,2011,PRI,JOEL GONZALEZ GOMEZ,PNA,,0.1474772036
13023,2016,PRD,LUCAS PABLO GUZMAN ISIDRO,PRI,,0.0806964036
13024,1990,PRI,IDALENCIO SANCHEZ CORTES,PFCRN,,0.9637921504
13024,1993,PRI,JOSE LUIS MUÑOZ SOTO,PRD,,0.6521640091
13024,1996,PRI,JUAN ALVARADO JARILLO,PRD,,0.7122381477
13024,1999,PRI,GENARO ROSALES ARRIAGA,PRD,,0.2186563971
13024,2002,PRI,PABLO OCTAVIO OLVERA SANCHEZ,PAN,,0.0757575758
13024,2005,PAN,ROBERTO MUÑOZ LICONA,PRI,,0.0643304554
13024,2008,PRI_PNA,ALVARO LOPEZ VACA,PAN,,0.206993007
13024,2011,PNA,BLANCA JUAREZ MORA,PRI,,0.0149507718
13024,2016,PRD,MARCELO SOTO HERNANDEZ,PAN,,0.0585509212
13025,1990,PRI,GONZALO DE LA CRUZ OLIVARES,PFCRN,,0.9894583198
13025,1993,PRI,ISIDORO VITE HERNANDEZ,PRD,,0.6536693612
13025,1996,PRI,HILARIO ORTEGA CASTELAN,PRD,,0.5239028804
13025,1999,PRI,RAUL HERNANDEZ VITE,PAN,,0.2822473001
13025,2002,PRI,PERFECTO DE LA CRUZ ALVARADO,PAN,,0.0454027896
13025,2005,PRD,ANTONIO CONTRERAS RAMIREZ,PRI,,0.0959664746
13025,2008,PRI_PNA,NOEL MEDECIGO SANCHEZ,PT,,0.0905206677
13025,2011,CONVE,FELIPE JUAREZ RAMIREZ,PT,,0.0022271715
13025,2016,PRI_PVEM_PNA,MARTHA HERNANDEZ VELASCO,MC,,0.0846208489
13026,1990,PRI,JORGE GUTIERREZ REYES,PFCRN,,0.3724192695
13026,1993,PRI,ABELIN MENDOZA M.,PFCRN,,0.1593318342
13026,1997,PRD,JUAN BUSTAMANTE CRUZ,0,,1
13026,1999,PRD,JUAN MARTINEZ DOLORES,PT,,0.0960854093
13026,2002,PRI,ALFREDO FAYAD OROZCO,PAN,,0.3929618768
13026,2005,PRI,IMELDE ESCUDERO PEREZ,PAN,,1.937609e-4
13026,2009,PRD,FERMIN GABINO BRANDI,PRI_PNA,,0.0405500705
13026,2011,PRD,HECTOR MARTINEZ GALINDO,PRI_PVEM_PNA,,0.125415151
13026,2016,PRD,MILY MARTINEZ GALINDO,MORENA,,0.0255268117
13027,1990,PRI,TOMAS FLORES TOLENTINO,PRD,,0.651314007
13027,1993,PRI,ERNESTO VARGAS CADENA,PRD,,0.6570657066
13027,1996,PRI,JOSE ROLANDO SEVILLA,PRD,,0.5231324278
13027,1999,PRI,SALI BASS ARROYO,PRD,,0.0503294546
13027,2002,PRI,ALEJANDRO ESCOBAR LEYVA,PRD,,0.1590517812
13027,2005,PRD,PLINIO ISLAS OLIVARES,PRI,,0.1762880886
13027,2008,PVEM,FREDY LAU RIOS,PRI_PNA,,0.0816106594
