CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1796,B,27,41,5,4,4,20,2,,1,2,0,0,0,0,2,1,0,2,0,12,0,123,0,123,346,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1797,S01,15,51,1,2,3,3,1,,1,0,0,0,0,0,0,0,0,1,3,9,1,91,3,94,,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1797,B,24,72,2,5,0,9,2,,2,2,1,1,0,2,1,0,0,0,2,7,0,132,4,136,423,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1798,B,38,65,8,13,12,16,8,,7,0,0,1,0,1,2,1,0,9,3,27,0,211,8,219,599,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1799,B,47,78,6,13,15,16,3,,1,0,0,0,0,0,0,0,1,0,4,9,0,193,10,203,573,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1800,B,19,47,9,1,4,23,2,,2,0,0,0,1,1,2,0,0,2,3,13,0,129,3,132,410,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1800,C01,32,42,7,6,4,11,1,,1,0,1,0,0,0,2,0,0,1,1,8,2,119,7,126,410,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1801,B,31,48,12,5,13,15,1,,0,0,0,0,0,0,2,1,0,0,5,9,0,142,3,145,667,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1801,C01,29,29,18,10,9,35,3,,3,4,0,0,0,0,1,0,0,6,7,0,0,154,9,163,667,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1801,C02,31,58,12,5,11,30,3,,5,0,2,0,1,0,0,0,0,5,0,15,0,178,5,183,667,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
