CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,ES,PAN_PRD_PT,PRD_PAN,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1800,2,51,89,16,7,8,34,3,3,0,1,0,1,1,4,0,0,3,4,21,2,246,10,258,820
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1801,3,91,135,42,20,33,80,7,8,4,2,0,1,0,3,1,0,11,12,24,0,474,17,491,2001
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1802,1,28,45,11,10,6,20,5,7,1,0,0,1,3,2,0,0,1,6,20,0,166,6,172,534
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1803,1,29,81,7,12,12,26,9,6,3,0,0,1,1,4,0,0,3,10,16,0,220,6,226,739
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1804,1,33,100,10,18,14,28,2,3,1,0,0,0,2,0,0,0,0,6,14,0,231,6,237,746
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1805,1,22,37,5,13,8,15,2,6,2,1,0,0,0,1,0,0,0,4,6,1,122,6,129,569
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1806,2,31,106,12,11,14,39,7,8,0,1,0,0,1,4,1,1,5,6,14,0,261,12,273,771
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1807,2,79,83,19,9,6,46,7,3,6,1,0,1,2,3,0,0,5,18,39,1,327,13,341,1232
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1808,1,39,40,2,3,2,25,2,4,0,0,0,0,0,0,0,0,0,4,15,1,136,2,139,441
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1809,2,76,96,16,10,2,49,13,7,1,1,1,0,0,0,1,0,1,10,25,0,233,13,322,920
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1810,2,85,74,11,5,1,27,4,1,1,1,0,0,0,1,0,0,5,6,17,2,239,6,247,784
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1811,1,36,41,11,13,5,31,4,2,1,0,1,0,1,0,0,0,4,5,12,2,167,5,174,543
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1812,1,25,41,2,8,6,37,1,0,3,1,0,1,1,1,0,0,1,8,15,2,151,4,157,555
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1813,1,42,46,8,4,0,22,2,2,4,0,0,0,1,0,0,0,4,3,22,0,160,10,170,561
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1814,1,9,16,0,2,0,11,1,0,0,0,0,0,0,0,0,0,1,5,9,0,54,1,55,214
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1815,2,31,139,6,13,4,19,7,12,0,0,0,0,1,1,0,0,5,19,13,0,270,14,284,383
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1816,1,43,32,3,2,5,17,1,5,1,2,0,0,0,1,0,0,0,3,6,0,121,0,121,311
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1817,1,57,29,6,6,15,17,5,10,3,1,0,1,2,1,1,0,1,6,12,0,173,6,179,518
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1818,2,112,111,8,12,9,27,5,9,7,0,0,1,1,0,0,0,4,12,23,0,341,4,345,920
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1819,2,44,84,18,23,3,35,7,12,2,0,0,0,2,1,0,0,3,10,17,0,261,14,275,1085
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1820,6,106,347,66,58,24,122,14,48,5,4,2,0,3,2,1,0,16,36,46,1,900,28,929,3856
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1821,2,37,102,9,18,29,28,2,9,1,1,0,2,1,0,0,0,6,8,15,1,268,9,278,1047
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1822,2,38,115,14,4,11,31,2,5,3,0,0,0,1,0,2,0,3,17,10,0,256,7,263,921
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1823,2,36,94,13,10,12,39,6,9,2,3,0,1,1,1,1,0,4,6,14,0,252,8,260,968
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1824,2,43,72,27,21,7,20,5,12,0,0,0,0,0,1,0,0,4,10,12,1,234,3,238,832
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1825,2,35,76,15,15,7,22,6,13,6,0,0,0,2,1,1,0,2,4,13,3,218,13,234,880
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1826,1,45,92,13,1,12,30,0,3,0,0,1,0,0,2,0,0,3,6,8,0,216,9,225,710
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1827,1,46,70,4,2,8,33,2,4,2,0,0,0,0,1,0,0,6,6,11,0,195,4,199,609
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1828,1,31,41,8,4,5,41,5,4,2,1,0,0,0,2,0,0,5,8,9,3,166,8,177,602
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1829,1,17,49,6,1,0,20,2,3,1,2,1,0,1,0,0,0,3,10,6,1,122,5,128,465
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1830,1,19,42,7,4,3,28,7,9,1,1,0,0,1,0,0,0,1,8,10,1,141,5,147,607
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1831,4,186,236,21,13,21,95,6,16,2,1,1,2,0,2,0,0,5,20,52,2,679,27,708,2615
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1832,2,61,147,19,14,25,49,3,7,3,1,0,1,4,0,1,0,12,7,8,1,362,16,379,1212
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1833,2,24,100,9,12,8,37,2,6,2,2,1,0,0,1,0,0,5,1,5,0,215,17,232,765
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1834,2,43,113,24,18,44,34,3,8,2,1,0,0,1,2,1,1,5,13,25,0,338,12,350,1148
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1835,1,27,61,12,8,12,29,5,6,0,0,0,0,2,1,1,0,3,6,12,0,185,9,194,581
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1836,1,37,85,10,8,17,17,11,1,0,1,0,0,1,1,0,0,3,20,14,1,226,10,237,685
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1837,1,31,59,10,8,30,25,5,3,2,1,1,0,2,1,0,0,2,10,10,0,200,2,202,566
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1838,1,32,49,7,5,2,17,11,3,0,1,0,0,0,0,0,0,4,5,10,0,146,2,148,599
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1839,1,42,71,12,6,5,25,0,2,3,1,0,1,2,0,0,0,5,10,14,0,199,4,203,575
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1840,2,27,58,9,9,4,34,5,13,2,2,0,0,0,1,0,0,4,5,13,5,186,3,194,754
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1841,2,27,97,22,17,12,25,3,7,2,0,0,0,1,1,0,1,9,14,14,0,252,12,264,813
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1842,2,32,95,19,18,12,23,3,4,2,1,0,2,1,0,1,0,5,9,11,0,238,11,249,791
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1843,2,33,87,12,33,10,33,3,8,4,0,0,0,0,0,0,0,4,2,7,1,236,4,241,861
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1844,2,39,95,19,9,7,41,3,6,4,2,0,1,0,1,0,1,10,7,14,2,259,8,269,994
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1845,2,29,109,17,7,3,24,7,5,0,0,0,0,1,0,0,0,1,10,9,0,193,11,233,779
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1846,1,38,69,24,5,6,21,2,12,5,2,0,0,1,0,0,0,2,2,22,1,211,7,219,724
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1847,2,67,153,21,30,14,42,15,24,6,1,0,0,2,0,0,0,8,9,24,1,416,22,439,1558
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1848,2,35,74,14,27,12,31,7,9,2,0,0,0,1,0,0,0,4,8,24,0,248,7,255,867
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1849,2,32,80,21,9,11,37,3,6,2,1,0,1,0,3,0,0,5,8,11,0,230,11,241,997
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1850,1,35,60,10,10,8,21,3,10,1,1,0,0,0,1,0,0,2,5,12,0,179,4,183,563
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1851,1,28,72,9,8,5,28,2,9,0,0,0,1,0,0,0,0,4,7,12,0,185,4,189,594
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1852,1,34,96,19,18,6,28,3,4,2,0,0,0,0,4,1,0,0,7,12,1,234,7,242,728
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1853,2,28,70,10,11,7,48,6,7,2,2,0,1,1,0,0,0,3,5,18,1,219,5,225,815
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1854,1,27,42,15,10,7,16,5,4,0,0,0,0,0,1,0,0,1,6,10,0,144,6,150,697
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1855,1,17,55,11,12,13,25,1,9,0,0,0,0,1,1,0,0,4,5,9,0,163,6,169,730
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1856,2,46,77,9,7,44,36,4,8,5,0,1,0,1,2,1,0,4,5,8,3,258,10,271,905
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1857,2,41,89,6,11,39,37,6,7,2,0,0,0,1,0,1,0,5,11,5,0,261,14,275,873
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1858,2,50,105,18,9,16,27,2,7,0,0,0,0,1,0,0,0,3,7,4,0,249,11,260,958
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1859,5,119,316,41,46,115,123,12,21,5,3,0,1,1,3,0,0,9,26,32,3,873,22,898,3206
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1860,3,61,151,28,28,27,64,5,6,9,2,1,0,1,2,0,1,2,17,21,2,426,10,438,1606
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1861,1,26,62,5,15,5,19,2,2,0,0,0,0,2,2,0,0,0,4,4,1,148,11,160,633
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1862,2,78,106,19,18,8,62,10,9,11,1,0,0,2,0,1,0,6,9,60,2,400,12,414,1467
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1863,2,49,88,16,7,8,27,4,11,4,2,0,1,1,1,0,0,8,21,10,0,258,4,262,828
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1864,2,28,98,16,14,10,33,6,15,3,1,0,0,0,1,0,0,9,11,7,1,252,9,262,827
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1865,1,18,54,12,16,11,31,4,11,2,0,0,0,0,0,0,0,0,4,11,0,174,4,178,607
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1866,1,19,56,7,10,18,12,3,10,2,2,1,0,0,1,1,0,3,3,1,0,149,9,158,577
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1867,1,11,39,9,6,2,24,4,3,0,0,0,0,0,0,0,0,1,1,4,0,104,6,110,378
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1868,2,29,179,28,15,18,49,8,17,3,1,0,0,0,2,0,0,2,7,6,1,364,8,373,1301
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1869,13,266,1021,146,225,76,317,47,90,20,8,1,2,3,14,4,2,47,69,67,6,2425,121,2552,9103
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1870,9,391,485,84,78,46,238,32,43,11,5,0,1,7,3,0,0,31,51,122,8,1628,47,1683,6449
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1871,1,26,82,8,13,1,5,39,2,1,1,1,3,1,2,1,0,0,3,4,0,193,6,199,377
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1872,1,37,122,22,11,10,6,9,8,2,1,1,1,2,2,1,0,2,2,13,0,252,16,268,512
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1873,1,22,149,9,10,8,12,4,4,0,2,0,1,1,4,0,0,1,12,1,1,240,2,243,620
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1874,3,68,229,30,56,42,33,20,13,4,0,1,1,0,3,0,0,7,25,8,0,540,23,563,1800
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1875,2,48,188,19,33,18,45,5,6,3,0,0,0,2,3,0,0,7,12,3,0,392,16,408,1264
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1876,1,36,104,6,9,10,4,2,3,1,1,0,1,0,3,1,0,6,5,1,0,193,12,205,347
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1877,2,53,172,37,20,71,18,5,6,2,2,0,0,1,1,0,0,5,4,1,0,398,13,411,831
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1878,1,21,158,14,13,32,6,2,0,1,1,0,0,1,3,0,0,4,0,0,0,256,17,273,462
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1879,1,8,137,6,13,3,3,4,2,0,0,0,0,0,0,0,0,0,3,0,0,179,3,182,418
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1880,1,20,121,14,13,54,52,7,14,1,1,0,0,0,0,1,1,2,18,0,0,319,13,332,616
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1881,1,18,76,8,13,9,4,1,2,0,0,0,1,0,0,0,0,0,2,1,0,135,3,138,226
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1882,1,16,60,6,1,6,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,100,3,103,169
