ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,16,NOMBRE DE DIOS,21,28,1157,1645,481,2607,157,415,943,98,551,904,,,,,,,,,,,,,,,0,8958,279,9237,14215,0.6498
10,DURANGO,17,NUEVO IDEAL,29,45,3329,448,892,71,308,,21,2648,244,,,,,,,360,1857,,,,,,,,10,10178,453,10641,20213,0.5264
10,DURANGO,18,OCAMPO,19,18,1228,1879,345,243,16,,13,48,39,,,,,,,,,722,,,,,,,9,4533,109,4651,7006,0.6639
10,DURANGO,19,EL ORO,30,31,2362,2101,629,106,73,,20,27,33,,,,,,,,,,,,,,,,1,5351,150,5502,9547,0.5763
10,DURANGO,20,OTAEZ,14,17,39,1191,39,14,29,1388,,,31,,,,,,,,,,,,,,,,2,2731,81,2814,3753,0.7498
10,DURANGO,21,PANUCO DE CORONADO,16,25,2176,2660,609,424,674,,,29,51,115,,,,,,,,,,,,,,,2,6738,149,6889,10702,0.6437
10,DURANGO,22,PEÑON BLANCO,14,20,1839,2122,504,177,148,,74,123,193,70,,,,,,,,,,,,,,,9,5250,158,5417,8364,0.6477
10,DURANGO,23,POANAS,23,36,4119,3073,1128,670,215,1441,107,178,345,333,,,,,,,,,,,,,,,3,11609,373,11985,18741,0.6395
10,DURANGO,24,PUEBLO NUEVO,48,70,5190,6499,1438,371,204,,126,118,330,772,,,,,,,,,590,1013,,,,,3,16651,444,17098,30771,0.5557
10,DURANGO,25,RODEO,23,26,1639,2349,483,119,164,,82,136,800,,,,,,,,,,,,227,,,,0,5999,209,6208,9790,0.6341
10,DURANGO,26,SAN BERNARDO,12,13,395,984,119,13,,,,209,17,,,,,,,,,,,,,,,,0,1737,35,1772,2776,0.6383
10,DURANGO,27,SAN DIMAS,38,44,1790,2113,519,300,147,217,73,122,1837,137,,,,,,,,,,,,,,,0,7255,259,7514,13311,0.5645
10,DURANGO,28,SAN JUAN DE GUADALUPE,16,14,857,839,253,516,601,,,7,93,,,,,,,,,,,,,,,,0,3166,88,3254,4506,0.7221
10,DURANGO,29,SAN JUAN DEL RIO,23,26,1208,3229,446,90,226,,112,187,773,,,,,,,,,,,,,,,,0,6271,232,6503,9828,0.6617
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,478,610,116,6,3,,4,4,,,,,,,,,,,,,,,,,0,1221,21,1242,1867,0.6652
10,DURANGO,31,SAN PEDRO DEL GALLO,8,5,176,407,70,173,85,,,184,6,,,,,,,,,,,,,,,,0,1101,23,1124,1469,0.7651
10,DURANGO,32,SANTA CLARA,9,10,711,1337,248,626,,,,39,502,,,,,,,,,,,,,,,,0,3463,131,3594,5193,0.6921
10,DURANGO,33,SANTIAGO PAPASQUIARO,62,84,7036,9392,1928,156,167,210,68,300,356,206,,,,,,,,,,,,86,,,4,19905,487,20396,35587,0.5731
10,DURANGO,34,SUCHIL,11,13,70,1129,105,1409,49,37,32,265,163,,,,,,,,,,,,,,,,0,3259,116,3375,5225,0.6459
10,DURANGO,35,TAMAZULA ,31,37,2287,5112,675,81,89,,,,,,,,,,,,,,,,,,,,2,8244,319,8565,15204,0.5633
10,DURANGO,36,TEPEHUANES,27,36,84,2441,84,91,112,2495,21,52,75,,,,,,,,,,,,,,,,0,5455,189,5644,9384,0.6014
10,DURANGO,37,TLAHUALILO,26,32,2756,3566,813,86,,,,2170,534,73,,,,,,,,,,,,,192,,0,10190,156,10346,14681,0.7047
10,DURANGO,38,TOPIA,13,16,269,1907,168,24,787,,,,26,24,,,,,,,,,,,,,,,0,3205,136,3341,5621,0.5944
10,DURANGO,39,VICENTE GUERRERO,17,32,1100,2911,499,123,249,541,29,169,457,2963,,,,,,,,,,,,,,492,8,9533,201,9742,16415,0.5935
