CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA ,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,B,116,,112,,9,,,,,12,11,60,,,,,,,,,,,,,,0,320,6,326,533,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0006B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,C01,163,,97,,3,,,,,16,7,50,,,,,,,,,,,,,,0,336,11,347,532,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0006C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,C02,149,,66,,13,,,,,7,5,58,,,,,,,,,,,,,,0,298,7,305,532,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0006C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,7,B,198,,111,,6,,,,,20,10,41,,,,,,,,,,,,,,0,386,14,400,672,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0007B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,8,B,102,,79,,10,,,,,5,1,9,,,,,,,,,,,,,,8,206,3,217,389,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0008B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,8,C01,83,,87,,17,,,,,9,0,8,,,,,,,,,,,,,,0,204,10,214,389,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0008C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,9,B,154,,178,,9,,,,,13,2,9,,,,,,,,,,,,,,0,365,18,383,681,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0009B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,10,B,26,,93,,1,,,,,2,1,3,,,,,,,,,,,,,,0,126,7,133,191,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0010B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,12,B,30,,30,,7,,,,,3,1,1,,,,,,,,,,,,,,0,72,6,78,150,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0012B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,13,B,163,,176,,9,,,,,8,4,16,,,,,,,,,,,,,,0,376,22,398,716,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0013B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,14,B,131,,113,,6,,,,,5,3,7,,,,,,,,,,,,,,0,265,16,281,468,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0014B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,15,B,183,,199,,14,,,,,14,8,26,,,,,,,,,,,,,,0,444,20,464,748,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0015B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,B,23,,46,,1,,,,,1,1,4,,,,,,,,,,,,,,0,76,1,77,114,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0016B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,E01,22,,42,,2,,,,,0,2,0,,,,,,,,,,,,,,0,68,3,71,129,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0016E1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,E02,16,,38,,0,,,,,0,0,0,,,,,,,,,,,,,,0,54,3,57,99,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0016E2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,17,B,24,,62,,0,,,,,2,0,0,,,,,,,,,,,,,,0,88,6,94,160,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0017B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,19,B,25,,62,,5,,,,,0,2,2,,,,,,,,,,,,,,0,96,4,100,161,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0019B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,20,B,65,,53,,8,,,,,15,0,6,,,,,,,,,,,,,,0,147,6,153,260,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0020B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,21,B,33,,40,,3,,,,,3,2,5,,,,,,,,,,,,,,0,86,1,87,125,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0021B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,22,B,152,,100,,6,,,,,12,1,30,,,,,,,,,,,,,,0,301,4,305,481,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0022B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,22,C01,120,,131,,9,,,,,6,2,25,,,,,,,,,,,,,,0,293,4,297,480,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0022C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,23,B,128,,140,,8,,,,,13,2,51,,,,,,,,,,,,,,0,342,17,359,554,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0023B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,24,B,116,,87,,9,,,,,1,1,8,,,,,,,,,,,,,,0,222,14,236,346,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0024B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,25,B,237,,85,,26,,,,,4,3,26,,,,,,,,,,,,,,0,381,15,396,625,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0025B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,26,B,122,,123,,26,,,,,57,1,12,,,,,,,,,,,,,,0,341,19,360,582,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0026B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,26,C01,152,,114,,18,,,,,57,0,12,,,,,,,,,,,,,,0,353,19,372,581,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0026C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,27,B,117,,101,,14,,,,,19,7,18,,,,,,,,,,,,,,0,276,14,290,512,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0027B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,27,C01,104,,94,,14,,,,,15,9,22,,,,,,,,,,,,,,0,258,15,273,511,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0027C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,28,B,73,,244,,10,,,,,48,1,16,,,,,,,,,,,,,,0,392,11,403,564,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0028B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,B,55,,165,,9,,,,,45,1,17,,,,,,,,,,,,,,0,292,15,307,468,Acta casilla,,,
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,C01,57,,170,,4,,,,,43,4,24,,,,,,,,,,,,,,0,302,12,314,467,Acta casilla,,,
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,29,SMR01,12,,6,,3,,,,,2,0,5,,,,,,,,,,,,,,0,28,0,28,0,Acta casilla,,,
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,30,B,164,,92,,6,,,,,42,3,33,,,,,,,,,,,,,,0,340,7,347,481,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0030B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,30,C01,184,,77,,9,,,,,29,4,28,,,,,,,,,,,,,,0,331,11,342,481,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0030C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,31,B,205,,156,,9,,,,,21,3,39,,,,,,,,,,,,,,0,433,17,450,673,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0031B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,32,B,90,,98,,9,,,,,14,2,9,,,,,,,,,,,,,,0,222,9,231,375,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0032B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,33,B,32,,135,,6,,,,,2,0,2,,,,,,,,,,,,,,0,177,5,182,305,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0033B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,34,B,18,,90,,2,,,,,4,0,1,,,,,,,,,,,,,,0,115,9,124,203,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0034B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,35,B,35,,101,,8,,,,,4,0,1,,,,,,,,,,,,,,0,149,6,155,266,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0035B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,B,74,,119,,7,,,,,33,2,25,,,,,,,,,,,,,,1,260,14,275,480,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0037B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,C01,87,,87,,14,,,,,61,2,14,,,,,,,,,,,,,,0,265,16,281,479,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0037C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,38,B,130,,112,,14,,,,,4,4,109,,,,,,,,,,,,,,0,373,23,396,635,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0038B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,39,B,36,,105,,6,,,,,2,2,16,,,,,,,,,,,,,,0,167,6,173,277,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0039B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,40,B,137,,146,,7,,,,,25,4,6,,,,,,,,,,,,,,0,325,11,336,509,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0040B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,42,B,114,,,89,4,2,,,,,,,,,,,,,,,,,,,,0,209,4,213,415,Acta casilla,,,
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,42,C01,112,,,115,5,1,,,,,,,,,,,,,,,,,,,,0,233,5,238,414,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO DE RECUENTO/0042C1.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,43,B,100,,,6,0,0,,,,,,,,,,,,,,,,,,,,0,106,1,107,144,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0043B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,44,B,109,,,33,1,0,,,,,,,,,,,,,,,,,,,,0,143,7,150,220,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0044B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,46,B,23,,,40,0,1,,,,,,,,,,,,,,,,,,,,0,64,2,66,107,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0046B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,47,B,38,,,97,2,0,,,,,,,,,,,,,,,,,,,,0,137,2,139,199,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0047B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,48,B,36,,,122,1,2,,,,,,,,,,,,,,,,,,,,0,161,18,179,237,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0045B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,50,B,71,,,16,0,1,,,,,,,,,,,,,,,,,,,,0,88,2,90,126,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0050B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,51,B,4,,,49,11,0,,,,,,,,,,,,,,,,,,,,0,64,4,68,162,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0051B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,52,B,6,,,66,2,0,,,,,,,,,,,,,,,,,,,,0,74,4,78,142,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0052B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,53,B,55,,,77,8,1,,,,,,,,,,,,,,,,,,,,0,141,5,146,260,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0053B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,54,B,26,,,54,3,0,,,,,,,,,,,,,,,,,,,,0,83,6,89,161,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0054B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,55,B,24,,,79,2,1,,,,,,,,,,,,,,,,,,,,0,106,1,107,180,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO DE RECUENTO/0055B.pdf
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,2,CANELAS,56,B,37,,,186,6,1,,,,,,,,,,,,,,,,,,,,1,230,6,237,374,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANELAS/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANELAS_AEC_AYU_0056B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,57,B,31,,,16,5,248,,,177,1,2,,,,,,,,,,,,,,,0,480,21,501,645,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0057B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,58,B,1,,,3,0,105,,,7,0,0,,,,,,,,,,,,,,,0,116,3,119,222,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0058B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,59,B,1,,,0,0,103,,,9,0,0,,,,,,,,,,,,,,,0,113,4,117,149,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0059B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,60,B,2,,,11,5,120,,,64,0,0,,,,,,,,,,,,,,,0,202,25,227,378,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0060B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,61,B,3,,,3,1,55,,,25,0,0,,,,,,,,,,,,,,,0,87,2,89,140,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0061B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,62,B,3,,,5,2,90,,,72,0,0,,,,,,,,,,,,,,,0,172,4,176,246,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0062B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,63,B,4,,,6,0,186,,,79,0,0,,,,,,,,,,,,,,,0,275,24,299,429,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0063B.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,63,C01,6,,,5,1,212,,,62,0,0,,,,,,,,,,,,,,,0,286,17,303,428,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0063C1.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,63,E01,1,,,1,0,36,,,12,0,1,,,,,,,,,,,,,,,0,51,2,53,74,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0063E1.pdf
1,10,DURANGO,8,EL ORO,3,CONETO DE COMONFORT,64,B,4,,,6,4,103,,,61,0,0,,,,,,,,,,,,,,,0,178,7,185,272,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CONETO DE COMONFORT/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CONETO DE COMONFORT_AEC_AYU_0064B.pdf
