Ayuntamiento
10/11/2021 11:40 (UTC-6)
 ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_DE_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,
81,81,0,81,100.0000,81,100.0000,00.0000,0,46179,16473,16473,35.6720
 CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'192627C0100',192627C01004,19,NUEVO LEON,025,Gral. Zuazua,2627,0001,C,00,2,4,0,,,,40,13,0,20,3,54,4,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,,142,377,24,,1,I,,,10/11/2021 09:34:37,,,,-
'192628B0100',192628B01004,19,NUEVO LEON,025,Gral. Zuazua,2628,0001,B,00,1,4,0,,,,42,12,0,29,3,65,5,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,,167,377,27,,1,I,,,10/11/2021 09:13:18,,,,-
'192628C0100',192628C01004,19,NUEVO LEON,025,Gral. Zuazua,2628,0001,C,00,1,4,0,,,,43,19,0,17,4,61,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,,152,377,25,,1,I,,,10/11/2021 09:38:38,,,,-
'192629B0100',192629B01004,19,NUEVO LEON,025,Gral. Zuazua,2629,0001,B,00,1,4,0,,,,49,21,2,18,12,81,17,1,2,1,6,1,0,0,0,0,0,1,0,0,0,0,4,,216,551,26,,1,I,,,10/11/2021 11:31:34,,,,-
'192629C0100',192629C01004,19,NUEVO LEON,025,Gral. Zuazua,2629,0001,C,00,1,4,0,,,,51,30,1,15,6,118,9,1,4,2,6,0,0,0,0,0,0,1,1,0,0,0,4,,249,551,28,,1,I,,,10/11/2021 09:44:19,,,,-
'192630B0100',192630B01004,19,NUEVO LEON,025,Gral. Zuazua,2630,0001,B,00,1,4,0,,,,26,17,0,19,7,92,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,,178,479,27,,1,I,,,10/11/2021 09:46:08,,,,-
'192630C0100',192630C01004,19,NUEVO LEON,025,Gral. Zuazua,2630,0001,C,00,1,4,0,,,,37,14,0,27,10,93,7,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,4,,199,479,30,,1,I,,,10/11/2021 09:47:45,,,,-
'192631B0100',192631B01004,19,NUEVO LEON,025,Gral. Zuazua,2631,0001,B,00,2,4,0,,,,67,38,0,31,20,107,17,0,6,3,2,0,0,0,1,0,2,2,0,0,0,0,4,,300,728,28,,1,I,,,10/11/2021 09:17:05,,,,-
'192632B0100',192632B01004,19,NUEVO LEON,025,Gral. Zuazua,2632,0001,B,00,1,4,0,,,,31,22,1,14,11,65,15,0,0,5,3,0,1,0,0,0,0,0,1,0,0,0,3,,172,570,26,,1,I,,,10/11/2021 09:49:47,,,,-
'192633B0100',192633B01004,19,NUEVO LEON,025,Gral. Zuazua,2633,0001,B,00,2,4,0,,,,14,15,0,10,3,73,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,,122,399,25,,1,I,,,10/11/2021 09:51:15,,,,-
'192633C0100',192633C01004,19,NUEVO LEON,025,Gral. Zuazua,2633,0001,C,00,2,4,0,,,,15,10,0,6,8,63,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,111,399,25,,1,I,,,10/11/2021 09:31:52,,,,-
'192634B0100',192634B01004,19,NUEVO LEON,025,Gral. Zuazua,2634,0001,B,00,1,4,0,,,,31,13,2,15,7,64,7,0,2,1,4,2,1,0,1,0,0,0,1,0,0,0,5,,156,484,26,,1,I,,,10/11/2021 09:53:19,,,,-
'192634C0100',192634C01004,19,NUEVO LEON,025,Gral. Zuazua,2634,0001,C,00,1,4,0,,,,30,29,1,14,8,71,9,0,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,,171,484,26,,1,I,,,10/11/2021 09:35:21,,,,-
'192635B0100',192635B01004,19,NUEVO LEON,025,Gral. Zuazua,2635,0001,B,00,1,4,0,,,,21,21,0,33,16,58,9,1,4,1,7,0,0,0,0,0,1,0,0,0,0,0,1,,173,486,27,,1,I,,,10/11/2021 11:28:02,,,,-
'192635C0100',192635C01004,19,NUEVO LEON,025,Gral. Zuazua,2635,0001,C,00,1,4,0,,,,26,17,0,33,16,59,14,0,2,5,5,2,0,0,0,0,2,0,0,0,0,0,0,,181,485,27,,1,I,,,10/11/2021 09:40:50,,,,-
'192636B0100',192636B01004,19,NUEVO LEON,025,Gral. Zuazua,2636,0001,B,00,1,4,0,,,,47,23,4,36,9,93,12,1,7,1,6,0,1,0,0,0,0,0,0,0,1,0,4,,245,713,29,,1,I,,,10/11/2021 10:01:23,,,,-
'192637B0100',192637B01004,19,NUEVO LEON,025,Gral. Zuazua,2637,0001,B,00,1,4,0,,,,62,33,1,17,7,119,13,3,2,2,2,0,1,0,0,0,2,0,1,0,1,0,6,,272,663,29,,1,I,,,10/11/2021 09:54:42,,,,-
'192638B0100',192638B01004,19,NUEVO LEON,025,Gral. Zuazua,2638,0001,B,00,1,4,0,,,,49,39,1,28,11,106,13,2,10,1,6,2,0,0,0,0,0,0,0,0,0,0,5,,273,702,29,,1,I,,,10/11/2021 10:01:32,,,,-
'192639B0100',192639B01004,19,NUEVO LEON,025,Gral. Zuazua,2639,0001,B,00,1,4,0,,,,33,47,3,46,19,87,11,3,3,0,4,0,1,0,0,1,0,0,1,0,1,1,5,,266,724,31,,1,I,,,10/11/2021 09:59:57,,,,-
'192640B0100',192640B01004,19,NUEVO LEON,025,Gral. Zuazua,2640,0001,B,00,1,4,0,,,,41,14,0,27,10,51,11,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,4,,165,452,29,,1,I,,,10/11/2021 10:03:54,,,,-
'192640C0100',192640C01004,19,NUEVO LEON,025,Gral. Zuazua,2640,0001,C,00,1,4,0,,,,29,23,0,20,8,77,6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,167,452,25,,1,I,,,10/11/2021 09:58:00,,,,-
'192641B0100',192641B01004,19,NUEVO LEON,025,Gral. Zuazua,2641,0001,B,00,1,4,0,,,,31,33,1,16,17,95,8,1,2,7,8,1,0,0,0,4,1,0,0,0,0,0,8,,233,588,30,,1,I,,,10/11/2021 10:26:17,,,,-
'192642B0100',192642B01004,19,NUEVO LEON,025,Gral. Zuazua,2642,0001,B,00,1,4,0,,,,33,26,0,16,8,63,9,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,,166,403,27,,1,I,,,10/11/2021 10:05:56,,,,-
'192642C0100',192642C01004,19,NUEVO LEON,025,Gral. Zuazua,2642,0001,C,00,1,4,0,,,,37,31,2,16,8,63,6,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,3,,174,402,28,,1,I,,,10/11/2021 10:14:47,,,,-
'192643B0100',192643B01004,19,NUEVO LEON,025,Gral. Zuazua,2643,0001,B,00,1,4,0,,,,74,52,2,27,15,93,16,0,6,6,2,0,0,0,0,1,0,0,0,1,0,0,0,,295,716,28,,1,I,,,10/11/2021 10:27:43,,,,-
'192644B0100',192644B01004,19,NUEVO LEON,025,Gral. Zuazua,2644,0001,B,00,1,4,0,,,,60,28,1,34,17,95,11,4,7,2,4,2,0,0,0,0,0,0,0,0,0,0,6,,271,732,28,,1,I,,,10/11/2021 10:25:01,,,,-
'192645B0100',192645B01004,19,NUEVO LEON,025,Gral. Zuazua,2645,0001,B,00,1,4,0,,,,43,11,2,14,16,82,11,0,0,3,2,1,0,0,0,2,0,0,1,0,0,0,3,,191,497,26,,1,I,,,10/11/2021 10:07:52,,,,-
'192646B0100',192646B01004,19,NUEVO LEON,025,Gral. Zuazua,2646,0001,B,00,1,4,0,,,,42,64,1,29,22,98,6,2,3,4,2,2,0,0,0,0,0,0,2,0,1,0,2,,280,729,29,,1,I,,,10/11/2021 10:29:48,,,,-
'192647B0100',192647B01004,19,NUEVO LEON,025,Gral. Zuazua,2647,0001,B,00,1,4,0,,,,52,28,1,30,30,101,17,0,6,5,2,1,0,0,1,1,1,0,0,0,0,0,7,,283,685,29,,1,I,,,10/11/2021 10:09:48,,,,-
'192648B0100',192648B01004,19,NUEVO LEON,025,Gral. Zuazua,2648,0001,B,00,1,4,0,,,,34,30,4,23,8,82,10,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,3,,201,743,24,,1,I,,,10/11/2021 10:12:31,,,,-
'192649B0100',192649B01004,19,NUEVO LEON,025,Gral. Zuazua,2649,0001,B,00,2,4,0,,,,24,56,1,11,13,59,7,1,1,2,3,0,0,0,0,0,1,1,0,0,0,0,4,,184,385,25,,1,I,,,10/11/2021 10:30:55,,,,-
'192649C0100',192649C01004,19,NUEVO LEON,025,Gral. Zuazua,2649,0001,C,00,2,4,0,,,,22,61,0,7,8,70,3,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,5,,186,385,24,,1,I,,,10/11/2021 10:48:50,,,,-
'192650B0100',192650B01004,19,NUEVO LEON,025,Gral. Zuazua,2650,0001,B,00,2,4,0,,,,38,141,4,12,19,84,4,0,0,13,6,1,0,0,0,2,0,0,0,0,0,0,8,,332,627,24,,1,I,,,10/11/2021 10:14:31,,,,-
'192651B0100',192651B01004,19,NUEVO LEON,025,Gral. Zuazua,2651,0001,B,00,1,4,0,,,,56,23,2,17,10,72,4,0,2,2,0,1,0,0,0,2,0,0,1,0,0,1,2,,195,676,29,,1,I,,,10/11/2021 10:16:38,,,,-
'192652B0100',192652B01004,19,NUEVO LEON,025,Gral. Zuazua,2652,0001,B,00,1,4,0,,,,37,30,0,27,12,113,14,3,6,0,4,0,0,1,0,2,0,0,1,0,0,0,7,,257,703,26,,1,I,,,10/11/2021 11:04:00,,,,-
'192653B0100',192653B01004,19,NUEVO LEON,025,Gral. Zuazua,2653,0001,B,00,1,4,0,,,,17,35,4,16,12,77,7,4,0,3,1,1,0,0,0,0,1,0,0,0,0,0,5,,183,608,24,,1,I,,,10/11/2021 10:20:40,,,,-
'192654B0100',192654B01004,19,NUEVO LEON,025,Gral. Zuazua,2654,0001,B,00,1,4,0,,,,14,34,4,23,6,48,7,1,3,1,5,0,1,0,0,0,0,0,2,0,0,0,5,,154,441,26,,1,I,,,10/11/2021 10:22:31,,,,-
'192654C0100',192654C01004,19,NUEVO LEON,025,Gral. Zuazua,2654,0001,C,00,1,4,0,,,,15,53,4,16,17,43,6,1,1,3,5,0,0,0,0,1,0,0,0,0,0,0,5,,170,441,29,,1,I,,,10/11/2021 10:25:36,,,,-
'192655B0100',192655B01004,19,NUEVO LEON,025,Gral. Zuazua,2655,0001,B,00,1,4,0,,,,49,17,0,24,11,56,11,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,5,,183,627,27,,1,I,,,10/11/2021 10:28:39,,,,-
'192656B0100',192656B01004,19,NUEVO LEON,025,Gral. Zuazua,2656,0001,B,00,1,4,0,,,,16,43,2,5,3,39,7,0,4,4,2,0,1,0,0,0,0,0,1,0,0,0,2,,129,391,27,,1,I,,,10/11/2021 10:50:08,,,,-
'192656C0100',192656C01004,19,NUEVO LEON,025,Gral. Zuazua,2656,0001,C,00,1,4,0,,,,26,33,2,15,7,42,4,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,3,,139,390,25,,1,I,,,10/11/2021 11:01:08,,,,-
'192657B0100',192657B01004,19,NUEVO LEON,025,Gral. Zuazua,2657,0001,B,00,1,4,0,,,,45,113,3,15,22,133,3,2,0,8,1,0,1,0,0,0,0,0,2,0,1,0,6,,355,692,24,,1,I,,,10/11/2021 11:05:47,,,,-
'192658B0100',192658B01004,19,NUEVO LEON,025,Gral. Zuazua,2658,0001,B,00,1,4,0,,,,23,13,0,9,8,56,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,2,,121,423,29,,1,I,,,10/11/2021 10:30:44,,,,-
'192658C0100',192658C01004,19,NUEVO LEON,025,Gral. Zuazua,2658,0001,C,00,1,4,0,,,,16,13,1,5,13,59,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,,121,423,27,,1,I,,,10/11/2021 10:32:29,,,,-
'192659B0100',192659B01004,19,NUEVO LEON,025,Gral. Zuazua,2659,0001,B,00,1,4,0,,,,41,101,1,40,23,94,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,316,585,26,,1,I,,,10/11/2021 10:34:31,,,,-
'192660B0100',192660B01004,19,NUEVO LEON,025,Gral. Zuazua,2660,0001,B,00,1,4,0,,,,33,92,3,19,15,78,4,1,1,4,2,1,3,0,0,4,0,0,0,0,2,0,2,,264,444,24,,1,I,,,10/11/2021 10:36:16,,,,-
'192721B0100',192721B01004,19,NUEVO LEON,025,Gral. Zuazua,2721,0001,B,00,1,4,0,,,,11,18,1,13,8,54,8,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,,123,718,20,,1,I,,,10/11/2021 10:37:48,,,,-
'192721C0100',192721C01004,19,NUEVO LEON,025,Gral. Zuazua,2721,0001,C,00,1,4,0,,,,11,15,1,11,7,51,9,0,0,2,2,1,0,0,0,1,0,0,2,0,0,0,2,,115,718,21,,1,I,,,10/11/2021 10:50:04,,,,-
'192721C0200',192721C02004,19,NUEVO LEON,025,Gral. Zuazua,2721,0002,C,00,1,4,0,,,,18,22,2,16,5,51,17,0,0,3,4,0,0,0,0,1,0,1,0,0,0,0,0,,140,718,22,,1,I,,,10/11/2021 11:02:42,,,,-
'192721C0300',192721C03004,19,NUEVO LEON,025,Gral. Zuazua,2721,0003,C,00,1,4,0,,,,11,16,3,7,1,43,8,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,,98,718,22,,1,I,,,10/11/2021 11:07:02,,,,-
'192721C0400',192721C04004,19,NUEVO LEON,025,Gral. Zuazua,2721,0004,C,00,1,4,0,,,,12,17,0,14,7,62,9,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,3,,131,718,21,,1,I,,,10/11/2021 10:43:28,,,,-
'192721C0500',192721C05004,19,NUEVO LEON,025,Gral. Zuazua,2721,0005,C,00,1,4,0,,,,13,18,1,14,1,48,6,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,3,,113,718,22,,1,I,,,10/11/2021 10:45:22,,,,-
'192721C0600',192721C06004,19,NUEVO LEON,025,Gral. Zuazua,2721,0006,C,00,1,4,0,,,,10,25,3,21,9,48,13,0,1,1,3,1,0,0,1,0,1,0,1,0,0,0,4,,142,718,20,,1,I,,,10/11/2021 10:47:40,,,,-
'192721C0700',192721C07004,19,NUEVO LEON,025,Gral. Zuazua,2721,0007,C,00,1,4,0,,,,16,17,2,14,8,55,8,1,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,,129,717,23,,1,I,,,10/11/2021 10:49:04,,,,-
'192721C0800',192721C08004,19,NUEVO LEON,025,Gral. Zuazua,2721,0008,C,00,1,4,0,,,,14,25,1,14,8,38,9,1,0,3,5,0,0,0,0,0,0,1,0,0,1,0,2,,122,717,22,,1,I,,,10/11/2021 11:15:43,,,,-
