uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1942,NA,C. PEDRO GONZÁLEZ GARCÍA
NA,1943,NA,C. PABLO OLIVARES
NA,1944,NA,C. J. DOLORES RUIZ
NA,1945,NA,C. FLAVIO DE LA GARZA
NA,1946,NA,C. LORENZO LIÑÁN
NA,1947,NA,C. VICTORINO URBINA ORTIZ
NA,1948,NA,C. OCTAVIANO CARREÑO
NA,1949,NA,C. PEDRO BANDA GALLEGOS
NA,1950,NA,C. BARTOLO DE LEÓN ANDRADE
NA,1952,NA,C. LIBERATO DE LA GARZA CARDENAS
NA,1953,NA,C. MANUEL GUTIÉRREZ GARZA
NA,1954,NA,C. JOSÉ MORELOS
NA,1955,NA,C. ANTELMO RUIZ ROHUEDEZ
NA,1957,NA,C. ERNESTO HEREDIA
NA,1958,NA,C. RUPERTO ORTIZ FARIAS
NA,1959,NA,C. ELIUD AGUIRRE CAVAZOS
NA,1960,NA,C. JOSÉ GUTIÉRREZ
NA,1961,NA,C. LIBERATO DE LA GARZA CÁRDENAS
NA,1962,NA,C. FIDEL TREVIÑO GONZÁLEZ
NA,1963,NA,C. ROBERTO SILVA GARCÍA
NA,1964,NA,C. JOSÉ MARÍA CHÁVEZ COBOS
NA,1965,NA,C. MANUEL TARREGA GUEVARA
NA,1966,NA,C. J. NIEVES ORTIZ VELA
NA,1967,NA,C. RENÉ OLVERA NAVA
NA,1968,NA,C. RODOLFO GARZA CANTÚ
NA,1969,NA,C. ROGELIO GARZA VELA
NA,1971,NA,C. RAFAEL SIERRA CANTÚ
NA,1972,NA,C. ALEJANDRO CABRERA PORRAS
NA,1975,NA,C. CANDELARIO BETANCURT GONZÁLEZ
NA,1978,NA,C. TOMÁS ORTIZ ORTIZ
NA,1979,NA,C. GERARDO GÓMEZ CASTILLO
NA,1981,NA,C. REFUGIO TORRES RAMÍREZ
NA,1982,NA,C. SALOMÓN IBARRA AGUILLÓN
NA,1984,NA,C. JOSÉ RODRÍGUEZ GONZÁLEZ
NA,1986,NA,M.V.Z. MARIO ALBERTO GARCÍA BARRERA
NA,1987,NA,C. LAVÍN RAMÍREZ LUCIO
NA,1989,NA,C. LUCIANO GONZÁLEZ MOYA
NA,1990,NA,C. LUIS ORIVIEDO OVALLE
NA,1991,NA,C. RAMÓN PORTALES HERRERA
NA,1993,PRI,ING. LUCIO JUVENAL RAMÍREZ
NA,1996,PRI,C. OSCAR SALDAÑA SILVA
NA,1999,PRI,C. JUVENAL RAMIREZ LUCIO
NA,2002,PRI,C. RENATO RUIZ PEREZ
NA,2005,PRI,C. LUIS ORTIZ JARAMILLO
NA,2008,PAN,C. JUAN JOSE RODRIGUEZ GARZA
NA,2011,COAL.,C. JUAN ANTONIO CURIEL CURIEL
NA,2013,TSTAMPS,C. EDUARDO MARTINEZ TORRES
NA,2016,COAL.,C. YESIKA YANET SELVERA GARZA
NA,2018,PRI,C. YESIKA YANET SELVERA GARZA
NA,2021,PRI,C. RUBEN CURIEL CURIEL
NA,2024,COAL.,LIC. ROGELIO RANGEL LOPEZ
