CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,2,,1,COLIMA,30,1,61,60,3,11,6,29,16,71,1,0,0,0,1,0,0,14,,,,273,0,3,276,445
5,6,COLIMA,2,,1,COLIMA,31,2,138,124,8,43,17,56,48,161,4,5,3,2,2,0,0,43,,,,654,0,30,684,952
5,6,COLIMA,1,,1,COLIMA,32,2,133,191,4,16,26,75,39,204,7,2,11,4,1,0,0,,,,,713,1,25,739,1170
5,6,COLIMA,1,,1,COLIMA,33,2,164,226,11,29,22,104,77,288,4,0,6,4,3,0,1,,,,,939,0,25,964,1299
5,6,COLIMA,1,,1,COLIMA,34,2,120,216,8,37,19,111,46,240,4,4,0,4,0,0,0,,,,,809,1,21,831,1086
5,6,COLIMA,1,,1,COLIMA,35,2,157,158,14,23,28,78,41,260,11,3,6,5,0,0,1,,,,,785,1,28,814,1245
5,6,COLIMA,1,,1,COLIMA,36,2,146,126,5,31,37,55,39,282,13,6,3,7,6,0,0,,,,,756,0,21,777,1393
5,6,COLIMA,3,,1,COLIMA,37,3,226,227,19,26,62,105,41,412,16,3,12,10,5,0,0,,,,,1164,0,52,1216,2225
5,6,COLIMA,2,,1,COLIMA,38,2,115,86,10,36,19,40,9,144,8,3,12,3,3,0,0,43,,,,531,0,21,552,860
5,6,COLIMA,2,,1,COLIMA,39,1,77,55,10,14,6,41,16,67,1,2,4,1,1,1,0,35,,,,331,1,15,347,505
5,6,COLIMA,2,,1,COLIMA,40,2,62,62,5,15,9,33,14,97,1,1,5,3,1,1,1,16,,,,326,0,4,330,574
5,6,COLIMA,2,,1,COLIMA,41,1,73,47,5,7,2,44,13,64,0,0,0,0,1,0,1,18,,,,275,0,14,289,419
5,6,COLIMA,1,,1,COLIMA,42,1,60,59,2,6,15,45,38,107,4,3,3,4,0,0,0,,,,,346,1,12,359,562
5,6,COLIMA,1,,1,COLIMA,43,2,95,170,8,21,19,94,39,146,6,1,8,3,0,0,0,,,,,610,0,24,634,1020
5,6,COLIMA,1,,1,COLIMA,44,1,81,43,5,9,7,25,14,86,6,1,2,1,0,1,2,,,,,283,1,20,304,481
5,6,COLIMA,1,,1,COLIMA,45,3,196,226,10,34,30,131,78,280,22,8,7,8,4,0,2,,,,,1036,0,43,1079,1546
5,6,COLIMA,1,,1,COLIMA,46,2,105,149,14,18,23,76,25,171,9,1,5,1,2,0,0,,,,,599,0,24,623,864
5,6,COLIMA,2,,1,COLIMA,47,2,193,174,15,35,16,84,35,222,9,1,9,4,1,0,0,46,,,,844,1,24,869,1187
5,6,COLIMA,2,,1,COLIMA,48,2,149,110,8,43,15,66,37,204,7,2,8,6,2,2,2,71,,,,732,2,21,755,1090
5,6,COLIMA,2,,1,COLIMA,49,1,38,61,2,5,2,30,6,57,3,4,3,1,0,0,0,11,,,,223,0,2,225,323
5,6,COLIMA,1,,1,COLIMA,50,2,103,100,12,11,18,55,47,145,13,2,4,2,0,0,2,,,,,514,0,19,533,801
5,6,COLIMA,1,,1,COLIMA,51,2,123,106,6,14,17,61,30,122,6,1,7,2,1,1,2,,,,,499,0,23,522,799
5,6,COLIMA,1,,1,COLIMA,52,3,182,240,15,25,31,120,65,289,14,6,12,7,2,0,0,,,,,1008,1,54,1063,1590
5,6,COLIMA,1,,1,COLIMA,53,2,179,173,10,35,23,107,37,250,5,2,5,3,3,0,2,,,,,834,0,34,868,1356
5,6,COLIMA,2,,1,COLIMA,54,4,307,256,18,77,32,123,52,399,17,6,10,9,4,1,0,141,,,,1452,1,35,1488,2155
5,6,COLIMA,2,,1,COLIMA,55,2,125,138,9,100,13,49,20,161,4,7,10,6,3,0,2,30,,,,677,0,20,697,1101
5,6,COLIMA,2,,1,COLIMA,56,1,69,51,6,27,5,36,21,62,1,0,2,0,1,0,2,12,,,,295,1,12,308,435
5,6,COLIMA,1,,1,COLIMA,57,2,99,84,3,8,9,44,37,121,10,2,5,3,1,0,1,,,,,427,0,20,447,751
5,6,COLIMA,1,,1,COLIMA,58,2,130,172,7,27,21,91,37,158,9,2,8,9,4,1,8,,,,,684,0,23,707,1023
5,6,COLIMA,1,,1,COLIMA,59,2,129,148,74,48,33,52,24,191,7,1,6,10,1,1,2,,,,,727,0,34,761,1163
5,6,COLIMA,1,,1,COLIMA,60,12,740,690,55,143,147,442,181,1515,74,9,40,35,21,5,5,,,,,4102,6,137,4245,7488
5,6,COLIMA,3,,1,COLIMA,61,3,210,221,23,27,31,118,34,324,8,2,6,6,7,0,0,,,,,1017,1,48,1066,1946
5,6,COLIMA,3,,1,COLIMA,62,13,956,804,65,102,195,502,151,1414,49,12,28,32,26,1,8,,,,,4345,4,203,4552,8263
5,6,COLIMA,2,,1,COLIMA,63,2,99,91,13,35,22,50,25,153,3,3,10,5,1,0,0,174,,,,684,0,33,717,1136
5,6,COLIMA,2,,1,COLIMA,64,2,168,129,6,51,21,64,24,161,5,4,5,8,5,0,0,121,,,,772,1,37,810,1239
5,6,COLIMA,2,,1,COLIMA,65,4,242,182,14,82,35,93,44,294,14,7,14,7,6,0,3,125,,,,1162,3,51,1216,2059
5,6,COLIMA,2,,1,COLIMA,66,2,136,194,9,49,12,46,59,166,4,3,6,6,0,1,2,23,,,,716,2,21,739,1137
5,6,COLIMA,2,,1,COLIMA,67,2,98,121,8,44,11,65,89,149,3,4,8,5,0,1,2,34,,,,642,0,25,667,984
5,6,COLIMA,1,,1,COLIMA,68,2,198,186,12,19,22,113,83,258,7,0,9,4,5,0,1,,,,,917,0,33,950,1440
5,6,COLIMA,1,,1,COLIMA,69,5,431,266,22,78,82,286,96,707,29,6,8,19,8,0,3,,,,,2041,2,75,2118,3662
5,6,COLIMA,1,,1,COLIMA,70,2,167,174,8,24,7,145,41,169,9,5,6,4,1,0,1,,,,,761,4,34,799,1132
5,6,COLIMA,1,,1,COLIMA,71,2,81,105,8,20,17,53,26,154,4,4,7,4,2,0,0,,,,,485,0,27,512,923
5,6,COLIMA,1,,1,COLIMA,72,2,90,83,9,14,13,47,35,133,1,5,0,3,0,1,0,,,,,434,0,18,452,782
5,6,COLIMA,2,,1,COLIMA,73,6,472,362,34,133,56,178,69,544,21,13,16,14,2,1,3,213,,,,2131,3,64,2198,3592
5,6,COLIMA,2,,1,COLIMA,74,3,210,132,13,67,20,87,32,287,7,3,14,1,4,0,2,153,,,,1032,0,56,1088,1822
5,6,COLIMA,3,,1,COLIMA,75,2,199,143,22,22,25,55,49,266,12,4,4,5,4,0,0,,,,,810,2,31,843,1458
5,6,COLIMA,3,,1,COLIMA,76,3,256,208,23,26,26,66,38,317,12,7,3,5,4,2,0,,,,,993,0,41,1034,1773
5,6,COLIMA,6,,1,COLIMA,77,2,251,195,12,19,20,86,56,276,18,0,3,4,2,1,1,,42,,,986,0,34,1020,1493
5,6,COLIMA,6,,1,COLIMA,78,1,27,41,2,1,3,13,12,30,2,0,1,1,0,0,1,,9,,,143,0,7,150,183
5,6,COLIMA,6,,1,COLIMA,79,3,205,297,12,22,25,119,59,328,26,0,3,5,1,0,2,,60,,,1164,0,42,1206,1712
5,6,COLIMA,6,,1,COLIMA,80,1,81,100,2,9,20,35,12,143,2,0,1,5,4,0,0,,22,,,436,0,16,452,723
5,6,COLIMA,3,,1,COLIMA,81,3,229,336,21,25,59,112,54,418,16,4,11,4,5,0,0,,,,,1294,2,51,1347,2199
5,6,COLIMA,3,,1,COLIMA,82,4,271,320,28,32,81,135,51,358,13,4,14,15,9,1,1,,,,,1333,1,65,1399,2602
5,6,COLIMA,3,,1,COLIMA,83,3,55,102,7,13,10,21,28,110,5,0,2,2,2,0,0,,,,,357,0,16,373,616
5,6,COLIMA,3,,1,COLIMA,84,3,111,449,10,17,31,57,66,143,6,1,9,2,4,1,1,,,,,908,0,49,957,1390
5,6,COLIMA,3,,1,COLIMA,85,5,99,261,8,9,43,35,28,157,4,0,7,5,3,1,2,,,,,662,0,51,713,1076
5,6,COLIMA,3,,1,COLIMA,86,1,59,102,2,7,16,15,36,67,12,3,2,4,0,0,4,,,,,329,0,20,349,565
5,6,COLIMA,3,,1,COLIMA,87,3,127,213,7,15,14,26,40,123,3,2,5,4,3,1,1,,,,,584,0,27,611,935
5,6,COLIMA,3,,1,COLIMA,88,2,85,150,6,9,19,13,64,95,4,1,6,3,1,0,1,,,,,457,0,23,480,950
5,6,COLIMA,3,,1,COLIMA,89,2,52,104,5,13,14,8,45,99,1,2,2,0,0,0,1,,,,,346,0,18,364,774
5,6,COLIMA,3,,1,COLIMA,90,2,48,149,5,5,17,8,16,52,4,1,6,4,0,1,0,,,,,316,0,11,327,534
5,6,COLIMA,3,,1,COLIMA,91,2,80,143,7,4,7,3,3,93,8,4,6,3,0,0,2,,,,,363,0,6,369,542
5,6,COLIMA,4,,2,COMALA,92,3,525,408,21,16,41,128,65,271,15,9,7,4,3,0,2,,,,,1515,1,44,1560,2239
5,6,COLIMA,4,,2,COMALA,93,3,294,375,11,12,24,74,21,159,8,9,6,10,2,0,0,,,,,1005,0,35,1040,1435
5,6,COLIMA,4,,2,COMALA,94,2,334,329,13,14,18,70,32,164,12,3,3,2,0,0,0,,,,,994,2,36,1032,1456
5,6,COLIMA,4,,2,COMALA,95,3,401,357,5,9,33,78,38,202,9,6,8,6,2,0,0,,,,,1154,2,47,1203,1772
5,6,COLIMA,4,,2,COMALA,96,3,310,311,6,10,16,75,25,167,6,1,6,5,1,0,2,,,,,941,0,37,978,1319
5,6,COLIMA,4,,2,COMALA,97,1,66,48,3,0,2,8,7,31,5,3,1,4,1,0,0,,,,,179,0,11,190,256
5,6,COLIMA,4,,2,COMALA,98,1,13,31,1,0,3,3,4,10,0,1,3,0,0,0,0,,,,,69,3,6,78,104
5,6,COLIMA,4,,2,COMALA,99,2,67,161,3,6,10,38,7,105,3,4,5,11,1,0,3,,,,,424,0,21,445,599
5,6,COLIMA,4,,2,COMALA,100,3,406,292,13,3,56,62,24,186,12,4,6,6,4,3,2,,,,,1079,0,40,1119,1577
5,6,COLIMA,4,,2,COMALA,101,4,390,503,9,16,23,25,17,137,4,9,11,12,2,1,1,,,,,1160,0,65,1225,1612
5,6,COLIMA,4,,2,COMALA,102,1,146,104,7,2,18,18,25,65,5,2,0,3,2,0,0,,,,,397,0,14,411,622
5,6,COLIMA,4,,2,COMALA,103,3,292,371,19,9,61,134,31,239,22,5,8,18,4,1,4,,,,,1218,1,37,1256,1772
5,6,COLIMA,4,,2,COMALA,104,3,308,253,17,14,48,208,71,250,25,8,7,8,3,1,2,,,,,1223,6,50,1279,1834
5,6,COLIMA,5,,3,COQUIMATLAN,105,4,354,527,13,14,51,102,90,294,19,11,11,16,6,0,2,,,,,1510,0,61,1571,2408
5,6,COLIMA,5,,3,COQUIMATLAN,106,3,341,342,5,28,56,98,57,203,9,11,8,9,5,0,2,,,,,1174,0,39,1213,1766
5,6,COLIMA,5,,3,COQUIMATLAN,107,3,246,351,8,5,59,72,56,167,9,3,9,16,2,0,1,,,,,1004,2,34,1040,1599
5,6,COLIMA,5,,3,COQUIMATLAN,108,2,235,264,8,12,20,75,65,117,6,7,12,11,3,0,2,,,,,837,1,31,869,1319
5,6,COLIMA,5,,3,COQUIMATLAN,109,2,110,238,2,3,13,69,47,97,6,5,11,8,3,0,3,,,,,615,1,28,644,879
5,6,COLIMA,5,,3,COQUIMATLAN,110,2,116,192,4,7,36,120,44,114,6,5,6,7,1,0,0,,,,,658,0,26,684,1031
5,6,COLIMA,5,,3,COQUIMATLAN,111,4,288,547,10,15,68,101,121,261,13,10,8,19,2,0,1,,,,,1464,0,66,1530,2294
5,6,COLIMA,5,,3,COQUIMATLAN,112,2,21,96,1,1,11,22,47,26,3,0,2,3,2,0,0,,,,,235,0,10,245,341
5,6,COLIMA,5,,3,COQUIMATLAN,113,1,35,134,5,5,13,17,13,39,2,0,1,1,1,0,0,,,,,266,0,8,274,385
5,6,COLIMA,5,,3,COQUIMATLAN,114,1,31,57,2,2,11,20,5,18,2,1,2,3,0,0,0,,,,,154,0,2,156,220
5,6,COLIMA,5,,3,COQUIMATLAN,115,1,16,86,5,0,11,29,8,29,1,0,2,1,1,0,0,,,,,189,0,13,202,322
5,6,COLIMA,5,,3,COQUIMATLAN,116,3,166,231,7,3,31,67,115,114,4,5,6,12,3,1,3,,,,,768,0,43,811,1399
5,6,COLIMA,5,,3,COQUIMATLAN,117,2,74,203,7,3,26,33,63,58,5,4,5,3,2,1,1,,,,,488,0,36,524,830
5,6,COLIMA,5,,3,COQUIMATLAN,118,2,64,147,3,6,18,50,16,73,5,0,6,1,2,0,0,,,,,391,0,17,408,663
5,6,COLIMA,5,,3,COQUIMATLAN,119,2,34,130,4,3,13,51,14,57,1,1,3,2,0,0,0,,,,,313,0,21,334,540
5,6,COLIMA,6,,4,CUAUHTEMOC,120,3,327,315,17,21,38,18,80,183,12,8,9,5,4,0,2,,199,,,1238,0,57,1295,2047
5,6,COLIMA,6,,4,CUAUHTEMOC,121,2,223,175,6,14,14,15,43,119,1,4,5,2,1,0,0,,130,,,752,1,37,790,1172
5,6,COLIMA,6,,4,CUAUHTEMOC,122,2,130,209,7,6,19,13,57,107,4,2,3,3,0,0,0,,121,,,681,0,23,704,1080
5,6,COLIMA,6,,4,CUAUHTEMOC,123,2,221,226,8,8,21,13,57,143,5,3,3,2,1,0,1,,154,,,866,0,48,914,1429
5,6,COLIMA,6,,4,CUAUHTEMOC,124,3,255,351,17,11,26,24,68,164,7,5,10,7,1,0,1,,154,,,1101,0,21,1122,1681
5,6,COLIMA,6,,4,CUAUHTEMOC,125,3,239,249,11,10,30,22,80,165,2,4,3,7,2,0,1,,68,,,893,0,28,921,1389
5,6,COLIMA,6,,4,CUAUHTEMOC,126,3,261,214,20,8,47,23,81,232,12,7,1,6,5,0,0,,75,,,992,0,42,1034,1621
5,6,COLIMA,6,,4,CUAUHTEMOC,127,2,200,184,8,12,21,14,91,153,4,1,0,3,1,0,0,,50,,,742,0,21,763,1151
5,6,COLIMA,6,,4,CUAUHTEMOC,128,2,164,148,11,4,24,14,46,101,11,3,3,3,1,0,1,,55,,,589,0,19,608,852
5,6,COLIMA,6,,4,CUAUHTEMOC,129,2,182,151,13,4,20,19,48,133,4,4,4,2,2,0,3,,48,,,637,0,25,662,965
5,6,COLIMA,6,,4,CUAUHTEMOC,130,2,166,198,10,10,26,15,46,149,4,5,4,1,3,0,2,,43,,,682,0,21,703,1002
5,6,COLIMA,6,,4,CUAUHTEMOC,131,3,260,227,10,13,20,22,116,106,7,4,4,2,3,0,0,,35,,,829,0,39,868,1363
5,6,COLIMA,6,,4,CUAUHTEMOC,132,3,280,363,16,9,19,19,64,167,7,4,5,3,0,1,0,,86,,,1043,0,37,1080,1550
5,6,COLIMA,6,,4,CUAUHTEMOC,133,2,151,186,8,5,31,7,45,61,3,2,0,7,2,1,2,,19,,,530,0,19,549,866
5,6,COLIMA,6,,4,CUAUHTEMOC,134,3,229,250,15,22,24,23,164,217,10,5,0,10,7,3,0,,75,,,1054,0,35,1089,1698
5,6,COLIMA,6,,4,CUAUHTEMOC,135,3,215,256,17,8,32,30,77,245,13,3,4,7,3,0,3,,54,,,967,0,50,1017,1518
5,6,COLIMA,6,,4,CUAUHTEMOC,136,1,90,72,8,7,9,4,33,62,3,1,2,0,1,0,2,,18,,,312,0,9,321,492
5,6,COLIMA,6,,4,CUAUHTEMOC,137,2,131,138,6,4,20,6,43,95,3,3,5,3,1,0,1,,187,,,646,0,44,690,1033
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,138,9,376,687,65,212,176,391,280,1314,43,3,34,29,20,0,10,,,,,3640,3,148,3791,6494
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,139,13,663,908,70,298,238,586,563,2164,65,13,36,36,13,0,7,,,,,5660,7,170,5837,8887
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,140,6,307,506,39,118,114,317,236,858,23,6,20,13,8,2,6,,,,,2573,3,111,2687,4271
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,141,2,115,152,3,36,26,93,84,293,8,3,6,8,0,0,0,,,,,827,0,16,843,1171
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,142,2,58,130,6,30,21,68,46,174,3,1,5,5,3,0,1,,,,,551,0,30,581,870
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,143,2,73,167,11,57,37,97,55,283,16,1,10,7,1,0,1,,,,,816,0,30,846,1276
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,144,3,140,228,10,77,42,145,95,402,16,3,11,14,4,0,3,,,,,1190,2,46,1238,1844
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,145,14,1063,1043,71,135,241,698,487,2235,97,17,21,59,14,1,1,,,,,6183,11,212,6406,9433
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,146,8,473,522,52,49,149,356,127,1228,56,9,22,26,17,1,5,,,,,3092,4,97,3193,5614
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,147,3,147,261,21,60,47,154,96,437,23,1,11,7,9,0,1,,,,,1275,4,70,1349,2099
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,148,4,119,358,10,60,32,143,86,263,11,0,10,1,0,0,1,,,,,1094,2,51,1147,1602
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,149,3,144,213,16,23,43,138,96,300,12,2,4,5,6,0,0,,,,,1002,0,53,1055,1554
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,150,2,110,148,15,10,33,140,27,200,10,2,4,11,3,0,1,,,,,714,0,49,763,1144
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,151,2,57,154,8,60,18,94,31,139,7,3,18,1,1,0,0,,,,,591,2,26,619,931
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,152,7,439,485,46,60,123,269,98,1116,46,7,26,29,6,0,5,,,,,2755,1,100,2856,4790
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,153,2,78,203,12,12,23,60,21,217,7,0,13,6,0,0,5,,,37,,694,0,23,717,1166
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,154,2,84,120,15,17,28,68,20,141,3,6,3,4,5,0,3,,,35,,552,1,42,595,988
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,155,2,91,225,14,72,21,91,104,210,7,3,10,7,1,0,0,,,,,856,0,39,895,1354
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,156,2,61,120,14,32,16,44,37,138,4,0,8,2,1,0,0,,,,,477,2,24,503,829
5,6,COLIMA,7,,5,VILLA DE ALVAREZ,157,2,83,109,11,34,23,66,50,208,12,0,5,3,0,0,1,,,,,605,3,29,637,1003
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,158,1,70,71,6,12,18,70,30,111,7,3,3,1,0,0,0,,,,,402,2,24,428,673
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,159,3,180,292,18,23,46,120,101,407,18,3,10,12,6,0,4,,,,,1240,2,59,1301,2013
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,160,4,199,307,21,33,67,181,70,599,23,2,10,17,6,0,8,,,117,,1660,1,51,1712,2777
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,161,6,260,432,21,54,84,256,179,872,32,4,14,10,8,0,3,,,253,,2482,2,67,2551,3954
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,162,3,136,160,17,27,39,133,57,423,13,3,4,11,3,0,4,,,92,,1122,2,31,1155,1869
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,164,3,115,247,12,24,39,87,51,361,17,2,12,7,2,0,4,,,94,,1074,1,34,1109,1628
5,6,COLIMA,8,,5,VILLA DE ALVAREZ,165,2,123,166,8,23,28,79,39,267,6,1,7,7,3,0,3,,,76,,836,0,24,860,1271
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,166,2,40,96,4,1,7,18,4,66,3,0,7,0,2,0,0,,,,,248,0,11,259,351
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,167,3,42,218,4,7,9,108,8,44,5,0,11,4,0,0,0,,,,,460,0,26,486,680
5,6,COLIMA,5,,5,VILLA DE ALVAREZ,168,1,37,119,8,4,12,58,4,75,3,0,5,5,0,0,1,,,,,331,0,11,342,529
5,6,COLIMA,4,,5,VILLA DE ALVAREZ,169,1,53,85,3,3,9,24,14,58,1,1,2,2,1,0,0,,,,,256,0,12,268,359
5,6,COLIMA,9,,6,ARMERIA,170,3,94,213,21,157,33,15,200,312,11,5,24,26,5,3,3,,,,,1122,0,44,1166,1842
5,6,COLIMA,9,,6,ARMERIA,171,3,87,160,33,122,37,18,212,299,5,6,25,25,5,1,0,,,,,1035,0,41,1076,1621
5,6,COLIMA,9,,6,ARMERIA,172,2,30,93,9,62,13,11,87,175,3,1,7,13,4,0,2,,,,,510,0,20,530,842
5,6,COLIMA,9,,6,ARMERIA,173,2,62,140,20,80,19,6,157,222,4,4,10,12,2,2,3,,,,,743,0,25,768,1139
5,6,COLIMA,9,,6,ARMERIA,174,2,47,105,18,66,33,9,108,185,2,5,7,13,6,0,2,,,,,606,1,37,644,964
5,6,COLIMA,9,,6,ARMERIA,175,1,26,79,5,40,10,8,71,103,1,3,10,5,5,0,0,,,,,366,0,15,381,561
5,6,COLIMA,9,,6,ARMERIA,176,2,46,139,13,49,15,9,109,181,2,6,10,8,4,2,1,,,,,594,0,26,620,1002
5,6,COLIMA,9,,6,ARMERIA,177,2,77,173,20,59,38,26,77,261,8,4,21,12,4,1,0,,,,,781,0,35,816,1327
5,6,COLIMA,9,,6,ARMERIA,178,2,141,121,22,102,43,11,79,222,3,11,15,26,5,0,2,,,,,803,0,45,848,1254
5,6,COLIMA,9,,6,ARMERIA,179,2,33,92,15,62,16,11,108,198,4,2,4,7,7,1,5,,,,,565,0,18,583,896
5,6,COLIMA,9,,6,ARMERIA,180,2,40,85,6,46,9,3,105,134,3,7,14,15,4,0,0,,,,,471,0,22,493,762
5,6,COLIMA,9,,6,ARMERIA,181,2,57,135,15,17,23,13,58,245,4,0,2,10,2,1,0,,,,,582,0,26,608,1118
5,6,COLIMA,9,,6,ARMERIA,182,2,60,144,14,26,14,17,52,228,5,2,9,14,3,0,2,,,,,590,0,34,624,1195
5,6,COLIMA,9,,6,ARMERIA,183,2,33,116,15,51,23,13,183,134,3,1,6,9,2,1,5,,,,,595,0,26,621,994
5,6,COLIMA,9,,6,ARMERIA,184,1,48,50,3,53,14,14,8,68,6,4,6,8,2,2,0,,,,,286,0,21,307,462
5,6,COLIMA,9,,6,ARMERIA,185,2,49,69,13,58,29,4,26,155,2,4,12,11,3,1,2,,,,,438,0,36,474,928
