DISTRITO LOCAL,NUM MPO,MUNICIPIO,Coalicion1,Coalicion2,SECCION,TIPO,LISTANOMINAL,PAN,PRI,PRD,PT,PVEM,PCP,PAS,PSN,PC,PRI-PVEM,CC1,CC2,SumaCC1,SumaCC2,NoRegistrados,Nulos,Total
1,7,CEDRAL,PCP-PAS-Convergencia,,134,B,305,16,98,0,2,,5,51,,3,,15,,74,,0,5,195
1,7,CEDRAL,PCP-PAS-Convergencia,,135,B,520,5,123,9,0,,23,97,,1,,12,,133,,0,6,276
,,,,,,,,,,,,,,,,,,,,,,,,
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,490,B,590,102,120,3,4,6,,,,,,18,4,144,11,,2,259
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,490,C1,591,139,114,7,2,4,,,,,,40,,158,9,,2,308
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,491,B,435,83,78,8,1,15,,,,1,,33,2,126,12,,2,223
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,491,C1,436,78,97,1,,3,,,,,,27,1,127,2,,5,212
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,492,B,97,7,16,16,1,,,,,,,3,3,19,20,,,46
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,493,B,411,67,79,3,2,2,,,,1,,5,1,86,7,,4,164
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,493,C1,411,71,93,2,2,7,,,,1,,12,1,112,6,,4,193
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,494,B,460,62,123,7,4,6,,,,,,18,,147,11,,3,223
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,494,C1,461,75,92,11,5,6,,,,,,21,4,119,20,,3,217
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,495,B,675,140,165,11,2,5,,,,1,,30,2,200,16,,3,359
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,496,B,485,59,129,7,2,5,,,,,,22,2,156,11,,4,230
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,496,C1,486,70,96,6,2,8,,,,,,9,,113,8,,2,193
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,497,B,396,56,66,2,2,3,,,,,,12,1,81,5,,4,146
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,497,C1,396,68,82,1,5,1,,,,,,16,,99,6,,,173
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,498,B,579,70,100,5,5,8,,,,,,18,,126,10,,2,208
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,498,C1,579,73,80,6,1,4,,,,,,30,,114,7,,5,199
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,499,B,554,78,76,7,3,4,,,,,,25,2,105,12,,3,198
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,500,B,439,53,83,5,,,,,,,,25,,108,5,,3,169
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,501,B,589,77,106,5,5,5,,,,2,,26,5,137,17,,5,236
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,501,C1,590,92,100,6,8,5,,,,2,,13,2,118,18,,1,229
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,501,C2,590,68,104,3,,10,,,,1,,25,,139,4,,1,212
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,502,B,518,64,68,7,,5,,,,,,19,1,92,8,,1,165
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,502,C1,519,84,66,10,3,5,,,,,,27,1,98,14,,3,199
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,502,C2,519,83,91,1,1,3,,,,,,9,,103,2,,4,192
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,503,B,533,66,110,3,2,5,,,,,,15,2,130,7,,3,206
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,503,C1,533,60,102,8,1,3,,,,1,,16,,121,10,,3,194
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,504,B,539,84,81,13,,6,,,,,,20,4,107,17,,4,212
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,504,C1,539,96,81,9,1,3,,,,,,17,1,101,11,,1,209
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,504,C2,540,92,75,11,5,3,,,,,,20,4,98,20,,4,214
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,505,B,640,97,171,20,,,,,,,,,,171,20,,7,295
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,505,C1,641,110,138,9,,5,,,,,,41,5,184,14,,3,311
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,506,B,551,73,113,11,3,5,,,,1,,26,2,144,17,,1,235
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,506,C1,552,79,116,15,,5,,,,,,20,3,141,18,,2,240
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,507,B,652,86,151,20,1,5,,,,,,26,5,182,26,,5,299
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,507,C1,653,89,110,14,3,7,,,,2,,24,3,141,22,,2,254
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,508,B,656,80,105,11,2,6,,,,,,22,3,133,16,,5,234
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,508,C1,656,96,98,17,1,1,,,,1,,,,99,19,,7,221
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,509,B,571,61,87,5,2,2,,,,,,14,2,103,9,,7,180
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,509,C1,571,67,95,10,2,6,,,,1,,23,,124,13,,5,209
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,509,C2,572,62,86,11,2,4,,,,1,,16,1,106,15,,1,184
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,510,B,486,52,82,4,3,2,,,,,,12,,96,7,,3,158
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,510,C1,486,57,86,7,,21,,,,,,,,107,7,,4,175
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,511,B,682,87,155,18,1,6,,,,,,30,8,191,27,,4,309
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,511,C1,682,81,152,20,6,12,,,,2,,23,4,187,32,,6,306
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,512,B,561,91,113,5,4,14,,,,,,26,3,153,12,,2,258
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,512,C1,562,111,133,10,2,10,,,,,,21,4,164,16,,,291
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,513,B,522,74,76,10,,3,,,,1,,13,1,92,12,,2,180
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,513,C1,523,91,102,12,1,6,,,,1,,25,2,133,16,,3,243
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,513,C1,523,97,71,6,1,8,,,,,,18,2,97,9,,3,206
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,514,B,437,77,87,7,,,,,,,,,,87,7,,3,174
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,514,C1,437,69,76,4,1,4,,,,2,,19,,99,7,,4,179
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,515,B,530,84,110,10,1,2,,,,,,31,2,143,13,,4,244
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,515,C1,531,78,105,11,3,3,,,,3,,19,2,127,19,,3,227
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,516,B,455,68,91,7,3,3,,,,,,14,2,108,12,,6,194
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,516,C1,455,72,94,3,5,2,,,,,,24,4,120,12,,3,207
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,517,B,625,89,132,9,1,4,,,,,,40,2,176,12,,3,280
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,517,C1,626,85,148,10,3,2,,,,1,,22,5,172,19,,4,280
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,518,B,635,89,126,4,3,,,,,1,,16,4,142,12,,6,249
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,518,C1,635,85,91,7,3,,,,,1,,23,1,114,12,,4,215
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,518,C2,635,103,103,6,5,3,,,,1,,26,1,132,13,,,248
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,519,B,453,90,83,7,,2,,,,,,23,2,108,9,,3,210
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,519,C1,453,66,89,4,,3,,,,,,21,1,113,5,,3,187
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,520,B,544,86,111,10,3,6,,,,,,24,2,141,15,,5,247
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,520,C1,544,84,152,11,1,6,,,,1,,,,158,13,1,5,261
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,521,B,512,60,168,19,,2,,,,1,,,,170,20,,4,254
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,521,C1,513,80,132,10,3,6,,,,3,,,,138,16,,2,236
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,522,B,478,50,92,3,2,7,,,,,,41,2,140,7,,4,201
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,522,C1,478,56,109,7,5,6,,,,,,33,,148,12,,10,226
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,523,B,539,92,131,3,1,4,,,,4,,,,135,8,1,2,238
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,523,C1,540,74,111,2,1,4,,,,,,25,5,140,8,,6,228
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,524,B,610,75,116,11,3,10,,,,,,30,2,156,16,,11,258
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,524,C1,610,75,120,14,3,6,,,,,,24,3,150,20,,2,247
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,525,B,746,117,132,,11,7,,,,,,38,,177,11,,4,309
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,525,C1,746,131,119,7,5,,,,,,,37,1,156,13,,4,304
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,526,B,516,48,82,1,1,1,,,,,,13,1,96,3,,3,150
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,526,C1,517,48,70,,3,3,,,,,,20,,93,3,,5,149
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,526,C2,517,79,87,1,2,3,,,,,,21,,111,3,,2,195
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,527,B,517,34,97,3,2,4,,,,,,32,1,133,6,,3,176
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,527,C1,517,41,107,5,,3,,,,,,28,1,138,6,1,1,187
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,527,C2,518,33,97,4,,4,,,,1,,17,,118,5,,3,159
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,528,B,412,32,68,2,4,,,,,,,,1,68,7,,4,111
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,529,B,453,37,87,4,2,6,,,,,,10,,103,6,,6,152
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,530,B,257,43,95,7,,,,,,,,,,95,7,,3,148
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,531,B,476,57,95,4,1,1,,,,1,,19,1,115,7,,,179
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,531,C1,476,72,78,7,,2,,,,,,8,1,88,8,,3,171
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,532,B,718,57,197,3,1,4,,,,,,33,1,234,5,,,296
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,533,B,437,83,74,7,3,4,,,,1,,20,1,98,12,,,193
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,534,B,180,15,71,11,,,,,,,,,,71,11,,2,99
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,535,B,141,16,44,,1,1,,,,,,5,,50,1,,2,69
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,536,B,464,52,77,4,1,3,,,,1,,16,,96,6,,2,156
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,536,C1,465,41,79,6,3,,,,,,,19,2,98,11,,2,152
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,537,B,101,7,37,2,1,,,,,,,3,,40,3,,,50
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,538,B,107,25,35,4,2,,,,,,,,,35,6,,,66
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,539,B,359,43,120,1,1,3,,,,,,15,,138,2,,2,185
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,540,B,454,65,115,,,5,,,,,,17,2,137,2,,,204
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,541,B,450,48,100,8,4,1,,,,,,21,,122,12,,5,187
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,542,B,184,8,59,,2,,,,,,,9,,68,2,,3,81
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,543,B,172,20,53,,,1,,,,1,,,,54,1,,3,78
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,544,B,403,19,96,3,4,5,,,,,,31,1,132,8,,8,167
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,545,B,669,24,145,1,1,,,,,,,,,145,2,,2,173
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,545,EXT,209,29,37,1,2,,,,,,,,,37,3,,2,71
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,546,B,299,12,89,1,,2,,,,,,11,,102,1,,1,116
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,547,B,393,47,113,3,2,4,,,,1,,12,,129,6,,4,186
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,548,B,325,51,43,1,4,4,,,,,,2,,49,5,,1,106
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,549,B,491,73,81,2,1,4,,,,,,7,,92,3,,3,171
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,550,B,366,71,69,3,,7,,,,,,7,,83,3,,4,161
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,551,B,221,39,36,,1,3,,,,,,7,1,46,2,,1,88
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,552,B,570,56,169,1,1,10,,,,,,14,,193,2,,3,254
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,553,B,605,118,110,7,4,4,,,,1,,22,,136,12,,3,269
1,20,MATEHUALA,PRI-PVEM,PRD-PT-Convergencia,554,B,379,47,66,2,8,2,,,,,,7,,75,10,,3,135
,,,,,,,,,,,,,,,,,,,,,,,,
1,44,VANEGAS,,,1520,B,668,215,185,,,,,,,,,,,,,0,7,407
1,44,VANEGAS,,,1521,B,319,131,79,,,,,,,,,,,,,0,1,211
1,44,VANEGAS,,,1522,B,654,204,185,,,,,,,,,,,,,0,3,392
1,44,VANEGAS,,,1523,B,103,51,19,,,,,,,,,,,,,0,0,70
1,44,VANEGAS,,,1524,B,166,54,62,,,,,,,,,,,,,0,0,116
1,44,VANEGAS,,,1525,B,428,36,130,,,,,,,,,,,,,0,3,169
1,44,VANEGAS,,,1526,B,262,90,75,,,,,,,,,,,,,0,2,167
1,44,VANEGAS,,,1527,B,448,128,175,,,,,,,,,,,,,0,2,305
1,44,VANEGAS,,,1528,B,239,61,77,,,,,,,,,,,,,0,0,138
1,44,VANEGAS,,,1529,B,70,10,30,,,,,,,,,,,,,0,0,40
1,44,VANEGAS,,,1530,B,152,61,44,,,,,,,,,,,,,0,2,107
1,44,VANEGAS,,,1531,B,328,128,86,,,,,,,,,,,,,0,3,217
1,44,VANEGAS,,,1532,B,238,64,82,,,,,,,,,,,,,0,1,147
1,44,VANEGAS,,,1533,B,177,65,34,,,,,,,,,,,,,0,1,100
1,44,VANEGAS,,,1534,B,316,82,110,,,,,,,,,,,,,0,4,196
1,44,VANEGAS,,,1535,B,66,23,28,,,,,,,,,,,,,0,0,51
,,,,,,,,,,,,,,,,,,,,,,,,
1,48,VILLA DE GUADALUPE,,,1587,B,454,59,87,101,,,,,,,,,,,,0,1,248
1,48,VILLA DE GUADALUPE,,,1587,EXT,365,53,88,62,,,,,,,,,,,,0,1,204
1,48,VILLA DE GUADALUPE,,,1588,B,540,50,78,167,,,,,,,,,,,,0,2,297
1,48,VILLA DE GUADALUPE,,,1589,B,225,26,48,14,,,,,,,,,,,,0,5,93
1,48,VILLA DE GUADALUPE,,,1590,B,592,70,197,64,,,,,,,,,,,,0,9,340
1,48,VILLA DE GUADALUPE,,,1591,B,264,19,56,37,,,,,,,,,,,,0,1,113
1,48,VILLA DE GUADALUPE,,,1592,B,80,2,27,20,,,,,,,,,,,,0,0,49
1,48,VILLA DE GUADALUPE,,,1593,B,372,78,66,36,,,,,,,,,,,,0,4,184
1,48,VILLA DE GUADALUPE,,,1594,B,116,11,35,8,,,,,,,,,,,,0,0,54
1,48,VILLA DE GUADALUPE,,,1595,B,103,9,24,19,,,,,,,,,,,,0,0,52
1,48,VILLA DE GUADALUPE,,,1596,B,403,30,58,88,,,,,,,,,,,,0,3,179
1,48,VILLA DE GUADALUPE,,,1597,B,376,77,40,117,,,,,,,,,,,,0,4,238
1,48,VILLA DE GUADALUPE,,,1598,B,724,35,155,228,,,,,,,,,,,,0,2,420
1,48,VILLA DE GUADALUPE,,,1598,EXT,227,18,42,73,,,,,,,,,,,,0,1,134
1,48,VILLA DE GUADALUPE,,,1599,B,452,78,91,86,,,,,,,,,,,,0,6,261
1,48,VILLA DE GUADALUPE,,,1600,B,194,46,41,22,,,,,,,,,,,,0,0,109
1,48,VILLA DE GUADALUPE,,,1601,B,457,85,108,49,,,,,,,,,,,,0,3,245
1,48,VILLA DE GUADALUPE,,,1601,EXT,316,73,72,48,,,,,,,,,,,,0,5,198
1,48,VILLA DE GUADALUPE,,,1602,B,268,34,59,57,,,,,,,,,,,,0,1,151
1,48,VILLA DE GUADALUPE,,,1603,B,278,79,82,4,,,,,,,,,,,,0,2,167
,,,,,,,,,,,,,,,,,,,,,,,,
1,49,VILLA DE LA PAZ,PT-APT,,1604,B,218,74,,,2,,,,,,62,5,,69,,,0,143
1,49,VILLA DE LA PAZ,PT-APT,,1605,B,420,149,,,3,,,,,,99,12,,114,,,4,267
1,49,VILLA DE LA PAZ,PT-APT,,1605,C1,420,114,,,3,,,,,,115,18,,136,,,,250
1,49,VILLA DE LA PAZ,PT-APT,,1606,B,590,130,,,9,,,,,,174,29,,212,,,,342
1,49,VILLA DE LA PAZ,PT-APT,,1607,B,463,146,,,3,,,,,,103,8,,114,,,4,264
1,49,VILLA DE LA PAZ,PT-APT,,1608,B,413,156,,,7,,,,,,109,0,,116,,,2,274
1,49,VILLA DE LA PAZ,PT-APT,,1609,B,284,69,,,4,,,,,,104,0,,108,,,,177
1,49,VILLA DE LA PAZ,PT-APT,,1610,B,421,135,,,6,,,,,,88,11,,105,,,4,244
1,49,VILLA DE LA PAZ,PT-APT,,1611,B,323,98,,,0,,,,,,72,10,,82,,,2,182
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,4,ARMADILLO DE LOS INFANTE,,,60,B,308,100,81,13,,,,,,,,,,,,0,2,196
2,4,ARMADILLO DE LOS INFANTE,,,61,B,100,28,32,0,,,,,,,,,,,,0,0,60
2,4,ARMADILLO DE LOS INFANTE,,,62,B,105,49,11,1,,,,,,,,,,,,0,2,63
2,4,ARMADILLO DE LOS INFANTE,,,63,B,78,19,28,0,,,,,,,,,,,,0,0,47
2,4,ARMADILLO DE LOS INFANTE,,,64,B,420,162,152,1,,,,,,,,,,,,0,2,317
2,4,ARMADILLO DE LOS INFANTE,,,65,B,211,76,79,1,,,,,,,,,,,,0,3,159
2,4,ARMADILLO DE LOS INFANTE,,,66,B,103,34,20,2,,,,,,,,,,,,0,1,57
2,4,ARMADILLO DE LOS INFANTE,,,67,B,62,11,26,0,,,,,,,,,,,,0,2,39
2,4,ARMADILLO DE LOS INFANTE,,,68,B,501,170,56,62,,,,,,,,,,,,0,5,293
2,4,ARMADILLO DE LOS INFANTE,,,69,B,175,45,64,2,,,,,,,,,,,,0,2,113
2,4,ARMADILLO DE LOS INFANTE,,,70,B,402,123,121,15,,,,,,,,,,,,0,3,262
2,4,ARMADILLO DE LOS INFANTE,,,71,B,164,14,49,20,,,,,,,,,,,,0,2,85
2,4,ARMADILLO DE LOS INFANTE,,,72,B,147,62,7,0,,,,,,,,,,,,0,0,69
2,4,ARMADILLO DE LOS INFANTE,,,73,B,87,27,34,0,,,,,,,,,,,,0,0,61
2,4,ARMADILLO DE LOS INFANTE,,,74,B,55,20,5,0,,,,,,,,,,,,0,1,26
2,4,ARMADILLO DE LOS INFANTE,,,75,B,84,30,21,0,,,,,,,,,,,,0,0,51
2,4,ARMADILLO DE LOS INFANTE,,,76,B,81,27,9,2,,,,,,,,,,,,0,1,39
2,4,ARMADILLO DE LOS INFANTE,,,77,B,233,17,75,21,,,,,,,,,,,,0,1,114
,,,,,,,,,,,,,,,,,,,,,,,,
2,8,CERRITOS,,,136,B,673,241,175,8,,,,,,,,,,,,,4,428
2,8,CERRITOS,,,137,B,461,163,112,12,,,,,,,,,,,,,1,288
2,8,CERRITOS,,,137,C1,462,170,131,8,,,,,,,,,,,,,0,309
2,8,CERRITOS,,,138,B,606,194,163,9,,,,,,,,,,,,,7,373
2,8,CERRITOS,,,139,B,576,209,138,3,,,,,,,,,,,,,4,354
2,8,CERRITOS,,,139,C1,577,180,154,6,,,,,,,,,,,,,0,340
2,8,CERRITOS,,,140,B,445,120,119,5,,,,,,,,,,,,,1,245
2,8,CERRITOS,,,140,C1,446,101,122,2,,,,,,,,,,,,,1,226
