ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,11,SAN NICOLAS,111,247,31285,10915,841,2765,8753,7902,1528,10716,709,548,398,229,16,60,,,,,,,,,,,,,,,,,,,,,3170,2368,,,,,,,,,,,,,,,,,,,82203,122,2260,84585,144018,
19,NUEVO LEON,12,GUADALUPE,91,233,23226,15158,1164,3311,2106,8916,2848,12789,920,451,375,133,35,72,,,,,,,,,,,,,,,,,,,,,,,6322,1554,,,,,,,,,,,,,,,,,79380,66,2562,82008,137454,
19,NUEVO LEON,13,GUADALUPE,57,211,15730,15047,1003,1967,2191,6859,2080,13521,1051,315,293,127,17,54,,,,,,,,,,,,,,,,,,,,,,,,,6452,,,,,,,,,,,,,,,,66707,72,2178,68957,135556,
19,NUEVO LEON,14,GUADALUPE,53,200,16548,14032,749,2800,2175,6741,1782,12623,1185,246,222,101,20,81,,,,,,,,,,,,,,,,,,,,,,,,,,5327,1770,,,,,,,,,,,,,,66402,28,1996,68426,126282,
19,NUEVO LEON,15,GUADALUPE,97,240,23979,16617,844,5951,2228,7750,2744,14129,1344,588,250,174,15,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,7003,,,,,,,,,,,,,83741,125,2683,86549,142121,
19,NUEVO LEON,16,APODACA,75,217,18452,15115,507,2952,2323,6971,2154,16223,900,384,218,114,14,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5756,,,,,,,,,,,,72131,44,1695,73870,130496,
19,NUEVO LEON,17,ESCOBEDO,45,230,17189,15141,708,6181,3134,6959,1569,13785,1002,,322,177,14,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610,,,,,,,,,,,70883,32,1825,72740,150069,
19,NUEVO LEON,18,SAN PEDRO,88,264,46567,10621,496,2848,1348,12547,2448,9882,682,1331,232,125,27,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776,1654,,,,,,,,,94681,183,2513,97377,160187,
19,NUEVO LEON,19,SANTA CATARINA,61,243,36353,8565,501,3054,2260,8449,3017,13376,1448,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768,,,,,,,,85014,83,2769,87866,156416,
19,NUEVO LEON,20,GARCIA,137,341,11452,12460,1759,5522,5391,6380,3459,18977,1197,1800,672,297,42,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20052,,,,,,,89538,49,2636,92223,199774,
19,NUEVO LEON,21,SABINAS HIDALGO,127,292,24162,19567,1344,5255,3922,4903,4526,10588,673,354,248,379,74,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738,,,,,,87838,57,2892,90787,167901,
19,NUEVO LEON,22,JUAREZ,91,242,8582,15218,1002,3378,1764,6226,2755,12079,1960,515,193,94,22,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,,,,,61908,59,1845,63812,143533,
19,NUEVO LEON,23,JUAREZ,138,334,11038,17781,936,16090,3016,7769,2311,18671,2054,508,542,146,15,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9491,,,,90443,149,3064,93656,197736,
19,NUEVO LEON,24,LINARES,157,303,21848,23047,995,4643,3477,3529,10468,13163,726,325,543,187,41,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382,,,92470,85,3868,96423,168379,
19,NUEVO LEON,25,ESCOBEDO,79,230,14761,11974,574,5448,3338,5868,1227,11104,740,,253,138,33,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3471,,58974,85,1744,60803,142712,
19,NUEVO LEON,26,SANTIAGO,158,295,32302,34506,321,1956,5303,2618,3036,7276,580,140,312,125,27,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8430,97017,119,4148,101284,152535,
