CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,710,3,103,299,44,29,17,498,54,36,17,19,5,,0,1121,31,1152,2069
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,711,2,77,169,12,16,9,305,38,24,11,24,0,,0,685,29,714,1416
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,712,6,241,549,47,57,38,906,70,38,34,48,4,,0,2032,54,2086,4113
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,713,2,43,160,42,11,15,191,20,14,10,13,1,,1,520,14,535,1065
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,714,2,52,167,10,22,10,226,22,9,7,11,1,,0,537,5,542,1011
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,715,2,26,174,8,9,12,147,14,16,7,11,6,,0,430,14,444,916
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,716,2,43,256,10,30,17,274,21,10,10,16,4,,0,691,17,708,1445
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,717,2,50,255,15,18,20,232,19,12,14,18,10,,0,663,13,676,1383
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,718,2,63,210,27,20,16,225,19,21,8,10,4,,0,623,21,644,1266
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,719,2,41,203,12,12,11,185,20,8,11,12,5,,0,520,14,534,976
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,720,2,74,276,11,16,11,275,15,26,4,16,6,,1,730,13,744,1411
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,721,2,23,199,11,19,11,300,27,10,11,10,2,,0,623,7,630,1219
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,722,2,55,164,15,16,11,301,16,10,8,12,3,,0,611,7,618,1189
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,723,2,73,175,18,18,11,379,18,14,16,20,2,,0,744,5,749,1464
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,724,4,77,326,18,27,35,459,32,25,30,26,4,,0,1059,24,1083,1853
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,725,3,78,271,8,24,24,386,13,19,11,22,5,,0,861,27,888,1712
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,726,2,92,223,14,28,26,332,17,41,16,29,5,,0,823,22,845,1482
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,727,3,97,236,21,26,13,415,23,22,21,19,4,,1,897,14,912,1719
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,728,2,96,309,30,31,16,432,40,44,19,30,0,,3,1047,34,1084,1540
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,729,2,81,194,17,18,14,279,19,17,10,8,3,,0,660,14,674,1293
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,730,3,77,272,17,18,22,366,24,35,16,21,9,,0,877,25,902,1982
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1050,1,44,54,5,7,2,85,7,9,1,8,3,,0,225,8,233,636
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1051,1,30,56,4,0,8,86,5,9,8,13,0,,1,219,6,226,592
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1052,2,73,34,13,11,5,151,16,16,10,18,41,,0,388,10,398,844
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1053,1,48,0,13,0,3,151,6,16,6,22,80,,0,345,11,356,744
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1054,1,72,30,8,9,3,132,2,13,11,6,1,,1,287,13,301,623
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1055,1,48,41,7,6,1,98,6,6,2,6,0,,0,221,13,234,484
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1056,2,114,63,7,16,2,235,12,12,9,20,4,,2,494,23,519,895
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1057,1,71,31,11,6,5,99,3,3,6,7,0,,0,242,6,248,439
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1058,2,135,66,8,17,2,244,4,18,9,17,0,,0,520,16,536,1007
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1059,1,75,51,4,12,0,109,13,11,7,15,2,,5,299,15,319,517
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1060,1,102,39,9,7,2,156,6,14,7,9,2,,2,353,13,368,644
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1061,2,139,44,26,4,3,280,11,24,21,18,60,,2,630,32,664,1194
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1062,2,104,56,6,10,3,196,12,19,13,16,6,,3,441,14,458,924
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1063,1,45,56,23,4,2,31,10,14,8,15,0,,0,208,9,217,561
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1064,2,69,83,14,16,5,195,28,11,13,11,3,,0,448,28,476,891
