municipality,uniqueid,section,year,month,PRI,PAN,PRD,PT,PVEM,Partido_Democrata,PSN,PC,PAS,PCDT,PJS,total,valid,listanominal,STATE,turnout,PRI_PVEM,PT_PCDT_PJS,PCDT_PJS,PT_PCDT,PT_PJS,PAN_PAC,PANAL,PS,PRI_PVEM_PS,PAN_PANAL,PRI_PST,PRD_PT_PC,PRD_PC,PRD_PT,PT_PC,PST,PAC,PP,PLT,PPT,type,MC,no registrados,PAC_PS,PT_PAC,CASILLA,MORENA,PES,PRI_PANAL,PRI_PVEM_PANAL_PS,CI_1,CI_2,CI_3,PRI_PANAL_PS,PRI_PS,CI_4,PRI_PT,PRI_PVEM_PANAL,PVEM_PS,PEST,PISS,RSP,FXM,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,CI_22,CI_23,CI_24,CI_25,CI_26,CI_27,CI_28,CI_29,CI_30,CI_31,CI_32,CI_33,CI_34,CI_35,no_reg,nulos,PAN_PRI,MORENA_RSP_PANAL,MORENA_PANAL,MORENA_RSP,RSP_PANAL
APETATITLAN DE ANTONIO CARVAJAL,29002,5,2001,November,223,420,353,7,0,0,0,0,0,20,0,1051,1023,1567,TLAXCALA,0.670708359923421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,6,2001,November,159,154,46,2,0,0,0,0,0,30,0,405,391,758,TLAXCALA,0.534300791556728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,7,2001,November,57,56,8,3,0,0,0,0,0,12,0,137,136,277,TLAXCALA,0.494584837545126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,8,2001,November,373,309,151,15,0,0,0,0,0,88,0,955,936,1655,TLAXCALA,0.577039274924471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,9,2001,November,303,276,148,26,0,0,0,0,0,71,0,853,824,1325,TLAXCALA,0.64377358490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,10,2001,November,765,173,69,13,0,0,0,0,0,6,0,1045,1026,1516,TLAXCALA,0.689313984168865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APETATITLAN DE ANTONIO CARVAJAL,29002,11,2001,November,115,173,48,6,0,0,0,0,0,11,0,364,353,515,TLAXCALA,0.706796116504854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,12,2001,November,88,150,266,31,23,0,0,0,0,41,8,639,607,1306,TLAXCALA,0.489280245022971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,13,2001,November,124,255,258,89,33,0,0,0,0,36,6,820,801,1494,TLAXCALA,0.548862115127175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,14,2001,November,184,200,379,128,46,0,0,0,0,34,2,992,973,1916,TLAXCALA,0.517745302713987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,15,2001,November,71,143,284,77,24,0,0,0,0,28,14,656,641,1259,TLAXCALA,0.521048451151708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,16,2001,November,84,125,189,41,22,0,0,0,0,14,22,510,497,1160,TLAXCALA,0.439655172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,17,2001,November,97,272,361,23,17,0,0,0,0,27,9,833,806,1537,TLAXCALA,0.541964866623292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIZACO,29005,18,2001,November,122,220,296,32,15,0,0,0,0,21,6,737,712,1266,TLAXCALA,0.582148499210111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
