CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PRD_NVA_ALIANZA,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,C01,28,70,137,8,1,76,8,7,1,3,,,,,,,2,,,,,,0,341,3,344,521,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0004_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,B,34,83,137,9,1,53,3,6,0,3,,,,,,,3,,,,,,0,332,14,346,534,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0005_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C01,45,72,155,7,1,33,2,5,0,0,,,,,,,0,,,,,,0,320,3,323,533,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0005_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,C02,61,84,165,7,1,57,10,6,1,1,,,,,,,3,,,,,,0,396,3,399,533,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0005_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,B,50,118,207,12,1,43,0,15,0,2,,,,,,,1,,,,,,0,449,6,455,715,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0006_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,S01,17,22,55,1,0,12,1,1,0,1,,,,,,,0,,,,,,0,110,2,112,0,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0006_ES1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,B,57,77,195,2,4,71,3,4,1,1,,,,,,,3,,,,,,0,418,7,425,588,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0007_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,C01,55,96,167,8,1,72,6,8,1,4,,,,,,,0,,,,,,0,418,9,427,587,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0007_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,B,66,76,120,10,1,51,2,2,1,0,,,,,,,0,,,,,,0,329,12,341,495,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0008_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,C01,61,68,143,8,2,40,4,1,1,0,,,,,,,0,,,,,,0,328,11,339,494,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0008_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,B,100,101,164,12,0,41,0,2,0,0,,,,,,,2,,,,,,0,422,10,432,622,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0009_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,C01,85,104,148,11,1,41,3,3,1,0,,,,,,,0,,,,,,0,397,17,414,622,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0009_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,B,48,37,54,5,0,15,0,2,0,0,,,,,,,0,,,,,,0,161,5,166,210,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0010_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,B,38,98,169,6,2,14,2,21,0,0,,,,,,,2,,,,,,0,352,3,355,515,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0011_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,B,177,75,115,16,2,57,2,10,1,0,,,,,,,2,,,,,,0,457,14,471,598,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0012_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,B,25,47,166,0,0,88,1,2,0,0,,,,,,,0,,,,,,0,329,11,340,506,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0013_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,C01,33,57,131,1,1,101,1,4,0,1,,,,,,,4,,,,,,0,334,5,339,505,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0013_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,B,22,69,247,6,1,137,2,18,0,2,,,,,,,0,,,,,,0,504,6,510,747,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0014_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,B,56,59,282,8,0,118,4,1,1,4,,,,,,,3,,,,,,0,536,8,544,739,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0015_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,B,39,72,210,5,5,110,2,9,2,1,,,,,,,5,,,,,,0,460,12,472,690,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0016_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,B,22,60,141,0,1,36,4,5,2,0,,,,,,,0,,,,,,0,271,14,285,397,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0017_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,C01,29,49,165,4,4,32,3,3,0,0,,,,,,,3,,,,,,0,292,8,300,397,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0017_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,B,118,79,120,7,3,31,0,7,0,0,,,,,,,3,,,,,,0,368,12,380,498,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0018_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,C01,116,73,117,7,3,19,2,7,0,0,,,,,,,4,,,,,,0,348,13,361,498,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0018_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,B,33,21,70,1,1,9,2,4,0,0,,,,,,,4,,,,,,0,145,5,150,234,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0019_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,20,B,76,71,207,10,4,92,2,5,3,0,,,,,,,3,,,,,,0,473,7,480,625,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0020_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,21,B,37,36,72,7,0,11,15,1,0,0,,,,,,,2,,,,,,0,181,7,188,273,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0021_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,B,52,62,98,4,4,51,1,8,0,0,,,,,,,0,,,,,,0,280,5,285,403,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0022_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,C01,49,65,111,0,1,40,3,1,1,0,,,,,,,1,,,,,,0,272,7,279,402,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0022_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,B,61,66,132,4,1,33,2,6,0,0,,,,,,,3,,,,,,0,308,7,315,418,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0023_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,E01,126,40,111,21,2,48,0,2,1,0,,,,,,,0,,,,,,0,351,9,360,464,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0023_EX.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,B,121,103,173,9,1,21,2,1,0,0,,,,,,,2,,,,,,0,433,10,443,566,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0024_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,C01,105,73,155,12,2,43,0,0,4,0,,,,,,,0,,,,,,0,394,23,417,565,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0024_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,C02,112,86,147,11,2,39,0,1,1,0,,,,,,,0,,,,,,0,399,8,407,565,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0024_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,25,B,241,96,182,4,3,36,0,11,0,0,,,,,,,2,,,,,,0,575,8,583,746,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0025_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,27,B,65,86,140,5,2,50,3,8,0,0,,,,,,,0,,,,,,0,359,11,370,524,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0027_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,B,50,48,92,3,0,46,1,0,1,0,,,,,,,0,,,,,,0,241,9,250,403,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0028_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,C01,76,60,86,6,0,32,0,3,0,1,,,,,,,0,,,,,,0,264,2,266,403,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0028_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,29,B,109,24,193,0,24,53,0,15,0,0,,,,,,,0,,,,,,0,418,15,433,578,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0029_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,B,107,58,132,10,2,33,2,3,1,0,,,,,,,2,,,,,,0,350,20,370,511,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0030_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,C01,106,66,162,12,3,25,3,3,1,1,,,,,,,5,,,,,,0,387,8,395,511,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0030_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,31,B,24,33,52,0,1,6,0,1,0,0,,,,,,,0,,,,,,0,117,2,119,208,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0031_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,32,B,54,55,77,7,1,14,1,6,0,0,,,,,,,1,,,,,,0,216,12,228,320,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0032_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,33,B,88,36,116,1,1,16,2,2,0,0,,,,,,,1,,,,,,0,263,0,263,359,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0033_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,B,97,30,92,5,0,34,0,0,0,0,,,,,,,1,,,,,,0,259,8,267,391,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0034_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,B,41,95,201,10,1,76,1,15,2,0,,,,,,,0,,,,,,0,442,12,454,595,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0035_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,C01,59,106,180,15,0,81,0,7,1,0,,,,,,,0,,,,,,0,449,13,462,595,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0035_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,B,55,98,219,6,0,92,3,3,4,2,,,,,,,0,,,,,,0,482,6,488,641,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0036_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,B,117,49,222,8,0,81,5,8,3,0,,,,,,,4,,,,,,0,497,6,503,629,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0037_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,C01,103,85,204,3,0,82,4,7,2,0,,,,,,,1,,,,,,0,491,7,498,628,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0037_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,B,89,50,89,35,1,64,0,2,1,0,,,,,,,3,,,,,,0,334,3,337,428,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0038_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,E01,70,31,142,15,1,6,2,3,0,0,,,,,,,1,,,,,,0,271,5,276,341,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0038_EX.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,B,93,56,95,7,2,23,1,1,0,0,,,,,,,1,,,,,,0,279,1,280,416,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0039_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,C01,76,39,130,3,4,18,1,0,0,0,,,,,,,2,,,,,,0,273,8,281,416,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0039_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,B,53,94,109,25,2,13,0,0,0,0,,,,,,,0,,,,,,0,296,4,300,397,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0040_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,C01,46,78,100,42,2,8,3,2,0,0,,,,,,,3,,,,,,0,284,5,289,397,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0040_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,B,124,39,134,25,3,14,0,3,0,0,,,,,,,1,,,,,,0,343,10,353,463,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0041_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,C01,107,59,128,20,2,18,2,1,0,0,,,,,,,2,,,,,,0,339,13,352,462,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0041_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,B,73,133,209,21,1,101,4,4,1,0,,,,,,,0,,,,,,0,547,0,547,749,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0042_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,E01,110,71,225,2,1,15,3,1,0,0,,,,,,,8,,,,,,0,436,7,443,555,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0042_EX.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,E02,90,25,69,20,2,10,1,0,0,0,,,,,,,0,,,,,,0,217,4,221,264,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0042_X2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,43,B,103,62,92,55,0,39,1,4,0,0,,,,,,,0,,,,,,0,356,7,363,525,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0043_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,43,C01,96,49,108,59,0,31,0,5,0,0,,,,,,,2,,,,,,0,350,9,359,524,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0043_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,B,127,66,119,8,0,26,0,0,0,1,,,,,,,0,,,,,,0,347,3,350,463,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0044_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,E01,64,40,20,16,1,16,0,0,0,0,,,,,,,1,,,,,,0,158,5,163,224,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0044_EX.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,E02,128,20,85,14,0,18,0,0,0,0,,,,,,,0,,,,,,0,265,8,273,403,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0044_X2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,45,B,147,66,68,12,1,31,5,2,0,0,,,,,,,1,,,,,,0,333,7,340,559,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0045_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,45,E01,91,48,129,17,0,70,0,12,3,2,,,,,,,1,,,,,,0,373,14,387,504,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0045_EX.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,46,B,9,95,76,58,49,4,2,13,1,4,12,,,,,,0,,,,,,0,323,5,328,613,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0046_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,46,C01,7,92,72,41,50,7,3,14,1,1,14,,,,,,0,,,,,,0,302,3,305,613,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0046_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,B,1,108,106,38,39,4,3,30,0,6,14,,,,,,1,,,,,,0,350,8,358,736,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C01,5,81,118,32,56,1,1,11,2,3,24,,,,,,0,,,,,,0,334,12,346,736,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C02,4,57,116,31,43,0,3,19,4,4,18,,,,,,0,,,,,,0,299,11,310,736,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C2.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C03,2,100,116,34,48,3,3,16,0,4,16,,,,,,0,,,,,,0,342,7,349,735,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C3.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C04,3,98,149,25,49,2,0,14,1,2,17,,,,,,0,,,,,,364,360,4,728,735,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C4.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C05,7,102,99,40,41,4,2,22,4,4,18,,,,,,0,,,,,,0,343,8,351,735,Acta casilla,Modificada,Modificada en base a TET-JI-30/2015-III -TET-JI-37/2015-III -TET-JI-38/2015-III Y TET-AP-48/2015-III,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C5.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,C06,13,92,93,47,47,8,0,16,0,1,13,,,,,,0,,,,,,0,330,9,339,735,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0047_C6.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,48,B,4,53,82,4,34,3,0,20,1,3,45,,,,,,0,,,,,,0,249,3,252,539,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0048_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,48,C01,4,51,79,8,33,8,2,12,4,3,56,,,,,,0,,,,,,0,260,10,270,538,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0048_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,48,C02,6,44,77,9,24,7,2,23,0,2,56,,,,,,0,,,,,,0,250,2,252,538,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0048_C2.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,49,B,5,69,60,26,19,3,0,10,7,2,30,,,,,,0,,,,,,1,231,8,240,497,Acta casilla,Modificada,Modificada en base a TET-JI-30/2015-III -TET-JI-37/2015-III -TET-JI-38/2015-III Y TET-AP-48/2015-III,http://iepct.mx/resultados/2015/municipal/cardenas/0049_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,49,C01,8,65,78,18,28,5,0,15,2,3,35,,,,,,0,,,,,,1,257,7,265,497,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0049_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,50,B,10,58,70,19,35,4,3,22,1,4,43,,,,,,0,,,,,,0,269,3,272,539,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0050_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,50,C01,15,87,48,15,31,3,0,18,3,0,39,,,,,,0,,,,,,0,259,9,268,539,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0050_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,50,C02,12,58,62,9,53,5,2,14,2,0,40,,,,,,2,,,,,,1,259,3,263,539,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0050_C2.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,51,B,9,57,62,12,30,3,2,19,1,3,19,,,,,,0,,,,,,0,217,2,219,501,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0051_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,51,C01,2,89,55,18,20,2,7,17,1,2,27,,,,,,0,,,,,,0,240,8,248,501,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0051_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,51,C02,16,78,54,14,20,5,0,22,1,1,1,,,,,,0,,,,,,0,212,9,221,501,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0051_C2.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,52,B,10,108,111,16,56,7,6,33,0,1,18,,,,,,1,,,,,,0,367,3,370,669,Acta casilla,Modificada,Modificada en base a TET-JI-30/2015-III -TET-JI-37/2015-III -TET-JI-38/2015-III Y TET-AP-48/2015-III,http://iepct.mx/resultados/2015/municipal/cardenas/0052_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,52,C01,11,100,82,22,55,5,1,36,1,1,16,,,,,,1,,,,,,0,331,4,335,669,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0052_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,53,B,15,104,91,18,49,6,2,17,1,2,21,,,,,,0,,,,,,0,326,9,335,651,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0053_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,53,C01,7,85,99,20,33,4,2,42,2,4,34,,,,,,0,,,,,,0,332,11,343,651,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0053_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,53,C02,7,93,82,19,43,5,1,36,0,2,28,,,,,,0,,,,,,0,316,7,323,650,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0053_C2.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,54,B,14,79,71,23,41,8,3,26,4,3,13,,,,,,1,,,,,,0,286,6,292,644,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0054_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,54,C01,8,90,69,18,34,13,2,14,6,3,3,,,,,,0,,,,,,0,260,6,266,643,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0054_C1.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,55,B,5,86,83,13,52,6,1,32,3,7,10,,,,,,0,,,,,,0,298,6,304,681,Grupo de Recuento,,,http://iepct.mx/resultados/2015/municipal/cardenas/0055_BA.jpg
2,27,TABASCO,2,CARDENAS,2,CARDENAS,55,C01,7,69,74,6,62,8,2,23,0,4,11,,,,,,0,,,,,,0,266,6,272,681,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/cardenas/0055_C1.jpg
