CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_MC_PAS,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1736,1,53,17,1,0,,1,1,0,1,,0,0,,,,,,,,,,,,0,74,2,76,103
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1740,1,98,27,2,0,,2,6,1,0,,0,0,,,,,,,,,,,,0,136,2,138,197
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1741,1,82,48,0,1,,0,1,1,0,,0,0,,,,,,,,,,,,0,133,0,133,170
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1742,1,70,62,11,1,,1,0,0,0,,0,0,,,,,,,,,,,,0,145,2,147,196
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1743,1,108,80,12,0,,0,2,0,0,,1,0,,,,,,,,,,,,0,203,8,211,345
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1744,1,90,70,5,2,,0,3,0,0,,0,0,,,,,,,,,,,,0,170,5,175,274
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1745,1,170,140,13,0,,1,8,5,0,,0,0,,,,,,,,,,,,0,337,5,342,455
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1746,1,122,92,10,1,,0,1,0,1,,0,0,,,,,,,,,,,,0,227,4,231,343
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1747,1,18,47,6,1,,0,2,0,0,,0,0,,,,,,,,,,,,0,74,3,77,110
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1748,1,37,33,4,0,,0,3,0,0,,1,0,,,,,,,,,,,,0,78,3,81,121
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1749,1,82,53,1,0,,0,0,1,0,,0,0,,,,,,,,,,,,0,137,3,140,199
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1750,1,139,86,6,0,,0,3,4,0,,0,0,,,,,,,,,,,,0,238,3,241,329
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1751,1,81,68,2,0,,0,1,4,0,,2,2,,,,,,,,,,,,0,160,5,165,208
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1753,1,113,49,20,1,,0,3,2,1,,0,0,,,,,,,,,,,,0,189,12,201,374
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1754,1,71,67,1,1,,0,3,0,0,,0,0,,,,,,,,,,,,0,143,1,144,249
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1755,1,268,76,4,1,,1,2,0,0,,0,0,,,,,,,,,,,,0,352,2,354,481
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1756,1,114,52,5,0,,1,3,2,0,,0,0,,,,,,,,,,,,0,177,4,181,248
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1757,1,43,33,2,0,,0,1,1,0,,4,0,,,,,,,,,,,,0,84,3,87,139
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1758,1,78,98,5,1,,0,2,3,0,,0,0,,,,,,,,,,,,0,187,4,191,258
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1759,1,49,39,1,0,,0,0,0,0,,0,0,,,,,,,,,,,,0,89,1,90,133
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1761,1,88,67,7,1,,0,2,0,0,,1,0,,,,,,,,,,,,0,166,1,167,274
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1762,1,55,45,1,0,,0,1,0,0,,0,0,,,,,,,,,,,,0,102,3,105,142
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1763,1,87,51,8,1,,0,2,4,0,,0,0,,,,,,,,,,,,0,153,1,154,211
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1764,1,103,88,6,0,,2,1,2,1,,0,0,,,,,,,,,,,,0,203,11,214,331
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1765,1,22,25,10,0,,0,2,2,0,,0,0,,,,,,,,,,,,0,61,3,64,130
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1766,1,87,31,16,2,,0,4,3,0,,0,0,,,,,,,,,,,,0,143,3,146,222
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1767,1,77,30,19,1,,0,1,1,0,,0,0,,,,,,,,,,,,0,129,3,132,185
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1768,1,71,24,15,1,,0,0,5,0,,0,0,,,,,,,,,,,,0,116,3,119,195
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1769,1,181,147,1,5,,0,6,3,0,,0,0,,,,,,,,,,,,0,343,9,352,472
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1770,1,185,70,3,4,,0,10,6,0,,1,0,,,,,,,,,,,,0,279,4,283,359
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1771,1,125,144,4,0,,4,1,1,0,,0,0,,,,,,,,,,,,0,279,1,280,354
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1772,1,136,74,1,1,,2,7,0,0,,0,0,,,,,,,,,,,,0,221,0,221,312
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1773,1,97,69,6,0,,0,0,1,0,,0,0,,,,,,,,,,,,0,173,1,174,237
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1774,1,129,46,35,1,,0,5,1,0,,0,0,,,,,,,,,,,,0,217,4,221,344
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1775,1,128,70,1,0,,1,4,1,0,,0,0,,,,,,,,,,,,0,205,7,212,294
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1776,1,89,66,4,0,,0,0,1,0,,0,0,,,,,,,,,,,,0,160,2,162,225
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1777,1,91,45,1,0,,0,3,1,0,,0,0,,,,,,,,,,,,0,141,0,141,197
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1778,1,160,100,4,1,,2,4,1,1,,3,0,,,,,,,,,,,,0,276,5,281,388
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1779,1,91,60,0,0,,0,3,6,1,,0,0,,,,,,,,,,,,0,161,4,165,244
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1780,1,56,57,3,1,,0,0,9,0,,0,0,,,,,,,,,,,,0,126,4,130,194
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1781,1,57,16,7,0,,0,11,2,0,,0,0,,,,,,,,,,,,0,93,1,94,140
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1782,2,89,94,33,2,,0,2,1,2,,0,0,,,,,,,,,,,,0,223,7,230,438
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1783,1,84,52,2,0,,0,0,0,3,,0,0,,,,,,,,,,,,0,141,2,143,229
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1784,1,205,98,2,0,,0,2,1,0,,0,0,,,,,,,,,,,,0,308,11,319,570
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1785,1,83,52,12,1,,0,8,1,4,,0,0,,,,,,,,,,,,0,161,5,166,230
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1786,1,53,63,46,0,,1,3,5,0,,1,0,,,,,,,,,,,,0,172,2,174,281
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1787,1,227,100,28,0,,0,4,1,1,,1,1,,,,,,,,,,,,0,363,4,367,585
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1788,1,183,108,41,0,,0,5,1,0,,0,0,,,,,,,,,,,,0,338,5,343,555
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1789,1,78,40,10,1,,0,3,3,0,,0,0,,,,,,,,,,,,0,135,6,141,210
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1790,1,105,69,20,0,,0,9,4,2,,0,0,,,,,,,,,,,,0,209,5,214,373
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1791,1,28,78,11,2,,0,0,0,2,,0,0,,,,,,,,,,,,0,121,4,125,192
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1792,1,104,80,13,2,,1,2,0,0,,0,0,,,,,,,,,,,,0,202,10,212,334
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1793,1,103,89,12,0,,0,3,1,2,,0,0,,,,,,,,,,,,0,210,3,213,374
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1794,1,62,49,6,0,,0,1,4,0,,0,0,,,,,,,,,,,,0,122,2,124,203
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1795,1,31,32,8,1,,0,7,1,0,,0,0,,,,,,,,,,,,0,80,0,80,138
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1796,1,115,65,12,0,,0,1,0,0,,0,0,,,,,,,,,,,,0,193,6,199,282
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1797,1,187,117,5,0,,0,3,4,0,,1,0,,,,,,,,,,,,0,317,11,328,531
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1798,1,72,68,0,1,,0,6,0,0,,3,0,,,,,,,,,,,,0,150,2,152,232
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1925,1,116,96,1,1,41,2,11,11,1,1,0,0,23,,,,,,,,,,,0,304,1,305,472
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1926,1,61,95,1,0,24,2,1,26,0,0,0,0,14,,,,,,,,,,,0,224,6,230,321
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1927,1,31,122,0,0,18,0,3,8,2,0,0,1,37,,,,,,,,,,,0,222,4,226,352
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1928,2,79,110,0,1,32,1,3,15,2,1,0,0,5,,,,,,,,,,,16,249,2,267,338
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1929,1,100,118,0,0,56,0,3,12,4,0,0,1,23,,,,,,,,,,,0,317,5,322,518
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1930,1,175,125,2,0,50,0,0,30,0,0,0,3,0,,,,,,,,,,,1,385,8,394,661
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1931,1,55,79,0,0,26,2,1,2,0,0,0,0,4,,,,,,,,,,,0,169,0,169,252
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1932,2,169,261,0,0,63,2,8,38,4,4,0,0,24,,,,,,,,,,,0,573,8,581,870
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1933,1,73,222,0,0,34,2,3,23,1,1,0,0,1,,,,,,,,,,,0,360,1,361,550
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1934,1,113,147,2,1,49,0,9,14,0,0,0,0,8,,,,,,,,,,,0,343,9,352,617
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1935,1,68,71,3,0,16,0,3,11,5,0,0,0,4,,,,,,,,,,,0,181,7,188,295
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1936,1,51,67,0,1,16,0,4,11,2,0,0,0,6,,,,,,,,,,,0,158,1,159,235
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1937,1,71,96,1,0,14,0,2,12,4,0,0,0,4,,,,,,,,,,,0,204,9,213,335
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1938,2,224,220,1,0,83,0,10,46,1,0,1,0,8,,,,,,,,,,,0,594,14,608,1144
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1939,1,91,92,0,0,41,1,2,21,2,0,0,0,5,,,,,,,,,,,0,255,6,261,404
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1940,1,141,80,0,1,29,0,5,24,1,1,0,0,3,,,,,,,,,,,0,285,6,291,506
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1941,2,263,183,1,1,66,0,7,36,6,3,1,0,12,,,,,,,,,,,1,579,11,591,1038
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1942,2,236,179,1,1,23,2,8,38,0,3,0,0,19,,,,,,,,,,,0,510,8,518,888
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1943,1,61,40,0,1,18,7,9,28,0,0,0,0,3,,,,,,,,,,,0,167,6,173,249
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1944,1,27,66,1,4,3,1,16,38,2,0,0,0,0,,,,,,,,,,,0,158,15,173,299
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1945,1,19,35,0,0,4,0,1,21,0,0,0,0,1,,,,,,,,,,,0,81,4,85,142
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1946,1,21,21,1,1,7,0,0,7,0,0,0,0,1,,,,,,,,,,,0,59,0,59,109
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1948,1,37,100,0,2,29,1,3,37,0,2,0,0,0,,,,,,,,,,,0,211,3,214,468
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1949,1,39,48,0,0,16,0,1,4,0,1,0,0,1,,,,,,,,,,,0,110,3,113,232
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1951,1,76,67,2,1,11,0,0,3,0,0,2,0,0,,,,,,,,,,,0,162,7,169,273
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1952,1,26,85,0,2,7,0,0,0,0,0,0,0,0,,,,,,,,,,,0,120,6,126,204
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1953,1,25,36,0,0,3,0,0,2,1,0,0,0,2,,,,,,,,,,,0,69,0,69,135
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1954,1,21,75,0,0,22,0,0,13,1,0,0,0,2,,,,,,,,,,,0,134,4,138,185
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1955,1,52,104,1,2,68,6,5,21,0,7,0,0,1,,,,,,,,,,,0,267,2,269,353
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1956,1,30,74,0,1,42,2,0,16,1,7,0,0,1,,,,,,,,,,,0,174,2,176,245
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1957,1,44,79,2,3,31,0,0,24,0,2,0,0,3,,,,,,,,,,,0,188,9,197,354
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1958,1,19,53,0,0,17,0,0,9,0,0,0,0,2,,,,,,,,,,,0,100,0,100,209
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1960,1,44,116,0,1,65,1,1,38,0,0,0,0,0,,,,,,,,,,,0,266,5,271,490
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1961,1,61,112,0,0,31,0,1,23,0,0,0,0,0,,,,,,,,,,,0,228,4,232,375
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1962,1,52,121,0,1,77,0,1,24,0,0,0,0,0,,,,,,,,,,,0,276,11,287,463
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1963,1,16,47,0,1,13,2,1,12,5,0,0,0,0,,,,,,,,,,,0,97,3,100,222
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1965,1,51,74,0,0,26,1,2,72,0,0,0,0,0,,,,,,,,,,,0,226,9,235,333
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1966,1,110,51,0,0,41,4,0,14,1,4,0,0,0,,,,,,,,,,,0,225,3,228,353
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1967,1,47,36,0,0,25,0,2,13,0,4,0,0,0,,,,,,,,,,,0,127,2,129,172
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1969,1,54,89,1,1,27,1,0,20,0,3,0,0,2,,,,,,,,,,,0,198,7,205,408
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1970,1,100,60,0,1,18,4,6,50,0,1,0,0,1,,,,,,,,,,,0,241,10,251,487
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1971,1,151,94,0,0,17,1,1,13,0,0,0,0,6,,,,,,,,,,,0,283,6,289,465
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1972,1,77,77,1,0,27,1,6,15,1,0,0,0,9,,,,,,,,,,,0,214,7,221,396
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1973,1,35,85,1,1,28,0,0,18,0,0,0,0,5,,,,,,,,,,,0,173,5,178,270
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1974,1,19,96,1,1,56,0,2,14,0,0,0,0,0,,,,,,,,,,,0,189,6,195,266
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1975,1,7,33,0,0,1,0,15,4,0,0,0,0,0,,,,,,,,,,,0,60,2,62,103
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1976,1,37,80,0,0,2,0,2,27,0,0,0,1,1,,,,,,,,,,,0,150,0,150,204
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1977,1,89,124,1,0,18,0,0,28,1,3,0,0,0,,,,,,,,,,,0,264,1,265,412
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1978,1,28,104,0,2,9,1,2,33,0,0,0,0,3,,,,,,,,,,,0,182,2,184,301
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1979,1,9,31,0,0,20,0,2,5,0,0,0,0,2,,,,,,,,,,,0,69,1,70,116
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1980,1,25,84,0,0,13,0,1,10,1,0,0,0,3,,,,,,,,,,,0,137,3,140,203
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1981,1,22,124,2,0,38,1,5,19,2,0,0,0,8,,,,,,,,,,,0,221,11,232,389
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1982,1,35,72,1,0,6,0,1,13,1,5,0,0,1,,,,,,,,,,,0,135,3,138,291
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1983,1,10,30,0,0,31,0,0,6,0,2,0,0,0,,,,,,,,,,,0,79,2,81,124
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1984,1,4,33,0,0,28,0,0,7,0,0,0,0,0,,,,,,,,,,,0,72,1,73,108
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1985,1,65,21,2,0,59,0,2,4,0,0,0,0,0,,,,,,,,,,,0,153,0,153,309
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1986,1,10,90,1,1,4,1,1,16,0,0,0,0,10,,,,,,,,,,,0,134,3,137,250
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1987,1,19,44,0,0,4,0,1,6,0,0,0,0,1,,,,,,,,,,,0,75,0,75,118
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1988,1,57,133,1,5,33,1,6,10,4,2,0,0,3,,,,,,,,,,,0,255,14,269,513
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1989,1,21,47,0,4,20,1,2,39,0,0,0,0,1,,,,,,,,,,,0,135,7,142,274
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1990,1,27,86,0,4,33,0,5,58,0,0,0,0,1,,,,,,,,,,,0,214,5,219,375
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1991,1,68,172,0,0,15,0,0,61,1,4,0,0,6,,,,,,,,,,,0,327,14,341,543
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1992,1,84,70,1,1,31,1,1,3,2,0,0,0,5,,,,,,,,,,,0,199,14,213,363
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1993,1,33,117,2,2,18,1,3,59,2,0,0,0,1,,,,,,,,,,,0,238,5,243,391
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1994,1,61,95,3,0,5,8,4,90,3,2,0,0,6,,,,,,,,,,,0,277,2,279,404
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1995,1,30,44,1,5,4,0,1,6,1,0,0,0,1,,,,,,,,,,,0,93,2,95,179
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1996,1,45,76,1,1,27,2,3,9,4,8,0,0,1,,,,,,,,,,,0,177,10,187,355
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1997,1,40,105,1,5,49,0,8,80,1,2,0,2,0,,,,,,,,,,,0,293,7,300,592
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1998,1,34,57,0,5,7,2,5,68,1,2,1,0,0,,,,,,,,,,,0,182,6,188,374
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1999,1,8,48,0,0,25,0,0,7,0,0,0,0,3,,,,,,,,,,,0,91,1,92,136
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2000,1,13,53,0,1,29,0,0,36,0,1,0,0,1,,,,,,,,,,,0,134,3,137,230
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2001,1,36,56,4,16,14,1,1,28,2,3,0,1,2,,,,,,,,,,,0,164,12,176,290
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2002,1,43,59,1,12,15,4,3,26,0,3,0,0,1,,,,,,,,,,,0,167,5,172,302
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2003,1,44,45,3,13,23,1,0,16,0,0,0,0,0,,,,,,,,,,,0,145,5,150,258
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2004,1,35,88,2,1,31,1,2,28,11,1,1,0,4,,,,,,,,,,,0,205,7,212,390
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2005,1,57,77,0,1,39,2,4,76,21,0,0,0,5,,,,,,,,,,,0,282,4,286,464
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2006,1,61,79,4,1,52,1,3,75,4,1,0,0,13,,,,,,,,,,,0,294,7,301,539
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2007,2,140,129,5,2,83,1,6,73,9,1,0,0,5,,,,,,,,,,,0,454,14,468,774
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2008,1,39,57,2,2,45,0,9,44,4,2,1,0,1,,,,,,,,,,,0,206,2,208,369
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2009,1,51,65,1,1,30,2,5,78,14,0,0,1,5,,,,,,,,,,,0,253,6,259,481
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2010,1,58,141,2,1,82,0,2,86,13,1,0,1,8,,,,,,,,,,,0,395,7,402,583
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2011,1,35,83,0,5,106,0,2,52,6,10,1,0,3,,,,,,,,,,,0,303,7,310,427
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2012,1,74,83,2,4,88,6,2,67,10,1,0,1,2,,,,,,,,,,,0,340,4,344,551
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2013,1,31,112,1,4,34,11,0,27,3,5,0,0,3,,,,,,,,,,,0,231,11,242,394
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2014,1,40,113,2,3,50,1,4,68,22,5,0,0,12,,,,,,,,,,,0,320,8,328,554
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2015,1,16,79,4,5,36,2,2,54,1,0,0,0,0,,,,,,,,,,,0,199,4,203,359
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2016,1,13,50,0,1,37,0,5,14,1,0,0,0,7,,,,,,,,,,,0,128,0,128,209
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2017,1,32,80,6,8,7,3,2,43,7,13,0,0,1,,,,,,,,,,,0,202,7,209,410
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2018,1,20,32,1,1,3,1,2,20,3,5,0,0,0,,,,,,,,,,,0,88,2,90,161
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2019,1,52,118,11,3,31,0,1,54,16,14,0,0,8,,,,,,,,,,,0,308,6,314,523
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2020,1,35,49,2,0,20,0,2,22,2,4,0,0,2,,,,,,,,,,,0,138,6,144,238
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2021,1,31,65,5,3,34,1,2,43,14,5,0,0,7,,,,,,,,,,,1,210,3,214,392
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2022,1,10,49,0,0,9,0,0,2,1,0,0,0,3,,,,,,,,,,,0,74,0,74,127
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2023,1,22,91,2,1,33,0,0,49,2,12,0,0,15,,,,,,,,,,,0,227,4,231,389
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2024,1,13,99,8,0,54,0,0,35,1,3,0,0,6,,,,,,,,,,,0,219,1,220,348
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2025,1,31,96,3,0,17,1,0,45,0,3,0,0,4,,,,,,,,,,,0,200,0,200,289
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2026,1,20,61,3,0,12,0,1,41,3,7,0,0,5,,,,,,,,,,,0,153,2,155,247
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2027,1,20,55,2,3,29,1,1,36,5,6,0,0,2,,,,,,,,,,,0,160,2,162,260
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2028,1,19,71,1,8,55,2,0,20,0,9,0,0,1,,,,,,,,,,,0,186,1,187,329
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,2029,1,21,108,1,1,15,0,0,76,2,6,0,0,6,,,,,,,,,,,0,236,2,238,375
