CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,B,1,0,B,100,23,24,17,17,12,9,130,31,13,5,2,,5,0,1,1,0,1,0,0,,,,,,,,,,,,69,14,22,,,,,,,,,,,,,,,,,,,,496,1,9,506,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,C,2,0,C02,90,21,26,17,12,11,5,103,13,18,4,2,,0,0,1,6,1,0,2,0,,,,,,,,,,,,43,7,30,,,,,,,,,,,,,,,,,,,,412,0,23,435,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,C,1,0,C01,111,27,33,20,19,12,14,116,19,10,7,6,,3,0,1,0,5,0,1,0,,,,,,,,,,,,67,17,20,,,,,,,,,,,,,,,,,,,,508,0,19,527,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,B,1,0,B,67,18,20,12,21,11,10,119,17,8,6,5,,4,0,1,1,1,0,2,0,,,,,,,,,,,,37,6,23,,,,,,,,,,,,,,,,,,,,389,0,14,403,644,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,2,0,C02,62,16,26,16,13,10,5,112,117,15,7,1,,1,1,0,2,1,0,2,0,,,,,,,,,,,,53,8,26,,,,,,,,,,,,,,,,,,,,494,0,23,517,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,4,0,C04,8,11,15,8,15,14,6,107,15,13,2,0,,7,1,1,4,0,1,0,0,,,,,,,,,,,,70,2,33,,,,,,,,,,,,,,,,,,,,333,0,14,347,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,3,0,C03,77,16,32,18,14,23,3,99,15,12,9,2,,4,1,0,2,0,0,1,1,,,,,,,,,,,,93,5,21,,,,,,,,,,,,,,,,,,,,448,0,25,473,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,1,0,C01,63,16,21,14,13,20,9,99,12,16,7,2,,0,0,0,11,0,0,1,0,,,,,,,,,,,,53,6,29,,,,,,,,,,,,,,,,,,,,392,0,16,408,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,B,1,0,B,86,15,26,23,11,10,7,87,23,10,5,14,,6,1,0,7,1,0,2,1,,,,,,,,,,,,45,7,28,,,,,,,,,,,,,,,,,,,,415,0,11,426,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,2,0,C02,65,16,17,15,10,10,7,107,17,14,5,5,,8,0,4,5,1,0,1,0,,,,,,,,,,,,60,6,35,,,,,,,,,,,,,,,,,,,,408,0,15,423,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,5,0,C05,68,13,24,19,11,3,4,103,14,7,10,4,,9,0,0,0,0,0,1,0,,,,,,,,,,,,47,9,24,,,,,,,,,,,,,,,,,,,,370,0,13,383,635,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,1,0,C01,67,24,20,18,15,5,8,96,20,9,12,3,,5,0,0,2,0,0,1,0,,,,,,,,,,,,35,7,43,,,,,,,,,,,,,,,,,,,,390,1,27,418,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,4,0,C04,61,22,31,22,9,10,13,130,13,13,5,0,,9,0,1,2,0,0,0,0,,,,,,,,,,,,59,3,31,,,,,,,,,,,,,,,,,,,,434,0,18,452,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,3,0,C03,76,13,28,20,17,7,5,104,17,14,5,3,,2,1,0,2,2,0,0,0,,,,,,,,,,,,44,5,38,,,,,,,,,,,,,,,,,,,,403,0,20,423,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,B,1,0,B,103,14,28,19,12,13,2,96,12,9,4,5,,3,1,1,0,2,1,3,0,,,,,,,,,,,,50,8,24,,,,,,,,,,,,,,,,,,,,410,0,17,427,647,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,2,0,C02,71,10,25,16,20,10,5,117,14,15,7,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,41,13,34,,,,,,,,,,,,,,,,,,,,398,0,24,422,646,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,1,0,C01,99,12,27,15,7,9,11,111,10,11,4,4,,3,0,1,0,2,1,1,0,,,,,,,,,,,,54,12,12,,,,,,,,,,,,,,,,,,,,406,0,22,428,646,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,C,3,0,C03,107,17,27,18,8,10,4,101,11,12,9,1,,3,0,0,3,1,1,1,0,,,,,,,,,,,,55,7,25,,,,,,,,,,,,,,,,,,,,421,0,14,435,646,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,B,1,0,B,76,18,21,12,8,11,4,108,4,11,4,4,,2,1,0,1,0,0,0,0,,,,,,,,,,,,22,8,25,,,,,,,,,,,,,,,,,,,,340,0,13,353,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,3,0,C03,87,16,28,10,12,18,5,80,15,12,3,7,,2,0,0,4,3,0,1,0,,,,,,,,,,,,26,3,32,,,,,,,,,,,,,,,,,,,,364,0,14,378,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,1,0,C01,79,16,24,17,9,8,6,88,11,7,3,2,,1,1,0,0,1,1,2,0,,,,,,,,,,,,27,3,25,,,,,,,,,,,,,,,,,,,,331,0,25,356,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,4,0,C04,96,15,20,15,4,7,3,92,15,13,5,6,,2,0,0,4,1,0,4,0,,,,,,,,,,,,31,7,25,,,,,,,,,,,,,,,,,,,,365,0,19,384,605,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,C,2,0,C02,80,20,20,16,14,8,11,100,16,8,4,2,,4,1,0,0,2,2,2,0,,,,,,,,,,,,17,6,32,,,,,,,,,,,,,,,,,,,,365,0,20,385,606,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,B,1,0,B,94,16,20,19,18,6,8,120,15,9,8,1,,6,0,0,5,0,1,1,0,,,,,,,,,,,,57,6,49,,,,,,,,,,,,,,,,,,,,459,0,20,479,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,5,0,C05,82,19,26,13,11,3,9,126,16,13,6,7,,4,0,0,0,2,0,0,0,,,,,,,,,,,,51,9,48,,,,,,,,,,,,,,,,,,,,445,1,20,466,742,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,3,0,C03,91,17,19,10,11,13,8,152,15,23,7,2,,7,0,0,7,2,0,0,0,,,,,,,,,,,,47,9,56,,,,,,,,,,,,,,,,,,,,496,0,15,511,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,4,0,C04,104,16,30,13,14,7,9,143,23,10,5,1,,7,3,2,3,2,0,1,0,,,,,,,,,,,,64,3,31,,,,,,,,,,,,,,,,,,,,491,0,12,503,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,2,0,C02,75,15,22,20,19,10,7,143,13,13,3,5,,5,2,0,6,6,0,1,0,,,,,,,,,,,,43,6,28,,,,,,,,,,,,,,,,,,,,442,0,18,460,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,C,1,0,C01,99,17,32,21,6,15,11,126,15,10,8,0,,6,0,0,3,0,0,0,0,,,,,,,,,,,,53,6,48,,,,,,,,,,,,,,,,,,,,476,0,11,487,743,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,B,1,0,B,64,17,19,12,5,6,10,109,10,14,3,2,,6,1,0,5,1,0,1,0,,,,,,,,,,,,45,7,25,,,,,,,,,,,,,,,,,,,,362,0,12,374,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,3,0,C03,103,18,43,13,1,15,11,116,9,16,5,2,,4,1,0,4,2,0,2,0,,,,,,,,,,,,26,1,49,,,,,,,,,,,,,,,,,,,,441,0,15,456,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,2,0,C02,63,11,19,7,16,4,10,85,18,9,2,2,,5,2,0,2,2,0,0,0,,,,,,,,,,,,34,1,20,,,,,,,,,,,,,,,,,,,,312,0,6,318,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,B,1,0,B,51,11,18,18,14,12,9,108,18,9,3,2,,9,2,0,5,1,0,0,0,,,,,,,,,,,,45,5,23,,,,,,,,,,,,,,,,,,,,363,0,15,378,604,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,1,0,C01,58,10,27,10,14,8,3,109,14,15,6,3,,5,2,0,2,1,0,0,1,,,,,,,,,,,,36,8,28,,,,,,,,,,,,,,,,,,,,360,0,8,368,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,2,0,C02,71,16,19,17,11,10,8,93,19,15,4,2,,4,0,2,4,2,0,1,1,,,,,,,,,,,,31,4,36,,,,,,,,,,,,,,,,,,,,370,0,14,384,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,3,0,C03,66,17,19,20,13,8,5,104,13,15,6,3,,3,1,0,1,1,3,0,0,,,,,,,,,,,,42,3,33,,,,,,,,,,,,,,,,,,,,376,0,13,389,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,4,0,C04,58,17,16,13,10,12,4,90,19,14,7,5,,10,1,1,3,0,0,0,0,,,,,,,,,,,,54,10,34,,,,,,,,,,,,,,,,,,,,378,1,19,398,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,B,1,0,B,76,17,26,17,6,10,11,114,16,8,9,1,,3,1,0,4,3,1,2,0,,,,,,,,,,,,72,7,31,,,,,,,,,,,,,,,,,,,,435,0,15,450,670,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,1,0,C01,88,19,21,19,17,9,7,111,15,13,0,5,,5,1,0,2,2,2,0,0,,,,,,,,,,,,40,7,42,,,,,,,,,,,,,,,,,,,,425,0,13,438,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,2,0,C02,97,13,19,11,3,13,5,112,21,12,6,3,,7,1,0,4,3,0,0,0,,,,,,,,,,,,49,17,37,,,,,,,,,,,,,,,,,,,,433,1,13,447,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,B,1,0,B,55,13,15,8,9,8,12,102,10,14,5,1,,4,1,0,1,1,0,0,0,,,,,,,,,,,,40,3,21,,,,,,,,,,,,,,,,,,,,323,0,10,333,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,1,0,C01,66,9,14,24,10,6,7,87,13,10,6,2,,6,0,1,2,2,2,1,0,,,,,,,,,,,,39,13,18,,,,,,,,,,,,,,,,,,,,338,0,20,358,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,2,0,C02,70,7,25,9,12,9,11,80,7,14,4,3,,0,0,0,0,4,0,1,0,,,,,,,,,,,,35,7,26,,,,,,,,,,,,,,,,,,,,324,0,11,335,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,B,1,0,B,76,14,45,22,14,6,9,136,15,16,0,2,,9,0,0,2,1,0,0,0,,,,,,,,,,,,54,13,28,,,,,,,,,,,,,,,,,,,,462,0,21,483,738,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,1,0,C01,74,20,29,14,18,9,17,111,22,16,0,3,,6,0,0,3,4,0,1,0,,,,,,,,,,,,60,12,34,,,,,,,,,,,,,,,,,,,,453,0,19,472,737,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,2,0,C02,88,30,31,5,10,11,9,126,9,19,7,1,,2,1,0,1,0,1,3,1,,,,,,,,,,,,43,7,19,,,,,,,,,,,,,,,,,,,,424,0,22,446,737,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,B,1,0,B,75,17,34,17,16,9,4,108,14,17,3,0,,4,2,0,3,3,2,2,0,,,,,,,,,,,,33,12,18,,,,,,,,,,,,,,,,,,,,393,0,11,404,586,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,1,0,C01,62,12,25,13,11,8,7,97,19,17,1,3,,2,1,0,1,2,0,1,0,,,,,,,,,,,,44,10,17,,,,,,,,,,,,,,,,,,,,353,0,8,361,585,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,2,0,C02,71,8,19,8,16,8,10,106,18,15,2,1,,4,0,0,0,1,0,2,0,,,,,,,,,,,,58,4,15,,,,,,,,,,,,,,,,,,,,366,0,12,378,585,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,B,1,0,B,78,20,15,17,11,11,10,136,15,14,6,4,,6,1,0,1,2,1,0,0,,,,,,,,,,,,57,4,23,,,,,,,,,,,,,,,,,,,,432,2,14,448,693,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,1,0,C01,107,22,21,17,8,8,12,128,27,17,3,4,,5,2,0,2,0,0,0,0,,,,,,,,,,,,63,9,21,,,,,,,,,,,,,,,,,,,,476,2,17,495,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,2,0,C02,86,19,15,18,7,13,18,119,15,12,8,5,,4,0,0,3,2,2,2,0,,,,,,,,,,,,83,13,28,,,,,,,,,,,,,,,,,,,,472,0,18,490,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,B,1,0,B,103,13,12,15,9,8,7,124,11,9,6,3,,5,1,0,4,0,3,1,0,,,,,,,,,,,,52,14,31,,,,,,,,,,,,,,,,,,,,431,0,19,450,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,2,0,C02,84,19,24,11,6,4,7,125,10,12,7,1,,4,4,0,3,1,2,2,0,,,,,,,,,,,,61,11,22,,,,,,,,,,,,,,,,,,,,420,1,22,443,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,1,0,C01,97,19,19,14,9,8,7,114,14,10,7,0,,8,1,1,3,2,1,2,0,,,,,,,,,,,,72,10,31,,,,,,,,,,,,,,,,,,,,449,0,17,466,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,3,0,C03,84,22,28,21,7,10,3,115,14,14,8,1,,6,0,0,4,1,0,1,0,,,,,,,,,,,,52,12,30,,,,,,,,,,,,,,,,,,,,433,1,12,446,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,B,1,0,B,52,12,18,18,6,5,5,75,10,9,6,1,,6,0,0,1,1,0,1,0,,,,,,,,,,,,58,5,25,,,,,,,,,,,,,,,,,,,,314,1,16,331,534,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,1,0,C01,55,17,15,15,11,7,10,76,7,10,5,1,,3,0,0,1,0,0,0,0,,,,,,,,,,,,48,12,20,,,,,,,,,,,,,,,,,,,,313,0,18,331,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,2,0,C02,60,21,12,20,7,8,6,78,6,11,5,2,,4,1,0,0,3,0,1,0,,,,,,,,,,,,44,9,20,,,,,,,,,,,,,,,,,,,,318,0,11,329,533,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,B,1,0,B,61,20,17,10,8,7,13,105,16,12,5,6,,2,1,1,3,2,0,3,0,,,,,,,,,,,,41,9,28,,,,,,,,,,,,,,,,,,,,370,0,17,387,600,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,2,0,C02,56,22,25,14,14,8,20,95,8,14,4,3,,8,2,1,6,1,0,2,1,,,,,,,,,,,,60,6,27,,,,,,,,,,,,,,,,,,,,397,0,13,410,599,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,1,0,C01,61,15,25,17,11,10,12,92,7,13,5,2,,4,0,0,2,1,0,2,0,,,,,,,,,,,,37,3,25,,,,,,,,,,,,,,,,,,,,344,0,19,363,599,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,B,1,0,B,86,26,26,23,11,12,7,93,15,14,4,1,,4,1,0,2,1,1,2,0,,,,,,,,,,,,50,13,26,,,,,,,,,,,,,,,,,,,,418,0,14,432,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,1,0,C01,98,31,31,17,8,10,10,107,8,18,1,1,,4,2,1,2,1,1,0,0,,,,,,,,,,,,39,6,34,,,,,,,,,,,,,,,,,,,,430,1,19,450,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,2,0,C02,91,22,21,26,7,13,8,110,10,11,3,4,,5,2,0,0,2,0,0,1,,,,,,,,,,,,45,14,23,,,,,,,,,,,,,,,,,,,,418,0,27,445,662,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,B,1,0,B,89,21,33,17,17,14,8,87,17,22,3,4,,5,3,0,3,1,1,0,0,,,,,,,,,,,,70,9,19,,,,,,,,,,,,,,,,,,,,443,0,11,454,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,C,1,0,C01,89,21,33,17,16,14,8,87,17,22,3,4,,5,3,0,3,1,1,1,0,,,,,,,,,,,,70,9,19,,,,,,,,,,,,,,,,,,,,443,0,11,454,748,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,S,1,0,S01,6,2,1,0,1,0,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,23,0,0,23,0,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,B,1,0,B,108,14,22,11,12,5,9,55,9,11,7,4,,9,0,0,1,1,0,3,0,,,,,,,,,,,,55,16,16,,,,,,,,,,,,,,,,,,,,368,0,14,382,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,2,0,C02,109,14,11,14,9,3,11,11,2,79,2,3,,6,0,0,0,0,1,2,0,,,,,,,,,,,,47,20,14,,,,,,,,,,,,,,,,,,,,358,0,17,375,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,C,1,0,C01,99,15,16,12,9,5,6,67,16,10,2,7,,1,0,0,1,1,0,0,1,,,,,,,,,,,,36,12,17,,,,,,,,,,,,,,,,,,,,333,0,8,341,535,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,B,1,0,B,87,10,13,13,6,5,9,76,0,6,1,2,,2,1,0,1,0,0,2,0,,,,,,,,,,,,43,9,13,,,,,,,,,,,,,,,,,,,,299,0,10,309,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,C,1,0,C01,91,14,8,7,9,9,48,5,5,5,0,1,,2,1,0,0,0,0,0,0,,,,,,,,,,,,52,18,14,,,,,,,,,,,,,,,,,,,,289,0,8,297,431,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,B,1,0,B,75,12,10,10,7,9,5,68,8,12,2,0,,2,0,0,1,0,1,0,1,,,,,,,,,,,,35,10,10,,,,,,,,,,,,,,,,,,,,278,0,7,285,415,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,C,1,0,C01,98,10,7,8,7,2,3,49,7,10,2,0,,1,0,0,1,1,1,0,1,,,,,,,,,,,,42,6,14,,,,,,,,,,,,,,,,,,,,270,0,8,278,414,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,B,1,0,B,108,8,18,18,19,8,12,78,11,14,2,2,,4,2,0,0,1,0,0,0,,,,,,,,,,,,47,21,16,,,,,,,,,,,,,,,,,,,,389,2,12,403,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,2,0,C02,115,11,12,7,14,11,8,8,14,11,3,0,,9,2,1,3,3,1,0,0,,,,,,,,,,,,53,8,19,,,,,,,,,,,,,,,,,,,,313,0,5,318,614,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,C,1,0,C01,96,10,15,6,8,6,10,104,11,18,4,0,,5,2,0,3,1,0,0,0,,,,,,,,,,,,45,11,16,,,,,,,,,,,,,,,,,,,,371,0,11,382,615,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,B,1,0,B,120,20,7,7,8,3,11,62,8,5,4,1,,5,0,0,2,1,0,0,0,,,,,,,,,,,,52,14,14,,,,,,,,,,,,,,,,,,,,344,0,9,353,550,Acta casilla,,,
