ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,724,4377,1510,208,615,519,152,267,467,24,35,,,,6,8904,204,9108,11569,0.7873
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,266,1991,,,38,,1906,250,199,30,,,,,0,4680,161,4841,7366,0.6572
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,474,735,,121,,382,483,161,,,56,,,,1,2413,60,2473,3804,0.6501
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,51,1892,6215,1549,3839,711,,177,530,52,142,2057,,,,0,17164,332,17496,25587,0.6838
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,60,1552,9941,878,,1413,6416,170,206,165,,,,,,5,20746,607,21353,32840,0.6502
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,27,2858,4381,65,209,360,31,71,117,,,,,,,0,8092,238,8330,11446,0.7278
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,1714,1568,398,1121,302,50,142,,,,,,,,0,5295,153,5448,8756,0.6222
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,41,1635,4358,2443,803,600,391,3570,589,180,439,54,,,,2,15064,566,15630,22469,0.6956
24,SAN LUIS POTOSI,55,XILITLA,47,70,10864,9572,,,994,150,,263,,,,,,,9,21852,1034,22886,34081,0.6715
24,SAN LUIS POTOSI,56,ZARAGOZA,22,36,290,2833,221,2628,2019,1446,721,352,113,208,118,,,,15,10964,383,11347,16944,0.6697
24,SAN LUIS POTOSI,57,EL NARANJO,17,28,4267,3662,97,305,396,,1012,106,16,,61,,,,0,9922,195,10117,14160,0.7145
24,SAN LUIS POTOSI,58,MATLAPA,17,37,5991,3530,458,121,1341,,205,690,475,,1013,,,,0,13824,547,14371,20445,0.7029
