ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1376,2,106,126,,6,3,124,0,2,,3,0,0,1,0,0,1,2,0,0,0,,,0,374,9,383,572
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1377,2,140,212,,3,3,201,4,1,,5,1,1,2,0,1,1,0,0,0,0,,,0,575,18,593,968
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1378,1,11,19,,1,0,17,1,1,,0,0,0,0,0,0,0,0,0,0,0,,,0,50,3,53,123
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1379,3,108,188,,2,2,107,1,1,,0,1,0,2,0,1,0,0,0,0,0,,,0,413,11,424,1616
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1380,1,42,96,,2,2,140,2,0,,0,0,0,0,0,0,1,0,0,0,0,,,0,285,4,289,465
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1381,2,58,107,,6,8,238,4,0,,0,0,0,0,0,0,5,0,0,0,0,,,0,426,8,434,761
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1382,1,7,10,,0,0,77,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,94,0,94,540
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1383,1,66,57,,6,1,121,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,252,1,253,463
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1384,1,8,32,,1,1,181,2,1,,2,0,0,2,0,0,0,0,0,0,0,,,0,230,4,234,550
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1385,1,10,18,,0,0,52,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,80,3,83,128
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1386,1,7,28,,1,1,84,1,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,122,2,124,176
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,40,MADERA,2214,1,229,91,40,4,2,,3,,,0,0,2,0,0,1,2,0,1,0,0,,,0,375,14,389,685
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,40,MADERA,2215,2,430,191,131,3,14,,13,,,6,0,3,0,0,0,0,0,0,0,1,,,0,792,16,808,1334
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,40,MADERA,2216,1,241,84,68,3,5,,6,,,1,0,0,0,0,0,0,0,0,0,0,,,0,408,8,416,717
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,40,MADERA,2217,1,219,85,43,1,3,,5,,,2,0,1,0,0,2,2,0,0,0,0,,,0,363,7,370,575
