ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,35,JANOS,12,18,711,1118,,40,37,1543,28,9,,0,3486,74,3560,7325,0.486
8,CHIHUAHUA,36,JIMENEZ,36,58,4606,5249,687,208,1158,1852,565,1485,,9,15810,481,16300,29522,0.5521
8,CHIHUAHUA,37,JUAREZ,1174,1935,130367,101443,8192,15761,8267,34157,23918,46030,27159,3259,395294,25827,424380,1023228,0.4147
8,CHIHUAHUA,38,JULIMES,6,9,1353,1233,,40,26,,93,48,,0,2793,87,2880,4656,0.6186
8,CHIHUAHUA,39,LOPEZ,6,8,884,761,135,44,290,,25,214,,0,2353,71,2424,3484,0.6958
8,CHIHUAHUA,40,MADERA,47,59,6175,3917,1533,175,160,,245,,,5,12205,381,12591,22370,0.5629
8,CHIHUAHUA,41,MAGUARICHI,5,5,110,583,,21,12,,25,,,0,751,26,777,1414,0.5495
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,174,339,47,91,327,,339,,,0,1317,45,1362,1927,0.7068
8,CHIHUAHUA,43,MATACHI,7,8,858,344,,28,11,314,32,,,1,1587,67,1655,2636,0.6278
8,CHIHUAHUA,44,MATAMOROS,8,10,1302,677,,52,79,312,40,15,,16,2477,54,2547,3959,0.6433
8,CHIHUAHUA,45,MEOQUI,35,64,6105,3414,1112,227,229,2756,918,575,,878,15336,490,16704,33726,0.4953
8,CHIHUAHUA,46,MORELOS,8,11,1025,1545,858,51,53,9,27,,,0,3568,242,3810,5331,0.7147
8,CHIHUAHUA,47,MORIS,8,11,997,685.5,,342.75,,,342.75,,,6,2368,148,2522,4012,0.6286
8,CHIHUAHUA,48,NAMIQUIPA,44,51,2848,1555,1797,263,,,1555,162,,4,8180,432,8616,18913,0.4556
8,CHIHUAHUA,49,NONOAVA,5,7,1030,941,,23,26,,23,,,0,2043,22,2065,2547,0.8108
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,5160,3913,8779,348,1353,506,481,545,736,8,21821,778,22607,47026,0.4807
8,CHIHUAHUA,51,OCAMPO,14,16,655,549.5,227,1325,,273,549.5,31,,0,3610,201,3811,5813,0.6556
8,CHIHUAHUA,52,OJINAGA,26,42,5640,2445,92,1222.5,183,70,1222.5,92,111,4,11078,608,11690,21390,0.5465
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,801,649.5,513,324.75,,134,324.75,53,,3,2800,160,2963,6141,0.4825
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1355,578.5,80,,,,578.5,19,,0,2611,74,2685,7330,0.3663
8,CHIHUAHUA,55,ROSALES,16,26,3406,2607,412,63,105,,192,107,289,1,7181,221,7403,13135,0.5636
8,CHIHUAHUA,56,ROSARIO,4,4,811,383.5,,191.75,,,191.75,,,0,1578,9,1587,2007,0.7907
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,697,389.5,,194.75,25,91,194.75,,,0,1592,50,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,652,670,382,23,22,,25,19,,0,1793,30,1823,2590,0.7039
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,582,1153,822,25,39,128,53,,117,2,2919,84,3005,4295,0.6997
8,CHIHUAHUA,60,SANTA BARBARA,20,22,859,981,918,57,90,2110,56,135,263,4,5469,196,5669,8584,0.6604
8,CHIHUAHUA,61,SATEVO,13,13,1482,1241,,26,26,,16,,,2,2791,67,2860,4088,0.6996
8,CHIHUAHUA,62,SAUCILLO,32,45,5677,3814,1836,120,140,,516,278,,7,12381,321,12709,24234,0.5244
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1681,900,,44,25,76,39,136,,0,2901,155,3056,5315,0.575
8,CHIHUAHUA,64,EL TULE,6,6,820,415.5,,207.75,,,207.75,,,1,1651,17,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,2677,3561,255,95,76,43,131,,,0,6838,536,7374,13291,0.5548
8,CHIHUAHUA,66,URUACHI,11,15,1236,1230,434,51,33,,55,,,0,3039,156,3195,5462,0.585
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,701,1245,590,46,36,39,23,,,0,2680,107,2787,4346,0.6413
