Dtto,Cve Mpio,Municipio,Seccion,Tipo    Casilla,Contigua,Contigua Ext.,PAN,PRI,PRD,PT,PVEM,CONVERGENCIA,PANAL,PSD,PRI-PANAL,PRD-PT,PT-CONVERGENCIA,Total PRI-PANAL,Total PRD-PT,Total PT-CONVERGENCIA,NULOS,No Registrados,Total
3,1,ACATIC,9,B,0,,10,6,9,0,21,0,1,0,0,,,7,,,0,0,47
3,1,ACATIC,10,B,0,,164,115,19,0,64,17,0,1,0,,,115,,,13,0,393
3,1,ACATIC,10,C,1,,149,91,20,0,88,10,3,0,0,,,94,,,11,2,374
3,1,ACATIC,10,C,2,,158,98,23,1,71,4,0,0,0,,,98,,,9,1,365
3,1,ACATIC,11,B,0,,122,70,9,1,70,0,1,1,0,,,71,,,15,0,289
3,1,ACATIC,11,C,1,,128,56,10,1,59,1,2,0,2,,,60,,,9,0,268
3,1,ACATIC,12,B,0,,103,183,20,0,66,3,0,0,0,,,183,,,15,0,390
17,2,ACATLÁN DE JUÁREZ,13,B,0,,48,68,37,116,50,8,0,66,0,,,68,,,8,0,401
17,2,ACATLÁN DE JUÁREZ,13,C,1,,39,92,20,127,18,8,1,97,0,,,93,,,7,0,409
17,2,ACATLÁN DE JUÁREZ,13,C,2,,38,89,34,95,33,13,0,99,1,,,90,,,8,0,410
17,2,ACATLÁN DE JUÁREZ,14,B,0,,100,91,12,68,3,7,8,92,1,,,100,,,6,0,388
17,2,ACATLÁN DE JUÁREZ,14,C,1,,83,81,22,67,5,10,0,91,2,,,83,,,6,0,367
17,2,ACATLÁN DE JUÁREZ,15,B,0,,63,64,18,64,7,11,1,92,2,,,67,,,11,0,333
17,2,ACATLÁN DE JUÁREZ,15,C,1,,75,59,16,58,5,7,2,117,1,,,62,,,7,0,347
17,2,ACATLÁN DE JUÁREZ,15,C,2,,80,82,14,75,4,9,1,94,2,,,85,,,11,0,372
17,2,ACATLÁN DE JUÁREZ,16,B,0,,104,72,11,89,7,4,1,54,0,,,73,,,8,0,350
17,2,ACATLÁN DE JUÁREZ,16,C,1,,101,57,9,113,7,3,0,54,1,,,58,,,0,0,345
17,2,ACATLÁN DE JUÁREZ,16,C,2,,108,57,12,102,7,1,0,61,0,,,57,,,6,0,354
17,2,ACATLÁN DE JUÁREZ,17,B,0,,123,72,23,56,5,6,1,113,0,,,73,,,16,0,415
17,2,ACATLÁN DE JUÁREZ,17,C,1,,123,84,14,66,4,10,1,105,2,,,87,,,9,0,418
17,2,ACATLÁN DE JUÁREZ,18,B,0,,75,79,31,44,106,59,1,24,5,,,85,,,9,0,433
17,2,ACATLÁN DE JUÁREZ,18,C,1,,73,87,42,50,82,60,4,23,3,,,94,,,11,0,435
17,2,ACATLÁN DE JUÁREZ,18,C,2,,71,74,29,47,102,55,2,18,4,,,80,,,6,0,408
17,2,ACATLÁN DE JUÁREZ,19,B,0,,75,77,34,58,123,44,1,16,1,,,79,,,15,1,445
17,2,ACATLÁN DE JUÁREZ,19,C,1,,74,73,48,49,146,34,5,23,2,,,80,,,6,0,460
17,2,ACATLÁN DE JUÁREZ,20,B,0,,74,61,53,37,89,36,2,10,1,,,64,,,7,0,370
17,2,ACATLÁN DE JUÁREZ,20,C,1,,62,63,37,38,96,27,3,14,4,,,70,,,8,0,352
17,2,ACATLÁN DE JUÁREZ,21,B,0,,40,44,45,22,75,13,2,15,1,,,47,,,3,0,260
17,2,ACATLÁN DE JUÁREZ,21,C,1,,59,40,31,55,68,19,2,10,1,,,43,,,3,0,288
17,2,ACATLÁN DE JUÁREZ,22,B,0,,125,107,25,61,16,14,1,50,0,,,108,,,8,0,407
17,2,ACATLÁN DE JUÁREZ,22,C,1,,105,98,24,96,10,9,1,49,0,,,99,,,14,0,406
17,2,ACATLÁN DE JUÁREZ,22,C,2,,109,108,25,60,23,10,0,43,0,,,108,,,5,0,383
17,2,ACATLÁN DE JUÁREZ,23,B,0,,101,108,29,38,6,28,2,66,1,,,111,,,11,0,390
1,3,AHUALULCO DE MERCADO,24,B,0,,59,65,159,0,61,22,1,14,1,,,67,,,3,0,385
1,3,AHUALULCO DE MERCADO,24,C,1,,64,73,169,1,81,19,1,10,2,,,76,,,3,0,423
1,3,AHUALULCO DE MERCADO,24,C,2,,59,80,163,0,65,16,2,10,2,,,84,,,8,0,405
1,3,AHUALULCO DE MERCADO,25,B,0,,73,90,131,0,60,32,1,1,1,,,92,,,8,0,397
1,3,AHUALULCO DE MERCADO,25,C,1,,72,116,118,0,67,29,2,7,1,,,119,,,7,0,419
1,3,AHUALULCO DE MERCADO,26,B,0,,60,64,111,0,35,17,8,4,1,,,73,,,6,0,306
1,3,AHUALULCO DE MERCADO,26,C,1,,74,73,113,0,43,17,6,5,1,,,80,,,4,0,336
1,3,AHUALULCO DE MERCADO,27,B,0,,99,56,110,0,49,21,0,3,0,,,56,,,4,1,343
1,3,AHUALULCO DE MERCADO,27,C,1,,101,96,106,0,54,23,2,1,3,,,101,,,5,0,391
1,3,AHUALULCO DE MERCADO,27,C,2,,101,58,100,1,48,26,7,5,0,,,65,,,1,1,348
1,3,AHUALULCO DE MERCADO,28,B,0,,139,137,83,0,42,16,1,0,0,,,138,,,5,0,423
1,3,AHUALULCO DE MERCADO,28,C,1,,142,122,94,2,58,14,4,4,3,,,129,,,7,0,450
1,3,AHUALULCO DE MERCADO,29,B,0,,131,103,141,1,70,18,3,5,1,,,107,,,0,0,473
1,3,AHUALULCO DE MERCADO,29,C,1,,127,94,159,0,70,19,2,4,0,,,96,,,10,0,485
1,3,AHUALULCO DE MERCADO,29,C,2,,134,103,151,0,71,19,0,2,1,,,104,,,5,0,486
1,3,AHUALULCO DE MERCADO,30,B,0,,72,102,106,1,35,8,2,0,2,,,106,,,4,0,332
1,3,AHUALULCO DE MERCADO,30,C,1,,92,96,73,0,62,16,2,3,2,,,100,,,6,1,353
1,3,AHUALULCO DE MERCADO,31,B,0,,92,87,181,0,95,30,1,3,3,,,91,,,8,0,500
1,3,AHUALULCO DE MERCADO,31,C,1,,79,127,181,0,85,20,2,2,2,,,131,,,3,2,503
1,3,AHUALULCO DE MERCADO,31,C,2,,90,97,168,3,85,31,1,3,2,,,100,,,6,0,486
1,3,AHUALULCO DE MERCADO,32,B,0,,37,34,112,4,8,7,0,2,0,,,34,,,3,0,207
1,3,AHUALULCO DE MERCADO,33,B,0,,114,157,96,2,66,8,3,8,4,,,164,,,10,0,468
1,3,AHUALULCO DE MERCADO,33,C,1,,116,109,77,2,83,6,3,9,2,,,114,,,9,0,416
1,3,AHUALULCO DE MERCADO,34,B,0,,130,120,102,3,42,9,2,11,2,,,124,,,0,0,421
1,3,AHUALULCO DE MERCADO,34,C,1,,140,115,94,4,41,11,2,9,0,,,117,,,3,0,419
1,3,AHUALULCO DE MERCADO,34,C,2,,133,107,96,2,37,10,1,10,0,,,108,,,3,0,399
1,3,AHUALULCO DE MERCADO,35,B,0,,131,91,174,1,28,5,1,1,1,,,93,,,11,0,444
1,3,AHUALULCO DE MERCADO,35,C,1,,110,102,171,2,40,6,1,2,4,,,107,,,13,0,451
19,4,AMACUECA,36,B,0,,89,126,11,1,0,24,1,0,0,,,127,,,8,0,260
19,4,AMACUECA,36,C,1,,70,114,6,1,2,33,2,0,1,,,117,,,5,0,234
19,4,AMACUECA,37,B,0,,81,198,9,1,0,31,9,0,3,,,210,,,5,0,337
19,4,AMACUECA,37,C,1,,88,177,19,1,0,26,4,0,7,,,188,,,10,0,332
19,4,AMACUECA,37,C,2,,73,171,26,2,0,39,0,1,11,,,182,,,11,0,334
19,4,AMACUECA,38,B,0,,42,79,19,3,1,25,2,1,0,,,81,,,6,0,178
19,4,AMACUECA,39,B,0,,78,128,45,3,3,11,1,0,1,,,130,,,11,0,281
19,4,AMACUECA,39,C,1,,69,147,51,3,4,17,4,1,3,,,154,,,5,20,324
19,4,AMACUECA,39,C,2,,83,131,32,4,1,12,1,0,0,,,132,,,6,0,270
1,5,AMATITÁN,40,B,0,,52,149,143,11,10,42,7,0,0,,,156,,,8,0,422
1,5,AMATITÁN,40,C,1,,53,149,169,15,13,70,4,1,2,,,155,,,10,0,486
1,5,AMATITÁN,40,C,2,,46,144,197,13,13,50,6,0,1,,,151,,,6,0,476
1,5,AMATITÁN,41,B,0,,64,137,103,6,15,39,3,0,0,,,140,,,9,0,376
1,5,AMATITÁN,41,C,1,,62,145,110,11,8,41,2,0,0,,,147,,,8,0,387
1,5,AMATITÁN,41,C,2,,39,148,127,7,7,41,2,0,3,,,153,,,7,0,381
1,5,AMATITÁN,42,B,0,,41,123,165,4,19,68,7,0,1,,,131,,,11,0,439
1,5,AMATITÁN,42,C,1,,42,143,146,13,14,60,5,1,1,,,149,,,11,0,436
1,5,AMATITÁN,42,C,2,,34,138,142,4,22,75,6,0,1,,,145,,,9,0,431
1,5,AMATITÁN,43,B,0,,61,138,164,11,15,95,6,0,0,,,144,,,11,0,501
1,5,AMATITÁN,43,C,1,,65,188,134,6,14,67,5,0,0,,,193,,,9,0,488
1,5,AMATITÁN,43,C,2,,52,141,181,6,20,73,3,0,2,,,146,,,9,0,487
1,5,AMATITÁN,44,B,0,,94,56,90,2,6,95,4,0,0,,,60,,,4,1,352
1,5,AMATITÁN,45,B,0,,12,40,174,5,2,62,4,0,0,,,44,,,3,1,303
1,5,AMATITÁN,46,B,0,,34,94,77,21,38,16,2,0,0,,,96,,,7,0,289
1,5,AMATITÁN,47,B,0,,34,125,52,3,17,66,2,0,0,,,127,,,15,0,314
1,5,AMATITÁN,47,C,1,,21,146,84,2,4,66,2,0,1,,,149,,,13,0,339
18,6,AMECA,48,B,0,,91,168,41,22,6,51,5,3,2,,,175,,,11,0,400
18,6,AMECA,48,C,1,,89,179,36,18,11,48,6,3,1,,,186,,,10,0,401
18,6,AMECA,48,C,2,,84,188,36,12,14,50,1,1,4,,,193,,,6,0,396
18,6,AMECA,50,B,0,,52,117,23,14,8,26,3,4,0,,,120,,,7,0,254
18,6,AMECA,50,C,1,,59,94,30,8,6,24,3,2,1,,,98,,,10,0,237
18,6,AMECA,51,B,0,,93,144,22,8,8,24,2,5,1,,,147,,,8,0,315
18,6,AMECA,51,C,1,,78,135,29,11,6,35,0,3,0,,,135,,,5,0,302
18,6,AMECA,52,B,0,,72,146,20,15,15,50,2,4,0,,,148,,,5,0,329
18,6,AMECA,52,C,1,,74,160,37,14,15,49,1,2,2,,,163,,,7,0,361
18,6,AMECA,52,C,2,,83,134,30,15,24,52,3,4,1,,,138,,,9,0,355
18,6,AMECA,52,C,3,,72,163,26,26,13,58,3,4,1,,,167,,,7,0,373
18,6,AMECA,53,B,0,,62,127,31,15,3,27,5,2,4,,,136,,,4,0,280
18,6,AMECA,53,C,1,,64,155,28,11,8,28,4,4,2,,,161,,,10,0,314
18,6,AMECA,54,B,0,,84,123,23,11,4,38,3,2,1,,,127,,,11,0,300
18,6,AMECA,54,C,1,,56,122,21,13,5,44,3,5,2,,,127,,,4,0,275
18,6,AMECA,55,B,0,,78,145,21,10,15,20,10,4,3,,,158,,,5,0,311
18,6,AMECA,55,C,1,,99,117,13,9,5,28,4,3,2,,,123,,,18,0,298
18,6,AMECA,56,B,0,,104,126,25,20,17,54,4,5,1,,,131,,,9,0,365
18,6,AMECA,56,C,1,,121,0,23,16,24,42,0,8,139,,,139,,,19,0,392
18,6,AMECA,56,C,2,,87,153,32,18,11,48,2,8,1,,,156,,,7,0,367
18,6,AMECA,57,B,0,,127,139,70,4,6,53,2,2,0,,,141,,,5,0,408
18,6,AMECA,57,C,1,,142,127,48,5,8,55,0,1,0,,,127,,,11,0,397
18,6,AMECA,58,B,0,,71,133,23,9,13,18,2,3,1,,,136,,,7,0,280
18,6,AMECA,58,C,1,,108,151,35,5,10,29,2,12,0,,,153,,,2,0,354
18,6,AMECA,59,B,0,,79,123,29,4,24,39,0,2,1,,,124,,,11,0,312
18,6,AMECA,59,C,1,,69,126,28,6,17,28,1,2,1,,,128,,,2,0,280
18,6,AMECA,60,B,0,,73,197,27,10,18,53,3,3,1,,,201,,,6,0,391
18,6,AMECA,61,B,0,,68,176,28,11,7,41,4,3,0,,,180,,,6,0,344
18,6,AMECA,61,C,1,,65,181,23,5,9,35,0,5,2,,,183,,,10,0,335
18,6,AMECA,62,B,0,,121,140,45,5,31,32,3,26,0,,,143,,,4,0,407
18,6,AMECA,62,C,1,,109,126,39,7,19,27,2,32,0,,,128,,,9,0,370
18,6,AMECA,63,B,0,,63,107,25,6,7,56,4,28,1,,,112,,,3,0,300
18,6,AMECA,63,C,1,,60,105,21,13,9,69,4,24,1,,,110,,,4,0,310
18,6,AMECA,63,C,2,,69,100,23,11,12,58,1,15,0,,,101,,,6,0,295
18,6,AMECA,64,B,0,,86,122,20,6,23,57,2,10,0,,,124,,,8,0,334
18,6,AMECA,64,C,1,,72,140,14,10,25,48,4,16,4,,,148,,,3,0,336
18,6,AMECA,65,B,0,,78,134,19,3,19,60,0,12,3,,,137,,,11,0,339
18,6,AMECA,65,C,1,,71,164,23,10,22,36,2,13,0,,,166,,,9,0,350
18,6,AMECA,66,B,0,,63,87,40,1,13,24,1,10,0,,,88,,,8,0,247
18,6,AMECA,66,C,1,,55,101,24,4,12,24,3,7,0,,,104,,,3,0,233
18,6,AMECA,66,C,2,,66,105,16,7,3,24,1,4,0,,,106,,,6,0,232
18,6,AMECA,67,B,0,,86,140,38,16,15,63,8,11,1,,,149,,,10,0,388
18,6,AMECA,67,C,1,,100,146,34,12,14,52,0,11,0,,,146,,,6,0,375
18,6,AMECA,67,C,2,,90,141,47,17,21,63,5,10,0,,,146,,,3,0,397
18,6,AMECA,67,C,3,,114,147,41,21,14,58,1,9,0,,,148,,,0,0,405
18,6,AMECA,69,B,0,,85,107,20,8,13,57,2,12,0,,,109,,,8,0,312
18,6,AMECA,69,C,1,,81,122,37,9,9,48,0,16,0,,,122,,,10,0,332
18,6,AMECA,70,B,0,,95,106,64,5,5,5,0,1,1,,,107,,,6,0,288
18,6,AMECA,70,C,1,,114,125,60,4,7,3,2,3,1,,,128,,,6,0,325
18,6,AMECA,71,B,0,,103,96,46,3,6,5,2,0,0,,,98,,,6,0,267
18,6,AMECA,71,C,1,,95,101,52,2,9,2,3,1,1,,,105,,,5,0,271
18,6,AMECA,72,B,0,,218,87,47,4,16,33,0,1,0,,,87,,,13,0,419
18,6,AMECA,72,C,1,,196,116,46,1,17,38,0,3,0,,,116,,,10,0,427
18,6,AMECA,72,C,2,,202,115,55,3,15,36,0,3,0,,,115,,,10,0,439
18,6,AMECA,73,B,0,,137,69,8,5,2,9,9,1,4,,,82,,,10,0,254
18,6,AMECA,74,B,0,,50,28,27,4,4,7,2,3,0,,,30,,,7,0,132
18,6,AMECA,75,B,0,,117,128,21,3,31,8,1,4,2,,,131,,,8,0,323
18,6,AMECA,75,E,1,,54,28,22,6,10,6,0,0,28,,,56,,,0,0,154
18,6,AMECA,76,B,0,,107,71,15,9,27,11,1,1,1,,,73,,,2,0,245
18,6,AMECA,76,C,1,,157,58,9,6,14,9,0,1,0,,,58,,,0,0,254
18,6,AMECA,77,B,0,,48,121,59,5,7,2,4,5,1,,,126,,,4,0,256
18,6,AMECA,77,C,1,,66,144,34,5,3,11,1,3,1,,,146,,,7,0,275
18,6,AMECA,78,B,0,,124,69,11,4,9,4,0,5,0,,,69,,,3,0,229
18,6,AMECA,78,C,1,,115,54,6,12,11,5,0,3,1,,,55,,,3,0,210
18,6,AMECA,79,B,0,,104,119,20,14,6,17,0,0,0,,,119,,,2,0,282
18,6,AMECA,79,C,1,,110,96,31,11,5,23,1,2,0,,,97,,,0,0,279
18,6,AMECA,80,B,0,,208,101,10,7,12,8,14,3,1,,,116,,,11,0,375
18,6,AMECA,80,C,1,,173,123,9,6,13,11,8,4,1,,,132,,,5,0,353
18,6,AMECA,81,B,0,,165,67,12,3,4,9,2,1,0,,,69,,,6,0,269
18,6,AMECA,81,C,1,,160,66,9,7,5,11,4,1,1,,,71,,,3,0,267
18,6,AMECA,82,B,0,,123,15,6,2,3,3,0,0,1,,,16,,,3,0,156
18,6,AMECA,83,B,0,,22,16,8,1,0,4,1,2,0,,,17,,,2,0,56
18,6,AMECA,84,B,0,,123,108,26,6,9,20,2,4,0,,,110,,,7,0,305
18,6,AMECA,85,B,0,,81,40,13,2,11,2,0,4,2,,,42,,,4,0,159
18,6,AMECA,86,B,0,,55,54,3,6,13,19,1,5,0,,,55,,,2,0,158
18,6,AMECA,87,B,0,,120,155,12,1,2,6,0,1,2,,,157,,,1,0,300
18,6,AMECA,87,C,1,,110,118,13,1,2,5,1,2,0,,,119,,,0,0,252
18,6,AMECA,88,B,0,,91,34,31,1,1,4,0,22,0,,,34,,,22,0,206
18,6,AMECA,88,E,1,,85,88,5,6,7,4,0,1,0,,,88,,,7,0,203
18,6,AMECA,89,B,0,,148,126,11,10,8,3,0,5,0,,,126,,,7,4,322
18,6,AMECA,90,B,0,,106,102,5,4,1,9,0,5,0,,,102,,,5,0,237
18,6,AMECA,91,B,0,,101,72,13,4,4,29,9,6,0,,,81,,,2,0,240
18,6,AMECA,91,C,1,,80,68,10,5,4,32,11,0,3,,,82,,,4,0,217
18,6,AMECA,92,B,0,,52,14,2,2,2,5,0,1,0,,,14,,,2,0,80
18,6,AMECA,93,B,0,,120,49,10,2,7,13,0,3,0,,,49,,,3,0,207
1,7,SAN JUANITO DE ESCOBEDO,94,B,0,,126,67,35,83,34,1,2,3,1,,,70,,,0,0,352
1,7,SAN JUANITO DE ESCOBEDO,94,C,1,,104,62,33,98,43,0,7,3,2,,,71,,,7,0,359
1,7,SAN JUANITO DE ESCOBEDO,94,C,2,,109,78,22,99,25,0,2,0,1,,,81,,,9,0,345
1,7,SAN JUANITO DE ESCOBEDO,95,B,0,,123,75,86,67,50,0,3,15,0,,,78,,,9,1,429
1,7,SAN JUANITO DE ESCOBEDO,95,C,1,,95,87,111,77,70,0,0,8,2,,,89,,,11,2,463
1,7,SAN JUANITO DE ESCOBEDO,96,B,0,,77,87,36,81,34,0,0,7,2,,,89,,,7,0,331
1,7,SAN JUANITO DE ESCOBEDO,96,C,1,,77,92,31,86,35,0,2,16,2,,,96,,,13,0,354
1,7,SAN JUANITO DE ESCOBEDO,97,B,0,,132,132,40,140,12,0,3,0,1,,,136,,,15,0,475
1,7,SAN JUANITO DE ESCOBEDO,98,B,0,,87,64,69,73,19,0,0,21,1,,,65,,,7,0,341
1,7,SAN JUANITO DE ESCOBEDO,99,B,0,,68,14,31,59,8,0,0,0,0,,,14,,,2,0,182
1,7,SAN JUANITO DE ESCOBEDO,100,B,0,,171,108,44,40,1,1,0,8,0,,,108,,,6,0,379
1,7,SAN JUANITO DE ESCOBEDO,101,B,0,,71,33,26,32,5,0,1,19,0,,,34,,,7,0,194
1,7,SAN JUANITO DE ESCOBEDO,101,C,1,,52,45,23,32,6,1,0,15,0,,,45,,,5,0,179
3,8,ARANDAS,102,B,0,,120,83,6,1,39,177,0,0,0,,,83,,,17,0,443
3,8,ARANDAS,102,C,1,,122,78,1,3,29,186,0,0,0,,,78,,,20,0,439
3,8,ARANDAS,102,C,2,,132,80,7,1,24,172,0,1,1,,,81,,,11,0,429
3,8,ARANDAS,103,B,0,,124,79,5,0,18,164,3,0,1,,,83,,,11,0,405
3,8,ARANDAS,103,C,1,,130,61,6,4,25,146,0,0,0,,,61,,,6,1,379
3,8,ARANDAS,103,C,2,,129,82,4,1,22,149,3,0,1,,,86,,,14,0,405
3,8,ARANDAS,104,B,0,,111,105,6,3,21,217,3,0,1,,,109,,,14,0,481
3,8,ARANDAS,104,C,1,,118,116,4,1,18,188,0,0,0,,,116,,,9,0,454
3,8,ARANDAS,105,B,0,,81,65,1,0,14,158,1,0,1,,,67,,,14,0,335
3,8,ARANDAS,105,C,1,,81,71,0,0,22,156,2,0,0,,,73,,,11,3,346
3,8,ARANDAS,105,C,2,,90,82,2,7,13,135,2,0,0,,,84,,,11,0,342
3,8,ARANDAS,106,B,0,,107,72,2,1,34,194,4,0,0,,,76,,,13,0,427
3,8,ARANDAS,106,C,1,,94,65,5,1,26,186,1,1,0,,,66,,,19,0,398
3,8,ARANDAS,106,C,2,,83,93,4,3,30,155,4,3,2,,,99,,,17,0,394
3,8,ARANDAS,106,C,3,,88,88,4,1,32,165,1,0,0,,,89,,,11,0,390
3,8,ARANDAS,106,C,4,,82,81,2,2,25,185,6,1,0,,,87,,,10,0,394
3,8,ARANDAS,107,B,0,,123,87,7,2,25,171,0,0,0,,,87,,,8,0,423
3,8,ARANDAS,107,C,1,,89,97,5,1,23,172,1,0,1,,,99,,,10,0,399
3,8,ARANDAS,107,C,2,,93,122,4,2,23,170,2,0,0,,,124,,,19,0,435
3,8,ARANDAS,107,C,3,,97,102,3,7,30,154,1,0,4,,,107,,,15,0,413
3,8,ARANDAS,107,C,4,,91,109,3,2,32,154,1,3,3,,,113,,,16,0,414
3,8,ARANDAS,107,C,5,,80,73,8,0,33,169,3,0,0,,,76,,,24,0,390
3,8,ARANDAS,108,B,0,,111,71,0,5,9,147,3,1,1,,,75,,,10,0,358
3,8,ARANDAS,108,C,1,,99,63,1,0,21,139,2,0,0,,,65,,,5,5,335
3,8,ARANDAS,108,C,2,,70,88,1,2,20,146,3,0,3,,,94,,,7,0,340
3,8,ARANDAS,109,B,0,,91,73,0,0,12,175,0,0,1,,,74,,,3,0,355
3,8,ARANDAS,109,C,1,,97,114,1,0,25,150,0,2,0,,,114,,,3,1,393
3,8,ARANDAS,110,B,0,,109,87,5,1,39,155,1,0,0,,,88,,,9,0,406
3,8,ARANDAS,110,C,1,,138,82,5,1,22,142,1,0,1,,,84,,,9,0,401
3,8,ARANDAS,111,B,0,,133,74,5,0,28,125,2,0,1,,,77,,,10,3,381
3,8,ARANDAS,111,C,1,,115,57,9,5,24,169,2,0,0,,,59,,,11,0,392
3,8,ARANDAS,111,C,2,,118,69,5,4,28,153,2,1,0,,,71,,,14,0,394
3,8,ARANDAS,112,B,0,,127,54,4,1,20,159,2,0,0,,,56,,,4,0,371
3,8,ARANDAS,112,C,1,,103,53,3,4,18,189,0,0,0,,,53,,,9,0,379
3,8,ARANDAS,112,C,2,,103,71,5,1,20,169,0,0,0,,,71,,,7,0,376
3,8,ARANDAS,112,C,3,,106,74,2,1,23,152,0,0,0,,,74,,,9,0,367
3,8,ARANDAS,113,B,0,,122,73,4,3,16,125,0,0,1,,,74,,,13,0,357
3,8,ARANDAS,113,C,1,,107,69,6,6,15,144,1,0,0,,,70,,,7,0,355
3,8,ARANDAS,113,C,2,,94,78,3,0,11,124,1,0,1,,,80,,,6,0,318
3,8,ARANDAS,114,B,0,,119,101,5,5,33,180,2,0,1,,,104,,,11,0,457
3,8,ARANDAS,114,C,1,,108,109,3,1,32,206,6,0,1,,,116,,,13,0,479
3,8,ARANDAS,114,C,2,,103,91,2,6,33,193,2,1,1,,,94,,,8,7,447
3,8,ARANDAS,115,B,0,,116,84,3,0,21,223,4,0,0,,,88,,,8,0,459
3,8,ARANDAS,115,C,1,,121,80,2,1,24,194,0,2,0,,,80,,,6,1,431
3,8,ARANDAS,115,C,2,,124,87,1,0,23,180,3,0,1,,,91,,,6,7,432
3,8,ARANDAS,115,C,3,,91,83,0,5,19,223,0,1,1,,,84,,,14,0,437
3,8,ARANDAS,116,B,0,,121,75,2,4,22,140,2,1,2,,,79,,,13,0,382
3,8,ARANDAS,116,C,1,,136,86,7,2,13,147,2,0,0,,,88,,,11,0,404
3,8,ARANDAS,116,C,2,,108,91,3,4,22,177,0,0,0,,,91,,,19,0,424
3,8,ARANDAS,116,C,3,,114,88,6,3,23,140,4,0,1,,,93,,,14,0,393
3,8,ARANDAS,117,B,0,,100,65,6,2,23,219,2,0,0,,,67,,,10,0,427
3,8,ARANDAS,117,C,1,,110,88,4,2,24,171,1,0,0,,,89,,,12,0,412
3,8,ARANDAS,117,C,2,,99,82,2,2,35,171,1,1,0,,,83,,,8,0,401
3,8,ARANDAS,117,C,3,,120,83,2,2,34,194,2,1,0,,,85,,,10,0,448
3,8,ARANDAS,117,C,4,,104,83,0,0,21,193,3,0,0,,,86,,,17,0,421
3,8,ARANDAS,118,B,0,,157,104,2,3,29,41,4,0,0,,,108,,,14,0,354
3,8,ARANDAS,118,C,1,,111,144,1,5,25,56,7,0,3,,,154,,,16,1,369
3,8,ARANDAS,119,B,0,,69,118,2,0,19,28,2,0,1,,,121,,,10,0,249
3,125,SAN IGNACIO CERRO GORDO,119,B,0,,2,0,0,0,1,0,0,0,0,,,0,,,0,0,3
3,8,ARANDAS,119,C,1,,78,120,0,2,18,58,4,1,0,,,124,,,8,3,292
3,125,SAN IGNACIO CERRO GORDO,119,C,1,,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0
3,125,SAN IGNACIO CERRO GORDO,119,C,2,,2,2,0,0,1,0,0,0,0,,,2,,,0,0,5
3,8,ARANDAS,119,C,2,,78,102,1,2,23,43,5,0,0,,,107,,,15,0,269
3,125,SAN IGNACIO CERRO GORDO,120,B,0,,130,78,63,0,18,0,1,0,2,,,81,,,12,0,304
3,125,SAN IGNACIO CERRO GORDO,120,C,1,,134,78,68,1,21,0,1,2,0,,,79,,,10,0,315
3,125,SAN IGNACIO CERRO GORDO,120,C,2,,129,68,54,1,32,1,1,0,0,,,69,,,6,0,292
3,125,SAN IGNACIO CERRO GORDO,121,B,0,,208,65,75,0,25,0,0,0,1,,,66,,,9,0,383
3,125,SAN IGNACIO CERRO GORDO,121,C,1,,214,56,67,1,38,2,2,0,0,,,58,,,9,0,389
3,8,ARANDAS,122,B,0,,9,2,0,0,0,2,0,0,0,,,2,,,0,0,13
