CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,276
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1745,1,39,105,2,3,0,3,25,3,123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,,,,,309,0,10,319,448
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1746,1,19,79,1,4,6,1,14,4,165,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,,301,0,11,312,426
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1748,1,3,11,1,0,2,0,0,3,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,74,0,0,74,107
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1749,1,28,23,1,0,0,0,15,0,37,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,,,,,114,0,5,119,176
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1750,1,12,86,0,2,3,1,31,3,94,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,,,,,242,0,6,248,341
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1751,1,25,27,3,1,1,0,21,2,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,146,0,7,153,205
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1753,1,17,106,6,4,5,1,17,4,54,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,,,,,221,0,10,231,359
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1754,1,13,36,1,0,1,0,10,2,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,152,0,4,156,254
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1755,1,56,118,1,9,1,4,26,1,97,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,,317,0,10,327,478
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1756,1,34,34,1,4,1,1,36,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,169,0,8,177,264
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1757,1,12,27,1,2,4,0,5,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,87,0,4,91,129
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1758,1,42,57,3,0,2,1,6,4,63,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,181,0,3,184,256
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1759,1,27,24,0,1,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,75,0,0,75,118
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1761,1,16,41,1,1,5,0,8,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,151,0,5,156,250
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1762,1,27,35,0,0,2,1,2,1,25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,97,0,4,101,135
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1763,1,26,41,0,4,1,0,10,2,58,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,,,,,149,0,9,158,219
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1764,1,11,56,2,1,2,2,14,4,112,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,213,0,10,223,344
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1765,1,3,8,1,1,2,1,25,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,74,0,4,78,132
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1766,1,10,39,4,1,2,0,20,4,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,160,0,2,162,235
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1767,1,32,17,0,0,1,1,8,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,111,0,4,115,190
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1768,1,20,35,1,3,1,2,11,5,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,115,0,2,117,198
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1769,1,46,98,6,1,8,2,23,4,164,3,1,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,2,0,0,3,,,,,369,0,11,380,490
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1770,1,61,49,1,3,8,3,36,7,92,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,3,0,0,,,,,268,0,4,272,348
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1771,1,92,52,2,4,2,1,9,8,72,1,2,0,0,1,1,0,0,0,2,0,0,0,1,2,1,0,0,0,0,1,,,,,254,0,4,258,347
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1772,1,94,66,0,0,2,3,12,5,36,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,222,0,8,230,301
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1773,1,16,45,1,3,1,2,24,4,73,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,,,,,175,0,5,180,234
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1774,1,68,49,0,1,4,2,10,1,58,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,,,,198,0,11,209,329
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1775,1,91,39,0,3,0,1,0,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,1,0,0,1,0,1,,,,,196,0,9,205,298
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1776,1,44,30,1,0,6,0,6,0,47,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,3,0,0,,,,,146,0,5,151,207
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1777,1,47,34,0,1,1,1,27,9,25,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,1,0,0,,,,,159,0,5,164,188
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1778,1,43,79,1,4,1,1,22,2,92,4,3,0,1,0,0,0,1,1,0,0,0,0,5,2,0,1,0,1,0,1,,,,,265,0,13,278,388
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1779,1,29,31,2,3,3,1,9,2,63,1,2,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,,,,,156,0,9,165,234
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1780,1,11,65,0,1,1,1,5,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,111,0,0,111,190
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1781,1,15,13,3,3,0,0,12,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,95,0,1,96,137
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1782,2,15,25,3,0,8,2,11,7,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,235,0,3,238,402
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1783,1,7,7,3,2,7,0,5,1,103,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,140,0,3,143,207
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1784,1,82,56,4,11,5,3,68,1,138,6,1,0,5,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,1,0,,,,,389,0,17,406,594
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1785,1,48,40,0,1,1,0,9,3,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,157,0,5,162,229
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1786,1,18,32,6,2,4,2,6,4,105,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,,,,,189,0,11,200,282
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1787,1,116,53,2,4,4,2,23,2,156,3,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,13,0,0,1,,,,,385,0,13,398,575
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1788,1,64,74,1,6,2,4,27,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,,,,317,1,8,326,537
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1789,1,40,26,1,1,1,2,12,3,40,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,131,0,6,137,200
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1790,1,44,72,1,3,1,1,11,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,,,,,221,0,5,226,378
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1791,1,16,6,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,,,,,117,0,5,122,194
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1792,1,12,20,1,1,3,2,7,7,110,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,,,,,174,0,10,184,314
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1793,1,44,61,1,0,0,4,8,3,118,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,,,,,249,0,13,262,368
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1794,1,40,26,0,1,2,1,7,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,,119,0,3,122,201
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1795,1,12,17,0,0,0,1,0,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,73,0,3,76,125
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1796,1,42,57,1,3,5,3,10,1,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,188,0,12,200,284
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1797,2,14,47,1,2,8,3,31,1,169,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,,,,,282,0,14,296,507
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1798,1,23,22,6,4,8,2,4,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,117,0,9,126,230
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1925,1,76,109,5,1,1,7,10,21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,324,0,12,336,526
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1926,1,50,71,3,4,3,4,4,15,45,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,,,207,0,3,210,316
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1927,1,38,104,1,6,3,0,11,7,33,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,,,,,213,0,2,215,341
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1928,2,261,230,14,7,11,27,27,78,358,12,19,2,0,0,0,0,0,0,4,0,0,0,9,3,3,0,8,2,0,1,,,,,1076,2,24,1102,328
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1929,1,78,106,3,1,2,7,9,29,71,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,,,,,317,0,11,328,533
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1930,1,125,126,4,6,3,5,5,18,89,1,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,,,,,392,1,9,402,711
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1931,1,18,64,1,0,0,0,2,7,52,3,2,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,0,,,,,156,0,2,158,245
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1932,2,151,236,2,6,1,8,19,36,141,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,1,,,,,613,0,12,625,889
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1933,1,72,186,1,3,2,3,14,12,62,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,,,,,364,0,20,384,534
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1934,1,68,142,4,3,2,12,6,21,99,3,2,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,1,,,,,370,0,8,378,648
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1935,1,53,66,3,1,0,3,5,10,42,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,,,,,189,0,9,198,290
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1936,1,27,46,0,1,0,4,4,11,38,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,136,0,9,145,216
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1937,1,46,50,4,0,1,2,12,12,48,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,0,1,0,1,0,,,,,187,0,8,195,325
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1938,2,200,175,8,4,6,18,7,50,156,3,3,0,2,0,0,0,0,0,1,0,0,0,5,3,0,0,2,1,0,0,,,,,644,0,21,665,1190
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1939,1,55,78,2,6,2,7,1,6,77,2,2,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,4,1,0,0,,,,,249,0,11,260,412
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1940,1,74,69,3,2,3,2,15,7,109,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,,,,,293,0,10,303,499
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1941,2,161,222,3,4,4,13,14,24,145,3,4,0,0,2,0,0,0,3,2,0,1,0,3,1,0,1,0,1,0,1,,,,,612,0,13,625,1077
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1942,2,118,180,5,2,4,9,13,30,119,0,5,0,0,1,0,0,1,0,3,1,0,0,2,2,2,0,0,1,0,1,,,,,499,0,23,522,902
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1943,1,17,78,4,5,1,5,5,7,37,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,,,,,167,0,10,177,254
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1944,1,5,82,1,1,2,2,2,4,52,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,,,,161,0,13,174,291
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1945,1,2,48,0,1,4,1,3,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,85,4,89,178,133
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1946,1,1,13,0,4,1,1,3,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,55,0,3,58,104
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1948,1,41,96,9,8,0,1,2,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,,,,,196,0,11,207,445
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1949,1,22,54,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,93,0,8,101,215
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1951,1,12,84,2,0,1,1,1,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,,138,0,6,144,270
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1952,1,9,57,2,1,2,0,0,6,29,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,111,0,7,118,203
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1953,1,24,31,0,0,2,1,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,76,0,2,78,144
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1954,1,27,50,3,1,1,2,1,6,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,119,0,7,126,190
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1955,1,50,112,2,5,1,2,5,21,68,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,,,,,275,0,5,280,368
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1956,1,37,75,1,1,1,2,2,6,37,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,166,0,1,167,248
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1957,1,27,86,0,3,2,4,6,8,55,2,0,0,0,1,0,0,0,0,0,0,0,0,5,6,0,0,1,1,0,0,,,,,207,0,4,211,348
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1958,1,112,51,1,0,1,0,3,2,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,204,0,0,204,205
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1960,1,30,98,7,6,4,3,2,33,68,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,257,0,9,266,474
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1961,1,36,68,1,3,1,3,1,20,57,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,,,,,197,0,8,205,353
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1962,1,30,84,4,11,5,5,1,21,81,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,,,,,252,0,14,266,453
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1963,1,8,28,2,1,1,1,11,1,32,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,90,0,9,99,217
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1965,1,37,87,1,0,1,2,12,29,24,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,197,0,9,206,321
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1966,1,60,80,0,1,2,7,4,6,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,,,210,0,6,216,338
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1967,1,24,63,0,0,0,3,7,4,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,127,0,2,129,175
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1969,1,43,74,1,4,5,8,4,11,80,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,2,,,,,248,0,9,257,408
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1970,1,50,97,5,5,4,5,5,17,62,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,,,,,257,0,25,282,499
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1971,1,90,98,3,4,3,8,3,13,40,2,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,,,,,273,0,21,294,468
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1972,1,59,90,0,3,1,5,2,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,243,0,13,256,396
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1973,1,17,79,4,3,1,20,3,11,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,196,0,5,201,284
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1974,1,10,100,2,2,1,3,5,4,64,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,196,0,7,203,276
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1976,1,11,57,3,1,4,2,1,4,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,,,,,131,0,3,134,193
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1977,1,34,103,0,2,6,8,5,3,72,4,1,0,1,1,0,0,0,1,0,0,0,0,1,3,0,1,3,0,0,0,,,,,249,0,11,260,428
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1978,1,11,78,1,2,4,0,0,6,65,2,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,,,,,178,0,15,193,306
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1979,1,9,42,0,2,2,1,1,1,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,77,0,2,79,114
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1980,1,24,103,1,1,3,5,1,7,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,184,0,7,191,301
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1981,1,31,102,0,3,3,2,1,6,66,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,,,,,222,0,7,229,384
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1982,1,22,57,4,0,7,5,3,6,41,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,149,0,6,155,302
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1983,1,14,22,2,2,0,2,7,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,,82,0,5,87,127
1,25,SINALOA,1,EL FUERTE,10,EL FUERTE,1984,1,8,48,0,1,1,1,5,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,80,0,0,80,101
