"coalitions","components_1","components_2","components_3","components_4","components_5","components_6","components_7"
"PRD_PARM_PCD","PRD","PARM","PCD",NA,NA,NA,NA
"PRD_PT_PC_PAS","PRD","PT","PC","PAS",NA,NA,NA
"PRD_PT_PVEM_PCD","PRD","PT","PVEM","PCD",NA,NA,NA
"PRD_PVEM_PC_PAS","PRD","PVEM","PC","PAS",NA,NA,NA
"PRI_PDS","PRI","PDS",NA,NA,NA,NA,NA
"PRI_PARM","PRI","PARM",NA,NA,NA,NA,NA
"PRI_PARM_PDS","PRI","PARM","PDS",NA,NA,NA,NA
"PRI_PARM_PDS_PAS","PRI","PARM","PDS","PAS",NA,NA,NA
"PRI_PARM_PAS","PRI","PARM","PAS",NA,NA,NA,NA
"PRI_PARM_PSN","PRI","PARM","PSN",NA,NA,NA,NA
"PRI_PARM_PSN_PDS","PRI","PARM","PSN","PDS",NA,NA,NA
"PRI_PARM_PSN_PDS_PAS","PRI","PARM","PSN","PDS","PAS",NA,NA
"PRI_PARM_PSN_PAS","PRI","PARM","PSN","PAS",NA,NA,NA
"PRI_PAS","PRI","PAS",NA,NA,NA,NA,NA
"PRI_PSN","PRI","PSN",NA,NA,NA,NA,NA
"PRI_PSN_PDS","PRI","PSN","PDS",NA,NA,NA,NA
"PRI_PSN_PDS_PAS","PRI","PSN","PDS","PAS",NA,NA,NA
"PRI_PSN_PAS","PRI","PSN","PAS",NA,NA,NA,NA
"PT_PC_PARM","PT","PC","PARM",NA,NA,NA,NA
"PT_PDS","PT","PDS",NA,NA,NA,NA,NA
"PT_PARM","PT","PARM",NA,NA,NA,NA,NA
"PT_PVEM_PC","PT","PVEM","PC",NA,NA,NA,NA
"PT_PVEM_PC_PAS_PDS","PT","PVEM","PC","PAS","PDS",NA,NA
"PT_PVEM_PARM_PDS","PT","PVEM","PARM","PDS",NA,NA,NA
"PT_PVEM_PAS","PT","PVEM","PAS",NA,NA,NA,NA
"PVEM_PC","PVEM","PC",NA,NA,NA,NA,NA
"PVEM_PARM_PC","PVEM","PARM","PC",NA,NA,NA,NA
"PVEM_PSN","PVEM","PSN",NA,NA,NA,NA,NA
"PRI_PVEM_PRV","PRI","PVEM","PRV",NA,NA,NA,NA
"PT_PRD_MC","PT","PRD","MC",NA,NA,NA,NA
