Distrito,CONS.,SECCION,CASILLA,PAN-PC,PRI-PVEM,PRD-PT,VOTOS NULOS,VOTOS VÁLIDOS,VOTOS TOTALES,
V,8,390,390-B,63,127,92,9,282,291,
V,9,391,391-B,35,171,55,9,261,270,
V,10,392,392-B,25,154,171,14,350,364,
V,11,392,392-C,27,172,175,11,374,385,
V,12,393,393-B,11,2,13,6,26,32,
V,13,394,394-B,86,180,160,12,426,438,
V,14,395,395-B,15,100,88,12,203,215,
V,15,396,396-B,42,152,117,28,311,339,
V,16,396,396-C01,34,153,111,42,298,340,
V,17,396,396-C02,44,160,130,33,334,367,
V,18,397,397-B,28,152,181,26,361,387,
V,19,398,398-B,19,35,178,3,232,235,
V,20,399,399-B,8,27,28,9,63,72,
V,21,400,400-B,51,147,78,15,276,291,
V,22,401,401-B,28,63,124,4,215,219,
V,23,402,402-B,119,125,176,7,420,427,
V,24,403,403-B,10,125,212,14,347,361,
V,25,403,403-C,16,118,193,12,327,339,
V,26,404,404-B,39,151,262,16,452,468,
V,27,405,405-B,41,163,116,2,320,322,
V,28,405,405-C01,32,131,131,11,294,305,
V,29,405,405-C02,44,139,114,8,297,305,
V,30,406,406-B,35,154,53,3,242,245,
V,31,406,406-C,44,144,46,9,234,243,
V,32,407,407-B,40,169,122,5,331,336,
V,33,407,407-C,27,166,132,9,325,334,
V,34,408,408-B,64,179,176,13,419,432,
V,35,408,408-C,67,169,168,0,404,404,
V,36,409,409-B,78,232,101,9,411,420,
V,37,410,410-B,13,66,21,2,100,102,
V,38,410,410-X,37,40,42,1,119,120,
,,,,,,,,,,
VI,1,262,262-B,53,207,125,12,385,397,
VI,2,262,262-C01,49,193,139,9,381,390,
VI,3,262,262-C02,50,174,162,11,386,397,
VI,4,263,263-B,73,194,197,12,464,476,
VI,5,263,263-C,88,212,156,19,456,475,
VI,6,264,264-B,46,248,160,9,454,463,
VI,7,264,264-C,59,262,141,10,462,472,
VI,8,264,264-S,0,0,0,0,0,0,
VI,9,265,265-B,54,186,141,16,381,397,
VI,10,265,265-C01,50,213,153,10,416,426,
VI,11,265,265-C02,45,205,168,19,418,437,
VI,12,266,266-B,183,219,71,39,473,512,
VI,13,267,267-B,2,207,251,3,460,463,
VI,14,268,268-B,6,205,226,8,437,445,
VI,15,268,268-C01,0,0,0,0,0,0,Anulada
VI,16,268,268-C02,23,171,243,4,437,441,
VI,17,269,269-B,12,276,205,17,493,510,
VI,18,270,270-B,32,155,166,13,353,366,
VI,19,270,270-C,33,153,166,10,352,362,
VI,20,271,271-B,21,162,118,7,301,308,
VI,21,271,271-C,10,160,129,7,299,306,
VI,22,272,272-B,34,155,165,12,354,366,
VI,23,273,273-B,79,166,55,13,300,313,
VI,24,273,273-C,60,186,61,14,307,321,
VI,25,273,273-X,18,96,124,17,238,255,
VI,26,274,274-B,42,234,127,9,403,412,
VI,27,274,274-X,125,185,45,14,355,369,
VI,28,275,275-B,78,183,199,40,460,500,
VI,29,275,275-X,45,80,36,11,161,172,
VI,30,276,276-B,52,130,140,25,322,347,
VI,31,276,276-C,46,147,117,29,310,339,
VI,32,277,277-B,16,96,130,7,242,249,
VI,33,278,278-B,11,170,254,9,435,444,
VI,34,279,279-B,27,158,131,7,316,323,
VI,35,280,280-B,28,117,162,7,307,314,
VI,36,281,281-B,4,71,58,6,133,139,
VI,37,282,282-B,44,141,208,22,393,415,
VI,38,283,283-B,20,115,183,3,318,321,
,,,,,,,,,,
VII,1,215,215-B,81,129,179,12,389,401,
VII,2,215,215-C,72,133,185,16,390,406,
VII,3,216,216-B,60,158,177,20,395,415,
VII,4,217,217-B,48,109,113,11,270,281,
VII,5,217,217-C,55,105,107,7,267,274,
VII,6,218,218-B,86,183,138,0,407,407,
VII,7,218,218-C,65,181,139,12,385,397,
VII,8,219,219-B,92,191,156,12,439,451,
VII,9,220,220-B,75,129,92,7,296,303,
VII,10,220,220-C,57,123,96,9,276,285,
VII,11,221,221-B,83,118,89,3,290,293,
VII,12,221,221-C,93,104,87,6,284,290,
VII,13,221,221-S,0,0,0,0,0,0,
VII,14,222,222-B,98,197,142,17,437,454,
VII,15,222,222-C,120,179,129,19,428,447,
VII,16,223,223-B,84,133,149,15,366,381,
VII,17,223,223-C,83,147,129,12,359,371,
VII,18,224,224-B,101,184,193,18,478,496,
VII,19,225,225-B,76,136,149,8,361,369,
VII,20,225,225-C,73,150,130,13,353,366,
VII,21,226,226-B,65,141,140,19,346,365,
VII,22,226,226-C,71,133,131,10,335,345,
VII,23,227,227-B,59,209,203,8,471,479,
VII,24,227,227-C,42,266,174,19,482,501,
VII,25,228,228-B,14,201,168,2,383,385,
VII,26,228,228-C,24,176,192,9,392,401,
VII,27,229,229-B,43,140,255,36,438,474,
VII,28,229,229-C,48,165,217,32,430,462,
VII,29,230,230-B,18,83,99,10,200,210,
VII,30,230,230-X,17,74,102,18,193,211,
VII,31,231,231-B,28,89,204,16,321,337,
VII,32,231,231-X,16,31,203,21,250,271,
VII,33,232,232-B,46,104,161,9,311,320,
VII,34,232,232-C,43,63,165,10,271,281,
VII,35,232,232-X,51,63,144,25,258,283,
VII,36,233,233-B,75,65,160,18,300,318,
VII,37,233,233-X,25,115,117,1,257,258,
VII,38,234,234-B,27,127,321,27,475,502,
VII,39,234,234-C,41,129,337,9,507,516,
VII,40,234,234-X,27,33,229,11,289,300,
VII,41,235,235-B,25,102,262,12,389,401,
VII,42,235,235-C,20,139,239,17,398,415,
VII,43,236,236-B,3,30,30,2,63,65,
VII,44,237,237-B,68,113,98,7,279,286,
VII,45,237,237-X,79,126,158,19,363,382,
VII,46,238,238-B,129,191,208,41,528,569,
VII,47,238,238-X,56,109,141,20,306,326,
VII,48,239,239-B,30,147,227,15,404,419,
VII,49,239,239-X,23,180,229,132,432,564,
VII,50,240,240-B,57,225,206,20,488,508,
VII,51,241,241-B,35,168,253,16,456,472,
VII,52,241,241-C,31,199,252,9,482,491,
VII,53,242,242-B,12,169,141,13,322,335,
VII,54,242,242-C,24,168,158,8,350,358,
VII,55,243,243-B,33,137,28,10,198,208,
VII,56,244,244-B,21,138,250,5,409,414,
VII,57,244,244-X,46,85,275,15,406,421,
VII,58,245,245-B,32,118,214,15,364,379,
VII,59,247,247-B,26,31,121,12,178,190,
VII,60,247,247-C,29,85,247,17,361,378,
VII,61,247,247-X,58,190,314,59,562,621,
VII,62,248,248-B,20,67,101,12,188,200,
VII,63,249,249-B,45,147,178,19,370,389,
VII,64,249,249-C,63,137,179,13,379,392,
VII,65,249,249-X,95,93,121,11,309,320,
VII,66,250,250-B,56,56,144,13,256,269,
VII,67,250,250-X,11,33,244,25,288,313,
VII,68,251,251-B,28,53,217,9,298,307,
VII,69,251,251-C,24,48,174,10,246,256,
VII,70,251,251-X,35,87,191,13,313,326,
,,,,,,,,,,
VIII,1,182,182-B,153,219,9,7,381,388,
VIII,2,182,182-C01,172,171,9,9,352,361,
VIII,3,182,182-C02,182,219,3,7,404,411,
VIII,4,183,183-B,249,197,5,12,451,463,
VIII,5,183,183-C01,265,162,11,4,438,442,
VIII,6,183,183-C02,237,184,7,9,428,437,
VIII,7,184,184-B,249,176,10,4,435,439,
VIII,8,184,184-C01,213,181,8,10,402,412,
VIII,9,184,184-C02,227,172,15,6,414,420,
VIII,10,185,185-B,272,193,9,6,474,480,
VIII,11,185,185-C01,244,182,4,13,430,443,
VIII,12,185,185-C02,271,182,11,12,464,476,
VIII,13,186,186-B,201,108,0,2,309,311,
VIII,14,186,186-C,179,126,4,6,309,315,
VIII,15,187,187-B,312,186,13,8,511,519,
VIII,16,187,187-C,316,170,16,4,502,506,
VIII,17,188,188-B,250,164,14,7,428,435,
VIII,18,188,188-C01,241,167,3,6,411,417,
VIII,19,188,188-C02,262,162,7,7,431,438,
VIII,20,189,189-B,226,189,8,6,423,429,
VIII,21,189,189-C01,233,155,5,10,393,403,
VIII,22,189,189-C02,251,174,11,11,436,447,
VIII,23,190,190-B,220,163,8,3,391,394,
VIII,24,190,190-C01,0,0,0,0,0,0,Anulada
VIII,25,190,190-C02,207,149,16,7,372,379,
VIII,26,191,191-B,176,224,5,6,405,411,
VIII,27,191,191-C,172,218,6,8,396,404,
VIII,28,192,192-B,158,171,5,5,334,339,
VIII,29,192,192-C01,133,181,3,2,317,319,
VIII,30,192,192-C02,158,162,5,2,325,327,
VIII,31,192,192-S,0,0,0,0,0,0,
VIII,32,193,193-B,197,153,5,5,355,360,
VIII,33,193,193-C01,171,181,7,9,359,368,
VIII,34,193,193-C02,169,188,6,6,363,369,
VIII,35,194,194-B,265,199,14,14,478,492,
VIII,36,194,194-C,262,201,6,6,469,475,
VIII,37,195,195-B,295,182,9,7,486,493,
VIII,38,195,195-C01,298,165,6,4,469,473,
VIII,39,195,195-C02,291,161,9,9,461,470,
VIII,40,195,195-C03,318,150,11,2,479,481,
VIII,41,196,196-B,295,203,9,7,507,514,
VIII,42,196,196-C01,326,195,8,10,529,539,
VIII,43,196,196-C02,297,194,11,11,502,513,
VIII,44,196,196-C03,334,193,6,8,533,541,
VIII,45,196,196-C04,281,218,7,6,506,512,
VIII,46,197,197-B,241,197,5,7,443,450,
VIII,47,197,197-C01,211,205,9,3,425,428,
VIII,48,197,197-C02,220,214,8,4,442,446,
VIII,49,198,198-B,158,186,8,6,352,358,
VIII,50,198,198-C01,156,198,8,2,362,364,
VIII,51,198,198-C02,173,188,6,7,367,374,
VIII,52,198,198-C03,180,162,6,7,348,355,
VIII,53,199,199-B,255,188,8,7,451,458,
VIII,54,199,199-C01,256,175,11,3,442,445,
VIII,55,199,199-C02,275,178,10,5,463,468,
VIII,56,200,200-B,264,169,3,4,436,440,
VIII,57,200,200-C01,204,184,4,5,392,397,
VIII,58,200,200-C02,229,178,6,8,413,421,
VIII,59,200,200-C03,232,147,7,7,386,393,
VIII,60,201,201-B,285,182,7,6,474,480,
VIII,61,201,201-C01,254,186,11,4,451,455,
VIII,62,201,201-C02,237,192,11,5,440,445,
VIII,63,202,202-B,290,216,17,4,523,527,
VIII,64,202,202-C01,0,0,0,0,0,0,Anulada
VIII,65,202,202-C02,265,204,20,12,489,501,
VIII,66,203,203-B,335,198,9,7,542,549,
VIII,67,203,203-C01,295,202,16,3,513,516,
VIII,68,203,203-C02,334,161,12,10,507,517,
VIII,69,203,203-C03,273,184,3,8,460,468,
VIII,70,203,203-C04,312,208,15,10,535,545,
VIII,71,203,203-C05,280,193,11,3,484,487,
VIII,72,203,203-C06,275,182,8,10,465,475,
VIII,73,203,203-C07,308,194,10,6,512,518,
,,,,,,,,,,
IX,1,204,204-B,14,107,23,3,144,147,
IX,2,204,204-C01,56,287,57,10,400,410,
IX,3,204,204-C02,46,194,44,6,284,290,
IX,4,204,204-C03,31,204,56,6,291,297,
IX,5,204,204-C04,25,194,52,8,271,279,
IX,6,204,204-C05,39,197,65,5,301,306,
IX,7,204,204-C06,38,196,48,10,282,292,
IX,8,204,204-C07,0,0,0,0,0,0,Anulada
IX,9,204,204-C08,30,189,56,4,275,279,
IX,10,204,204-C09,41,204,58,8,303,311,
IX,11,204,204-C10,37,180,61,3,278,281,
IX,12,204,204-C11,41,188,45,3,274,277,
IX,13,204,204-C12,34,142,31,47,207,254,
IX,14,204,204-C13,32,185,57,7,274,281,
IX,15,204,204-C14,45,193,38,9,276,285,
IX,16,204,204-C15,27,171,56,,254,254,
IX,17,204,204-C16,40,194,42,5,276,281,
IX,18,204,204-C17,34,200,45,7,279,286,
IX,19,204,204-C18,51,195,64,8,310,318,
IX,20,204,204-C19,30,178,43,5,251,256,
IX,21,204,204-C20,31,176,36,11,243,254,
IX,22,204,204-C21,43,181,42,4,266,270,
IX,23,204,204-C22,38,189,40,4,267,271,
IX,24,204,204-C23,31,174,50,7,255,262,
IX,25,204,204-C24,29,194,57,8,280,288,
IX,26,204,204-C25,43,194,51,8,288,296,
IX,27,204,204-C26,22,189,45,7,256,263,
IX,28,204,204-C27,52,190,61,4,303,307,
IX,29,204,204-C28,39,213,47,4,299,303,
IX,30,204,204-C29,36,184,38,14,258,272,
IX,31,204,204-C30,49,206,35,2,290,292,
IX,32,204,204-C31,31,179,53,7,263,270,
IX,33,204,204-C32,43,193,34,9,270,279,
IX,34,204,204-C33,39,202,50,8,291,299,
IX,35,204,204-C34,26,170,38,5,234,239,
IX,36,204,204-C35,34,180,54,5,268,273,
IX,37,205,205-B,75,205,29,8,309,317,
IX,38,205,205-C01,43,198,30,6,271,277,
IX,39,205,205-C02,33,187,27,2,247,249,
IX,40,205,205-C03,44,186,39,9,269,278,
IX,41,205,205-C04,38,193,17,14,248,262,
IX,42,205,205-C05,33,209,37,4,279,283,
IX,43,205,205-C06,48,214,30,4,292,296,
IX,44,205,205-C07,49,206,28,7,283,290,
IX,45,205,205-C08,51,185,25,6,261,267,
IX,46,205,205-C09,41,203,35,2,279,281,
IX,47,205,205-C10,41,207,22,4,270,274,
IX,48,206,206-B,53,217,20,7,290,297,
IX,49,206,206-C01,39,215,28,3,282,285,
IX,50,206,206-C02,0,0,0,0,0,0,Anulada
IX,51,206,206-C03,45,192,28,7,265,272,
IX,52,206,206-C04,43,209,23,4,275,279,
IX,53,206,206-C05,35,196,29,10,260,270,
IX,54,206,206-C06,49,189,20,8,258,266,
IX,55,206,206-C07,46,192,26,8,264,272,
IX,56,206,206-C08,0,0,0,0,0,0,Anulada
IX,57,207,207-B,33,182,23,7,238,245,
IX,58,207,207-C01,37,221,28,6,286,292,
IX,59,207,207-C02,35,197,31,2,263,265,
IX,60,207,207-C03,46,164,8,3,218,221,
IX,61,207,207-C04,35,167,33,6,235,241,
IX,62,207,207-C05,0,0,0,0,0,0,Anulada
IX,63,207,207-C06,36,154,35,5,225,230,
IX,64,207,207-C07,44,179,29,9,252,261,
IX,65,207,207-C08,43,193,22,5,258,263,
IX,66,207,207-X01,24,137,23,5,184,189,
IX,67,207,207-X02,31,126,7,2,164,166,
IX,68,207,207-X03,28,131,13,6,172,178,
IX,69,207,207-S,0,0,0,0,0,0,
IX,70,208,208-B,12,175,23,9,210,219,
IX,71,208,208-C,9,206,16,4,231,235,
IX,72,208,208-X01,24,162,13,1,199,200,
IX,73,208,208-X02,22,154,7,6,183,189,
IX,74,209,209-B,19,239,74,13,332,345,
IX,75,209,209-C01,24,278,83,12,385,397,
IX,76,209,209-C02,18,248,86,16,352,368,
IX,77,209,209-C03,23,273,53,8,349,357,
IX,78,209,209-C04,19,243,86,9,348,357,
IX,79,209,209-C05,11,257,63,10,331,341,
IX,80,209,209-C06,28,246,82,4,356,360,
IX,81,209,209-C07,20,227,51,10,298,308,
IX,82,209,209-C08,15,233,89,25,337,362,
IX,83,210,210-B,4,226,332,7,562,569,
IX,84,210,210-C,3,245,278,128,526,654,
IX,85,211,211-B,5,205,122,12,332,344,
IX,86,211,211-C,2,186,126,0,314,314,
IX,87,211,211-X01,4,110,53,3,167,170,
IX,88,211,211-X02,12,245,167,19,424,443,
IX,89,211,211-X03,1,85,42,5,128,133,
IX,90,212,212-B,1,27,11,8,39,47,
IX,91,213,213-B,4,18,0,0,22,22,
IX,92,214,214-B,10,76,5,4,91,95,
,,,,,,,,,,
X,1,3,003-B,27,114,205,9,346,355,
X,2,3,003-C01,54,128,177,9,359,368,
X,3,3,003-C02,38,161,177,12,376,388,
X,4,3,003-C03,38,143,217,7,398,405,
X,5,3,003-C04,47,136,184,11,367,378,
X,6,3,003-C05,48,123,210,10,381,391,
X,7,3,003-C06,30,113,203,5,346,351,
X,8,3,003-C07,32,135,188,13,355,368,
X,9,3,003-C08,27,110,214,8,351,359,
X,10,3,003-C09,42,114,178,17,334,351,
X,11,3,003-C10,38,129,211,5,378,383,
X,12,3,003-C11,33,113,188,11,334,345,
X,13,3,003-C12,29,123,189,12,341,353,
X,14,3,003-C13,42,126,181,9,349,358,
X,15,3,003-C14,37,120,205,1,362,363,
X,16,3,003-C15,36,120,193,7,349,356,
X,17,3,003-C16,37,122,172,5,331,336,
X,18,4,004-B,51,132,126,3,309,312,
X,19,4,004-C01,64,126,110,8,300,308,
X,20,4,004-C02,60,114,117,8,291,299,
X,21,5,005-B,62,128,139,10,329,339,
X,22,5,005-C01,58,130,132,6,320,326,
X,23,5,005-C02,69,134,131,11,334,345,
X,24,5,005-C03,60,126,147,7,333,340,
X,25,6,006-B,48,90,95,1,233,234,
X,26,6,006-C,37,98,72,9,207,216,
X,27,7,007-B,47,119,118,10,284,294,
X,28,7,007-C01,49,109,134,8,292,300,
X,29,7,007-C02,56,95,149,9,300,309,
X,30,8,008-B,17,109,135,4,261,265,
X,31,8,008-C,36,100,101,8,237,245,
X,32,9,009-B,24,93,95,0,212,212,
X,33,9,009-C,21,87,106,5,214,219,
X,34,10,010-B,30,78,108,5,216,221,
X,35,10,010-C,30,94,116,8,240,248,
X,36,32,032-B,43,104,129,8,276,284,
