CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,31,YUCATAN,9,PROGRESO,59,PROGRESO,762,1,155,250,2,2,3,9,7,44,7,2,0,0,1,0,0,2,0,0,,484,1,19,504,627
,31,YUCATAN,9,PROGRESO,59,PROGRESO,763,3,321,568,17,13,19,18,21,217,8,8,0,0,4,0,2,1,0,3,,1220,0,60,1280,1986
,31,YUCATAN,9,PROGRESO,59,PROGRESO,764,2,312,440,7,8,11,11,18,89,5,3,0,0,4,0,1,0,1,1,,911,0,32,943,1362
,31,YUCATAN,9,PROGRESO,82,TELCHAC PUEBLO,855,2,191,293,2,7,3,8,6,93,0,1,0,0,0,0,1,6,0,1,,612,0,27,639,873
,31,YUCATAN,9,PROGRESO,82,TELCHAC PUEBLO,856,1,139,254,8,3,5,10,2,61,1,0,0,0,1,0,0,1,0,0,,485,0,21,506,596
,31,YUCATAN,9,PROGRESO,82,TELCHAC PUEBLO,857,1,178,318,1,4,4,8,4,43,0,2,0,0,0,0,0,0,0,0,,562,0,15,577,656
,31,YUCATAN,9,PROGRESO,82,TELCHAC PUEBLO,858,1,149,350,4,3,2,7,6,73,1,2,0,0,2,0,0,0,0,0,,599,0,26,625,747
,31,YUCATAN,9,PROGRESO,83,TELCHAC PUERTO,859,2,262,310,2,7,8,4,67,101,9,3,0,0,3,0,0,0,0,0,,776,0,32,808,943
,31,YUCATAN,9,PROGRESO,83,TELCHAC PUERTO,860,2,281,316,5,5,22,5,45,68,4,0,0,0,2,0,0,0,0,0,,753,0,14,767,863
,31,YUCATAN,9,PROGRESO,105,YAXKUKUL,1056,4,302,817,26,23,13,20,337,400,141,3,0,0,5,0,7,0,0,2,,2096,0,104,2200,2442
,31,YUCATAN,10,TIZIMIN,8,CALOTMUL,37,2,328,654,3,3,1,7,1,146,5,1,0,1,0,0,0,0,0,0,,1150,0,22,1172,1306
,31,YUCATAN,10,TIZIMIN,8,CALOTMUL,38,2,269,518,4,1,4,3,3,89,1,1,0,3,1,0,0,0,0,0,,897,0,19,916,1015
,31,YUCATAN,10,TIZIMIN,8,CALOTMUL,39,1,124,178,1,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,,323,0,3,326,350
,31,YUCATAN,10,TIZIMIN,8,CALOTMUL,40,1,249,306,2,0,0,7,1,55,1,1,0,2,0,0,0,0,0,1,,625,0,4,629,681
,31,YUCATAN,10,TIZIMIN,32,ESPITA,134,3,300,719,4,114,7,6,6,173,4,0,1,4,2,2,1,0,0,1,,1344,0,43,1387,1777
,31,YUCATAN,10,TIZIMIN,32,ESPITA,135,2,245,573,6,158,6,8,8,162,1,2,0,5,0,0,0,1,0,0,,1175,0,12,1187,1487
,31,YUCATAN,10,TIZIMIN,32,ESPITA,136,2,190,493,3,127,4,8,2,102,1,1,0,4,0,1,0,1,0,1,,938,0,30,968,1160
,31,YUCATAN,10,TIZIMIN,32,ESPITA,137,3,295,675,6,118,3,7,11,183,2,1,1,4,0,0,2,2,0,2,,1312,0,27,1339,1682
,31,YUCATAN,10,TIZIMIN,32,ESPITA,138,3,416,776,7,121,4,8,11,192,4,2,1,3,0,1,1,1,0,0,,1548,1,26,1575,1980
,31,YUCATAN,10,TIZIMIN,32,ESPITA,139,1,119,207,2,52,4,2,3,29,1,1,0,2,0,1,0,0,0,1,,424,0,5,429,510
,31,YUCATAN,10,TIZIMIN,32,ESPITA,140,1,115,173,2,36,2,4,0,53,4,0,0,1,0,0,0,0,0,0,,390,0,6,396,438
,31,YUCATAN,10,TIZIMIN,32,ESPITA,141,2,562,507,4,47,9,4,7,119,3,0,1,1,0,0,0,0,0,1,,1265,0,11,1276,1486
,31,YUCATAN,10,TIZIMIN,57,PANABA,709,2,347,373,2,3,4,4,2,41,1,2,1,7,0,0,1,0,0,0,,788,0,18,806,915
,31,YUCATAN,10,TIZIMIN,57,PANABA,710,2,475,371,3,3,5,4,1,46,1,0,1,2,0,0,0,0,0,0,,912,0,15,927,1002
,31,YUCATAN,10,TIZIMIN,57,PANABA,711,2,522,427,2,4,7,6,0,55,4,2,0,7,0,0,1,0,0,0,,1037,0,6,1043,1154
,31,YUCATAN,10,TIZIMIN,57,PANABA,712,2,511,353,2,3,1,3,6,77,2,1,2,2,0,0,1,0,0,0,,964,0,16,980,1102
,31,YUCATAN,10,TIZIMIN,57,PANABA,713,1,212,115,1,2,0,1,0,20,0,0,0,1,0,0,0,0,0,0,,352,0,4,356,384
,31,YUCATAN,10,TIZIMIN,57,PANABA,714,2,422,482,2,0,1,1,0,24,0,3,4,1,0,0,0,0,0,0,,940,0,13,953,1039
,31,YUCATAN,10,TIZIMIN,61,RIO LAGARTOS,766,2,321,328,4,5,4,7,2,116,0,7,1,2,0,0,0,0,0,1,,798,1,19,818,937
,31,YUCATAN,10,TIZIMIN,61,RIO LAGARTOS,767,2,406,394,0,1,3,2,3,169,2,1,0,0,1,0,0,0,0,0,,982,0,25,1007,1098
