ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,14,GUADALUPE,53,200,16576,14047,751,2803,2313,6756,1786,12824,1310,247,,,,,,,,,,,,,,,,,,,,,,,,,,5327,1770,,,,,,,,,,,,,,66510,28,1998,68536,126282,
19,NUEVO LEON,15,GUADALUPE,97,240,23979,16617,844,5951,2406,7750,2744,14363,1496,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,7003,,,,,,,,,,,,,83741,125,2683,86549,142121,
19,NUEVO LEON,16,APODACA,75,217,18452,15115,507,2952,2459,6971,2154,16378,1003,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5756,,,,,,,,,,,,72131,44,1695,73870,130496,
19,NUEVO LEON,17,ESCOBEDO,45,230,17208,15150,709,6184,3339,6960,1570,14046,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610,,,,,,,,,,,70940,32,1825,72797,150069,
19,NUEVO LEON,18,SAN PEDRO,88,264,46573,10626,496,2849,1502,12548,2450,10074,821,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776,1654,,,,,,,,,94700,183,2514,97397,160187,
19,NUEVO LEON,19,SANTA CATARINA,61,243,36368,8577,501,3055,2260,8457,3022,13399,1451,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768,,,,,,,,85082,84,2774,87940,156416,
19,NUEVO LEON,20,GARCIA,137,341,11463,12461,1760,5524,5785,6385,3459,19406,1481,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20052,,,,,,,89576,49,2638,92263,199774,
19,NUEVO LEON,21,SABINAS HIDALGO,127,292,24162,19567,1344,5255,4231,4903,4526,10914,844,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738,,,,,,87838,57,2892,90787,167901,
19,NUEVO LEON,22,JUAREZ,91,242,8597,15235,1003,3389,1890,6235,2756,12278,2085,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034,,,,,62019,59,1848,63926,143533,
19,NUEVO LEON,23,JUAREZ,138,334,11038,17781,936,16090,3277,7769,2311,18964,2278,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9491,,,,90443,149,3064,93656,197736,
19,NUEVO LEON,24,LINARES,157,303,21880,23075,995,4645,3773,3537,10470,13533,976,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382,,,92592,85,3870,96547,168379,
19,NUEVO LEON,25,ESCOBEDO,79,230,14761,11974,574,5448,3508,5868,1227,11281,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3471,,58974,85,1744,60803,142712,
19,NUEVO LEON,26,SANTIAGO,158,295,32332,34517,321,1959,5483,2632,3038,7507,739,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8430,97098,122,4150,101370,152535,
