CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,15,B,14,108,129,6,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,263,9,272,491,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,B,7,150,191,5,6,0,1,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,388,17,405,736,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,C01,5,110,177,9,1,0,2,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,735,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,16,C02,8,121,194,3,1,0,3,31,2,0,0,1,0,0,0,0,0,0,0,0,0,0,364,13,377,735,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,17,B,2,22,229,5,1,0,0,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,270,8,278,641,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,18,B,4,34,140,1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191,5,196,381,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,18,C01,6,41,125,4,2,0,0,7,4,1,0,0,3,0,0,0,0,0,0,0,0,0,193,5,198,380,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,19,B,38,192,84,2,3,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,324,17,341,512,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,20,B,1,22,61,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,211,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,22,B,1,36,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,77,191,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,23,B,3,35,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101,2,103,171,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,25,B,4,29,32,2,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,72,0,72,117,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,B,43,99,71,141,12,1,6,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,385,5,390,514,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,C01,54,90,12,145,8,5,11,7,0,1,0,0,0,0,0,0,2,0,0,0,0,1,335,17,353,513,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,S01,33,25,22,6,5,2,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,106,9,116,0,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,26,C02,56,94,14,121,9,2,14,6,0,5,0,1,0,0,0,0,5,0,0,0,0,0,327,13,340,513,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,B,11,113,13,147,7,2,13,12,0,3,0,1,0,0,0,0,3,0,0,0,0,0,325,15,340,592,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,C01,31,106,13,189,10,1,16,9,0,5,0,0,0,0,0,0,2,0,0,0,0,0,382,9,391,591,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,27,C02,36,125,14,176,7,2,12,7,0,2,0,0,0,0,0,0,3,0,0,0,0,0,384,12,396,591,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,B,53,161,23,153,11,6,12,12,0,5,0,1,0,0,0,0,3,0,0,0,0,0,440,14,454,650,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,C01,30,176,20,176,5,1,15,16,0,4,0,1,0,0,0,0,4,0,0,0,0,0,448,22,470,650,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,28,C02,30,176,20,175,5,1,10,16,0,4,0,1,0,0,0,0,4,0,0,0,0,1,442,21,464,649,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,29,B,22,120,12,116,7,4,11,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,301,18,319,491,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,29,C01,23,121,19,95,6,3,16,10,0,6,0,0,0,0,0,0,2,0,0,0,0,0,301,14,315,490,RECUENTO,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,30,B,16,126,55,101,2,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,307,3,310,504,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,30,C01,22,120,44,110,5,2,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,317,10,327,503,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,31,B,38,154,95,175,4,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,481,12,493,690,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,31,C01,31,132,113,151,7,1,20,10,0,4,0,2,0,0,0,0,1,0,0,0,0,0,472,7,479,689,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,B,41,125,33,144,6,2,12,5,0,0,0,1,0,0,0,0,3,0,0,0,0,0,372,18,390,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,C01,56,134,44,141,5,1,11,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,398,9,407,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,32,C02,28,148,34,153,7,1,7,3,0,1,0,1,0,0,0,0,4,0,0,0,0,0,387,11,398,554,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,33,B,33,157,53,116,9,0,6,13,0,2,0,3,0,0,0,0,3,0,0,0,0,0,395,12,407,545,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,33,C01,10,143,46,113,6,3,8,5,0,5,0,1,0,0,0,0,5,0,0,0,0,0,345,12,357,544,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,34,B,45,128,30,190,3,1,8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,414,8,422,547,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,34,C01,47,101,36,141,4,0,7,1,0,4,0,1,0,0,0,0,3,0,0,0,0,0,345,7,352,547,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,35,B,27,138,26,169,6,1,4,12,0,4,0,1,0,0,0,0,2,0,0,0,0,0,390,7,397,591,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,35,C01,20,152,38,151,4,2,10,2,0,6,0,0,0,0,0,0,3,0,0,0,0,0,388,11,399,590,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,36,B,31,107,40,133,22,3,46,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,401,14,415,635,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,36,C01,26,73,30,154,18,1,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,10,375,635,ACTA CASILLA,,,
5,16,MICHOACAN,8,ZINAPÉCUARO,3,ÁLVARO OBREGÓN,37,B,13,128,89,149,3,0,6,20,0,0,0,1,0,0,0,0,4,0,0,0,0,0,413,10,423,732,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,B,22,132,129,4,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,296,9,306,441,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,C01,16,148,129,8,2,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,311,4,315,441,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,B,12,150,126,3,1,0,4,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,306,6,312,422,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,C01,14,163,106,1,2,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,299,8,307,422,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,B,25,157,236,10,6,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,446,10,456,650,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,C01,36,161,199,12,7,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,427,11,439,650,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,B,9,129,245,14,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,406,10,417,645,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,C01,18,111,241,22,5,0,1,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,412,14,426,645,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,B,20,57,160,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,242,6,248,385,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,C01,9,51,134,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,198,5,203,384,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,B,19,59,173,13,2,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,273,7,280,469,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,C01,14,55,181,22,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,5,281,469,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,44,B,28,81,348,20,0,0,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,487,10,497,688,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,B,11,132,320,10,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,479,6,485,741,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,C01,5,123,320,10,1,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,467,18,485,740,RECUENTO,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,C02,11,138,216,7,8,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,385,12,397,740,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,46,B,6,131,322,28,4,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,497,11,508,663,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,47,B,7,18,29,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,62,106,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,48,B,4,91,156,12,1,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,283,2,285,398,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,49,B,5,87,113,90,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,17,326,485,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,50,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,SIN BOLETAS,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,B,10,90,149,14,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,270,12,282,486,ACTA CASILLA,,,
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,C01,7,85,182,4,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,12,299,486,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,52,B,58,119,36,93,35,1,3,7,10,3,0,0,0,0,0,0,5,0,0,0,0,0,370,13,383,511,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,52,C01,47,140,28,84,28,4,6,9,8,3,0,1,0,0,0,0,3,0,0,0,0,0,361,25,386,511,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,53,B,26,248,45,122,9,2,3,31,4,0,0,0,0,0,0,0,6,0,0,0,0,0,496,16,512,732,RECUENTO,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,54,B,20,123,28,57,8,1,1,13,8,0,0,2,0,0,0,0,1,0,0,0,0,0,262,14,276,381,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,54,C01,31,119,25,53,9,1,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,255,9,264,380,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,B,28,153,35,146,71,2,1,22,15,1,0,3,0,0,0,0,6,0,0,0,0,0,483,0,483,660,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,C01,37,123,47,154,67,6,4,29,12,1,0,3,0,0,0,0,1,0,0,0,0,0,484,8,492,660,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,55,C02,56,129,36,116,80,3,3,16,22,1,0,1,0,0,0,0,2,0,0,0,0,0,465,12,477,659,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,56,B,6,159,63,129,56,1,5,4,8,1,0,1,0,0,0,0,7,0,0,0,0,0,440,11,451,589,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,56,C01,1,143,60,128,66,2,3,7,11,1,0,1,0,0,0,0,5,0,0,0,0,0,428,20,448,588,RECUENTO,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,B,17,232,40,121,22,4,6,12,5,0,0,1,0,0,0,0,1,0,0,0,0,0,461,14,475,631,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,C01,16,219,48,102,24,9,4,20,6,1,0,0,0,0,0,0,6,0,0,0,0,0,455,19,474,631,ACTA CASILLA,,,
5,16,MICHOACAN,13,ZITÁCUARO,5,ANGANGUEO,57,C02,26,217,38,108,26,4,0,20,6,2,0,1,0,0,0,0,2,0,0,0,0,1,450,23,474,631,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,58,B,45,63,44,17,3,8,3,13,0,11,0,5,0,0,0,0,0,0,0,0,0,0,212,7,219,513,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,58,C01,40,80,58,14,0,11,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,222,8,230,513,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,B,55,88,49,3,16,12,4,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,248,13,261,502,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,C01,41,60,60,13,4,10,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,207,9,216,502,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,59,C02,56,66,42,13,7,13,2,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,215,12,227,502,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,B,46,58,40,29,7,2,1,15,0,15,0,7,0,0,0,0,0,0,0,0,0,0,220,13,233,574,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,C01,39,63,55,38,6,4,6,6,0,12,0,1,0,0,0,0,0,0,0,0,0,0,230,11,241,574,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,60,C02,38,73,46,35,4,6,1,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,234,0,234,573,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,61,B,53,56,51,27,9,5,3,12,0,10,0,0,0,0,0,0,0,0,0,0,0,2,226,11,239,678,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,61,C01,46,81,52,31,7,4,2,10,0,21,0,2,0,0,0,0,0,0,0,0,0,0,256,14,270,678,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,62,B,54,78,59,24,11,15,1,13,0,11,0,1,0,0,0,0,0,0,0,0,0,1,267,12,280,735,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,62,C01,50,84,62,24,11,10,6,16,0,18,0,2,0,0,0,0,0,0,0,0,0,0,283,11,294,735,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,B,42,91,50,26,3,18,3,20,0,10,0,2,0,0,0,0,0,0,0,0,0,0,265,17,282,681,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,C01,40,86,53,36,6,14,0,10,0,3,0,4,0,0,0,0,0,0,0,0,0,0,252,14,266,681,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,63,C02,41,79,56,27,8,14,1,18,0,11,0,4,0,0,0,0,0,0,0,0,0,0,259,15,274,680,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,B,30,70,62,9,4,10,2,11,0,20,0,1,0,0,0,0,0,0,0,0,0,0,219,15,234,509,RECUENTO,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,C01,34,66,42,18,3,8,4,10,0,111,0,1,0,0,0,0,0,0,0,0,0,0,297,0,297,508,ACTA CASILLA,,,
5,16,MICHOACAN,23,APATZINGÁN,6,APATZINGÁN,64,C02,42,58,52,19,8,14,2,5,0,10,0,2,0,0,0,0,0,0,0,0,0,0,212,14,226,508,ACTA CASILLA,,,
